date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,10966890.0,16.1547,16.65,15.95,16.65,15.94,1705986000000,66199
2024-01-24 05:00:00,5819378.0,15.9713,16.13,15.82,16.36,15.775,1706072400000,32559
2024-01-25 05:00:00,4322186.0,16.1801,16.06,16.2,16.31,16.035,1706158800000,33275
2024-01-26 05:00:00,2933896.0,16.238,16.27,16.21,16.39,16.18,1706245200000,22451
2024-01-29 05:00:00,3815107.0,16.2676,16.19,16.41,16.44,16.08,1706504400000,27864
2024-01-30 05:00:00,3023843.0,16.2456,16.29,16.27,16.33,16.1625,1706590800000,20011
2024-01-31 05:00:00,6301935.0,16.0084,15.83,15.83,16.355,15.795,1706677200000,42663
2024-02-01 05:00:00,7551982.0,15.9944,15.93,16.08,16.155,15.505,1706763600000,40288
2024-02-02 05:00:00,5836807.0,15.8658,15.84,15.83,16.02,15.69,1706850000000,32577
2024-02-05 05:00:00,6157798.0,15.6065,15.62,15.68,15.6999,15.335,1707109200000,29737
2024-02-06 05:00:00,5308449.0,15.8384,15.61,15.88,15.965,15.58,1707195600000,29754
2024-02-07 05:00:00,4842359.0,15.8355,15.94,15.92,16.005,15.465,1707282000000,33651
2024-02-08 05:00:00,3192876.0,15.8865,15.92,15.91,16.035,15.71,1707368400000,26329
2024-02-09 05:00:00,5383941.0,15.8723,15.95,15.9,15.95,15.68,1707454800000,24643
2024-02-12 05:00:00,3784540.0,16.3771,15.94,16.37,16.5189,15.94,1707714000000,25183
2024-02-13 05:00:00,8100662.0,15.2218,15.78,15.24,15.79,14.91,1707800400000,54589
2024-02-14 05:00:00,4021945.0,15.4358,15.4,15.46,15.55,15.31,1707886800000,28089
2024-02-15 05:00:00,4502452.0,15.6179,15.43,15.69,15.73,15.41,1707973200000,30873
2024-02-16 05:00:00,4428537.0,15.4978,15.54,15.44,15.66,15.4,1708059600000,30056
2024-02-20 05:00:00,5221035.0,15.496,15.22,15.53,15.62,15.15,1708405200000,30630
2024-02-21 05:00:00,3212887.0,15.5164,15.47,15.58,15.61,15.38,1708491600000,25014
2024-02-22 05:00:00,3628493.0,15.594,15.7,15.62,15.715,15.495,1708578000000,24805
2024-02-23 05:00:00,6088790.0,15.4378,15.66,15.34,15.675,15.32,1708664400000,35312
2024-02-26 05:00:00,5960867.0,15.1339,15.28,15.09,15.475,15.04,1708923600000,33678
2024-02-27 05:00:00,3753059.0,15.3093,15.24,15.4,15.4,15.04,1709010000000,30330
2024-02-28 05:00:00,2912258.0,15.3526,15.28,15.29,15.49,15.19,1709096400000,22975
2024-02-29 05:00:00,7583825.0,15.4154,15.58,15.41,15.66,15.26,1709182800000,31831
2024-03-01 05:00:00,3004060.0,15.4388,15.38,15.53,15.55,15.1,1709269200000,25420
2024-03-04 05:00:00,3268796.0,15.7003,15.51,15.63,15.89,15.5,1709528400000,25292
2024-03-05 05:00:00,3352007.0,15.6542,15.49,15.68,15.765,15.45,1709614800000,29657
2024-03-06 05:00:00,3091750.0,15.695,15.85,15.74,15.89,15.56,1709701200000,26420
2024-03-07 05:00:00,4376187.0,15.7161,15.93,15.66,16.0,15.61,1709787600000,28081
2024-03-08 05:00:00,4784691.0,15.9001,15.84,15.88,15.98,15.8,1709874000000,33589
2024-03-11 04:00:00,3124003.0,15.8066,15.73,15.8,15.92,15.61,1710129600000,25704
2024-03-12 04:00:00,5571209.0,15.5662,15.83,15.58,15.93,15.35,1710216000000,40619
2024-03-13 04:00:00,4608111.0,15.7363,15.64,15.74,15.87,15.5475,1710302400000,34655
2024-03-14 04:00:00,4453049.0,15.3869,15.59,15.39,15.685,15.235,1710388800000,33000
2024-03-15 04:00:00,5834823.0,15.4083,15.19,15.43,15.575,15.19,1710475200000,27267
2024-03-18 04:00:00,2440462.0,15.2956,15.41,15.27,15.41,15.21,1710734400000,18989
2024-03-19 04:00:00,4529210.0,15.3765,15.2,15.41,15.45,15.2,1710820800000,24479
2024-03-20 04:00:00,3635747.0,15.7404,15.34,15.83,15.95,15.31,1710907200000,23772
2024-03-21 04:00:00,3988356.0,16.0663,16.0,16.0,16.26,15.96,1710993600000,27761
2024-03-22 04:00:00,2957872.0,15.747,16.02,15.71,16.07,15.7,1711080000000,15294
2024-03-25 04:00:00,4473370.0,16.0319,15.79,16.0,16.18,15.72,1711339200000,25090
2024-03-26 04:00:00,3667554.0,16.0846,16.12,16.05,16.21,16.015,1711425600000,23853
2024-03-27 04:00:00,3385239.0,16.3417,16.23,16.45,16.46,16.17,1711512000000,25246
2024-03-28 04:00:00,4757341.0,16.6343,16.5,16.59,16.77,16.48,1711598400000,26658
2024-04-01 04:00:00,3425370.0,16.4852,16.54,16.49,16.56,16.35,1711944000000,24744
