date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,6970413.0,31.5747,31.51,31.74,31.8,31.28,1705986000000,46684
2024-01-24 05:00:00,6216728.0,31.2247,31.73,31.14,31.77,31.07,1706072400000,45314
2024-01-25 05:00:00,7898824.0,31.4576,31.3,31.59,31.6,31.19,1706158800000,42987
2024-01-26 05:00:00,4879422.0,31.9301,31.73,31.98,32.02,31.73,1706245200000,35584
2024-01-29 05:00:00,10680049.0,31.9705,31.94,32.01,32.05,31.9,1706504400000,49511
2024-01-30 05:00:00,5829751.0,31.8659,32.03,31.8,32.09,31.74,1706590800000,41842
2024-01-31 05:00:00,6335995.0,31.5221,31.88,31.44,31.9,31.325,1706677200000,45913
2024-02-01 05:00:00,8024256.0,31.796,31.51,31.98,32.01,31.215,1706763600000,44087
2024-02-02 05:00:00,5962851.0,31.6355,31.77,31.65,31.9,31.39,1706850000000,39817
2024-02-05 05:00:00,8392614.0,31.1022,31.47,31.04,31.48,31.0,1707109200000,47375
2024-02-06 05:00:00,12983658.0,31.069,31.11,31.11,31.235,30.92,1707195600000,65421
2024-02-07 05:00:00,7611081.0,31.3294,31.45,31.26,31.58,31.155,1707282000000,48203
2024-02-08 05:00:00,6873199.0,31.4298,31.24,31.49,31.52,31.135,1707368400000,40072
2024-02-09 05:00:00,5257455.0,31.122,31.45,31.15,31.49,30.945,1707454800000,45504
2024-02-12 05:00:00,6261196.0,31.2567,31.09,31.32,31.36,30.9501,1707714000000,38213
2024-02-13 05:00:00,10990885.0,30.9443,31.48,30.92,31.5,30.72,1707800400000,61470
2024-02-14 05:00:00,8864101.0,31.0237,30.83,31.1,31.145,30.74,1707886800000,53615
2024-02-15 05:00:00,6392780.0,31.1213,31.16,31.09,31.415,31.05,1707973200000,43216
2024-02-16 05:00:00,11899499.0,30.9861,31.06,30.97,31.11,30.675,1708059600000,67029
2024-02-20 05:00:00,15705060.0,31.1902,30.99,31.23,31.555,30.73,1708405200000,86580
2024-02-21 05:00:00,11468267.0,31.5145,31.45,31.6,31.66,31.36,1708491600000,70331
2024-02-22 05:00:00,16363519.0,30.4061,30.57,30.37,30.96,29.9895,1708578000000,103320
2024-02-23 05:00:00,24281761.0,30.2233,30.45,30.19,30.45,29.92,1708664400000,99270
2024-02-26 05:00:00,20269363.0,29.4841,30.05,29.5,30.08,29.17,1708923600000,95304
2024-02-27 05:00:00,10699721.0,29.5112,29.4,29.5,29.73,29.32,1709010000000,67133
