date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1348047.0,122.8153,122.37,123.04,123.335,122.16,1705554000000,28231
2024-01-19 05:00:00,1806019.0,122.9788,123.17,122.77,123.57,122.44,1705640400000,27923
2024-01-22 05:00:00,1924998.0,122.3159,122.61,122.34,123.0,121.925,1705899600000,33348
2024-01-23 05:00:00,3656902.0,124.8968,123.7,124.95,125.5,123.25,1705986000000,50896
2024-01-24 05:00:00,6020568.0,119.0082,119.71,118.04,121.02,117.77,1706072400000,83361
2024-01-25 05:00:00,2769474.0,119.8957,118.15,120.49,120.58,117.92,1706158800000,47283
2024-01-26 05:00:00,2579772.0,120.7633,120.465,121.17,121.22,119.9372,1706245200000,36072
2024-01-29 05:00:00,1823084.0,121.0703,121.31,121.27,121.57,120.47,1706504400000,30072
2024-01-30 05:00:00,1949824.0,121.2772,121.35,121.7,121.84,119.92,1706590800000,34619
2024-01-31 05:00:00,2586329.0,121.0512,122.19,120.97,122.35,120.14,1706677200000,28128
2024-02-01 05:00:00,1939708.0,122.6554,120.7,123.43,123.48,119.65,1706763600000,30933
2024-02-02 05:00:00,2485842.0,122.455,123.55,122.26,123.855,122.03,1706850000000,33566
2024-02-05 05:00:00,2232534.0,121.2796,122.1,120.98,122.45,120.88,1707109200000,31716
2024-02-06 05:00:00,1741526.0,121.2664,120.93,121.33,121.78,120.59,1707195600000,28831
2024-02-07 05:00:00,1903481.0,121.0651,122.02,121.07,122.02,120.64,1707282000000,29261
2024-02-08 05:00:00,1985786.0,120.1735,120.89,120.27,121.0,119.7,1707368400000,32413
2024-02-09 05:00:00,1612676.0,119.6358,120.08,119.81,120.47,119.11,1707454800000,28556
2024-02-12 05:00:00,1651230.0,119.593,119.5,120.07,120.08,118.82,1707714000000,31808
2024-02-13 05:00:00,1789191.0,118.5501,120.42,118.55,120.79,118.1,1707800400000,32871
2024-02-14 05:00:00,1590614.0,118.2037,117.97,118.4,118.61,117.67,1707886800000,29009
2024-02-15 05:00:00,1591059.0,118.54,118.65,118.79,118.83,118.05,1707973200000,29101
2024-02-16 05:00:00,1731312.0,118.5126,119.1,118.29,119.1,117.93,1708059600000,28393
2024-02-20 05:00:00,2293206.0,119.4062,118.8,119.15,120.4775,118.66,1708405200000,33677
2024-02-21 05:00:00,1301141.0,120.1352,119.58,120.45,120.48,119.41,1708491600000,27681
2024-02-22 05:00:00,1679782.0,120.4052,119.76,121.05,121.26,118.62,1708578000000,31690
2024-02-23 05:00:00,1488299.0,121.85,121.36,121.64,122.65,120.95,1708664400000,28473
2024-02-26 05:00:00,1413520.0,121.3808,121.47,121.23,122.08,121.0678,1708923600000,22650
2024-02-27 05:00:00,1162691.0,120.9684,120.99,121.19,121.497,120.49,1709010000000,24217
2024-02-28 05:00:00,1080408.0,121.1478,121.09,121.23,121.59,120.53,1709096400000,22813
2024-02-29 05:00:00,3266015.0,121.2583,121.2,121.17,121.85,120.54,1709182800000,34622
2024-03-01 05:00:00,2340811.0,122.6034,121.73,122.9,123.07,121.0,1709269200000,38969
2024-03-04 05:00:00,3453277.0,123.926,123.07,123.49,124.88,122.975,1709528400000,55031
2024-03-05 05:00:00,2359058.0,123.6427,123.78,123.62,124.395,122.985,1709614800000,47288
2024-03-06 05:00:00,2563627.0,124.4385,123.57,124.81,124.98,123.252,1709701200000,33237
2024-03-07 05:00:00,2629208.0,125.2028,124.0,125.9,126.05,123.46,1709787600000,36117
2024-03-08 05:00:00,2004052.0,125.7088,125.71,125.65,126.14,124.84,1709874000000,32142
2024-03-11 04:00:00,1261009.0,126.5043,126.12,126.78,126.85,125.8346,1710129600000,26892
2024-03-12 04:00:00,1888419.0,126.8673,126.59,126.71,127.59,126.31,1710216000000,25544
2024-03-13 04:00:00,1829609.0,127.4688,126.98,127.9,127.95,126.54,1710302400000,29732
2024-03-14 04:00:00,2560231.0,125.455,127.48,124.81,127.86,124.47,1710388800000,38942
2024-03-15 04:00:00,6511053.0,124.5156,123.39,124.47,125.454,123.39,1710475200000,33702
2024-03-18 04:00:00,2156021.0,124.531,124.4,124.23,125.38,124.18,1710734400000,33852
2024-03-19 04:00:00,1668571.0,124.9936,124.78,125.05,125.36,124.21,1710820800000,27165
2024-03-20 04:00:00,1326960.0,124.4982,124.92,124.42,125.22,124.17,1710907200000,26457
2024-03-21 04:00:00,1799910.0,124.4833,124.03,124.81,124.95,123.02,1710993600000,31152
2024-03-22 04:00:00,1440430.0,125.0596,125.24,124.93,125.575,124.75,1711080000000,24313
2024-03-25 04:00:00,2331984.0,125.4932,125.17,125.18,126.58,124.95,1711339200000,33085
2024-03-26 04:00:00,2045524.0,126.0515,125.44,126.09,126.56,125.23,1711425600000,32822
2024-03-27 04:00:00,2416404.0,127.189,129.29,127.27,129.29,126.301,1711512000000,40192
2024-03-28 04:00:00,3204136.0,129.3342,128.89,129.35,129.97,128.39,1711598400000,44332
2024-04-01 04:00:00,2093453.0,128.9911,128.6,128.8,129.56,128.37,1711944000000,31882
2024-04-02 04:00:00,2287131.0,128.2588,128.5,127.69,129.655,127.66,1712030400000,36068
2024-04-03 04:00:00,2100950.0,126.3813,127.55,126.06,127.79,125.875,1712116800000,37966
2024-04-04 04:00:00,2009153.0,126.6459,126.72,126.5,127.3,126.07,1712203200000,33606
2024-04-05 04:00:00,1558510.0,126.0061,126.07,126.31,126.49,125.24,1712289600000,30061
2024-04-08 04:00:00,1343666.0,126.051,126.09,126.05,127.12,125.7,1712548800000,26074
2024-04-09 04:00:00,1884932.0,127.6226,126.21,127.94,128.04,126.1201,1712635200000,37482
