date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2159430.0,68.5415,68.01,68.56,68.91,67.885,1705554000000,29815
2024-01-19 05:00:00,1876575.0,68.8936,68.64,69.15,70.16,67.1,1705640400000,31478
2024-01-22 05:00:00,1379879.0,70.2193,69.87,70.16,71.14,69.61,1705899600000,24133
2024-01-23 05:00:00,1457509.0,69.3434,70.99,69.22,71.665,68.68,1705986000000,25400
2024-01-24 05:00:00,1647704.0,67.9638,70.13,67.45,70.25,67.24,1706072400000,28574
2024-01-25 05:00:00,1649389.0,68.6021,68.51,69.08,69.2,67.5,1706158800000,26585
2024-01-26 05:00:00,1859227.0,70.1639,69.42,70.11,70.61,69.4032,1706245200000,27374
2024-01-29 05:00:00,2239395.0,71.8326,69.92,72.95,73.07,69.57,1706504400000,31805
2024-01-30 05:00:00,1930721.0,73.114,72.35,72.75,73.75,72.27,1706590800000,29783
2024-01-31 05:00:00,2047521.0,72.2098,71.97,71.18,73.97,71.04,1706677200000,31968
2024-02-01 05:00:00,1961004.0,72.0259,71.61,72.84,72.84,70.385,1706763600000,33883
2024-02-02 05:00:00,1833947.0,72.6083,71.43,72.79,73.99,70.15,1706850000000,32581
2024-02-05 05:00:00,1661671.0,70.9274,71.32,70.99,71.83,69.9305,1707109200000,25061
2024-02-06 05:00:00,2046197.0,71.6162,70.97,71.83,72.3,70.585,1707195600000,25191
2024-02-07 05:00:00,1979900.0,72.5788,72.47,72.3,73.1891,71.78,1707282000000,23932
2024-02-08 05:00:00,1490977.0,72.8807,72.01,73.3,73.39,71.9,1707368400000,23309
2024-02-09 05:00:00,1821271.0,74.1814,73.56,74.79,74.86,72.9,1707454800000,26871
2024-02-12 05:00:00,1659005.0,76.9356,75.14,76.95,77.47,75.075,1707714000000,27110
2024-02-13 05:00:00,2504835.0,72.6769,73.52,72.54,74.26,71.87,1707800400000,39358
2024-02-14 05:00:00,1418310.0,72.6217,72.96,72.76,73.4,71.655,1707886800000,25415
2024-02-15 05:00:00,1113073.0,74.0959,73.27,74.33,74.64,73.14,1707973200000,20386
2024-02-16 05:00:00,1255179.0,72.1315,72.41,71.88,73.13,71.33,1708059600000,21244
2024-02-20 05:00:00,1131499.0,70.5379,70.63,70.66,71.5599,70.12,1708405200000,20609
2024-02-21 05:00:00,886838.0,70.6052,70.16,70.62,71.19,69.6095,1708491600000,14820
2024-02-22 05:00:00,1967148.0,72.7115,73.64,72.89,73.65,71.09,1708578000000,29234
2024-02-23 05:00:00,1464510.0,73.7045,73.21,73.33,74.78,73.19,1708664400000,22933
2024-02-26 05:00:00,1227487.0,74.2666,73.01,73.96,75.1125,73.01,1708923600000,20310
2024-02-27 05:00:00,1435678.0,76.4346,74.64,76.66,77.0,74.1601,1709010000000,22017
2024-02-28 05:00:00,1171649.0,76.4812,76.07,76.71,76.81,75.48,1709096400000,19499
2024-02-29 05:00:00,2193428.0,78.6829,77.56,79.0,79.15,77.205,1709182800000,29235
2024-03-01 05:00:00,1300639.0,78.9536,78.66,79.3,79.57,76.92,1709269200000,22061
2024-03-04 05:00:00,1053049.0,79.7517,78.87,79.58,80.28,78.76,1709528400000,19330
2024-03-05 05:00:00,1207472.0,80.0625,79.19,80.12,80.62,78.605,1709614800000,21243
2024-03-06 05:00:00,1993925.0,80.6669,81.5,80.58,81.66,79.9,1709701200000,30900
2024-03-07 05:00:00,1171962.0,80.57,80.87,80.66,81.62,79.89,1709787600000,18679
2024-03-08 05:00:00,1545783.0,82.0303,81.5,81.77,83.115,81.06,1709874000000,23826
2024-03-11 04:00:00,1291652.0,81.012,81.35,81.13,82.03,80.42,1710129600000,21005
2024-03-12 04:00:00,1277692.0,81.9535,81.0,82.01,82.57,80.6,1710216000000,21443
2024-03-13 04:00:00,1232260.0,82.9959,81.81,83.22,83.39,81.81,1710302400000,21594
2024-03-14 04:00:00,1594513.0,81.1406,82.95,80.94,83.05,80.175,1710388800000,26978
2024-03-15 04:00:00,1915464.0,80.7648,80.73,80.74,81.95,80.13,1710475200000,25308
2024-03-18 04:00:00,1208204.0,80.0178,81.18,79.83,81.385,79.62,1710734400000,19973
2024-03-19 04:00:00,1140666.0,80.6271,78.89,80.85,81.28,78.89,1710820800000,17198
2024-03-20 04:00:00,2050372.0,82.7889,82.82,83.08,83.7399,81.63,1710907200000,31081
2024-03-21 04:00:00,2249666.0,86.1093,83.98,86.44,87.025,83.85,1710993600000,31846
2024-03-22 04:00:00,1328759.0,85.6369,86.21,85.53,86.7848,85.28,1711080000000,22370
2024-03-25 04:00:00,1334472.0,85.7288,85.91,85.78,86.9,85.23,1711339200000,22387
2024-03-26 04:00:00,1640048.0,86.1188,86.3,85.75,87.4,85.63,1711425600000,26552
2024-03-27 04:00:00,1637967.0,86.4632,86.01,86.98,87.21,85.71,1711512000000,25266
2024-03-28 04:00:00,1937866.0,87.2613,87.25,87.11,88.22,86.915,1711598400000,25876
2024-04-01 04:00:00,2028906.0,85.8642,86.33,85.94,86.61,85.08,1711944000000,30134
2024-04-02 04:00:00,2115804.0,84.1662,85.13,83.81,85.7,83.71,1712030400000,38513
2024-04-03 04:00:00,2722478.0,83.6201,83.68,83.62,84.2,82.74,1712116800000,28085
2024-04-04 04:00:00,2161320.0,81.5214,83.94,80.67,84.53,80.275,1712203200000,35202
2024-04-05 04:00:00,1693829.0,81.2027,80.5,81.49,81.855,80.03,1712289600000,29766
2024-04-08 04:00:00,1758966.0,83.0864,83.07,82.87,83.78,82.24,1712548800000,26898
2024-04-09 04:00:00,1844350.0,83.3648,83.05,83.39,84.02,82.8,1712635200000,30261
2024-04-10 04:00:00,3605847.0,79.6087,80.52,79.3,80.92,78.9,1712721600000,54836
2024-04-11 04:00:00,14125488.0,70.7507,73.38,71.98,74.46,68.5,1712808000000,144800
2024-04-12 04:00:00,4231192.0,71.3858,70.97,71.41,72.47,70.5,1712894400000,56927
2024-04-15 04:00:00,3638042.0,69.5878,71.06,69.46,71.93,69.02,1713153600000,46320
2024-04-16 04:00:00,3049402.0,69.627,69.57,69.8,70.14,68.92,1713240000000,37532
2024-04-17 04:00:00,2110152.0,68.8993,69.99,68.53,70.25,68.51,1713326400000,30064
2024-04-18 04:00:00,2508444.0,68.2435,68.83,67.91,69.67,67.7185,1713412800000,36914
2024-04-19 04:00:00,1824702.0,68.2868,68.0,68.34,68.75,67.87,1713499200000,31061
2024-04-22 04:00:00,1884367.0,67.8821,68.4,67.88,68.69,67.31,1713758400000,30444
2024-04-23 04:00:00,1563135.0,69.5483,68.19,69.69,69.995,68.02,1713844800000,27533
2024-04-24 04:00:00,2882585.0,70.3059,69.44,70.27,70.78,69.04,1713931200000,40610
2024-04-25 04:00:00,2809779.0,68.8327,69.04,69.22,69.56,67.65,1714017600000,35632
2024-04-26 04:00:00,2625796.0,69.7198,69.07,69.59,70.21,69.05,1714104000000,36669
2024-04-29 04:00:00,1674157.0,69.7066,70.02,69.35,70.65,69.18,1714363200000,26504
2024-04-30 04:00:00,2072962.0,68.167,68.42,67.97,68.975,67.56,1714449600000,27476
