date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,16013164.0,20.87,20.595,20.91,20.98,20.56,1705986000000,64413
2024-01-24 05:00:00,12345257.0,20.6393,20.87,20.43,20.975,20.41,1706072400000,59345
2024-01-25 05:00:00,12613713.0,20.6785,20.6,20.75,20.79,20.4406,1706158800000,53226
2024-01-26 05:00:00,14121370.0,20.8511,20.89,20.84,20.99,20.79,1706245200000,44982
2024-01-29 05:00:00,10817159.0,21.0121,20.84,21.04,21.11,20.82,1706504400000,48511
2024-01-30 05:00:00,10593626.0,20.852,20.95,20.87,20.98,20.7125,1706590800000,44716
2024-01-31 05:00:00,13225751.0,20.7924,20.95,20.76,20.96,20.73,1706677200000,48480
2024-02-01 05:00:00,11400563.0,20.8647,20.78,20.89,21.0,20.54,1706763600000,55846
2024-02-02 05:00:00,12678943.0,20.7756,20.72,20.83,20.92,20.63,1706850000000,44784
2024-02-05 05:00:00,12643366.0,20.4714,20.75,20.48,20.75,20.2528,1707109200000,58075
2024-02-06 05:00:00,13267155.0,20.6182,20.44,20.6,20.75,20.4,1707195600000,50341
2024-02-07 05:00:00,26170257.0,20.5541,20.74,20.52,20.74,20.41,1707282000000,76954
2024-02-08 05:00:00,44119619.0,19.5966,19.85,19.33,20.045,19.3,1707368400000,166985
2024-02-09 05:00:00,24589789.0,19.3318,19.2,19.33,19.615,19.08,1707454800000,99199
2024-02-12 05:00:00,17750933.0,19.5437,19.47,19.59,19.64,19.305,1707714000000,66535
2024-02-13 05:00:00,16678505.0,19.2355,19.4,19.25,19.585,19.09,1707800400000,75836
2024-02-14 05:00:00,15853010.0,19.1336,19.22,19.09,19.365,19.01,1707886800000,72412
2024-02-15 05:00:00,18646481.0,19.0787,19.11,19.05,19.26,19.0,1707973200000,72783
2024-02-16 05:00:00,16387575.0,19.0294,19.01,19.05,19.1,18.915,1708059600000,79697
2024-02-20 05:00:00,15817593.0,19.021,18.99,19.06,19.13,18.85,1708405200000,54877
2024-02-21 05:00:00,12660727.0,19.1966,19.1,19.3,19.335,18.9,1708491600000,57196
2024-02-22 05:00:00,11359224.0,19.1834,19.26,19.19,19.32,18.95,1708578000000,55228
2024-02-23 05:00:00,13774642.0,19.2089,19.15,19.18,19.325,19.05,1708664400000,56287
2024-02-26 05:00:00,17420163.0,18.9486,19.14,18.94,19.1419,18.84,1708923600000,68821
2024-02-27 05:00:00,15954207.0,18.8784,18.91,18.92,18.97,18.72,1709010000000,63171
2024-02-28 05:00:00,16447667.0,19.0034,18.93,19.14,19.17,18.71,1709096400000,45767
2024-02-29 05:00:00,19298629.0,19.0464,19.16,19.0,19.265,18.9,1709182800000,56363
2024-03-01 05:00:00,14618598.0,18.8418,18.82,18.82,18.94,18.69,1709269200000,64359
2024-03-04 05:00:00,18745474.0,18.9447,18.76,18.96,19.08,18.61,1709528400000,85751
2024-03-05 05:00:00,19216175.0,19.0594,18.91,19.01,19.2,18.83,1709614800000,81730
2024-03-06 05:00:00,17447930.0,19.521,19.0,19.58,19.76,18.99,1709701200000,91156
2024-03-07 05:00:00,22511017.0,19.8892,19.69,19.8,20.23,19.665,1709787600000,104815
2024-03-08 05:00:00,11932668.0,19.9896,19.69,20.02,20.13,19.67,1709874000000,61273
2024-03-11 04:00:00,12106353.0,20.1544,20.06,20.15,20.34,20.02,1710129600000,61647
2024-03-12 04:00:00,12156760.0,20.228,20.19,20.14,20.3894,20.12,1710216000000,55645
2024-03-13 04:00:00,23717418.0,20.3936,20.2,20.41,20.55,20.2,1710302400000,94248
2024-03-14 04:00:00,18494043.0,20.0657,20.26,20.07,20.37,19.915,1710388800000,61320
2024-03-15 04:00:00,68562280.0,20.2953,19.8,20.34,20.415,19.8,1710475200000,81665
2024-03-18 04:00:00,18907574.0,20.1671,20.11,20.2,20.38,19.97,1710734400000,56695
2024-03-19 04:00:00,18217348.0,20.1936,20.34,20.2,20.4,20.1,1710820800000,51714
2024-03-20 04:00:00,13173427.0,20.3363,20.16,20.41,20.415,20.075,1710907200000,51087
