date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1785359.0,48.9513,49.29,49.05,49.3,48.64,1705554000000,26860
2024-01-19 05:00:00,1619334.0,48.8933,49.17,48.87,49.27,48.68,1705640400000,21907
2024-01-22 05:00:00,1531331.0,48.528,48.83,48.46,49.15,48.3,1705899600000,22770
2024-01-23 05:00:00,2156575.0,48.6431,48.5,48.77,48.805,48.15,1705986000000,28259
2024-01-24 05:00:00,2116449.0,48.2616,48.99,48.14,49.325,48.01,1706072400000,30783
2024-01-25 05:00:00,2697004.0,48.6238,48.8,48.75,48.93,48.28,1706158800000,35768
2024-01-26 05:00:00,2404609.0,48.8784,48.84,48.85,49.2,48.72,1706245200000,32813
2024-01-29 05:00:00,1868720.0,49.059,48.89,49.19,49.325,48.635,1706504400000,27511
2024-01-30 05:00:00,1954079.0,48.7322,48.62,48.88,49.13,48.11,1706590800000,27535
2024-01-31 05:00:00,10189687.0,48.6975,49.26,48.66,49.33,48.195,1706677200000,39624
2024-02-01 05:00:00,2546886.0,49.3742,48.46,49.84,49.87,48.1,1706763600000,30561
2024-02-02 05:00:00,1872667.0,48.8194,49.31,48.8,49.31,48.335,1706850000000,27036
2024-02-05 05:00:00,1531357.0,47.8632,48.28,47.61,48.38,47.59,1707109200000,21196
2024-02-06 05:00:00,1491146.0,47.8122,47.58,47.76,48.015,47.38,1707195600000,22619
2024-02-07 05:00:00,1151983.0,47.7483,48.0,47.78,48.0,47.45,1707282000000,18514
2024-02-08 05:00:00,1473146.0,47.3225,47.53,47.48,47.5983,46.98,1707368400000,20442
2024-02-09 05:00:00,1508101.0,47.7931,47.39,47.93,47.995,47.33,1707454800000,22096
2024-02-12 05:00:00,1416193.0,48.3341,48.04,48.46,48.575,47.8,1707714000000,22642
2024-02-13 05:00:00,2988687.0,47.5479,48.46,47.57,48.61,47.13,1707800400000,39277
2024-02-14 05:00:00,1915049.0,47.5325,47.39,47.63,47.755,47.22,1707886800000,28358
2024-02-15 05:00:00,2297904.0,48.239,47.8,48.4,48.41,47.8,1707973200000,30115
2024-02-16 05:00:00,2624650.0,48.3564,48.19,48.35,48.635,47.8,1708059600000,32195
2024-02-20 05:00:00,2444612.0,48.3568,48.25,48.25,48.74,48.08,1708405200000,32812
2024-02-21 05:00:00,1848070.0,48.9383,48.66,49.09,49.11,48.36,1708491600000,25098
2024-02-22 05:00:00,1540761.0,48.5689,48.8,48.63,48.8,48.25,1708578000000,22363
2024-02-23 05:00:00,2025362.0,48.7592,48.48,48.7,49.02,48.4,1708664400000,26216
2024-02-26 05:00:00,1774579.0,47.5436,48.43,47.43,48.43,47.175,1708923600000,26392
2024-02-27 05:00:00,1513488.0,47.7238,47.56,47.82,47.845,47.33,1709010000000,20745
2024-02-28 05:00:00,1469416.0,47.5594,47.62,47.56,47.79,47.36,1709096400000,21086
2024-02-29 05:00:00,2482185.0,47.803,47.82,47.75,48.12,47.48,1709182800000,27546
2024-03-01 05:00:00,1809220.0,47.4749,47.52,47.73,47.73,46.8,1709269200000,25394
2024-03-04 05:00:00,1656214.0,48.2811,47.5,48.54,48.585,47.44,1709528400000,21380
2024-03-05 05:00:00,2103600.0,48.6822,48.83,48.51,49.4493,48.265,1709614800000,24104
2024-03-06 05:00:00,2048442.0,48.9776,48.94,48.98,49.28,48.75,1709701200000,26137
2024-03-07 05:00:00,2119835.0,49.1859,49.43,49.06,49.55,49.045,1709787600000,26596
2024-03-08 05:00:00,1831167.0,49.2737,49.3,49.34,49.6,48.79,1709874000000,25286
2024-03-11 04:00:00,1774716.0,49.5583,49.46,49.59,49.97,49.36,1710129600000,24268
2024-03-12 04:00:00,1895364.0,48.8169,49.41,48.77,49.5025,48.45,1710216000000,27612
2024-03-13 04:00:00,1561568.0,49.0087,48.83,48.93,49.34,48.81,1710302400000,23176
2024-03-14 04:00:00,1809470.0,48.055,48.77,48.07,48.99,47.7613,1710388800000,27970
2024-03-15 04:00:00,4205765.0,48.3337,47.98,48.39,48.645,47.98,1710475200000,26632
2024-03-18 04:00:00,1802291.0,48.6179,48.21,48.61,49.01,48.2,1710734400000,22201
2024-03-19 04:00:00,1708746.0,48.8719,48.54,48.95,49.14,48.53,1710820800000,20830
2024-03-20 04:00:00,1666862.0,48.8671,48.83,48.8,49.2899,48.54,1710907200000,22550
2024-03-21 04:00:00,2294030.0,49.0635,48.92,48.9,49.235,48.73,1710993600000,21725
2024-03-22 04:00:00,1431508.0,48.8105,49.17,48.67,49.199,48.62,1711080000000,18843
2024-03-25 04:00:00,975508.0,48.5896,48.72,48.63,48.94,48.39,1711339200000,14277
2024-03-26 04:00:00,1579862.0,48.2716,48.67,48.26,48.725,48.02,1711425600000,21442
2024-03-27 04:00:00,2252545.0,49.502,48.38,49.77,49.79,48.365,1711512000000,22071
2024-03-28 04:00:00,2540569.0,50.2403,49.8,50.4,50.48,49.72,1711598400000,27505
2024-04-01 04:00:00,1194238.0,49.7711,50.61,49.68,50.61,49.605,1711944000000,17062
2024-04-02 04:00:00,1259192.0,50.0465,49.68,49.97,50.34,49.68,1712030400000,19759
2024-04-03 04:00:00,1317828.0,49.5511,49.9,49.45,50.04,49.405,1712116800000,18433
2024-04-04 04:00:00,1840228.0,49.0778,49.79,49.13,49.86,48.64,1712203200000,24371
2024-04-05 04:00:00,1820777.0,48.781,48.97,48.85,48.97,48.41,1712289600000,22350
2024-04-08 04:00:00,1329017.0,49.3421,48.78,49.45,49.595,48.66,1712548800000,19087
2024-04-09 04:00:00,990364.0,49.8455,49.68,49.99,50.0,49.54,1712635200000,18184
2024-04-10 04:00:00,2048711.0,48.6207,49.07,48.68,49.175,48.21,1712721600000,29840
2024-04-11 04:00:00,2020052.0,48.4332,48.78,48.48,48.95,47.9,1712808000000,26702
2024-04-12 04:00:00,1581103.0,48.1005,48.53,48.0,48.695,47.76,1712894400000,22177
2024-04-15 04:00:00,1913292.0,48.0632,48.13,48.0,48.51,47.825,1713153600000,26134
2024-04-16 04:00:00,1773827.0,47.5101,47.96,47.4,48.1,47.23,1713240000000,26615
2024-04-17 04:00:00,1673675.0,48.1581,47.78,48.42,48.53,47.62,1713326400000,24732
2024-04-18 04:00:00,1131873.0,48.6329,48.59,48.84,48.945,48.25,1713412800000,21138
2024-04-19 04:00:00,1382470.0,49.699,48.96,49.82,49.92,48.945,1713499200000,21601
2024-04-22 04:00:00,1457393.0,49.8359,49.58,49.89,50.155,49.24,1713758400000,22941
2024-04-23 04:00:00,1644248.0,50.076,49.78,49.97,50.32,49.69,1713844800000,24556
2024-04-24 04:00:00,1336242.0,50.1981,49.34,50.37,50.509,49.19,1713931200000,19356
2024-04-25 04:00:00,1312200.0,50.1832,50.26,50.23,50.53,49.7,1714017600000,22813
2024-04-26 04:00:00,1661302.0,49.7434,50.25,49.59,50.3,49.47,1714104000000,25311
2024-04-29 04:00:00,1661569.0,49.689,49.31,49.77,49.79,49.28,1714363200000,21832
2024-04-30 04:00:00,2294767.0,49.7988,49.55,49.8,50.095,49.13,1714449600000,23763
2024-05-01 04:00:00,1953447.0,50.3713,49.55,50.36,50.9,49.46,1714536000000,27367
2024-05-02 04:00:00,1983023.0,50.6429,50.69,50.85,50.85,50.26,1714622400000,27921
2024-05-03 04:00:00,2143657.0,50.7291,50.85,50.85,51.77,49.945,1714708800000,29930
2024-05-06 04:00:00,1281938.0,50.4827,50.96,50.5,51.03,50.26,1714968000000,24442
2024-05-07 04:00:00,1736924.0,51.0249,50.79,51.13,51.215,50.52,1715054400000,21893
2024-05-08 04:00:00,1507841.0,51.1981,50.94,51.21,51.39,50.74,1715140800000,23900
2024-05-09 04:00:00,1070574.0,51.5758,51.15,51.7,51.745,51.0,1715227200000,19219
2024-05-10 04:00:00,1503946.0,51.4344,51.71,51.33,51.8,51.2325,1715313600000,22624
2024-05-13 04:00:00,1063768.0,51.4622,51.61,51.34,51.955,51.265,1715572800000,19485
2024-05-14 04:00:00,1395349.0,51.4133,51.64,51.36,51.735,51.11,1715659200000,22014
2024-05-15 04:00:00,1682145.0,51.9434,51.89,51.99,52.12,51.62,1715745600000,21850
2024-05-16 04:00:00,1320474.0,52.075,52.05,51.97,52.3,51.81,1715832000000,17920
2024-05-17 04:00:00,1040309.0,51.9428,51.93,51.97,52.07,51.67,1715918400000,17076
2024-05-20 04:00:00,986477.0,51.8278,51.98,51.78,52.04,51.66,1716177600000,18291
2024-05-21 04:00:00,1238830.0,52.0449,51.78,52.12,52.31,51.7,1716264000000,17540
2024-05-22 04:00:00,1070128.0,51.4168,51.82,51.17,51.98,51.13,1716350400000,19477
2024-05-23 04:00:00,1240876.0,50.2497,50.87,50.01,50.9305,49.98,1716436800000,19994
2024-05-24 04:00:00,927704.0,49.9223,50.17,49.95,50.2978,49.73,1716523200000,15697
2024-05-28 04:00:00,1405803.0,50.0342,50.15,49.87,50.53,49.78,1716868800000,20972
2024-05-29 04:00:00,1257633.0,49.2886,49.46,49.36,49.475,49.045,1716955200000,21368
2024-05-30 04:00:00,1338747.0,49.9566,49.55,50.16,50.19,49.405,1717041600000,21272
2024-05-31 04:00:00,1916105.0,51.238,50.33,51.49,51.53,50.23,1717128000000,22988
