date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,6956156.0,86.0746,86.2,86.05,86.82,85.665,1705467600000,65846
2024-01-18 05:00:00,7203739.0,86.3947,86.85,86.29,87.14,86.075,1705554000000,67878
2024-01-19 05:00:00,4819293.0,86.2947,86.26,86.49,86.705,85.72,1705640400000,53451
2024-01-22 05:00:00,6015862.0,86.6756,86.59,86.47,87.365,86.2775,1705899600000,55066
2024-01-23 05:00:00,5060433.0,86.237,86.86,86.34,87.36,85.605,1705986000000,55378
2024-01-24 05:00:00,6035159.0,85.1515,86.18,84.72,86.32,84.67,1706072400000,64175
2024-01-25 05:00:00,5557802.0,85.3009,85.26,85.79,85.83,84.6,1706158800000,57222
2024-01-26 05:00:00,6784389.0,86.2672,86.19,86.54,86.6,85.63,1706245200000,64095
2024-01-29 05:00:00,7144745.0,86.9613,86.3,87.44,87.48,86.13,1706504400000,66037
2024-01-30 05:00:00,5760184.0,86.9823,87.46,86.97,87.56,86.505,1706590800000,56460
2024-01-31 05:00:00,10357900.0,88.0591,88.29,87.54,89.18,87.52,1706677200000,82069
2024-02-01 05:00:00,4319952.0,87.8387,87.36,88.09,88.54,86.7,1706763600000,54019
2024-02-02 05:00:00,5052031.0,87.6204,87.46,87.63,88.135,87.055,1706850000000,55171
2024-02-05 05:00:00,4083640.0,87.1257,87.58,86.75,87.78,86.74,1707109200000,48379
2024-02-06 05:00:00,4667164.0,87.4888,87.08,87.74,87.84,86.87,1707195600000,54055
2024-02-07 05:00:00,4740113.0,87.4493,88.05,87.16,88.25,87.035,1707282000000,52584
2024-02-08 05:00:00,5938152.0,86.081,86.55,86.18,86.756,85.39,1707368400000,68415
2024-02-09 05:00:00,8843539.0,84.9595,86.08,84.99,86.155,84.46,1707454800000,96133
2024-02-12 05:00:00,5892373.0,84.9693,84.63,85.07,85.325,84.375,1707714000000,66491
2024-02-13 05:00:00,7579609.0,83.7507,84.57,83.59,85.0,83.13,1707800400000,84847
2024-02-14 05:00:00,4934627.0,83.7252,83.67,83.68,84.345,83.24,1707886800000,55994
2024-02-15 05:00:00,4867874.0,84.6458,83.83,84.72,85.01,83.76,1707973200000,53259
2024-02-16 05:00:00,10848637.0,84.9069,84.49,84.42,85.7373,84.11,1708059600000,94404
