date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,17198502.0,84.3313,84.85,84.41,85.14,83.9,1705467600000,152839
2024-01-18 05:00:00,15016393.0,83.8842,84.83,83.9,84.98,83.28,1705554000000,145421
2024-01-19 05:00:00,14787428.0,84.8067,83.91,85.34,85.589,83.2,1705640400000,131132
2024-01-22 05:00:00,11626525.0,85.8947,85.46,85.73,86.77,85.44,1705899600000,102436
2024-01-23 05:00:00,8555665.0,86.2693,85.67,86.74,86.85,85.19,1705986000000,78523
2024-01-24 05:00:00,12480930.0,87.625,87.32,87.57,88.3,87.2,1706072400000,99340
2024-01-25 05:00:00,8792414.0,87.8231,88.14,88.02,88.42,87.325,1706158800000,81390
2024-01-26 05:00:00,6384351.0,87.9625,87.88,87.73,88.5,87.65,1706245200000,64514
2024-01-29 05:00:00,7440287.0,86.8901,87.395,87.62,87.95,85.72,1706504400000,84277
2024-01-30 05:00:00,6569320.0,87.5257,86.98,87.62,88.07,86.77,1706590800000,73337
2024-01-31 05:00:00,8414853.0,87.8763,87.71,87.24,88.745,87.23,1706677200000,89683
2024-02-01 05:00:00,8365019.0,86.6788,87.19,86.82,88.17,85.64,1706763600000,87851
2024-02-02 05:00:00,7728782.0,87.1772,86.47,87.27,87.67,86.0,1706850000000,86669
2024-02-05 05:00:00,7788657.0,85.9747,86.58,85.89,86.58,85.09,1707109200000,71412
2024-02-06 05:00:00,7335535.0,86.1194,85.62,86.1,86.55,85.62,1707195600000,55852
2024-02-07 05:00:00,4952226.0,86.0339,86.26,86.0,86.39,85.27,1707282000000,60603
2024-02-08 05:00:00,6218415.0,85.721,85.68,85.65,86.23,85.16,1707368400000,67037
2024-02-09 05:00:00,5664540.0,85.7884,85.685,85.89,86.03,85.32,1707454800000,62288
2024-02-12 05:00:00,7888017.0,86.9806,85.855,86.87,87.64,85.64,1707714000000,85457
2024-02-13 05:00:00,11339361.0,84.0705,85.86,83.97,85.86,83.09,1707800400000,110772
2024-02-14 05:00:00,5973690.0,84.1308,84.54,84.0,84.96,83.692,1707886800000,64394
2024-02-15 05:00:00,7993508.0,85.6109,84.45,85.67,86.23,84.41,1707973200000,80715
2024-02-16 05:00:00,9673918.0,86.307,85.52,86.5,86.79,85.07,1708059600000,91383
2024-02-20 05:00:00,6626357.0,85.5214,85.94,85.35,86.49,85.1,1708405200000,74077
2024-02-21 05:00:00,6444877.0,85.0831,85.01,85.46,85.48,84.53,1708491600000,63363
2024-02-22 05:00:00,6782109.0,86.0298,85.95,85.85,86.735,85.6,1708578000000,68886
2024-02-23 05:00:00,5810069.0,86.747,86.07,86.55,87.25,85.96,1708664400000,72574
2024-02-26 05:00:00,5608055.0,86.0627,86.5,85.67,87.3366,85.5601,1708923600000,63374
2024-02-27 05:00:00,8066655.0,85.4964,85.97,85.49,86.45,85.12,1709010000000,68066
2024-02-28 05:00:00,5617729.0,85.8946,85.43,86.05,86.09,85.2801,1709096400000,59888
2024-02-29 05:00:00,7657147.0,86.0196,86.49,86.04,86.64,85.35,1709182800000,77722
2024-03-01 05:00:00,5523731.0,86.264,86.22,86.48,86.79,85.11,1709269200000,64691
2024-03-04 05:00:00,19875986.0,90.1041,87.88,90.04,91.235,87.55,1709528400000,226678
2024-03-05 05:00:00,13883597.0,89.8945,89.19,89.13,91.14,88.62,1709614800000,141422
2024-03-06 05:00:00,25614607.0,86.0265,86.77,85.66,87.95,84.426,1709701200000,253201
2024-03-07 05:00:00,9145693.0,86.2489,86.08,86.14,87.12,85.64,1709787600000,98342
2024-03-08 05:00:00,9689299.0,87.3369,86.62,87.04,88.32,86.42,1709874000000,102161
2024-03-11 04:00:00,4737231.0,86.5816,86.82,86.94,87.25,85.84,1710129600000,61982
2024-03-12 04:00:00,5110923.0,87.1525,87.24,87.05,87.7589,86.6,1710216000000,56973
2024-03-13 04:00:00,10345766.0,89.2946,87.45,89.35,90.24,87.25,1710302400000,113737
2024-03-14 04:00:00,9235361.0,88.8678,89.0,89.1,89.4,88.26,1710388800000,116000
2024-03-15 04:00:00,20363042.0,88.5087,88.48,88.38,89.3461,88.17,1710475200000,115054
2024-03-18 04:00:00,5959969.0,88.0155,88.36,87.96,88.7,87.7,1710734400000,65388
2024-03-19 04:00:00,8546529.0,88.4911,88.0,88.42,89.09,87.86,1710820800000,76256
2024-03-20 04:00:00,10811723.0,90.391,88.05,91.35,91.482,87.9107,1710907200000,101405
2024-03-21 04:00:00,13659937.0,93.3181,91.96,93.4,94.36,91.955,1710993600000,135413
2024-03-22 04:00:00,5909255.0,92.1027,93.52,91.95,93.86,91.74,1711080000000,64216
2024-03-25 04:00:00,3670642.0,91.3701,91.77,91.14,92.5499,90.985,1711339200000,45419
2024-03-26 04:00:00,4212047.0,91.4027,91.42,91.28,91.91,90.935,1711425600000,50966
2024-03-27 04:00:00,6394493.0,93.0922,92.03,93.5,93.54,91.91,1711512000000,72640
2024-03-28 04:00:00,6707703.0,94.0926,93.75,94.16,94.73,93.45,1711598400000,65950
2024-04-01 04:00:00,3416048.0,93.5822,94.16,93.53,94.44,93.17,1711944000000,51647
2024-04-02 04:00:00,5245570.0,92.9814,92.9,92.71,93.77,92.5401,1712030400000,61357
2024-04-03 04:00:00,4821141.0,93.3316,92.95,93.0,94.3,92.75,1712116800000,58166
2024-04-04 04:00:00,5466099.0,92.8145,94.2,92.28,94.735,91.86,1712203200000,74535
2024-04-05 04:00:00,4654937.0,92.5145,92.25,92.47,93.29,91.61,1712289600000,68421
2024-04-08 04:00:00,4601943.0,93.0773,93.0,93.21,93.4,92.2,1712548800000,60681
2024-04-09 04:00:00,4952411.0,93.7695,93.61,94.08,94.14,92.83,1712635200000,67967
2024-04-10 04:00:00,5994209.0,91.7521,92.27,91.65,92.89,91.18,1712721600000,82819
2024-04-11 04:00:00,24631768.0,87.5701,91.72,86.84,91.8,85.01,1712808000000,276469
2024-04-12 04:00:00,12789787.0,85.9753,85.8,86.19,86.81,85.12,1712894400000,155357
2024-04-15 04:00:00,9553914.0,87.2709,87.8,86.99,89.13,85.49,1713153600000,123937
2024-04-16 04:00:00,18291601.0,89.5313,90.71,89.14,91.1,88.0,1713240000000,218009
2024-04-17 04:00:00,9544640.0,90.3803,90.13,90.08,91.44,89.67,1713326400000,114312
2024-04-18 04:00:00,6751978.0,90.4331,90.66,90.26,91.11,89.74,1713412800000,83874
2024-04-19 04:00:00,8143003.0,90.9443,90.36,90.66,91.62,90.36,1713499200000,90402
2024-04-22 04:00:00,7294357.0,91.8806,91.11,92.09,92.66,90.705,1713758400000,78024
2024-04-23 04:00:00,6393943.0,93.513,92.16,93.76,94.05,92.16,1713844800000,81534
2024-04-24 04:00:00,5100898.0,93.6855,93.11,93.85,94.07,93.03,1713931200000,60414
2024-04-25 04:00:00,6770646.0,92.4121,93.0,92.56,93.65,91.65,1714017600000,67200
