date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,8226243.0,100.641,101.05,100.82,101.31,100.24,1705467600000,104358
2024-01-18 05:00:00,8852439.0,100.6796,101.0,100.94,101.425,100.07,1705554000000,97753
2024-01-19 05:00:00,8517208.0,101.1996,101.02,101.78,102.18,99.67,1705640400000,98364
2024-01-22 05:00:00,9897443.0,100.6889,101.75,100.56,101.81,100.09,1705899600000,106786
2024-01-23 05:00:00,8208026.0,101.7247,101.63,101.9,102.14,101.23,1705986000000,91805
2024-01-24 05:00:00,7879315.0,101.1608,101.78,100.76,101.8,100.69,1706072400000,101247
2024-01-25 05:00:00,10063746.0,100.6917,101.53,100.77,101.74,100.09,1706158800000,111722
2024-01-26 05:00:00,9735779.0,102.6245,101.57,102.75,103.27,101.22,1706245200000,107678
2024-01-29 05:00:00,8860834.0,102.9331,102.88,103.88,104.01,101.34,1706504400000,96286
2024-01-30 05:00:00,7542837.0,103.8315,103.34,104.18,104.31,103.13,1706590800000,83550
2024-01-31 05:00:00,11547638.0,102.3098,104.09,101.53,104.3,101.12,1706677200000,138166
2024-02-01 05:00:00,7666694.0,101.4397,101.9,101.76,102.2494,100.61,1706763600000,97571
2024-02-02 05:00:00,8966927.0,100.5095,100.88,100.71,101.4099,99.43,1706850000000,114138
2024-02-05 05:00:00,10097935.0,99.6312,100.5,99.68,100.59,99.0531,1707109200000,125631
2024-02-06 05:00:00,11372407.0,101.9817,99.5,102.61,102.63,99.13,1707195600000,113900
2024-02-07 05:00:00,9447765.0,103.6547,102.39,103.79,104.34,102.35,1707282000000,95660
2024-02-08 05:00:00,6330409.0,103.8438,104.43,103.77,104.96,103.045,1707368400000,88815
2024-02-09 05:00:00,5449022.0,104.2184,103.8,104.5,104.94,103.33,1707454800000,71367
2024-02-12 05:00:00,7501946.0,106.7353,104.74,107.18,107.43,104.645,1707714000000,91686
2024-02-13 05:00:00,6180509.0,104.9838,104.99,105.0,105.8,104.245,1707800400000,93603
2024-02-14 05:00:00,5743277.0,105.5523,104.82,106.33,106.42,104.46,1707886800000,77840
2024-02-15 05:00:00,7201273.0,106.4341,107.02,106.05,107.34,105.83,1707973200000,95221
2024-02-16 05:00:00,14590128.0,102.8544,104.63,103.51,104.7,101.65,1708059600000,147404
2024-02-20 05:00:00,8759480.0,103.0935,103.13,103.3,103.84,102.17,1708405200000,102090
2024-02-21 05:00:00,8893514.0,104.6613,103.35,105.27,105.52,102.93,1708491600000,118224
2024-02-22 05:00:00,6705491.0,104.7697,105.8,105.08,106.01,104.08,1708578000000,92115
2024-02-23 05:00:00,6947285.0,105.7804,105.26,105.63,106.62,105.19,1708664400000,83622
2024-02-26 05:00:00,5831480.0,104.7906,105.31,104.54,106.1,103.76,1708923600000,78373
2024-02-27 05:00:00,5317417.0,104.5993,104.83,105.15,105.245,103.99,1709010000000,79824
2024-02-28 05:00:00,4219844.0,104.6012,104.1,104.35,105.44,103.7,1709096400000,65987
2024-02-29 05:00:00,10811634.0,104.1349,104.98,103.93,105.57,103.68,1709182800000,94943
2024-03-01 05:00:00,7349270.0,102.3244,103.87,101.88,103.94,101.83,1709269200000,102943
2024-03-04 05:00:00,11050914.0,99.8236,101.65,99.54,101.77,99.01,1709528400000,148661
2024-03-05 05:00:00,8670642.0,98.5762,99.0,98.31,99.17,98.0,1709614800000,114880
2024-03-06 05:00:00,10045284.0,97.9694,100.0,97.63,100.1,97.06,1709701200000,121093
2024-03-07 05:00:00,8133866.0,98.0847,97.99,98.19,98.4,97.68,1709787600000,92316
2024-03-08 05:00:00,9043458.0,98.7874,98.49,99.16,99.315,98.02,1709874000000,91678
2024-03-11 04:00:00,8537402.0,101.1542,99.9,101.08,101.76,99.44,1710129600000,107542
2024-03-12 04:00:00,7040889.0,100.4116,100.79,100.18,101.365,99.65,1710216000000,85533
