date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,12283524.0,56.0816,56.19,56.47,56.65,55.53,1705554000000,102750
2024-01-19 05:00:00,9597273.0,56.1748,56.23,56.42,56.42,55.82,1705640400000,84496
2024-01-22 05:00:00,8047506.0,56.5967,56.42,56.74,56.97,55.938,1705899600000,70513
2024-01-23 05:00:00,6337459.0,56.7419,56.51,56.73,57.1563,56.51,1705986000000,58855
2024-01-24 05:00:00,7615364.0,57.1299,57.09,57.31,57.435,56.785,1706072400000,68420
2024-01-25 05:00:00,9611691.0,57.6114,57.75,58.01,58.06,56.95,1706158800000,84323
2024-01-26 05:00:00,7102831.0,58.1278,58.23,58.4,58.43,57.54,1706245200000,64548
2024-01-29 05:00:00,7175765.0,58.0036,58.35,58.22,58.42,57.61,1706504400000,65725
2024-01-30 05:00:00,8337535.0,58.5563,57.75,58.9,58.99,57.75,1706590800000,77286
2024-01-31 05:00:00,8941945.0,57.9278,58.79,57.57,58.86,57.56,1706677200000,80290
2024-02-01 05:00:00,11277684.0,57.4884,57.91,57.32,58.11,56.915,1706763600000,100936
2024-02-02 05:00:00,8412426.0,57.151,57.26,57.04,57.5498,56.73,1706850000000,80757
2024-02-05 05:00:00,10196943.0,56.7819,56.82,56.98,57.34,56.07,1707109200000,92786
2024-02-06 05:00:00,9089078.0,57.8238,57.39,57.57,58.405,57.15,1707195600000,80200
2024-02-07 05:00:00,8044992.0,57.4938,57.61,57.62,58.02,57.07,1707282000000,69563
2024-02-08 05:00:00,7706500.0,57.9882,57.77,58.05,58.295,57.555,1707368400000,68253
2024-02-09 05:00:00,8114632.0,57.6424,58.21,57.47,58.3495,57.24,1707454800000,70950
2024-02-12 05:00:00,8878229.0,58.0711,57.53,58.03,58.495,57.5,1707714000000,80549
2024-02-13 05:00:00,10324721.0,57.4683,57.97,57.61,58.16,57.03,1707800400000,96867
2024-02-14 05:00:00,12516621.0,57.4685,57.8,57.3,58.325,57.06,1707886800000,106664
2024-02-15 05:00:00,21966024.0,59.2954,57.45,60.11,60.14,57.38,1707973200000,183128
2024-02-16 05:00:00,13471990.0,60.4998,60.38,60.52,60.875,60.08,1708059600000,112141
2024-02-20 05:00:00,16896771.0,59.6032,60.53,59.56,60.53,59.15,1708405200000,138462
2024-02-21 05:00:00,10314298.0,60.0787,59.57,60.47,60.53,59.33,1708491600000,94819
2024-02-22 05:00:00,9369267.0,60.4584,60.19,60.53,60.87,59.82,1708578000000,95887
2024-02-23 05:00:00,7789933.0,59.9206,60.0,60.02,60.225,59.45,1708664400000,72334
2024-02-26 05:00:00,8510033.0,60.4387,59.7,60.47,60.76,59.57,1708923600000,79286
2024-02-27 05:00:00,7051794.0,60.6379,60.93,60.6,60.99,60.17,1709010000000,66324
2024-02-28 05:00:00,7838173.0,60.5403,60.5,60.26,61.29,60.23,1709096400000,66447
2024-02-29 05:00:00,7574390.0,60.5646,60.44,60.61,60.875,60.06,1709182800000,59615
2024-03-01 05:00:00,7662004.0,61.2991,60.975,61.36,61.595,60.8247,1709269200000,70492
2024-03-04 05:00:00,6359330.0,60.8831,61.55,60.68,61.64,60.54,1709528400000,66683
2024-03-05 05:00:00,6543015.0,60.7903,60.43,60.58,61.135,60.01,1709614800000,63123
2024-03-06 05:00:00,7919105.0,61.2517,61.3,61.09,61.67,60.75,1709701200000,72322
2024-03-07 05:00:00,7403258.0,60.9913,60.71,61.05,61.3899,60.66,1709787600000,68679
