date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2698288.0,58.195,58.44,58.33,58.595,57.81,1705554000000,32095
2024-01-19 05:00:00,2802574.0,58.4141,58.62,58.55,58.64,57.97,1705640400000,28547
2024-01-22 05:00:00,2285194.0,58.1746,58.21,58.03,58.8,57.98,1705899600000,26350
2024-01-23 05:00:00,2034697.0,58.0525,57.89,58.15,58.24,57.725,1705986000000,25101
2024-01-24 05:00:00,2664001.0,57.1934,58.43,56.98,58.48,56.85,1706072400000,30393
2024-01-25 05:00:00,3079401.0,57.3038,57.35,57.47,57.59,56.91,1706158800000,39859
2024-01-26 05:00:00,1678034.0,57.6149,57.71,57.67,57.87,57.35,1706245200000,25922
2024-01-29 05:00:00,1992673.0,57.8821,57.63,58.02,58.21,57.25,1706504400000,23873
2024-01-30 05:00:00,1874777.0,58.1121,57.89,58.25,58.515,57.6001,1706590800000,28828
2024-01-31 05:00:00,2787158.0,58.206,58.7,57.99,58.99,57.69,1706677200000,28117
2024-02-01 05:00:00,2304139.0,58.5653,57.68,59.03,59.03,57.34,1706763600000,28856
2024-02-02 05:00:00,3219526.0,58.24,58.49,58.2,58.71,57.61,1706850000000,31768
2024-02-05 05:00:00,4118261.0,58.202,57.69,58.2,58.86,57.24,1707109200000,37353
2024-02-06 05:00:00,3858171.0,58.9262,58.06,58.98,59.27,57.93,1707195600000,40618
2024-02-07 05:00:00,3738803.0,58.9411,59.13,59.01,59.27,58.555,1707282000000,33051
2024-02-08 05:00:00,2792888.0,58.0065,58.67,58.2,58.785,57.53,1707368400000,33852
2024-02-09 05:00:00,1436493.0,58.3093,58.03,58.42,58.62,57.83,1707454800000,20682
2024-02-12 05:00:00,1975423.0,59.1108,58.41,59.33,59.37,58.205,1707714000000,27242
2024-02-13 05:00:00,2325614.0,58.2251,59.0,58.55,59.35,57.4,1707800400000,37346
2024-02-14 05:00:00,2788336.0,58.8452,58.6,58.77,59.18,58.45,1707886800000,30780
2024-02-15 05:00:00,2639675.0,59.4769,59.07,59.6,59.86,58.96,1707973200000,27794
2024-02-16 05:00:00,2411559.0,59.7832,59.3,59.79,60.1,59.02,1708059600000,27742
2024-02-20 05:00:00,2225359.0,60.1033,59.87,60.11,60.59,59.58,1708405200000,28222
2024-02-21 05:00:00,2725928.0,60.9295,60.52,61.14,61.155,60.2,1708491600000,30420
2024-02-22 05:00:00,3221247.0,60.3868,60.55,60.37,60.66,60.09,1708578000000,31365
2024-02-23 05:00:00,2624856.0,60.7743,60.62,60.75,61.0,60.37,1708664400000,28072
2024-02-26 05:00:00,3174826.0,59.6702,60.57,59.64,60.57,59.29,1708923600000,36241
2024-02-27 05:00:00,4075608.0,61.3874,59.99,61.58,62.09,59.67,1709010000000,44356
2024-02-28 05:00:00,3925482.0,62.4381,61.59,62.63,62.69,61.36,1709096400000,36912
2024-02-29 05:00:00,4493953.0,62.4557,62.87,62.4,63.12,62.13,1709182800000,32154
2024-03-01 05:00:00,4148244.0,62.2413,62.24,62.24,62.52,61.48,1709269200000,33227
2024-03-04 05:00:00,3236818.0,62.9384,62.03,63.36,63.52,61.985,1709528400000,33854
2024-03-05 05:00:00,3883611.0,64.4106,63.74,64.21,65.27,63.58,1709614800000,46605
2024-03-06 05:00:00,3039027.0,64.7482,64.64,64.89,64.965,64.23,1709701200000,35760
2024-03-07 05:00:00,3531194.0,65.1106,65.23,65.26,65.38,64.54,1709787600000,39658
2024-03-08 05:00:00,3429824.0,64.4615,65.5,64.26,65.59,64.125,1709874000000,39289
2024-03-11 04:00:00,2571504.0,64.677,64.32,64.95,65.24,63.93,1710129600000,31623
2024-03-12 04:00:00,2146294.0,64.0714,64.52,64.01,64.75,63.61,1710216000000,28394
2024-03-13 04:00:00,2515831.0,64.0753,64.25,63.93,64.62,63.86,1710302400000,30941
2024-03-14 04:00:00,2298917.0,63.8136,64.18,63.99,64.18,63.4,1710388800000,32895
2024-03-15 04:00:00,5536437.0,63.8425,63.8,63.78,64.61,63.59,1710475200000,36855
2024-03-18 04:00:00,2856382.0,63.8949,63.49,64.03,64.05,63.31,1710734400000,25199
2024-03-19 04:00:00,2319012.0,64.0497,64.31,64.07,64.43,63.7,1710820800000,27518
2024-03-20 04:00:00,3396004.0,63.9755,63.81,63.89,64.53,63.54,1710907200000,24326
2024-03-21 04:00:00,2588316.0,64.0046,64.2,63.84,64.47,63.68,1710993600000,30695
2024-03-22 04:00:00,3913493.0,64.8878,64.33,65.03,65.36,64.27,1711080000000,34628
2024-03-25 04:00:00,3792355.0,65.1307,65.12,65.32,65.36,64.53,1711339200000,36164
2024-03-26 04:00:00,3871663.0,65.6088,65.38,65.51,66.18,65.13,1711425600000,39740
2024-03-27 04:00:00,3376809.0,66.3731,66.21,66.65,66.65,65.86,1711512000000,30901
2024-03-28 04:00:00,3051423.0,66.7577,66.68,66.78,67.02,66.425,1711598400000,28879
2024-04-01 04:00:00,2973167.0,66.4995,66.53,66.64,66.73,65.78,1711944000000,30602
2024-04-02 04:00:00,3831847.0,66.8269,66.48,66.42,67.51,66.35,1712030400000,39331
2024-04-03 04:00:00,3776991.0,66.6697,66.42,66.64,66.87,66.02,1712116800000,44821
2024-04-04 04:00:00,2550357.0,66.3742,67.15,66.11,67.24,65.79,1712203200000,30414
2024-04-05 04:00:00,1892460.0,66.2457,65.8,66.52,66.655,65.445,1712289600000,24903
2024-04-08 04:00:00,1852099.0,66.7927,66.48,66.79,67.14,66.18,1712548800000,28882
2024-04-09 04:00:00,2886584.0,67.0347,67.08,67.2,67.41,66.64,1712635200000,31755
2024-04-10 04:00:00,3182062.0,66.3956,66.14,66.57,66.69,65.85,1712721600000,40519
2024-04-11 04:00:00,1883626.0,66.3862,66.99,66.45,66.99,66.0,1712808000000,26170
2024-04-12 04:00:00,2016987.0,66.0132,66.47,65.87,66.86,65.8,1712894400000,25775
2024-04-15 04:00:00,1734865.0,65.353,66.42,65.2,66.54,64.96,1713153600000,23721
2024-04-16 04:00:00,2226231.0,64.3484,65.03,64.28,65.065,64.03,1713240000000,28877
2024-04-17 04:00:00,2147320.0,64.9394,64.75,65.03,65.29,64.4,1713326400000,26733
2024-04-18 04:00:00,2150611.0,65.0874,65.23,65.1,65.5,64.81,1713412800000,29405
2024-04-19 04:00:00,2954828.0,65.6671,65.27,65.74,65.92,65.26,1713499200000,34223
2024-04-22 04:00:00,2685145.0,66.5995,65.78,66.71,67.07,65.63,1713758400000,33413
2024-04-23 04:00:00,2178821.0,66.5721,66.53,66.49,67.22,66.29,1713844800000,29881
2024-04-24 04:00:00,3465791.0,67.0955,65.92,67.23,67.34,65.36,1713931200000,31664
2024-04-25 04:00:00,2527257.0,67.8574,67.01,68.09,68.305,66.6,1714017600000,34618
2024-04-26 04:00:00,2973057.0,68.0129,68.13,67.82,68.39,67.66,1714104000000,32141
2024-04-29 04:00:00,2930333.0,68.628,68.11,68.64,68.87,68.07,1714363200000,33539
2024-04-30 04:00:00,4890627.0,69.0414,67.54,69.08,69.79,66.5748,1714449600000,52783
2024-05-01 04:00:00,4809982.0,69.6319,68.87,69.81,70.46,68.285,1714536000000,51934
2024-05-02 04:00:00,3572846.0,69.8962,69.91,70.02,70.21,69.465,1714622400000,43168
2024-05-03 04:00:00,2393470.0,70.3015,70.48,70.45,70.54,69.71,1714708800000,34415
2024-05-06 04:00:00,2064483.0,71.039,70.65,71.34,71.41,70.28,1714968000000,30732
2024-05-07 04:00:00,3912883.0,71.8373,71.99,71.98,72.215,71.51,1715054400000,36010
2024-05-08 04:00:00,3921747.0,72.4236,71.8,72.56,72.93,71.49,1715140800000,44479
2024-05-09 04:00:00,2294415.0,73.2779,72.56,73.6,73.65,72.38,1715227200000,32583
2024-05-10 04:00:00,3060694.0,73.9261,73.74,74.01,74.365,73.48,1715313600000,39602
2024-05-13 04:00:00,2838617.0,73.7466,74.02,73.49,74.49,73.39,1715572800000,34799
2024-05-14 04:00:00,1879964.0,73.5814,73.82,73.74,73.95,73.17,1715659200000,31879
2024-05-15 04:00:00,2343995.0,74.482,74.46,74.45,74.72,74.095,1715745600000,38000
2024-05-16 04:00:00,2090066.0,74.4968,74.52,74.22,75.12,74.07,1715832000000,24928
2024-05-17 04:00:00,1906719.0,74.4975,74.39,74.54,74.74,73.81,1715918400000,23523
2024-05-20 04:00:00,2125432.0,74.312,74.54,74.31,74.6,74.08,1716177600000,28545
2024-05-21 04:00:00,1640297.0,74.8363,74.32,75.15,75.17,74.25,1716264000000,21307
2024-05-22 04:00:00,2520106.0,74.4584,74.64,74.33,75.05,74.15,1716350400000,29694
2024-05-23 04:00:00,2147375.0,73.6282,74.15,73.55,74.32,73.3,1716436800000,33800
2024-05-24 04:00:00,3021577.0,74.6581,73.9,75.04,75.07,73.468,1716523200000,33861
2024-05-28 04:00:00,2042350.0,74.6436,75.07,74.54,75.38,74.41,1716868800000,27366
2024-05-29 04:00:00,2268258.0,73.4602,73.94,73.2,74.34,73.16,1716955200000,28441
2024-05-30 04:00:00,2422959.0,73.8087,73.46,73.91,74.2,73.21,1717041600000,26560
2024-05-31 04:00:00,6511990.0,75.4757,74.21,75.76,75.82,74.03,1717128000000,36697
2024-06-03 04:00:00,2980415.0,74.8421,75.51,74.54,75.79,74.46,1717387200000,31092
2024-06-04 04:00:00,2757991.0,74.4053,74.39,74.34,74.89,73.67,1717473600000,32784
2024-06-05 04:00:00,2424391.0,74.8036,74.11,74.86,75.22,73.83,1717560000000,30615
2024-06-06 04:00:00,1596852.0,74.3413,74.69,74.44,74.8,73.97,1717646400000,23573
2024-06-07 04:00:00,1929633.0,73.08,73.19,72.88,73.56,72.54,1717732800000,26572
2024-06-10 04:00:00,1853372.0,73.3858,72.84,73.44,73.66,72.64,1717992000000,29867
