date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,743380.0,167.148,166.2,167.75,167.8,165.99,1705554000000,15777
2024-01-19 05:00:00,1487546.0,168.5258,168.08,168.68,169.15,167.64,1705640400000,22207
2024-01-22 05:00:00,927971.0,168.7403,168.7,168.83,169.27,167.51,1705899600000,19700
2024-01-23 05:00:00,1109208.0,169.4833,168.68,169.82,169.87,168.01,1705986000000,19634
2024-01-24 05:00:00,2188879.0,169.7179,170.0,169.34,170.375,169.2,1706072400000,32335
2024-01-25 05:00:00,1506343.0,169.6878,168.72,170.28,170.37,168.58,1706158800000,29231
2024-01-26 05:00:00,1298199.0,171.0471,170.59,171.29,171.36,170.35,1706245200000,21684
2024-01-29 05:00:00,1257338.0,171.2607,171.1,171.47,171.74,170.58,1706504400000,22219
2024-01-30 05:00:00,967976.0,172.5925,171.77,172.88,172.96,171.31,1706590800000,22055
2024-01-31 05:00:00,2427372.0,171.2947,173.51,171.12,173.55,170.47,1706677200000,24855
2024-02-01 05:00:00,982650.0,173.0937,170.72,173.83,173.86,169.8267,1706763600000,21868
2024-02-02 05:00:00,801200.0,173.6437,173.91,173.66,174.46,172.79,1706850000000,17891
2024-02-05 05:00:00,832383.0,173.4249,173.46,173.25,174.12,172.68,1707109200000,18941
2024-02-06 05:00:00,1009219.0,173.233,173.41,173.68,173.75,172.49,1707195600000,21128
2024-02-07 05:00:00,967264.0,174.516,174.15,174.56,175.35,173.215,1707282000000,20209
2024-02-08 05:00:00,1131556.0,174.4776,175.01,174.64,175.065,173.09,1707368400000,22547
2024-02-09 05:00:00,1006397.0,173.5066,175.01,173.49,175.07,172.79,1707454800000,20108
2024-02-12 05:00:00,1172652.0,171.7961,172.95,172.0,173.2119,171.06,1707714000000,24095
2024-02-13 05:00:00,1828412.0,175.5283,173.21,175.61,176.54,172.23,1707800400000,38127
2024-02-14 05:00:00,2308902.0,177.8629,176.32,178.74,178.78,176.3,1707886800000,43251
2024-02-15 05:00:00,1441748.0,179.0151,178.5,179.86,179.98,177.026,1707973200000,25031
2024-02-16 05:00:00,902825.0,180.5844,180.2,180.43,181.34,179.48,1708059600000,19719
2024-02-20 05:00:00,1283592.0,180.7192,181.41,180.01,182.27,179.83,1708405200000,24727
2024-02-21 05:00:00,1074644.0,181.1113,180.01,181.36,181.52,179.62,1708491600000,17577
2024-02-22 05:00:00,1072068.0,183.0009,181.79,183.33,183.99,181.18,1708578000000,19220
2024-02-23 05:00:00,1233215.0,184.835,183.59,184.98,185.315,183.53,1708664400000,18243
2024-02-26 05:00:00,1468916.0,185.3228,185.33,184.87,186.2,184.7,1708923600000,23837
2024-02-27 05:00:00,1324613.0,184.563,184.71,184.52,184.935,183.33,1709010000000,24895
2024-02-28 05:00:00,2064241.0,186.5792,192.57,185.95,192.57,184.49,1709096400000,39568
2024-02-29 05:00:00,1933845.0,183.5921,185.0,183.6,185.15,182.755,1709182800000,30732
2024-03-01 05:00:00,1258601.0,183.305,182.9,183.64,184.07,182.04,1709269200000,25475
2024-03-04 05:00:00,914477.0,184.5877,183.67,184.94,185.22,183.48,1709528400000,23576
2024-03-05 05:00:00,1008895.0,183.5997,185.0,183.76,185.58,182.57,1709614800000,22991
2024-03-06 05:00:00,1081712.0,183.9848,183.12,183.8,184.74,182.75,1709701200000,20864
2024-03-07 05:00:00,925613.0,184.0602,184.8,184.0,184.88,183.4,1709787600000,17281
2024-03-08 05:00:00,816062.0,184.1892,183.39,184.19,184.72,182.77,1709874000000,18042
2024-03-11 04:00:00,1037644.0,184.0557,184.0,184.27,184.53,182.82,1710129600000,17922
2024-03-12 04:00:00,974299.0,185.3658,184.1,185.44,186.1,183.88,1710216000000,21898
2024-03-13 04:00:00,795340.0,185.5528,185.67,185.89,186.03,184.23,1710302400000,17705
2024-03-14 04:00:00,880008.0,185.7891,186.54,186.33,186.78,184.42,1710388800000,19345
2024-03-15 04:00:00,1790581.0,185.9381,184.42,186.31,186.61,184.39,1710475200000,22394
2024-03-18 04:00:00,788609.0,187.5103,186.31,187.58,188.16,186.28,1710734400000,16044
2024-03-19 04:00:00,1097229.0,188.0147,188.28,188.15,188.48,187.455,1710820800000,16864
2024-03-20 04:00:00,1193090.0,187.8748,188.51,187.8,188.66,187.2823,1710907200000,14906
2024-03-21 04:00:00,2009930.0,188.8432,187.98,189.12,189.4,187.3,1710993600000,28063
2024-03-22 04:00:00,1239190.0,189.9415,189.75,190.51,190.72,188.97,1711080000000,23927
2024-03-25 04:00:00,1112074.0,189.7624,190.45,189.73,190.6,188.9975,1711339200000,18873
2024-03-26 04:00:00,1316692.0,189.8375,189.73,189.69,190.42,189.33,1711425600000,22250
2024-03-27 04:00:00,1228289.0,190.7763,190.325,191.52,191.57,189.7,1711512000000,22971
2024-03-28 04:00:00,1187601.0,191.5455,191.88,191.44,192.06,191.02,1711598400000,22098
2024-04-01 04:00:00,1473420.0,189.9068,190.69,189.83,190.86,189.27,1711944000000,19810
2024-04-02 04:00:00,1171019.0,189.3987,189.64,188.92,190.33,188.92,1712030400000,25707
2024-04-03 04:00:00,1051484.0,189.1033,188.86,189.24,189.64,188.42,1712116800000,22550
2024-04-04 04:00:00,1605522.0,187.7653,190.18,186.78,190.46,186.43,1712203200000,26364
2024-04-05 04:00:00,735631.0,188.0432,187.48,188.4,188.48,186.38,1712289600000,19798
2024-04-08 04:00:00,1222049.0,188.5911,187.62,188.52,189.26,187.52,1712548800000,26247
2024-04-09 04:00:00,1175053.0,188.7115,188.97,188.8,189.36,187.5,1712635200000,23457
2024-04-10 04:00:00,1411961.0,189.4713,188.0,189.69,190.14,187.623,1712721600000,27782
2024-04-11 04:00:00,1260415.0,188.936,189.06,189.18,189.51,187.78,1712808000000,22920
2024-04-12 04:00:00,1006400.0,187.9809,188.79,187.82,189.35,187.03,1712894400000,22993
2024-04-15 04:00:00,961928.0,187.7015,189.41,187.24,189.91,186.74,1713153600000,20961
2024-04-16 04:00:00,1479865.0,187.7776,188.45,187.48,188.98,186.96,1713240000000,25023
2024-04-17 04:00:00,1460680.0,188.1447,188.62,188.95,189.15,187.1,1713326400000,31576
2024-04-18 04:00:00,1586288.0,188.921,189.08,188.97,189.83,188.175,1713412800000,27446
2024-04-19 04:00:00,1576417.0,189.703,190.25,189.76,190.67,188.85,1713499200000,30267
2024-04-22 04:00:00,1262728.0,191.7265,190.59,191.76,192.75,190.22,1713758400000,24961
2024-04-23 04:00:00,1348401.0,191.2565,192.31,190.61,192.99,190.03,1713844800000,29809
2024-04-24 04:00:00,1135805.0,191.849,190.46,191.99,192.59,190.15,1713931200000,26321
2024-04-25 04:00:00,1358445.0,192.6336,191.68,193.56,193.82,190.61,1714017600000,30160
2024-04-26 04:00:00,1893272.0,192.6847,193.42,191.92,193.68,191.58,1714104000000,32926
2024-04-29 04:00:00,1181282.0,193.1868,191.82,193.41,193.62,191.73,1714363200000,26533
2024-04-30 04:00:00,2047935.0,192.336,193.46,191.7,196.76,191.57,1714449600000,35854
2024-05-01 04:00:00,3286470.0,185.0562,187.75,186.0,187.75,181.365,1714536000000,58325
2024-05-02 04:00:00,2025722.0,186.3352,187.25,186.44,188.0,185.66,1714622400000,35792
2024-05-03 04:00:00,1219295.0,185.3954,186.64,185.51,187.8,183.93,1714708800000,28921
2024-05-06 04:00:00,1185060.0,186.3212,186.14,186.71,186.72,185.43,1714968000000,25177
2024-05-07 04:00:00,1097651.0,188.0956,187.39,188.56,188.67,187.2,1715054400000,29025
2024-05-08 04:00:00,1489073.0,187.9487,188.58,187.33,189.32,187.15,1715140800000,29774
2024-05-09 04:00:00,954226.0,187.9385,187.3,188.13,188.26,187.06,1715227200000,21454
2024-05-10 04:00:00,689898.0,189.3606,188.81,189.24,189.88,188.79,1715313600000,19376
2024-05-13 04:00:00,839046.0,188.3626,189.11,188.23,189.8259,188.025,1715572800000,20388
2024-05-14 04:00:00,804061.0,187.7403,188.22,187.34,189.22,187.23,1715659200000,19605
2024-05-15 04:00:00,670713.0,187.0913,187.1,186.97,188.25,186.535,1715745600000,22237
2024-05-16 04:00:00,907724.0,187.4821,187.5,187.7,187.96,186.31,1715832000000,21251
2024-05-17 04:00:00,711695.0,187.8663,188.01,188.16,188.63,186.36,1715918400000,17848
2024-05-20 04:00:00,908494.0,186.3236,187.93,185.98,187.93,185.7,1716177600000,20298
2024-05-21 04:00:00,718681.0,186.3846,186.28,186.48,186.8144,185.79,1716264000000,18911
2024-05-22 04:00:00,694557.0,186.6534,186.52,186.77,187.0,185.57,1716350400000,17731
2024-05-23 04:00:00,605306.0,186.3619,186.77,186.33,187.13,185.88,1716436800000,16978
2024-05-24 04:00:00,832829.0,186.5594,186.75,186.81,186.99,184.86,1716523200000,15828
2024-05-28 04:00:00,866689.0,183.9677,186.17,183.51,186.17,183.34,1716868800000,20477
2024-05-29 04:00:00,787180.0,181.9323,182.82,181.59,182.82,181.44,1716955200000,22863
2024-05-30 04:00:00,1210001.0,182.0802,181.59,182.07,182.79,180.915,1717041600000,23359
2024-05-31 04:00:00,2388027.0,184.2359,181.94,185.19,185.25,181.51,1717128000000,31738
2024-06-03 04:00:00,1668717.0,185.1327,184.67,185.32,186.05,183.805,1717387200000,28757
2024-06-04 04:00:00,1428306.0,186.673,185.26,187.36,187.41,184.5,1717473600000,24205
2024-06-05 04:00:00,1173397.0,187.8424,187.59,188.07,188.41,185.43,1717560000000,20758
2024-06-06 04:00:00,871726.0,187.1299,188.31,187.07,188.86,185.99,1717646400000,21474
2024-06-07 04:00:00,883144.0,187.6737,187.46,186.95,189.28,186.63,1717732800000,20425
2024-06-10 04:00:00,585484.0,187.557,186.88,187.72,188.13,186.61,1717992000000,16382
2024-06-11 04:00:00,770228.0,186.6833,187.18,186.65,187.63,185.69,1718078400000,19017
2024-06-12 04:00:00,781943.0,186.987,186.15,187.27,187.69,185.07,1718164800000,18707
2024-06-13 04:00:00,701405.0,186.8019,187.18,187.43,187.58,185.11,1718251200000,16832
2024-06-14 04:00:00,653923.0,188.0868,186.64,188.64,188.8,186.01,1718337600000,16737
2024-06-17 04:00:00,1014373.0,191.2186,188.22,191.69,192.1399,188.14,1718596800000,19712
2024-06-18 04:00:00,771755.0,191.6846,191.59,191.85,192.3,190.71,1718683200000,19390
2024-06-20 04:00:00,815111.0,191.7193,191.56,191.83,192.3799,190.66,1718856000000,19479
2024-06-21 04:00:00,1305927.0,191.9034,192.32,191.85,192.32,191.35,1718942400000,18240
2024-06-24 04:00:00,770330.0,194.3792,192.575,194.66,194.84,192.04,1719201600000,22274
2024-06-25 04:00:00,1129291.0,194.518,194.8,194.5,195.28,193.89,1719288000000,21111
2024-06-26 04:00:00,1495780.0,194.066,193.45,194.09,194.92,193.16,1719374400000,20686
2024-06-27 04:00:00,707405.0,194.8079,194.68,194.82,195.37,194.1545,1719460800000,21090
2024-06-28 04:00:00,4550519.0,194.4413,194.94,194.34,195.81,194.065,1719547200000,29458
2024-07-01 04:00:00,1427729.0,193.1243,194.82,192.88,195.07,192.1,1719806400000,21754
2024-07-02 04:00:00,1653366.0,192.9901,192.23,193.16,193.57,191.54,1719892800000,20967
2024-07-03 04:00:00,713290.0,193.4932,193.52,193.54,193.925,192.675,1719979200000,13039
2024-07-05 04:00:00,2240903.0,194.5304,194.0,194.89,195.11,192.4304,1720152000000,23176
2024-07-08 04:00:00,1362573.0,195.3233,195.15,195.29,196.12,194.92,1720411200000,20451
2024-07-09 04:00:00,577221.0,195.1539,195.0,195.32,195.78,194.0718,1720497600000,13412
2024-07-10 04:00:00,923204.0,196.3824,195.78,196.88,197.0652,194.83,1720584000000,16958
2024-07-11 04:00:00,1213780.0,198.6682,197.35,198.7,199.37,197.15,1720670400000,21793
2024-07-12 04:00:00,893809.0,200.4767,199.31,200.25,201.34,199.0583,1720756800000,18187
2024-07-15 04:00:00,1082176.0,201.0499,200.5,201.19,201.55,200.12,1721016000000,20107
2024-07-16 04:00:00,953276.0,203.6838,201.72,204.18,204.25,201.23,1721102400000,20536
