date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6594835.0,85.5418,85.05,85.47,85.835,84.8,1705554000000,70647
2024-01-19 05:00:00,7509583.0,85.4017,85.59,85.53,85.795,84.43,1705640400000,75460
2024-01-22 05:00:00,14052785.0,85.3405,85.81,85.02,86.18,85.01,1705899600000,86174
2024-01-23 05:00:00,19434790.0,90.3142,88.23,89.55,92.38,87.96,1705986000000,193637
2024-01-24 05:00:00,12872302.0,89.4704,89.63,89.49,90.05,88.7001,1706072400000,86702
2024-01-25 05:00:00,10584566.0,90.643,90.25,90.94,91.105,89.58,1706158800000,91768
2024-01-26 05:00:00,5987388.0,90.4902,90.69,90.41,91.22,90.14,1706245200000,61689
2024-01-29 05:00:00,8488668.0,90.0948,90.44,90.08,90.68,89.695,1706504400000,68603
2024-01-30 05:00:00,9073470.0,90.6806,90.16,90.6,91.09,90.06,1706590800000,64958
2024-01-31 05:00:00,5560704.0,91.3641,90.86,91.12,91.86,90.69,1706677200000,70303
2024-02-01 05:00:00,13827110.0,92.0385,91.7,92.17,92.175,90.76,1706763600000,69783
2024-02-02 05:00:00,6067767.0,92.1183,92.24,91.98,92.6981,91.445,1706850000000,64081
2024-02-05 05:00:00,6764610.0,92.0591,91.26,92.24,92.65,90.89,1707109200000,71097
2024-02-06 05:00:00,4718194.0,92.1673,91.45,92.28,92.6689,91.19,1707195600000,56590
2024-02-07 05:00:00,4625195.0,92.1783,92.58,91.93,92.81,91.82,1707282000000,58148
2024-02-08 05:00:00,6197734.0,91.3003,91.85,91.04,92.39,90.925,1707368400000,71799
2024-02-09 05:00:00,5948143.0,90.7326,91.13,90.51,91.61,90.33,1707454800000,73724
2024-02-12 05:00:00,5483718.0,91.1679,90.51,91.14,91.91,90.23,1707714000000,65042
2024-02-13 05:00:00,6039818.0,90.454,91.2,90.59,91.72,89.855,1707800400000,76972
2024-02-14 05:00:00,6677948.0,91.2912,90.96,91.39,91.6,90.86,1707886800000,77412
2024-02-15 05:00:00,5267320.0,91.771,91.41,91.79,92.25,91.3,1707973200000,57531
2024-02-16 05:00:00,4949835.0,91.337,91.35,91.01,92.09,90.95,1708059600000,55507
2024-02-20 05:00:00,6023727.0,91.2445,91.5,90.98,92.29,90.58,1708405200000,67403
2024-02-21 05:00:00,13187606.0,90.3798,90.97,90.21,91.45,90.005,1708491600000,77988
2024-02-22 05:00:00,7600142.0,89.5427,89.72,89.53,89.83,88.9,1708578000000,81573
2024-02-23 05:00:00,5809998.0,89.9799,89.5,90.01,90.49,89.29,1708664400000,63277
2024-02-26 05:00:00,5293524.0,90.4104,90.06,90.02,90.85,89.93,1708923600000,62116
2024-02-27 05:00:00,4853902.0,90.1356,90.03,90.42,90.48,89.45,1709010000000,58749
2024-02-28 05:00:00,5626184.0,90.2772,90.41,89.92,91.25,89.535,1709096400000,61488
2024-02-29 05:00:00,5874755.0,89.7575,90.41,89.67,90.56,89.25,1709182800000,57541
2024-03-01 05:00:00,13566588.0,89.7249,89.72,89.8,90.04,88.95,1709269200000,71427
2024-03-04 05:00:00,6926119.0,89.6774,90.09,89.91,90.14,89.14,1709528400000,76516
2024-03-05 05:00:00,6747598.0,90.1305,89.71,90.06,90.86,89.6013,1709614800000,69710
2024-03-06 05:00:00,5563776.0,90.2934,89.86,90.26,90.745,89.74,1709701200000,64753
2024-03-07 05:00:00,6778571.0,90.6099,90.53,90.55,91.24,90.03,1709787600000,63362
2024-03-08 05:00:00,5727578.0,90.7214,90.28,90.88,90.91,90.14,1709874000000,58871
2024-03-11 04:00:00,7273179.0,91.3634,90.19,91.4,91.83,90.19,1710129600000,84750
2024-03-12 04:00:00,9439825.0,90.2488,90.87,89.95,91.06,89.4434,1710216000000,86612
2024-03-13 04:00:00,8664639.0,90.4089,90.07,90.56,90.715,89.82,1710302400000,66268
2024-03-14 04:00:00,12161421.0,91.9464,92.06,91.76,93.0,91.48,1710388800000,105527
2024-03-15 04:00:00,35743611.0,92.7994,91.05,92.93,93.07,91.05,1710475200000,99238
2024-03-18 04:00:00,7075354.0,93.4179,92.84,93.46,93.9199,92.35,1710734400000,72486
2024-03-19 04:00:00,7998758.0,94.6931,94.45,94.86,95.39,94.0275,1710820800000,78563
2024-03-20 04:00:00,7854202.0,94.9891,95.0,94.85,95.515,94.34,1710907200000,74540
2024-03-21 04:00:00,6477495.0,94.5092,95.0,94.26,95.492,94.08,1710993600000,74061
2024-03-22 04:00:00,6801997.0,95.3873,94.19,95.54,95.825,94.19,1711080000000,72756
2024-03-25 04:00:00,5229440.0,95.7055,95.71,95.63,96.24,95.265,1711339200000,57252
2024-03-26 04:00:00,5474493.0,96.1975,95.63,96.06,96.545,95.5786,1711425600000,55618
2024-03-27 04:00:00,7267849.0,97.1782,96.43,97.45,97.5,96.3322,1711512000000,76287
2024-03-28 04:00:00,10700981.0,97.6415,97.69,97.53,98.08,97.47,1711598400000,64585
2024-04-01 04:00:00,9504452.0,97.7199,97.46,97.76,98.165,97.14,1711944000000,60909
2024-04-02 04:00:00,6759573.0,98.3886,97.76,98.55,98.7,97.5776,1712030400000,73301
2024-04-03 04:00:00,14050302.0,97.5584,97.27,97.55,98.06,97.03,1712116800000,79570
2024-04-04 04:00:00,13373158.0,99.0036,98.28,99.31,99.335,97.9,1712203200000,83309
2024-04-05 04:00:00,10216540.0,101.0276,99.45,101.69,101.75,99.45,1712289600000,96804
2024-04-08 04:00:00,9901335.0,101.8135,101.69,101.88,102.26,101.27,1712548800000,88043
2024-04-09 04:00:00,12904034.0,101.1023,101.07,101.6,101.64,100.29,1712635200000,71901
2024-04-10 04:00:00,5532873.0,101.1329,100.92,101.36,101.76,100.23,1712721600000,69729
2024-04-11 04:00:00,6786050.0,100.7342,101.35,100.78,101.57,99.79,1712808000000,65898
2024-04-12 04:00:00,7327324.0,100.357,101.715,100.1,102.35,99.47,1712894400000,78750
