date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,24688387.0,62.379,60.93,63.45,63.87,59.67,1705467600000,201592
2024-01-18 05:00:00,11301823.0,62.461,63.23,62.72,63.23,61.925,1705554000000,103378
2024-01-19 05:00:00,12711192.0,63.0881,63.03,63.78,63.8,61.9,1705640400000,89802
2024-01-22 05:00:00,10041682.0,63.6522,63.85,63.63,64.54,63.29,1705899600000,69918
2024-01-23 05:00:00,5857433.0,63.9045,64.0,63.92,64.29,63.44,1705986000000,57446
2024-01-24 05:00:00,5977583.0,63.7632,64.5,63.48,64.69,63.43,1706072400000,59474
2024-01-25 05:00:00,5904430.0,63.5862,63.94,63.71,64.05,63.14,1706158800000,60915
2024-01-26 05:00:00,5108549.0,64.1312,63.95,64.04,64.725,63.74,1706245200000,48134
2024-01-29 05:00:00,5546779.0,63.7889,63.68,63.94,64.08,63.38,1706504400000,48157
2024-01-30 05:00:00,5641215.0,64.1583,63.58,64.38,64.48,63.37,1706590800000,56940
2024-01-31 05:00:00,8916099.0,63.3685,63.67,62.92,64.165,62.89,1706677200000,76113
2024-02-01 05:00:00,8942588.0,62.2944,62.92,62.27,63.38,61.165,1706763600000,84615
2024-02-02 05:00:00,9803067.0,62.793,62.0,62.94,63.32,61.54,1706850000000,70805
2024-02-05 05:00:00,6953761.0,62.3295,62.5,62.37,62.76,61.48,1707109200000,57148
2024-02-06 05:00:00,6174606.0,61.9733,62.36,61.89,62.88,61.67,1707195600000,62722
2024-02-07 05:00:00,6990500.0,62.3494,62.07,62.43,62.775,61.68,1707282000000,65133
2024-02-08 05:00:00,5689098.0,62.386,62.24,62.47,62.91,61.905,1707368400000,65380
2024-02-09 05:00:00,7562830.0,63.1349,62.52,63.37,63.41,62.345,1707454800000,61868
2024-02-12 05:00:00,6692541.0,64.6179,63.31,64.5,65.12,63.31,1707714000000,75323
2024-02-13 05:00:00,8998846.0,62.5828,63.65,62.71,63.92,61.68,1707800400000,99694
2024-02-14 05:00:00,6324862.0,62.7874,63.16,63.03,63.4,62.16,1707886800000,65439
2024-02-15 05:00:00,8268291.0,64.6943,63.26,64.63,65.245,63.2,1707973200000,81863
2024-02-16 05:00:00,6057159.0,64.2959,64.44,64.4,64.9,63.865,1708059600000,67297
2024-02-20 05:00:00,5357472.0,63.795,63.93,63.58,64.38,63.38,1708405200000,54936
2024-02-21 05:00:00,5188122.0,63.7609,63.37,64.13,64.175,62.9,1708491600000,55040
2024-02-22 05:00:00,6084275.0,64.6985,64.71,64.63,65.19,64.34,1708578000000,58675
2024-02-23 05:00:00,4196879.0,64.6106,64.55,64.44,65.15,64.3,1708664400000,45629
2024-02-26 05:00:00,5377286.0,64.5576,64.44,64.4,65.16,64.28,1708923600000,51561
2024-02-27 05:00:00,5484227.0,65.0737,64.54,65.35,65.41,64.49,1709010000000,54239
2024-02-28 05:00:00,5123809.0,65.6954,65.18,65.65,66.07,64.89,1709096400000,51044
2024-02-29 05:00:00,8522945.0,66.5806,66.02,66.78,66.84,65.8723,1709182800000,69059
2024-03-01 05:00:00,7875353.0,66.3421,66.62,66.47,66.915,65.7,1709269200000,64105
2024-03-04 05:00:00,5805146.0,67.7086,66.64,67.64,68.17,66.615,1709528400000,66656
2024-03-05 05:00:00,6170180.0,68.0103,67.27,68.1,68.47,67.21,1709614800000,68987
2024-03-06 05:00:00,6624810.0,68.0304,68.49,68.1,68.57,67.13,1709701200000,77422
2024-03-07 05:00:00,5326207.0,68.3661,68.55,68.19,68.82,68.15,1709787600000,50545
2024-03-08 05:00:00,9029563.0,67.9034,68.41,67.17,69.03,67.15,1709874000000,81437
2024-03-11 04:00:00,8456529.0,67.0867,67.2,66.95,67.665,66.83,1710129600000,76601
2024-03-12 04:00:00,9498024.0,66.4308,67.17,66.5,67.37,65.85,1710216000000,79012
2024-03-13 04:00:00,8202506.0,67.1023,66.71,67.13,67.61,66.67,1710302400000,70080
2024-03-14 04:00:00,11673760.0,66.6085,66.72,66.6,67.325,66.03,1710388800000,101283
2024-03-15 04:00:00,11825852.0,67.1056,66.13,67.04,67.81,66.13,1710475200000,78867
2024-03-18 04:00:00,6567372.0,67.3214,66.72,67.4,67.57,66.67,1710734400000,63064
2024-03-19 04:00:00,7979213.0,68.1568,67.6,68.35,68.455,67.36,1710820800000,77499
2024-03-20 04:00:00,6836101.0,69.1641,68.37,69.67,69.78,68.06,1710907200000,73983
2024-03-21 04:00:00,10466854.0,71.4843,69.99,71.85,72.0,69.94,1710993600000,84070
2024-03-22 04:00:00,7231327.0,71.8566,72.64,71.6,72.945,71.56,1711080000000,72092
2024-03-25 04:00:00,6578712.0,71.3579,71.46,71.33,72.32,70.99,1711339200000,58584
2024-03-26 04:00:00,5659141.0,71.1131,71.39,71.0,71.53,70.9139,1711425600000,47657
2024-03-27 04:00:00,7358004.0,71.9011,71.4,72.38,72.45,71.3,1711512000000,61825
2024-03-28 04:00:00,6865003.0,72.2292,72.4,72.34,72.6,71.7,1711598400000,57902
2024-04-01 04:00:00,4070802.0,72.258,72.29,72.37,72.63,71.85,1711944000000,48705
2024-04-02 04:00:00,5373777.0,71.4061,72.0,71.46,72.16,70.97,1712030400000,56451
2024-04-03 04:00:00,5296040.0,71.5846,71.43,71.42,72.24,71.28,1712116800000,52465
2024-04-04 04:00:00,7855327.0,71.9635,72.23,71.35,72.97,71.08,1712203200000,73611
2024-04-05 04:00:00,4255194.0,71.7602,71.48,71.89,72.125,71.21,1712289600000,50930
2024-04-08 04:00:00,5846226.0,72.3976,72.27,72.37,72.775,71.82,1712548800000,58321
2024-04-09 04:00:00,5024227.0,72.1172,72.54,72.28,72.8,71.49,1712635200000,54149
2024-04-10 04:00:00,7750362.0,71.1457,71.55,71.1,72.07,70.12,1712721600000,76292
2024-04-11 04:00:00,5891810.0,70.7078,70.86,70.62,71.28,69.82,1712808000000,66700
2024-04-12 04:00:00,8614981.0,70.046,69.71,70.03,70.87,69.47,1712894400000,86102
