date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,35127800.0,16.3156,16.29,16.4,16.42,16.19,1705554000000,111566
2024-01-19 05:00:00,52563031.0,16.6509,16.66,16.67,16.78,16.395,1705640400000,146524
2024-01-22 05:00:00,44093358.0,16.795,16.72,16.8,16.9,16.64,1705899600000,133347
2024-01-23 05:00:00,59713018.0,17.1774,17.04,17.19,17.25,16.98,1705986000000,180085
2024-01-24 05:00:00,79216981.0,16.6933,16.56,16.68,17.039,16.46,1706072400000,246981
2024-01-25 05:00:00,54457867.0,17.041,16.77,17.18,17.19,16.69,1706158800000,158054
2024-01-26 05:00:00,38567314.0,17.2782,17.15,17.29,17.38,17.12,1706245200000,115054
2024-01-29 05:00:00,38264848.0,17.1851,17.22,17.25,17.28,17.05,1706504400000,118838
2024-01-30 05:00:00,54946431.0,17.4714,17.25,17.53,17.59,17.18,1706590800000,141383
2024-01-31 05:00:00,52968145.0,17.7007,17.51,17.69,17.82,17.5,1706677200000,154007
2024-02-01 05:00:00,71660403.0,18.0247,18.09,18.04,18.155,17.82,1706763600000,179751
2024-02-02 05:00:00,33248497.0,17.8663,17.935,17.83,17.98,17.755,1706850000000,113054
2024-02-05 05:00:00,31496929.0,17.7305,17.71,17.73,17.87,17.58,1707109200000,104861
2024-02-06 05:00:00,25743430.0,17.6256,17.66,17.61,17.77,17.55,1707195600000,87216
2024-02-07 05:00:00,33871777.0,17.3757,17.6,17.33,17.62,17.3,1707282000000,107407
2024-02-08 05:00:00,66974946.0,16.9027,17.3,16.82,17.3,16.74,1707368400000,160269
2024-02-09 05:00:00,44427074.0,16.7527,16.79,16.84,16.88,16.57,1707454800000,140858
2024-02-12 05:00:00,31151245.0,16.9595,16.84,17.02,17.06,16.76,1707714000000,118003
2024-02-13 05:00:00,29734584.0,16.8721,17.02,16.9,17.2,16.75,1707800400000,96146
2024-02-14 05:00:00,26468112.0,16.9331,16.97,16.91,17.09,16.84,1707886800000,83983
2024-02-15 05:00:00,25926733.0,17.1083,16.94,17.09,17.22,16.94,1707973200000,93246
2024-02-16 05:00:00,28848846.0,16.9668,16.95,16.97,17.07,16.76,1708059600000,95912
2024-02-20 05:00:00,29103904.0,16.9741,16.88,16.91,17.13,16.87,1708405200000,98493
2024-02-21 05:00:00,22650729.0,16.9493,16.92,17.0,17.01,16.84,1708491600000,87272
2024-02-22 05:00:00,59974528.0,16.5963,16.77,16.59,16.77,16.42,1708578000000,189638
2024-02-23 05:00:00,32270949.0,16.7669,16.63,16.8,16.86,16.54,1708664400000,108359
2024-02-26 05:00:00,26815920.0,16.6228,16.8,16.6,16.83,16.52,1708923600000,95159
2024-02-27 05:00:00,28350791.0,16.7274,16.61,16.83,16.85,16.54,1709010000000,103056
2024-02-28 05:00:00,33531091.0,16.9771,16.82,16.96,17.04,16.81,1709096400000,104721
2024-02-29 05:00:00,46155245.0,16.9688,17.02,16.93,17.12,16.91,1709182800000,104277
2024-03-01 05:00:00,27552693.0,16.9764,16.87,16.98,17.05,16.81,1709269200000,101868
2024-03-04 05:00:00,32690451.0,16.8281,16.87,16.8,16.985,16.71,1709528400000,125367
2024-03-05 05:00:00,43337915.0,17.2133,17.03,17.17,17.355,17.0,1709614800000,129125
2024-03-06 05:00:00,35356730.0,17.1535,17.1,17.18,17.22,17.025,1709701200000,103046
