date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,21377140.0,38.9303,38.72,38.87,39.43,38.67,1705467600000,123651
2024-01-18 05:00:00,17112788.0,38.8111,38.53,38.94,39.01,38.455,1705554000000,101743
2024-01-19 05:00:00,20561724.0,39.2463,39.07,39.33,39.43,38.69,1705640400000,112235
2024-01-22 05:00:00,26039194.0,39.5362,39.4,39.58,39.72,39.31,1705899600000,139766
2024-01-23 05:00:00,49713734.0,41.8217,41.07,42.23,42.2459,40.59,1705986000000,275006
2024-01-24 05:00:00,27910404.0,41.5939,42.23,41.28,42.34,41.19,1706072400000,161457
2024-01-25 05:00:00,24613156.0,41.9868,41.45,42.29,42.3,41.33,1706158800000,143911
2024-01-26 05:00:00,20367179.0,42.3211,42.29,42.4,42.49,42.1,1706245200000,98753
2024-01-29 05:00:00,23905653.0,41.9379,42.12,42.05,42.39,41.66,1706504400000,122993
2024-01-30 05:00:00,20044557.0,42.3414,42.0,42.47,42.6,41.81,1706590800000,105406
2024-01-31 05:00:00,23392266.0,42.4069,42.19,42.35,43.21,42.04,1706677200000,124127
2024-02-01 05:00:00,19586542.0,42.4043,42.68,42.49,42.72,41.97,1706763600000,118371
2024-02-02 05:00:00,21548643.0,42.1919,42.2,42.13,42.465,41.825,1706850000000,122584
2024-02-05 05:00:00,20466155.0,41.4627,42.0,41.38,42.18,41.275,1707109200000,105692
2024-02-06 05:00:00,17524062.0,41.1574,41.39,41.1,41.57,40.95,1707195600000,95816
2024-02-07 05:00:00,21815622.0,40.542,41.1,40.42,41.14,40.36,1707282000000,111139
2024-02-08 05:00:00,19523527.0,39.7828,40.3,39.91,40.37,39.44,1707368400000,126558
2024-02-09 05:00:00,18479407.0,39.617,39.9,39.72,40.09,39.262,1707454800000,120748
2024-02-12 05:00:00,15060525.0,40.0125,39.73,40.1,40.17,39.535,1707714000000,89014
2024-02-13 05:00:00,14483637.0,39.9653,40.2,40.13,40.455,39.68,1707800400000,94189
2024-02-14 05:00:00,12443213.0,40.1882,40.38,40.15,40.54,39.97,1707886800000,74872
2024-02-15 05:00:00,12081362.0,40.5078,40.21,40.59,40.62,40.18,1707973200000,75869
2024-02-16 05:00:00,12645534.0,40.4121,40.29,40.49,40.67,39.74,1708059600000,80543
2024-02-20 05:00:00,12069523.0,40.5828,40.41,40.5,40.91,40.27,1708405200000,82811
2024-02-21 05:00:00,16279653.0,40.8606,40.49,41.1,41.12,40.37,1708491600000,96769
2024-02-22 05:00:00,22068913.0,40.5999,40.75,40.73,40.93,40.11,1708578000000,136826
2024-02-23 05:00:00,15228553.0,40.7312,40.63,40.66,41.145,40.455,1708664400000,91630
2024-02-26 05:00:00,25108422.0,39.7593,40.6,39.69,40.63,39.43,1708923600000,128050
2024-02-27 05:00:00,17074092.0,39.757,39.68,39.93,39.98,39.43,1709010000000,102456
2024-02-28 05:00:00,12436956.0,40.0354,39.96,40.1,40.21,39.86,1709096400000,78182
2024-02-29 05:00:00,20486465.0,40.0065,40.1,40.02,40.225,39.85,1709182800000,88028
2024-03-01 05:00:00,12130864.0,40.1346,39.99,40.2,40.29,39.77,1709269200000,76346
2024-03-04 05:00:00,18753947.0,40.1627,39.92,40.31,40.33,39.51,1709528400000,93651
2024-03-05 05:00:00,20640051.0,40.3946,40.35,40.35,40.96,39.92,1709614800000,96988
2024-03-06 05:00:00,16331050.0,39.9956,40.35,39.93,40.365,39.77,1709701200000,99240
2024-03-07 05:00:00,17100634.0,39.6263,40.1,39.53,40.285,39.38,1709787600000,99444
2024-03-08 05:00:00,17807879.0,39.5886,39.61,39.51,39.88,39.39,1709874000000,102529
2024-03-11 04:00:00,12344614.0,40.0467,39.57,40.13,40.23,39.56,1710129600000,88254
2024-03-12 04:00:00,12452659.0,40.1272,40.03,40.13,40.26,39.9,1710216000000,76256
2024-03-13 04:00:00,13751846.0,40.2726,40.29,40.26,40.5,40.06,1710302400000,81213
2024-03-14 04:00:00,17475441.0,39.6587,40.0,39.77,40.06,39.44,1710388800000,109302
2024-03-15 04:00:00,54893854.0,39.5119,39.6,39.49,39.93,39.14,1710475200000,124060
2024-03-18 04:00:00,16200777.0,39.7245,39.48,39.93,39.96,39.26,1710734400000,81536
