date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,5118722.0,266.2253,264.42,266.63,267.1,264.39,1705467600000,92540
2024-01-18 05:00:00,6694264.0,267.8526,267.88,268.14,268.78,266.415,1705554000000,86204
2024-01-19 05:00:00,7226520.0,269.9394,268.18,270.9,271.15,267.05,1705640400000,102763
2024-01-22 05:00:00,5984272.0,271.4138,272.24,271.2,272.35,270.36,1705899600000,101530
2024-01-23 05:00:00,5882995.0,271.2272,271.55,271.26,271.87,269.91,1705986000000,87598
2024-01-24 05:00:00,5021703.0,271.9095,272.57,271.65,272.86,271.075,1706072400000,85423
2024-01-25 05:00:00,6894942.0,271.5752,271.95,272.61,272.78,270.8,1706158800000,121402
2024-01-26 05:00:00,8586548.0,268.0845,265.94,267.94,270.8704,265.6,1706245200000,153278
2024-01-29 05:00:00,6574480.0,272.7923,266.97,273.66,275.07,266.71,1706504400000,117214
2024-01-30 05:00:00,6548999.0,277.1207,274.59,277.15,278.64,274.19,1706590800000,103940
2024-01-31 05:00:00,6139312.0,275.0515,277.12,273.26,279.99,273.18,1706677200000,110124
2024-02-01 05:00:00,7064976.0,276.412,273.39,277.05,277.19,273.36,1706763600000,99177
2024-02-02 05:00:00,4848891.0,277.2228,277.61,277.18,278.5,275.68,1706850000000,94094
2024-02-05 05:00:00,4899140.0,275.9371,277.4,275.58,278.0,275.125,1707109200000,89175
2024-02-06 05:00:00,4400250.0,275.88,274.8,276.76,276.88,274.03,1707195600000,70555
2024-02-07 05:00:00,4785902.0,278.9093,279.38,279.39,279.54,277.06,1707282000000,74755
2024-02-08 05:00:00,5833409.0,276.1126,279.54,275.78,279.66,275.28,1707368400000,89719
2024-02-09 05:00:00,4618283.0,276.232,275.0,276.43,277.18,274.09,1707454800000,70851
2024-02-12 05:00:00,3676232.0,275.2462,276.43,275.07,276.67,274.24,1707714000000,76976
2024-02-13 05:00:00,5493833.0,275.7838,273.75,275.81,278.0,272.763,1707800400000,104010
2024-02-14 05:00:00,4218350.0,276.5503,276.47,277.56,277.64,274.71,1707886800000,76847
2024-02-15 05:00:00,4834758.0,280.1977,277.655,280.98,281.12,277.56,1707973200000,80213
2024-02-16 05:00:00,6630744.0,279.252,280.96,278.56,281.12,277.87,1708059600000,88859
2024-02-20 05:00:00,6157178.0,274.9943,274.57,275.15,276.84,273.34,1708405200000,111475
2024-02-21 05:00:00,4771105.0,275.8362,274.63,276.76,276.97,273.53,1708491600000,73240
2024-02-22 05:00:00,5100191.0,282.7088,279.18,283.75,284.06,278.98,1708578000000,97103
2024-02-23 05:00:00,5107693.0,284.1159,284.72,283.6,285.95,283.5,1708664400000,80670
2024-02-26 05:00:00,3856911.0,284.1408,283.04,284.15,285.35,282.66,1708923600000,78549
2024-02-27 05:00:00,4145383.0,282.7146,284.17,283.17,284.17,281.54,1709010000000,82596
2024-02-28 05:00:00,4358820.0,284.8277,282.1,285.63,286.13,282.085,1709096400000,82461
2024-02-29 05:00:00,6633684.0,283.1049,285.5,282.64,285.66,282.18,1709182800000,99129
2024-03-01 05:00:00,3955728.0,283.2622,283.2,283.16,284.91,282.11,1709269200000,83283
2024-03-04 05:00:00,5920308.0,280.1807,282.81,280.53,283.0,278.13,1709528400000,108072
2024-03-05 05:00:00,6228066.0,279.4297,280.27,279.38,280.99,277.68,1709614800000,89683
2024-03-06 05:00:00,4535185.0,280.7124,280.0,280.43,282.0,279.31,1709701200000,84511
2024-03-07 05:00:00,5668483.0,278.0262,280.88,278.26,281.17,276.16,1709787600000,107045
2024-03-08 05:00:00,3929002.0,280.1691,279.0,280.04,281.665,278.83,1709874000000,81041
2024-03-11 04:00:00,4614232.0,280.1021,279.45,280.56,280.77,277.99,1710129600000,72921
2024-03-12 04:00:00,7988665.0,283.3746,281.31,283.92,284.475,280.29,1710216000000,96024
2024-03-13 04:00:00,5783867.0,285.0962,284.66,285.14,286.1,283.82,1710302400000,81367
2024-03-14 04:00:00,5484511.0,286.3819,288.96,286.41,289.0405,284.55,1710388800000,95792
2024-03-15 04:00:00,9845181.0,283.3681,283.55,283.04,285.63,282.64,1710475200000,93324
2024-03-18 04:00:00,4095632.0,285.2938,283.87,285.05,286.23,283.25,1710734400000,72597
2024-03-19 04:00:00,6595183.0,286.9049,286.66,287.35,288.06,285.25,1710820800000,69786
2024-03-20 04:00:00,6104955.0,288.7287,287.64,289.28,289.87,286.72,1710907200000,72637
2024-03-21 04:00:00,5057559.0,290.1325,289.97,290.37,290.96,287.9,1710993600000,81624
2024-03-22 04:00:00,8744121.0,284.4062,290.0,283.26,290.49,282.89,1711080000000,110200
2024-03-25 04:00:00,8519433.0,281.2257,283.01,281.21,283.5,280.04,1711339200000,84204
2024-03-26 04:00:00,8752364.0,280.9747,284.13,280.6,284.13,278.41,1711425600000,90231
2024-03-27 04:00:00,5190674.0,278.6453,280.25,279.02,281.25,276.98,1711512000000,96271
2024-03-28 04:00:00,5844358.0,278.8778,278.49,279.08,279.8,277.12,1711598400000,80042
2024-04-01 04:00:00,5083986.0,278.1083,280.36,278.28,280.89,276.79,1711944000000,82200
2024-04-02 04:00:00,6912306.0,278.3492,278.0,278.44,279.33,276.98,1712030400000,93025
2024-04-03 04:00:00,4536847.0,277.5455,280.48,276.96,280.48,276.56,1712116800000,72833
2024-04-04 04:00:00,4018551.0,275.9863,278.36,274.0,279.085,273.56,1712203200000,81423
2024-04-05 04:00:00,4392050.0,276.8549,276.1,277.14,277.957,275.03,1712289600000,79353
2024-04-08 04:00:00,5542428.0,277.5011,276.25,277.76,277.98,275.15,1712548800000,72587
2024-04-09 04:00:00,7314306.0,276.1938,277.63,276.72,278.0,273.32,1712635200000,82364
2024-04-10 04:00:00,5276012.0,274.7587,275.42,274.48,276.82,274.12,1712721600000,72065
2024-04-11 04:00:00,8102293.0,275.3413,274.0,275.68,276.48,272.18,1712808000000,86750
2024-04-12 04:00:00,9038411.0,275.8311,275.55,275.96,277.0,274.055,1712894400000,98270
2024-04-15 04:00:00,10267489.0,272.0084,277.89,271.28,277.91,270.34,1713153600000,95446
2024-04-16 04:00:00,8237131.0,271.6826,270.54,271.35,274.13,270.17,1713240000000,77946
2024-04-17 04:00:00,5940897.0,272.7392,273.3,272.69,274.0,271.5,1713326400000,79787
2024-04-18 04:00:00,8231849.0,271.4162,272.57,271.37,273.15,269.86,1713412800000,74609
2024-04-19 04:00:00,7905368.0,269.7983,271.47,269.78,272.0,268.29,1713499200000,99551
2024-04-22 04:00:00,6463742.0,271.947,270.95,272.33,273.76,269.36,1713758400000,85629
2024-04-23 04:00:00,6438002.0,274.5019,274.01,274.11,274.89,272.71,1713844800000,118139
2024-04-24 04:00:00,8807157.0,277.0353,282.57,275.02,283.0,274.49,1713931200000,136308
2024-04-25 04:00:00,8064621.0,274.4154,272.97,275.16,276.22,270.49,1714017600000,95953
2024-04-26 04:00:00,6840615.0,274.704,275.01,274.52,276.77,273.83,1714104000000,73024
