date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,4423158.0,162.1333,161.75,162.04,162.9497,161.52,1705467600000,66805
2024-01-18 05:00:00,5074330.0,162.7027,161.16,163.3,163.655,161.0,1705554000000,66739
2024-01-19 05:00:00,5863150.0,164.2162,163.91,164.77,164.87,162.6,1705640400000,67168
2024-01-22 05:00:00,4864044.0,164.9683,164.44,165.39,165.45,163.76,1705899600000,61966
2024-01-23 05:00:00,5784885.0,166.5966,164.45,167.5,167.53,164.06,1705986000000,77489
2024-01-24 05:00:00,5422244.0,165.0449,167.77,164.22,167.95,164.06,1706072400000,74590
2024-01-25 05:00:00,4465939.0,164.4588,164.0,165.13,165.21,163.2,1706158800000,70096
2024-01-26 05:00:00,4654408.0,164.1811,165.27,164.4,165.86,163.5,1706245200000,56562
2024-01-29 05:00:00,4704269.0,164.1673,165.85,163.91,166.76,163.68,1706504400000,64355
2024-01-30 05:00:00,3819615.0,164.434,164.22,164.92,164.98,163.26,1706590800000,60136
2024-01-31 05:00:00,4994053.0,164.5033,165.75,164.4,165.8599,163.95,1706677200000,61499
2024-02-01 05:00:00,5584434.0,166.7725,163.7,167.59,167.68,162.67,1706763600000,81794
2024-02-02 05:00:00,7870521.0,169.5283,169.42,168.67,172.85,165.23,1706850000000,109523
2024-02-05 05:00:00,6486886.0,171.7026,169.84,171.26,173.13,168.45,1707109200000,95361
2024-02-06 05:00:00,7038000.0,172.4363,171.65,173.29,173.96,169.77,1707195600000,100731
2024-02-07 05:00:00,6409084.0,174.8752,174.01,175.01,175.56,173.32,1707282000000,84753
2024-02-08 05:00:00,5709326.0,175.0034,174.35,174.79,175.91,174.3,1707368400000,76398
2024-02-09 05:00:00,3502661.0,173.8973,175.07,174.08,175.4,173.05,1707454800000,57295
2024-02-12 05:00:00,3477198.0,173.1585,173.54,173.07,174.76,172.23,1707714000000,55004
2024-02-13 05:00:00,5480551.0,173.1413,174.46,173.29,175.2,171.965,1707800400000,72818
2024-02-14 05:00:00,4348610.0,173.9504,173.06,174.42,174.86,172.68,1707886800000,54484
2024-02-15 05:00:00,5276243.0,175.8704,174.02,176.59,176.735,173.81,1707973200000,72743
2024-02-16 05:00:00,6689902.0,177.5737,176.89,177.49,178.92,176.07,1708059600000,67690
2024-02-20 05:00:00,5484327.0,176.7414,175.83,175.75,178.68,175.52,1708405200000,76374
2024-02-21 05:00:00,3819124.0,174.8931,176.29,175.14,176.625,173.5,1708491600000,60719
2024-02-22 05:00:00,4852394.0,176.2317,174.78,176.75,177.34,173.14,1708578000000,66041
2024-02-23 05:00:00,3941923.0,178.0481,177.26,178.09,178.905,177.011,1708664400000,59224
2024-02-26 05:00:00,4327400.0,179.1295,178.84,178.81,179.79,178.0,1708923600000,72999
2024-02-27 05:00:00,3888566.0,178.707,178.77,178.99,179.53,176.98,1709010000000,65729
2024-02-28 05:00:00,4326102.0,177.8929,179.85,178.0,179.89,176.89,1709096400000,63569
2024-02-29 05:00:00,7485722.0,176.3092,177.865,176.05,178.02,175.39,1709182800000,67968
2024-03-01 05:00:00,4028935.0,178.0664,176.05,178.91,179.19,175.75,1709269200000,65386
2024-03-04 05:00:00,4723582.0,177.5863,178.35,177.05,179.98,176.28,1709528400000,80010
2024-03-05 05:00:00,5309903.0,179.0176,177.79,179.16,179.59,177.79,1709614800000,79717
2024-03-06 05:00:00,6047148.0,181.042,178.4,181.06,182.16,178.1,1709701200000,98914
2024-03-07 05:00:00,6125187.0,180.6947,182.19,180.57,182.42,179.54,1709787600000,93431
2024-03-08 05:00:00,6195824.0,180.0285,179.74,178.85,182.14,178.68,1709874000000,86789
2024-03-11 04:00:00,5134817.0,179.302,178.41,179.63,181.26,178.24,1710129600000,84312
2024-03-12 04:00:00,5391070.0,181.592,179.72,180.92,182.89,179.69,1710216000000,93760
2024-03-13 04:00:00,5987932.0,180.3202,182.5,179.86,182.51,179.42,1710302400000,72189
2024-03-14 04:00:00,6999445.0,180.9395,180.155,181.2,182.04,178.66,1710388800000,93814
2024-03-15 04:00:00,20957948.0,178.2715,179.84,177.88,180.58,177.54,1710475200000,93252
2024-03-18 04:00:00,8569244.0,178.4887,179.01,178.49,179.88,177.565,1710734400000,66349
2024-03-19 04:00:00,7625613.0,179.4546,178.19,179.66,179.93,178.19,1710820800000,55677
2024-03-20 04:00:00,7326558.0,176.5148,179.22,176.27,179.23,175.73,1710907200000,81544
2024-03-21 04:00:00,5743564.0,177.2168,176.81,177.5,177.74,175.875,1710993600000,80688
2024-03-22 04:00:00,4084352.0,178.294,177.23,178.45,178.99,176.78,1711080000000,53825
2024-03-25 04:00:00,4366502.0,178.5414,179.0,178.53,179.2,178.125,1711339200000,50272
