date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,5273027.0,137.3348,137.0,137.04,139.535,135.225,1705554000000,80407
2024-01-19 05:00:00,4089098.0,138.9026,138.6,139.93,140.285,136.32,1705640400000,65018
2024-01-22 05:00:00,4482914.0,142.2806,141.155,142.01,144.05,140.9,1705899600000,78894
2024-01-23 05:00:00,3882149.0,141.6923,142.75,142.3,143.93,140.52,1705986000000,57290
2024-01-24 05:00:00,4857241.0,141.526,143.81,141.19,144.1,139.58,1706072400000,66883
2024-01-25 05:00:00,3677549.0,141.8809,143.2,142.11,143.29,140.3679,1706158800000,68581
2024-01-26 05:00:00,11342568.0,148.3309,142.11,149.62,151.53,141.49,1706245200000,157408
2024-01-29 05:00:00,5316315.0,151.3282,150.0,152.7,153.38,148.54,1706504400000,93330
2024-01-30 05:00:00,3884021.0,149.66,150.54,149.44,151.03,148.68,1706590800000,71269
2024-01-31 05:00:00,4126572.0,145.8667,148.645,144.14,148.74,143.92,1706677200000,70691
2024-02-01 05:00:00,3416682.0,145.6831,144.8,146.49,146.85,143.65,1706763600000,61724
2024-02-02 05:00:00,4252797.0,146.0192,143.99,146.55,148.08,141.2401,1706850000000,74162
2024-02-05 05:00:00,3010888.0,144.5075,146.09,144.78,146.4,142.68,1707109200000,62044
2024-02-06 05:00:00,3697593.0,143.914,145.1,144.53,145.13,142.9517,1707195600000,69876
2024-02-07 05:00:00,4214118.0,147.1491,145.12,147.55,148.77,143.86,1707282000000,64053
2024-02-08 05:00:00,3508283.0,149.6408,149.25,150.54,150.67,148.06,1707368400000,60773
2024-02-09 05:00:00,5006763.0,147.3338,145.84,147.595,148.68,145.18,1707454800000,81129
2024-02-12 05:00:00,7909487.0,154.2006,148.68,153.8,157.345,148.34,1707714000000,122612
2024-02-13 05:00:00,11801679.0,151.8215,149.21,150.82,153.02,148.58,1707800400000,158430
2024-02-14 05:00:00,16021806.0,145.9339,146.16,148.2,149.53,142.57,1707886800000,196385
2024-02-15 05:00:00,11922986.0,155.5348,148.91,157.69,158.27,148.75,1707973200000,159715
2024-02-16 05:00:00,6520114.0,153.404,156.1,152.51,156.1,151.78,1708059600000,96882
2024-02-20 05:00:00,5229688.0,147.9128,150.31,148.15,150.68,145.88,1708405200000,78767
2024-02-21 05:00:00,4570787.0,147.6194,145.98,149.24,149.26,145.396,1708491600000,72387
2024-02-22 05:00:00,6115025.0,154.1465,151.02,155.26,155.7,150.265,1708578000000,96523
2024-02-23 05:00:00,4851068.0,152.3787,153.27,152.66,155.3,150.825,1708664400000,71943
2024-02-26 05:00:00,5277943.0,149.3425,149.96,149.27,150.18,148.56,1708923600000,86426
2024-02-27 05:00:00,4623715.0,151.3802,150.0,152.06,152.47,149.23,1709010000000,64579
2024-02-28 05:00:00,4329074.0,153.5214,152.03,153.43,154.9,151.79,1709096400000,67092
2024-02-29 05:00:00,8002291.0,157.2185,153.4,157.47,160.0,153.22,1709182800000,88715
2024-03-01 05:00:00,5367283.0,159.7605,157.23,159.72,160.98,156.8106,1709269200000,80801
2024-03-04 05:00:00,4403219.0,159.6497,159.9,158.09,163.015,157.93,1709528400000,70875
2024-03-05 05:00:00,4714293.0,158.5638,157.2,159.33,159.98,156.14,1709614800000,75108
2024-03-06 05:00:00,5167916.0,163.3183,160.1,163.87,164.59,160.07,1709701200000,84881
2024-03-07 05:00:00,3810295.0,164.0838,165.0,163.54,165.385,162.24,1709787600000,62526
2024-03-08 05:00:00,4105743.0,165.3491,166.0,164.91,168.19,163.48,1709874000000,68910
2024-03-11 04:00:00,3149599.0,162.9596,163.76,162.99,164.26,161.975,1710129600000,61047
2024-03-12 04:00:00,3945890.0,165.8521,163.0,166.67,167.0,162.73,1710216000000,68605
2024-03-13 04:00:00,7502821.0,165.1407,162.42,164.76,168.0,160.69,1710302400000,83345
2024-03-14 04:00:00,5078143.0,165.9731,165.74,166.44,166.7199,162.72,1710388800000,65226
2024-03-15 04:00:00,7153845.0,162.0666,166.39,160.64,166.5225,160.16,1710475200000,79829
2024-03-18 04:00:00,4296942.0,161.7802,161.945,161.86,162.87,160.6,1710734400000,49446
2024-03-19 04:00:00,3420732.0,162.1609,161.49,161.79,164.0999,161.055,1710820800000,46490
2024-03-20 04:00:00,4766298.0,164.5047,162.39,164.71,165.75,162.265,1710907200000,63906
2024-03-21 04:00:00,5986505.0,168.4843,165.81,168.18,170.1,165.0,1710993600000,76854
2024-03-22 04:00:00,2837023.0,167.9352,167.0,167.86,168.8,166.6401,1711080000000,46129
2024-03-25 04:00:00,3216070.0,167.7905,167.86,167.99,169.08,166.28,1711339200000,49223
2024-03-26 04:00:00,2747663.0,168.4123,169.69,167.39,170.0,167.32,1711425600000,44471
2024-03-27 04:00:00,3921949.0,166.582,169.11,166.41,169.11,165.5,1711512000000,54051
2024-03-28 04:00:00,3415958.0,165.3906,166.57,164.96,167.38,164.59,1711598400000,44970
2024-04-01 04:00:00,2496282.0,163.5837,166.43,163.37,166.72,162.75,1711944000000,43428
2024-04-02 04:00:00,4000867.0,159.9214,160.95,160.11,160.98,158.68,1712030400000,56061
2024-04-03 04:00:00,2288078.0,159.7755,158.75,159.34,161.33,158.58,1712116800000,41864
2024-04-04 04:00:00,3539700.0,160.92,161.22,158.84,163.65,158.52,1712203200000,56456
2024-04-05 04:00:00,2225889.0,161.4728,159.15,161.77,162.71,158.9,1712289600000,41800
2024-04-08 04:00:00,2299005.0,160.3586,160.36,160.27,161.18,159.29,1712548800000,42263
2024-04-09 04:00:00,2290960.0,161.8799,161.55,162.66,163.205,159.91,1712635200000,40827
2024-04-10 04:00:00,2478757.0,160.0713,159.63,160.28,160.96,158.63,1712721600000,42646
2024-04-11 04:00:00,3580302.0,163.9861,159.0,165.42,166.22,158.9,1712808000000,58090
2024-04-12 04:00:00,3700504.0,160.0121,162.42,159.37,162.7123,158.78,1712894400000,61138
2024-04-15 04:00:00,3723317.0,157.2132,161.81,155.6,162.9,154.41,1713153600000,66702
2024-04-16 04:00:00,2728607.0,156.8857,155.83,156.66,158.94,155.3,1713240000000,47103
2024-04-17 04:00:00,3905042.0,158.0052,158.45,158.37,159.7,156.41,1713326400000,61110
2024-04-18 04:00:00,3930357.0,160.7832,159.6,160.1,162.94,159.21,1713412800000,59080
2024-04-19 04:00:00,3904759.0,156.592,159.54,155.01,160.335,154.56,1713499200000,61390
2024-04-22 04:00:00,3029952.0,156.088,156.19,156.61,157.25,153.765,1713758400000,53100
2024-04-23 04:00:00,3455413.0,160.1475,157.24,160.95,161.14,156.7,1713844800000,55398
2024-04-24 04:00:00,3854493.0,163.0524,164.475,162.84,166.7446,161.09,1713931200000,57902
2024-04-25 04:00:00,2401828.0,161.8792,161.51,163.01,163.73,159.5,1714017600000,45368
2024-04-26 04:00:00,2821077.0,164.4227,163.68,164.23,165.16,162.77,1714104000000,51703
2024-04-29 04:00:00,2312554.0,162.4133,164.75,162.25,165.5,161.28,1714363200000,41704
2024-04-30 04:00:00,3017911.0,159.5578,160.56,158.57,162.09,158.52,1714449600000,48583
2024-05-01 04:00:00,2752108.0,157.404,157.58,156.16,160.95,156.0,1714536000000,56242
2024-05-02 04:00:00,4778430.0,156.0988,157.21,158.33,158.4,153.2,1714622400000,75704
2024-05-03 04:00:00,4529908.0,161.4267,161.81,159.71,165.5,159.15,1714708800000,78491
2024-05-06 04:00:00,2912176.0,161.7502,161.0,162.0,162.41,160.17,1714968000000,55307
2024-05-07 04:00:00,2916232.0,160.9845,161.81,159.81,162.88,159.75,1715054400000,56333
2024-05-08 04:00:00,8236465.0,154.5072,157.1,157.9,158.62,155.84,1715140800000,126855
2024-05-09 04:00:00,14802560.0,147.5187,146.6,147.05,150.005,145.5701,1715227200000,189518
2024-05-10 04:00:00,5524840.0,145.8818,147.75,146.32,148.12,144.63,1715313600000,86217
2024-05-13 04:00:00,5647508.0,147.7211,147.05,149.13,149.24,145.7,1715572800000,78012
2024-05-14 04:00:00,4167440.0,147.2507,149.4,146.7,149.4,146.31,1715659200000,68635
2024-05-15 04:00:00,5996014.0,145.8274,147.57,145.8,147.69,144.75,1715745600000,75569
2024-05-16 04:00:00,3827765.0,147.0984,146.34,147.19,147.79,145.85,1715832000000,57955
2024-05-17 04:00:00,3279035.0,146.1901,146.81,145.66,147.495,145.305,1715918400000,59421
2024-05-20 04:00:00,3747439.0,146.0536,146.18,146.37,146.48,145.21,1716177600000,67020
2024-05-21 04:00:00,4484983.0,144.6432,145.71,144.1,145.71,144.09,1716264000000,65182
2024-05-22 04:00:00,3190821.0,143.199,143.94,142.71,144.21,142.36,1716350400000,57872
2024-05-23 04:00:00,3900851.0,142.0309,142.58,141.04,143.44,140.82,1716436800000,63316
2024-05-24 04:00:00,4497760.0,144.6804,142.5,144.47,145.97,142.3,1716523200000,78549
2024-05-28 04:00:00,5741611.0,146.8644,146.0,147.01,147.87,145.11,1716868800000,77428
2024-05-29 04:00:00,2570900.0,146.2838,144.88,146.61,147.13,144.7342,1716955200000,53901
