date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4630794.0,17.293,17.28,17.38,17.4175,17.095,1705554000000,33647
2024-01-19 05:00:00,6380932.0,16.9465,17.5,16.89,17.51,16.78,1705640400000,44502
2024-01-22 05:00:00,7773319.0,16.9309,17.0,16.78,17.38,16.76,1705899600000,43055
2024-01-23 05:00:00,5105257.0,16.8101,16.94,16.81,16.98,16.62,1705986000000,34900
2024-01-24 05:00:00,5300373.0,16.6066,17.1,16.5,17.16,16.48,1706072400000,37364
2024-01-25 05:00:00,7909184.0,17.1371,16.86,17.13,17.42,16.72,1706158800000,48025
2024-01-26 05:00:00,5193177.0,17.2399,17.23,17.15,17.405,17.125,1706245200000,35231
2024-01-29 05:00:00,4555981.0,17.1518,17.15,17.28,17.36,16.83,1706504400000,27846
2024-01-30 05:00:00,4966119.0,16.9637,17.17,16.97,17.24,16.785,1706590800000,35540
2024-01-31 05:00:00,7354761.0,16.7668,16.94,16.68,17.02,16.58,1706677200000,44820
2024-02-01 05:00:00,4543295.0,16.9139,16.73,17.16,17.16,16.53,1706763600000,35296
2024-02-02 05:00:00,10426905.0,16.9368,16.76,17.02,17.3,16.35,1706850000000,57728
2024-02-05 05:00:00,5550577.0,16.5155,16.69,16.51,16.775,16.23,1707109200000,33839
2024-02-06 05:00:00,5464376.0,16.5117,16.42,16.5,16.65,16.37,1707195600000,32747
2024-02-07 05:00:00,8234054.0,16.3189,16.62,16.32,16.71,16.15,1707282000000,37849
2024-02-08 05:00:00,6388948.0,16.1488,16.25,16.2,16.325,15.97,1707368400000,36627
2024-02-09 05:00:00,5498441.0,16.3121,16.19,16.46,16.48,16.13,1707454800000,28193
2024-02-12 05:00:00,6294070.0,16.7499,16.52,16.88,16.895,16.405,1707714000000,38610
2024-02-13 05:00:00,7946418.0,16.0044,16.43,16.0,16.54,15.695,1707800400000,54688
2024-02-14 05:00:00,7907874.0,16.1486,16.13,16.14,16.355,15.89,1707886800000,39456
2024-02-15 05:00:00,6395735.0,16.7421,16.36,16.78,16.92,16.3,1707973200000,44660
2024-02-16 05:00:00,5774029.0,16.7316,16.52,16.77,16.85,16.41,1708059600000,29438
2024-02-20 05:00:00,5732645.0,16.522,16.61,16.42,16.89,16.4,1708405200000,36561
2024-02-21 05:00:00,4480922.0,16.5007,16.45,16.55,16.64,16.32,1708491600000,26752
2024-02-22 05:00:00,6580039.0,16.1478,16.4,16.0,16.555,15.99,1708578000000,46687
2024-02-23 05:00:00,5890604.0,16.0742,16.03,16.0,16.21,15.91,1708664400000,38823
2024-02-26 05:00:00,10295567.0,15.569,15.88,15.55,15.94,15.405,1708923600000,62841
2024-02-27 05:00:00,14453763.0,15.2198,15.79,15.1,16.02,14.685,1709010000000,74432
2024-02-28 05:00:00,11942436.0,15.1164,15.02,15.06,15.3795,14.86,1709096400000,48786
2024-02-29 05:00:00,8748095.0,15.2728,15.26,15.2,15.55,15.135,1709182800000,40911
2024-03-01 05:00:00,7914110.0,15.2925,15.2,15.47,15.51,14.835,1709269200000,51265
2024-03-04 05:00:00,7254951.0,15.9173,15.48,16.07,16.24,15.43,1709528400000,45412
2024-03-05 05:00:00,16423224.0,16.413,16.1,16.15,17.18,16.02,1709614800000,73720
2024-03-06 05:00:00,13567067.0,16.3711,16.61,16.22,16.715,16.085,1709701200000,54498
2024-03-07 05:00:00,6692625.0,16.3171,16.5,16.16,16.53,16.15,1709787600000,35269
2024-03-08 05:00:00,17778757.0,16.2026,16.34,16.25,16.396,16.08,1709874000000,48824
2024-03-11 04:00:00,10349547.0,16.4112,16.28,16.39,16.67,16.17,1710129600000,52289
2024-03-12 04:00:00,6213981.0,16.0076,16.32,15.94,16.36,15.8,1710216000000,39597
2024-03-13 04:00:00,12248480.0,15.8753,16.01,15.75,16.2,15.71,1710302400000,51831
2024-03-14 04:00:00,14105340.0,15.0745,15.65,15.03,15.81,14.86,1710388800000,67764
2024-03-15 04:00:00,16883979.0,15.0326,15.06,15.01,15.26,14.93,1710475200000,51347
2024-03-18 04:00:00,9107039.0,14.9021,15.0,14.88,15.06,14.74,1710734400000,39926
2024-03-19 04:00:00,8790772.0,15.4562,14.97,15.54,15.675,14.86,1710820800000,40955
2024-03-20 04:00:00,9195190.0,15.4695,15.45,15.54,15.61,15.27,1710907200000,43449
2024-03-21 04:00:00,34627820.0,15.7885,15.55,15.76,15.9,15.5,1710993600000,54273
