date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3580457.0,66.7644,66.39,67.24,67.345,66.06,1705554000000,40861
2024-01-19 05:00:00,5098642.0,68.6955,67.88,68.83,69.27,67.7,1705640400000,50020
2024-01-22 05:00:00,3091914.0,69.1607,69.18,69.26,69.54,68.89,1705899600000,33007
2024-01-23 05:00:00,2562155.0,69.0908,69.26,69.0,69.43,68.97,1705986000000,28743
2024-01-24 05:00:00,2736268.0,69.2748,69.43,69.16,69.66,69.03,1706072400000,30469
2024-01-25 05:00:00,3968404.0,69.056,69.63,68.98,69.93,68.82,1706158800000,40330
2024-01-26 05:00:00,2564597.0,69.4156,69.15,69.53,69.65,68.995,1706245200000,26328
2024-01-29 05:00:00,3167156.0,69.3139,69.41,69.37,69.69,69.035,1706504400000,31303
2024-01-30 05:00:00,2966827.0,70.1101,69.33,70.38,70.41,69.33,1706590800000,30698
2024-01-31 05:00:00,3691008.0,70.0194,70.56,69.51,71.065,69.5,1706677200000,41022
2024-02-01 05:00:00,4304206.0,68.6041,69.01,68.82,69.465,67.53,1706763600000,45777
2024-02-02 05:00:00,2808872.0,69.6717,69.08,69.63,70.04,68.97,1706850000000,34197
2024-02-05 05:00:00,2929312.0,69.0132,68.94,68.93,69.28,68.725,1707109200000,34254
2024-02-06 05:00:00,2910418.0,68.9264,68.77,68.77,69.36,68.6,1707195600000,32020
2024-02-07 05:00:00,2844118.0,69.6358,68.98,69.81,69.84,68.935,1707282000000,29410
2024-02-08 05:00:00,5242295.0,68.4422,69.77,68.41,69.77,67.96,1707368400000,48626
2024-02-09 05:00:00,3217269.0,68.7969,68.28,69.12,69.23,68.06,1707454800000,37156
2024-02-12 05:00:00,3770794.0,69.7871,69.4,69.73,70.18,69.26,1707714000000,39382
2024-02-13 05:00:00,5328620.0,69.8454,69.86,70.09,70.3,69.2,1707800400000,59534
2024-02-14 05:00:00,7507370.0,70.3611,72.2,69.17,73.276,68.73,1707886800000,80355
2024-02-15 05:00:00,5656327.0,70.2117,69.02,70.3,70.81,68.85,1707973200000,52540
2024-02-16 05:00:00,5139759.0,70.101,70.15,70.04,70.79,69.7,1708059600000,48363
2024-02-20 05:00:00,6814580.0,68.5223,69.01,68.13,69.423,68.045,1708405200000,62748
2024-02-21 05:00:00,3969278.0,68.5978,68.64,68.68,69.095,68.15,1708491600000,44408
2024-02-22 05:00:00,6031806.0,70.4856,68.68,70.88,70.99,68.65,1708578000000,53908
2024-02-23 05:00:00,4246074.0,71.4281,71.0,71.32,71.92,70.88,1708664400000,49893
2024-02-26 05:00:00,5154645.0,71.7979,71.34,71.32,72.47,71.1723,1708923600000,58144
2024-02-27 05:00:00,3217450.0,71.7848,71.25,71.95,72.015,71.25,1709010000000,35316
2024-02-28 05:00:00,3557668.0,72.2749,71.92,72.43,72.53,71.73,1709096400000,39325
2024-02-29 05:00:00,5300209.0,72.6864,72.69,72.89,73.095,72.01,1709182800000,46002
2024-03-01 05:00:00,4394761.0,72.9048,72.84,72.84,73.44,72.465,1709269200000,48042
2024-03-04 05:00:00,4030376.0,72.9695,72.29,73.17,73.255,72.275,1709528400000,44532
2024-03-05 05:00:00,5310516.0,73.9473,72.99,73.92,74.3,72.81,1709614800000,49612
2024-03-06 05:00:00,5327440.0,74.645,73.77,74.85,74.97,73.14,1709701200000,48118
2024-03-07 05:00:00,2945150.0,74.8385,75.05,74.72,75.48,74.525,1709787600000,33219
2024-03-08 05:00:00,2338587.0,74.5461,74.71,74.41,74.889,74.2927,1709874000000,37269
2024-03-11 04:00:00,2336492.0,74.8217,74.1,74.91,75.22,74.07,1710129600000,33213
2024-03-12 04:00:00,3656119.0,75.5636,74.92,75.89,76.035,74.79,1710216000000,38114
2024-03-13 04:00:00,3645081.0,75.6843,75.84,75.49,76.1,75.345,1710302400000,40437
2024-03-14 04:00:00,3869140.0,75.6017,75.44,75.85,76.015,74.84,1710388800000,38556
2024-03-15 04:00:00,7185011.0,76.0441,75.33,76.27,76.36,75.24,1710475200000,47874
2024-03-18 04:00:00,6434609.0,75.6595,76.17,75.34,76.52,75.13,1710734400000,54092
2024-03-19 04:00:00,5565080.0,75.6978,75.91,75.49,76.27,75.42,1710820800000,46567
2024-03-20 04:00:00,4133104.0,76.3992,75.63,76.74,76.8,75.48,1710907200000,42892
2024-03-21 04:00:00,3860787.0,77.1273,76.67,77.41,77.48,76.57,1710993600000,47796
2024-03-22 04:00:00,2914418.0,76.6003,77.44,76.38,77.63,76.24,1711080000000,34014
2024-03-25 04:00:00,3286845.0,76.7824,76.49,76.59,77.12,76.36,1711339200000,36330
2024-03-26 04:00:00,3861935.0,77.1663,76.71,77.39,77.425,76.43,1711425600000,35063
2024-03-27 04:00:00,3474150.0,77.9612,77.71,78.34,78.39,77.33,1711512000000,42171
2024-03-28 04:00:00,4293056.0,78.3069,78.51,78.17,78.7,78.14,1711598400000,36730
2024-04-01 04:00:00,2329257.0,77.7003,78.0,77.64,78.295,77.3,1711944000000,32316
2024-04-02 04:00:00,3335127.0,77.9619,77.61,78.02,78.29,77.365,1712030400000,37500
2024-04-03 04:00:00,3380764.0,78.0042,78.18,77.8,78.95,77.56,1712116800000,39818
2024-04-04 04:00:00,4013062.0,77.4012,78.27,76.62,78.92,76.42,1712203200000,43593
2024-04-05 04:00:00,2999980.0,77.4891,76.93,77.71,77.86,76.69,1712289600000,37004
2024-04-08 04:00:00,3027651.0,77.9299,77.85,77.85,78.24,77.5,1712548800000,33283
2024-04-09 04:00:00,4389959.0,75.821,78.09,75.52,78.11,75.19,1712635200000,46695
2024-04-10 04:00:00,4501467.0,75.278,75.09,75.32,75.6793,74.33,1712721600000,52709
2024-04-11 04:00:00,3833899.0,74.3023,74.85,74.17,74.86,73.6,1712808000000,41581
2024-04-12 04:00:00,4176528.0,73.7122,74.0,73.68,74.649,73.1908,1712894400000,40182
2024-04-15 04:00:00,3584504.0,73.4201,74.56,73.05,74.84,72.97,1713153600000,46074
2024-04-16 04:00:00,4653038.0,73.6518,73.5,73.81,74.56,72.6,1713240000000,55785
2024-04-17 04:00:00,6222979.0,72.394,72.64,72.58,73.55,71.51,1713326400000,62372
2024-04-18 04:00:00,3162147.0,73.0729,73.17,72.99,73.595,72.77,1713412800000,41974
2024-04-19 04:00:00,3510538.0,74.127,73.43,74.23,74.61,72.91,1713499200000,40820
2024-04-22 04:00:00,2769854.0,74.8622,74.66,74.96,75.38,74.13,1713758400000,33504
2024-04-23 04:00:00,3011245.0,75.0221,75.04,74.93,75.68,74.68,1713844800000,38329
2024-04-24 04:00:00,2684631.0,74.8685,74.44,74.97,75.14,74.37,1713931200000,36820
2024-04-25 04:00:00,2987117.0,74.6122,74.68,74.63,75.04,74.19,1714017600000,35347
2024-04-26 04:00:00,5027158.0,74.5802,74.43,74.53,75.025,74.24,1714104000000,38299
2024-04-29 04:00:00,3872363.0,75.5618,74.61,75.74,75.79,74.54,1714363200000,39557
2024-04-30 04:00:00,3377356.0,75.3713,75.49,75.31,75.67,75.09,1714449600000,41194
2024-05-01 04:00:00,4549230.0,75.9078,75.34,75.81,76.62,75.225,1714536000000,58161
2024-05-02 04:00:00,6490296.0,77.9042,78.225,78.1,79.7,76.91,1714622400000,74031
2024-05-03 04:00:00,6715711.0,77.892,77.76,78.48,78.86,76.22,1714708800000,63707
2024-05-06 04:00:00,4669060.0,79.7972,79.11,79.97,80.13,78.8,1714968000000,48682
2024-05-07 04:00:00,3644261.0,80.2788,80.21,80.28,80.76,79.88,1715054400000,45053
2024-05-08 04:00:00,3137182.0,80.1832,80.25,79.89,80.63,79.86,1715140800000,39601
2024-05-09 04:00:00,3193308.0,79.9673,79.58,79.88,80.31,79.3,1715227200000,37685
2024-05-10 04:00:00,4033990.0,80.3075,80.17,80.11,80.83,79.995,1715313600000,42617
2024-05-13 04:00:00,3745807.0,79.3314,80.11,78.99,80.46,78.895,1715572800000,36656
2024-05-14 04:00:00,3141159.0,79.3678,78.89,79.44,79.61,78.82,1715659200000,32637
2024-05-15 04:00:00,2911346.0,78.7576,79.01,78.9,79.6,78.37,1715745600000,40404
2024-05-16 04:00:00,5725851.0,79.162,79.83,78.74,80.16,78.68,1715832000000,53300
2024-05-17 04:00:00,6778781.0,80.2344,79.03,80.54,80.77,78.83,1715918400000,54299
2024-05-20 04:00:00,4312330.0,79.2951,80.65,78.79,80.73,78.75,1716177600000,43076
2024-05-21 04:00:00,2944263.0,78.8812,78.79,78.68,79.39,78.59,1716264000000,35496
2024-05-22 04:00:00,2949783.0,79.0005,78.53,78.91,79.52,78.49,1716350400000,38179
2024-05-23 04:00:00,2887826.0,77.6929,78.64,77.58,78.645,77.06,1716436800000,36641
2024-05-24 04:00:00,2045776.0,77.9786,77.96,78.03,78.21,77.56,1716523200000,25867
2024-05-28 04:00:00,3665262.0,77.2857,77.93,77.36,77.93,76.77,1716868800000,45320
2024-05-29 04:00:00,3748071.0,77.387,77.11,77.57,77.76,76.44,1716955200000,43362
2024-05-30 04:00:00,2868158.0,78.2018,77.48,78.25,78.66,77.28,1717041600000,35016
2024-05-31 04:00:00,6189147.0,78.4263,78.51,78.82,78.85,77.6,1717128000000,47177
2024-06-03 04:00:00,3435699.0,78.1499,78.77,78.32,79.0558,77.17,1717387200000,37632
2024-06-04 04:00:00,4187599.0,76.808,77.87,76.65,78.16,76.4,1717473600000,40086
