date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,890465.0,235.7737,232.33,236.95,237.73,231.5,1705554000000,23051
2024-01-19 05:00:00,833612.0,238.8834,238.12,238.79,239.933,237.24,1705640400000,18872
2024-01-22 05:00:00,668709.0,238.1534,238.41,237.52,239.845,237.38,1705899600000,16149
2024-01-23 05:00:00,689555.0,239.7108,238.3,239.68,241.27,238.3,1705986000000,18044
2024-01-24 05:00:00,665145.0,239.7177,241.15,239.07,241.168,238.78,1706072400000,17578
2024-01-25 05:00:00,1043250.0,237.1964,240.02,237.75,240.8,235.82,1706158800000,25348
2024-01-26 05:00:00,1489418.0,232.447,235.99,233.03,235.99,227.08,1706245200000,33800
2024-01-29 05:00:00,1440041.0,229.6009,232.17,228.78,233.47,228.63,1706504400000,30023
2024-01-30 05:00:00,1081397.0,230.3814,229.42,230.57,231.19,228.26,1706590800000,23122
2024-01-31 05:00:00,1576040.0,232.3097,231.43,232.16,233.825,231.14,1706677200000,25034
2024-02-01 05:00:00,1003368.0,230.4011,230.04,232.12,232.28,227.43,1706763600000,22407
2024-02-02 05:00:00,1030005.0,232.7506,234.02,232.74,234.32,230.92,1706850000000,21766
2024-02-05 05:00:00,1535621.0,235.4532,232.51,236.26,236.64,231.16,1707109200000,28852
2024-02-06 05:00:00,1000058.0,234.5591,237.15,234.05,237.87,233.815,1707195600000,22313
2024-02-07 05:00:00,1074283.0,235.7485,234.71,236.2,236.94,232.6669,1707282000000,21347
2024-02-08 05:00:00,726981.0,237.036,235.96,237.03,238.14,235.39,1707368400000,18325
2024-02-09 05:00:00,575836.0,238.2927,236.09,238.84,239.1796,236.09,1707454800000,16025
2024-02-12 05:00:00,682769.0,235.9702,239.0,235.62,239.31,235.09,1707714000000,20866
2024-02-13 05:00:00,1203945.0,235.6898,237.33,236.32,237.97,234.3,1707800400000,24602
2024-02-14 05:00:00,737227.0,238.065,236.46,238.68,238.93,236.46,1707886800000,21593
2024-02-15 05:00:00,850773.0,240.6442,238.8,240.55,242.03,238.065,1707973200000,22267
2024-02-16 05:00:00,698127.0,240.1483,241.04,239.22,241.72,238.925,1708059600000,15460
2024-02-20 05:00:00,1109401.0,241.37,238.5,241.74,242.6,237.275,1708405200000,25693
2024-02-21 05:00:00,775089.0,239.8863,242.42,240.1,243.03,238.405,1708491600000,18174
2024-02-22 05:00:00,631456.0,244.131,241.93,244.67,245.28,240.64,1708578000000,16730
2024-02-23 05:00:00,481642.0,244.7833,245.0,245.0,245.555,244.06,1708664400000,14681
2024-02-26 05:00:00,593192.0,244.4675,245.09,244.04,246.29,243.8,1708923600000,16593
2024-02-27 05:00:00,668983.0,242.9286,243.14,243.55,243.7,241.96,1709010000000,16198
2024-02-28 05:00:00,668792.0,245.3596,244.1,245.47,245.975,243.41,1709096400000,16769
2024-02-29 05:00:00,1183105.0,243.7445,245.09,243.93,245.09,241.61,1709182800000,20146
2024-03-01 05:00:00,458756.0,243.3287,243.71,243.54,244.025,242.165,1709269200000,14213
2024-03-04 05:00:00,581988.0,242.7102,242.55,242.52,243.24,241.85,1709528400000,15042
