date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3418701.0,117.8557,121.09,117.99,121.37,115.12,1705554000000,58575
2024-01-19 05:00:00,4170326.0,114.5698,118.08,115.13,118.09,112.29,1705640400000,67838
2024-01-22 05:00:00,4026775.0,119.1947,113.78,120.75,122.79,113.0,1705899600000,72022
2024-01-23 05:00:00,2877395.0,123.1878,123.92,122.59,127.24,120.82,1705986000000,46623
2024-01-24 05:00:00,2026517.0,122.2298,125.35,121.69,126.075,120.02,1706072400000,38759
2024-01-25 05:00:00,2810373.0,118.2843,122.0,118.45,123.37,115.96,1706158800000,50918
2024-01-26 05:00:00,1524959.0,120.4482,120.07,119.84,122.13,119.0,1706245200000,31340
2024-01-29 05:00:00,1996433.0,121.046,118.65,123.2,123.28,117.38,1706504400000,38152
2024-01-30 05:00:00,1948692.0,120.4432,121.27,120.31,122.99,118.8,1706590800000,35390
2024-01-31 05:00:00,3653320.0,116.3453,119.25,114.74,120.1014,114.48,1706677200000,47755
2024-02-01 05:00:00,3398441.0,116.2414,117.0,116.78,118.1,113.29,1706763600000,51869
2024-02-02 05:00:00,2853817.0,114.1264,114.34,114.25,115.58,112.5,1706850000000,50064
2024-02-05 05:00:00,3891748.0,109.7735,111.78,108.73,112.7,108.39,1707109200000,65211
2024-02-06 05:00:00,3043287.0,112.3302,109.8,113.02,114.03,109.6,1707195600000,47365
2024-02-07 05:00:00,2427548.0,114.507,114.13,115.05,115.99,111.495,1707282000000,38777
2024-02-08 05:00:00,2473800.0,114.3469,114.07,114.33,115.3388,112.28,1707368400000,43433
2024-02-09 05:00:00,2491661.0,114.9976,113.5,115.78,116.19,113.13,1707454800000,36999
2024-02-12 05:00:00,2865801.0,120.1263,115.75,120.09,122.65,115.6589,1707714000000,51495
2024-02-13 05:00:00,3997319.0,112.7506,114.0,112.2,114.82,111.17,1707800400000,69431
2024-02-14 05:00:00,3134246.0,113.2534,113.73,114.39,114.5,111.68,1707886800000,57835
2024-02-15 05:00:00,6739167.0,118.8851,112.0,117.5,124.18,112.0,1707973200000,95339
2024-02-16 05:00:00,4406238.0,122.9957,118.87,122.59,125.85,118.77,1708059600000,69765
2024-02-20 05:00:00,3840190.0,115.1871,122.1,114.82,122.1,113.4,1708405200000,67819
2024-02-21 05:00:00,3683291.0,117.6506,115.2,118.55,120.57,114.06,1708491600000,58600
2024-02-22 05:00:00,2018322.0,118.8632,117.95,118.18,120.4,116.76,1708578000000,43071
2024-02-23 05:00:00,2762346.0,119.7183,118.48,120.65,122.045,115.92,1708664400000,51148
2024-02-26 05:00:00,2080960.0,121.6132,120.0,121.52,124.25,118.75,1708923600000,38383
2024-02-27 05:00:00,3540341.0,128.6825,127.44,128.59,130.32,126.5,1709010000000,60359
2024-02-28 05:00:00,2733065.0,132.0197,130.66,132.06,133.75,129.98,1709096400000,54343
2024-02-29 05:00:00,4562992.0,138.2658,136.54,137.85,140.64,135.755,1709182800000,73646
2024-03-01 05:00:00,3286278.0,141.9514,138.38,142.8,143.19,137.8804,1709269200000,61514
2024-03-04 05:00:00,4216881.0,134.7331,140.15,133.2,140.22,133.12,1709528400000,74958
2024-03-05 05:00:00,19347681.0,113.5304,122.06,109.4,122.44,106.69,1709614800000,224451
2024-03-06 05:00:00,15606715.0,116.1679,110.28,119.59,119.83,110.28,1709701200000,137861
2024-03-07 05:00:00,4235482.0,121.4531,119.05,122.66,123.29,118.2914,1709787600000,56059
2024-03-08 05:00:00,3478996.0,119.5867,123.31,118.33,124.2536,118.0,1709874000000,53029
2024-03-11 04:00:00,4130149.0,124.1387,119.37,124.75,125.84,119.37,1710129600000,52525
2024-03-12 04:00:00,3443054.0,123.8681,127.07,123.93,128.5,121.34,1710216000000,50886
2024-03-13 04:00:00,2176855.0,125.5239,122.88,125.79,126.9,122.215,1710302400000,36699
2024-03-14 04:00:00,3010019.0,120.9109,122.5,119.89,123.25,119.1304,1710388800000,47780
2024-03-15 04:00:00,3203690.0,120.7192,119.0,122.14,123.0,116.77,1710475200000,44392
2024-03-18 04:00:00,1886178.0,124.3534,123.73,124.58,125.74,120.5,1710734400000,35038
2024-03-19 04:00:00,2326612.0,120.9379,121.5,120.54,123.3639,120.25,1710820800000,32222
2024-03-20 04:00:00,2528950.0,123.9778,120.27,124.45,126.73,119.5,1710907200000,38125
2024-03-21 04:00:00,2350942.0,125.4949,125.85,124.86,127.565,124.12,1710993600000,34497
2024-03-22 04:00:00,2454915.0,121.8515,121.99,120.86,125.13,120.79,1711080000000,36299
2024-03-25 04:00:00,2129335.0,119.3956,120.58,118.35,122.23,118.25,1711339200000,37740
2024-03-26 04:00:00,2506078.0,119.2014,119.25,119.01,120.535,117.28,1711425600000,38214
2024-03-27 04:00:00,4722632.0,126.6207,119.65,128.8,129.02,119.64,1711512000000,66054
2024-03-28 04:00:00,3988818.0,130.8679,128.98,131.74,132.42,127.27,1711598400000,56911
2024-04-01 04:00:00,2088134.0,128.814,132.0,129.18,132.8,126.88,1711944000000,37133
2024-04-02 04:00:00,2335610.0,126.5761,127.05,126.48,127.79,124.9,1712030400000,36851
2024-04-03 04:00:00,1946285.0,128.4706,127.29,128.87,129.99,125.4,1712116800000,36574
2024-04-04 04:00:00,3032916.0,124.8151,130.41,121.12,131.01,120.92,1712203200000,47818
2024-04-05 04:00:00,1901100.0,122.6568,120.24,123.45,123.74,119.64,1712289600000,34770
2024-04-08 04:00:00,3560772.0,130.8218,125.19,131.69,133.09,124.5114,1712548800000,56870
2024-04-09 04:00:00,3003502.0,129.6444,132.92,129.16,133.72,127.38,1712635200000,53284
2024-04-10 04:00:00,3605333.0,127.8251,129.35,127.65,131.74,125.41,1712721600000,59457
2024-04-11 04:00:00,3169562.0,128.7849,129.29,130.31,130.83,125.1,1712808000000,50365
2024-04-12 04:00:00,2805212.0,123.9433,129.88,122.58,130.86,122.11,1712894400000,51412
2024-04-15 04:00:00,1943505.0,121.4903,123.66,120.5,124.74,119.9,1713153600000,37962
2024-04-16 04:00:00,3493139.0,115.4554,116.88,114.11,119.05,113.89,1713240000000,56698
2024-04-17 04:00:00,2080628.0,115.5987,115.35,114.39,117.91,114.33,1713326400000,38367
2024-04-18 04:00:00,2208183.0,112.2207,114.62,111.8,114.93,110.51,1713412800000,44651
2024-04-19 04:00:00,1976050.0,112.8529,111.68,112.15,114.75,111.27,1713499200000,34466
2024-04-22 04:00:00,2281919.0,111.5131,111.77,112.29,113.78,108.3,1713758400000,43286
2024-04-23 04:00:00,1782667.0,114.525,111.25,114.21,115.93,110.2814,1713844800000,33452
2024-04-24 04:00:00,2235296.0,114.3759,114.3,115.27,115.73,112.18,1713931200000,34865
2024-04-25 04:00:00,1421058.0,113.5397,113.53,114.98,115.53,111.05,1714017600000,33206
2024-04-26 04:00:00,1723562.0,116.8809,116.01,116.88,118.07,114.83,1714104000000,31933
2024-04-29 04:00:00,3867169.0,124.809,122.5,125.73,125.89,122.19,1714363200000,59829
2024-04-30 04:00:00,3574586.0,120.7109,122.99,120.31,124.43,119.62,1714449600000,48663
2024-05-01 04:00:00,2701547.0,119.7293,120.52,119.0,123.06,117.74,1714536000000,49303
2024-05-02 04:00:00,4490002.0,124.2332,117.5,125.3,127.4799,117.35,1714622400000,68630
2024-05-03 04:00:00,2600059.0,128.7919,128.1,128.1,130.93,127.38,1714708800000,44505
2024-05-06 04:00:00,1959492.0,129.9021,130.48,130.78,131.5,127.65,1714968000000,36933
2024-05-07 04:00:00,2429739.0,132.9038,130.35,131.55,135.75,130.01,1715054400000,41232
2024-05-08 04:00:00,1810647.0,129.9729,128.11,130.46,130.88,126.8,1715140800000,30193
2024-05-09 04:00:00,1963887.0,132.4848,131.21,133.55,133.89,129.5001,1715227200000,37777
2024-05-10 04:00:00,1920618.0,130.2731,133.9,129.62,133.9,129.0567,1715313600000,35409
2024-05-13 04:00:00,1562712.0,132.2592,131.11,131.51,134.29,130.47,1715572800000,30439
2024-05-14 04:00:00,2161769.0,135.5272,133.0,135.46,137.0,132.865,1715659200000,40768
2024-05-15 04:00:00,3929707.0,128.2613,137.26,127.57,137.4958,126.65,1715745600000,69164
2024-05-16 04:00:00,1743633.0,128.9024,128.61,129.19,130.44,126.7501,1715832000000,33598
2024-05-17 04:00:00,2283339.0,131.9912,129.67,131.12,134.75,129.25,1715918400000,42276
2024-05-20 04:00:00,2202923.0,128.5393,131.0,130.15,131.0,126.3,1716177600000,37979
2024-05-21 04:00:00,1655269.0,127.5087,128.83,126.64,130.8,126.64,1716264000000,29655
2024-05-22 04:00:00,2423548.0,126.0823,124.0,126.48,128.35,122.8016,1716350400000,44400
2024-05-23 04:00:00,1754358.0,123.9549,126.76,122.95,126.76,122.67,1716436800000,32087
2024-05-24 04:00:00,1445741.0,126.5896,123.96,127.59,127.7,123.64,1716523200000,29618
2024-05-28 04:00:00,2105265.0,128.0132,128.28,127.76,129.5,125.895,1716868800000,35957
2024-05-29 04:00:00,1765868.0,124.1083,124.71,123.44,126.36,123.41,1716955200000,34888
2024-05-30 04:00:00,1557753.0,124.2222,123.57,123.78,125.94,123.32,1717041600000,30942
2024-05-31 04:00:00,3525435.0,122.4795,124.19,122.59,125.3,120.205,1717128000000,42972
2024-06-03 04:00:00,2123759.0,121.3224,124.84,120.89,124.84,119.79,1717387200000,35352
2024-06-04 04:00:00,2119612.0,118.9081,119.75,118.31,120.63,118.04,1717473600000,34101
2024-06-05 04:00:00,1645837.0,118.9341,119.06,118.65,120.275,117.48,1717560000000,31718
2024-06-06 04:00:00,3002649.0,116.4034,117.0,118.18,118.52,114.43,1717646400000,50182
2024-06-07 04:00:00,2056806.0,115.3068,116.78,114.94,117.56,114.23,1717732800000,38432
2024-06-10 04:00:00,1701685.0,114.2194,114.0,114.06,114.89,112.4214,1717992000000,35422
2024-06-11 04:00:00,1957089.0,113.4042,113.54,113.97,114.16,112.1392,1718078400000,34142
2024-06-12 04:00:00,2723614.0,114.3121,117.0,112.65,118.8,111.78,1718164800000,48554
2024-06-13 04:00:00,4262418.0,108.8794,111.6,108.23,113.2899,107.67,1718251200000,68677
2024-06-14 04:00:00,3910603.0,104.3566,107.1,103.51,108.59,103.32,1718337600000,64362
2024-06-17 04:00:00,4291355.0,100.5754,102.74,100.63,104.1633,98.95,1718596800000,68757
2024-06-18 04:00:00,3526940.0,99.9379,100.36,99.54,102.5,98.7,1718683200000,57804
2024-06-20 04:00:00,5663792.0,95.232,97.7,93.79,97.9877,93.73,1718856000000,79513
2024-06-21 04:00:00,5567445.0,94.4585,93.0,94.66,96.0,92.29,1718942400000,55748
2024-06-24 04:00:00,3280617.0,95.4798,93.55,96.4,96.53,93.19,1719201600000,49164
2024-06-25 04:00:00,3220878.0,93.953,95.2,92.77,96.11,92.61,1719288000000,49782
2024-06-26 04:00:00,4847629.0,98.7337,95.52,100.28,100.63,95.03,1719374400000,74107
2024-06-27 04:00:00,4049923.0,96.8374,98.48,96.27,99.1,94.8805,1719460800000,55565
2024-06-28 04:00:00,4489171.0,94.7875,96.5,95.52,96.6,93.54,1719547200000,56647
2024-07-01 04:00:00,2451651.0,96.5262,95.25,97.41,97.44,94.82,1719806400000,37866
2024-07-02 04:00:00,4115185.0,98.1911,98.81,97.06,102.5553,96.0,1719892800000,56860
2024-07-03 04:00:00,2309128.0,99.9071,98.1,100.09,101.38,97.0,1719979200000,37653
2024-07-05 04:00:00,2229817.0,98.1335,98.78,98.35,100.34,97.11,1720152000000,37037
2024-07-08 04:00:00,2194027.0,100.0967,99.15,99.15,101.65,99.11,1720411200000,34195
2024-07-09 04:00:00,6427701.0,92.0689,96.85,90.47,98.02,90.32,1720497600000,89420
2024-07-10 04:00:00,4153877.0,95.0187,91.04,96.9,97.3,90.75,1720584000000,65289
2024-07-11 04:00:00,2708662.0,98.3744,98.36,97.95,100.195,96.9101,1720670400000,49792
2024-07-12 04:00:00,1968423.0,97.7548,98.98,97.87,99.7,96.8301,1720756800000,35902
2024-07-15 04:00:00,2640030.0,95.3056,93.6,95.49,96.95,93.12,1721016000000,47953
2024-07-16 04:00:00,2586747.0,96.2553,95.36,97.71,98.09,94.27,1721102400000,42264
2024-07-17 04:00:00,2469028.0,95.2892,97.31,95.08,99.255,92.65,1721188800000,46195
2024-07-18 04:00:00,2324922.0,95.3243,94.61,93.81,98.22,93.45,1721275200000,39935
