date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,131864888.0,163.1503,166.2,162.67,168.6,158.22,1705554000000,951913
2024-01-19 05:00:00,140367915.0,168.3515,165.8,174.23,174.25,162.2,1705640400000,982893
2024-01-22 05:00:00,122973822.0,168.2782,174.39,168.18,174.72,164.15,1705899600000,1000196
2024-01-23 05:00:00,76830455.0,167.8756,166.5,168.42,169.6299,164.27,1705986000000,598013
2024-01-24 05:00:00,125516387.0,177.4052,172.55,178.29,180.58,170.56,1706072400000,968835
2024-01-25 05:00:00,127171448.0,181.234,183.41,180.33,184.92,177.63,1706158800000,1031686
2024-01-26 05:00:00,107381172.0,177.7887,175.29,177.25,181.23,174.15,1706245200000,830791
2024-01-29 05:00:00,89384452.0,176.4488,178.77,177.83,178.885,174.4,1706504400000,728174
2024-01-30 05:00:00,122265677.0,173.1176,176.13,172.06,178.48,169.52,1706590800000,1063617
2024-01-31 05:00:00,133157264.0,167.1219,165.74,167.69,171.3,162.5602,1706677200000,1097272
2024-02-01 05:00:00,91576685.0,168.7462,169.27,170.48,171.14,165.86,1706763600000,681908
2024-02-02 05:00:00,82134266.0,176.9154,173.79,177.66,179.0,173.05,1706850000000,754735
2024-02-05 05:00:00,76349244.0,174.689,179.09,174.23,180.01,171.11,1707109200000,625350
2024-02-06 05:00:00,68854127.0,168.1424,173.15,167.88,173.88,165.5,1707195600000,618796
2024-02-07 05:00:00,53665418.0,170.4948,169.47,170.94,172.97,168.2,1707282000000,443334
2024-02-08 05:00:00,43385275.0,170.165,170.33,169.35,172.17,168.6,1707368400000,403893
2024-02-09 05:00:00,56375713.0,172.2819,171.0,172.48,175.1,168.6601,1707454800000,466068
2024-02-12 05:00:00,58177053.0,174.3909,172.68,171.91,177.405,170.67,1707714000000,548333
2024-02-13 05:00:00,63071311.0,170.3399,167.94,171.54,173.17,164.3,1707800400000,601190
2024-02-14 05:00:00,57402522.0,176.4646,173.47,178.7,178.74,172.88,1707886800000,556501
2024-02-15 05:00:00,51126437.0,177.0949,179.14,176.76,180.5,175.26,1707973200000,474227
2024-02-16 05:00:00,53940342.0,175.5961,177.45,173.87,180.3301,173.25,1708059600000,490114
2024-02-20 05:00:00,66549992.0,165.0389,171.14,165.69,171.81,162.0,1708405200000,697006
2024-02-21 05:00:00,48774556.0,163.7694,162.74,164.29,164.9,161.81,1708491600000,483937
2024-02-22 05:00:00,100684733.0,180.4102,173.2,181.86,183.83,172.0,1708578000000,958680
2024-02-23 05:00:00,69207367.0,177.5534,181.86,176.52,183.8,174.55,1708664400000,661272
2024-02-26 05:00:00,45435093.0,176.7206,178.78,176.01,179.84,174.81,1708923600000,437287
2024-02-27 05:00:00,43665241.0,176.7669,175.92,178.0,178.46,172.49,1709010000000,417003
2024-02-28 05:00:00,35914414.0,175.6345,176.25,176.54,176.84,173.59,1709096400000,354430
2024-02-29 05:00:00,105538483.0,188.059,179.82,192.53,193.0,179.82,1709182800000,938546
2024-03-01 05:00:00,103820773.0,199.7643,197.91,202.64,202.72,195.42,1709269200000,961935
2024-03-04 05:00:00,86835338.0,207.6804,205.16,205.36,211.01,203.5,1709528400000,836663
2024-03-05 05:00:00,65407112.0,202.4287,200.5,205.13,205.33,199.15,1709614800000,664027
2024-03-06 05:00:00,86686987.0,210.8289,210.43,210.63,214.8109,207.32,1709701200000,776247
2024-03-07 05:00:00,63869038.0,211.0922,212.52,211.38,213.83,208.22,1709787600000,620517
2024-03-08 05:00:00,120815222.0,214.2766,213.41,207.39,227.3,205.6,1709874000000,1110430
2024-03-11 04:00:00,73098616.0,199.8563,203.01,198.39,203.55,196.701,1710129600000,778013
2024-03-12 04:00:00,68951657.0,199.9399,200.52,202.76,202.8499,194.27,1710216000000,664420
2024-03-13 04:00:00,70526879.0,195.2101,198.73,194.79,198.83,192.7001,1710302400000,703703
2024-03-14 04:00:00,84490526.0,189.7564,192.92,187.06,196.93,184.03,1710388800000,757436
2024-03-15 04:00:00,95289509.0,191.1237,184.83,191.06,193.7999,184.48,1710475200000,726524
2024-03-18 04:00:00,59306865.0,191.244,193.285,190.65,193.5,188.05,1710734400000,537242
2024-03-19 04:00:00,83509459.0,180.5153,183.16,181.42,185.6127,177.3602,1710820800000,799656
2024-03-20 04:00:00,81773114.0,178.0858,182.03,179.73,182.68,174.0,1710907200000,756119
2024-03-21 04:00:00,75265596.0,180.7294,185.97,178.68,187.69,177.66,1710993600000,640844
2024-03-22 04:00:00,57899071.0,178.0422,177.21,179.65,180.76,175.05,1711080000000,529751
2024-03-25 04:00:00,71935313.0,179.0314,172.9,178.63,182.8,172.0,1711339200000,637330
2024-03-26 04:00:00,65322445.0,179.4673,179.54,177.87,182.5983,176.33,1711425600000,566860
2024-03-27 04:00:00,55685645.0,178.0349,179.96,179.59,181.23,175.4,1711512000000,469617
2024-03-28 04:00:00,57628614.0,181.2038,179.47,180.49,183.4,178.3,1711598400000,457671
