date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2881022.0,203.59,205.25,203.91,206.79,202.54,1705554000000,47530
2024-01-19 05:00:00,1986366.0,204.0058,204.66,203.87,205.14,202.78,1705640400000,35019
2024-01-22 05:00:00,2185510.0,204.1618,204.1,204.02,206.69,201.95,1705899600000,38847
2024-01-23 05:00:00,2108946.0,202.2806,204.76,202.26,205.29,201.38,1705986000000,33027
2024-01-24 05:00:00,3308619.0,197.7312,203.1,196.76,203.4,195.96,1706072400000,56709
2024-01-25 05:00:00,2510687.0,199.8816,199.39,200.21,201.635,198.0,1706158800000,48064
2024-01-26 05:00:00,1831069.0,197.6623,199.2,197.29,199.83,197.08,1706245200000,30887
2024-01-29 05:00:00,2466044.0,198.0146,197.08,199.11,199.3,195.76,1706504400000,38462
2024-01-30 05:00:00,2428092.0,196.7708,198.5,195.56,199.0,195.36,1706590800000,38863
2024-01-31 05:00:00,2454201.0,196.8402,196.9,195.65,200.87,194.75,1706677200000,40020
2024-02-01 05:00:00,2700870.0,197.0969,195.335,198.39,198.43,193.37,1706763600000,45204
2024-02-02 05:00:00,2913979.0,192.8438,195.0,193.51,195.55,189.33,1706850000000,50025
2024-02-05 05:00:00,2489076.0,189.2769,191.05,189.47,191.69,187.82,1707109200000,43520
2024-02-06 05:00:00,1777672.0,191.6185,189.47,191.67,192.57,189.15,1707195600000,27449
2024-02-07 05:00:00,2254848.0,192.9609,192.29,193.62,193.86,190.55,1707282000000,37283
2024-02-08 05:00:00,2001165.0,193.2708,192.63,193.64,194.25,191.63,1707368400000,31557
2024-02-09 05:00:00,1903969.0,193.6776,193.4,194.44,194.51,191.64,1707454800000,26457
2024-02-12 05:00:00,1589691.0,192.5373,194.99,191.77,195.41,191.44,1707714000000,29197
2024-02-13 05:00:00,3512561.0,187.2355,188.17,188.42,188.7,184.05,1707800400000,49875
2024-02-14 05:00:00,1818138.0,188.5894,188.85,188.49,190.0275,186.84,1707886800000,30553
2024-02-15 05:00:00,2412001.0,189.091,189.97,189.46,190.725,187.74,1707973200000,43549
