date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,5286512.0,30.5583,30.79,30.68,30.81,30.23,1705554000000,50349
2024-01-19 05:00:00,6662236.0,30.2711,30.5,30.37,30.5468,29.95,1705640400000,61912
2024-01-22 05:00:00,5194670.0,30.6418,30.37,30.71,30.91,30.09,1705899600000,50691
2024-01-23 05:00:00,5540997.0,30.7619,30.53,30.85,31.1,30.45,1705986000000,44788
2024-01-24 05:00:00,5783544.0,31.2188,31.11,31.37,31.48,30.795,1706072400000,55695
2024-01-25 05:00:00,4761921.0,31.6393,31.49,32.04,32.05,31.1,1706158800000,47038
2024-01-26 05:00:00,4159538.0,32.0295,32.07,32.11,32.265,31.63,1706245200000,40489
2024-01-29 05:00:00,4862325.0,31.6827,32.05,31.87,32.12,31.39,1706504400000,46962
2024-01-30 05:00:00,5113928.0,32.0844,31.45,32.42,32.475,31.36,1706590800000,53284
2024-01-31 05:00:00,5400344.0,31.6941,32.47,31.33,32.52,31.29,1706677200000,50161
2024-02-01 05:00:00,6403688.0,31.0623,31.44,30.8,31.71,30.61,1706763600000,63446
2024-02-02 05:00:00,4652278.0,30.4215,30.76,30.24,30.76,30.16,1706850000000,45264
2024-02-05 05:00:00,5603988.0,29.8336,30.02,29.81,30.2,29.47,1707109200000,51573
2024-02-06 05:00:00,4671969.0,30.4784,30.01,30.52,30.77,29.82,1707195600000,51036
2024-02-07 05:00:00,3937339.0,30.5122,30.58,30.55,30.86,30.17,1707282000000,47890
2024-02-08 05:00:00,6213750.0,30.5232,30.59,30.47,30.81,30.3,1707368400000,52920
2024-02-09 05:00:00,5287720.0,30.1771,30.52,29.87,30.69,29.8025,1707454800000,52112
2024-02-12 05:00:00,6317483.0,30.5956,30.02,30.48,30.84,30.02,1707714000000,59683
2024-02-13 05:00:00,6006504.0,29.7071,30.37,29.63,30.46,29.4697,1707800400000,62030
2024-02-14 05:00:00,6141476.0,29.8787,29.75,29.8,30.35,29.655,1707886800000,53451
2024-02-15 05:00:00,6701934.0,30.9987,29.99,31.25,31.47,29.96,1707973200000,66675
2024-02-16 05:00:00,8155891.0,31.4796,31.31,31.57,31.91,30.94,1708059600000,54112
2024-02-20 05:00:00,6566269.0,31.1736,31.5,30.98,31.64,30.94,1708405200000,60423
2024-02-21 05:00:00,8277144.0,31.5803,31.12,31.44,31.99,31.08,1708491600000,77314
2024-02-22 05:00:00,13861360.0,30.3593,31.19,30.22,31.2,29.94,1708578000000,124083
2024-02-23 05:00:00,7868187.0,30.0871,29.76,30.03,30.475,29.58,1708664400000,69926
2024-02-26 05:00:00,5751702.0,29.7881,29.97,29.62,30.315,29.595,1708923600000,53333
2024-02-27 05:00:00,6607143.0,30.1411,29.85,30.2,30.47,29.7,1709010000000,57736
2024-02-28 05:00:00,4815146.0,30.0268,30.18,29.95,30.49,29.72,1709096400000,49382
2024-02-29 05:00:00,6496160.0,29.8481,30.09,29.79,30.3,29.625,1709182800000,47039
2024-03-01 05:00:00,6266958.0,30.4153,30.21,30.41,30.665,29.935,1709269200000,64052
2024-03-04 05:00:00,6582422.0,30.32,30.67,30.03,30.68,29.985,1709528400000,60119
2024-03-05 05:00:00,5866639.0,30.4827,30.03,30.46,30.695,29.91,1709614800000,56443
2024-03-06 05:00:00,4716074.0,30.6673,30.91,30.63,30.97,30.41,1709701200000,44388
2024-03-07 05:00:00,4730966.0,30.6341,30.53,30.55,30.917,30.42,1709787600000,44537
2024-03-08 05:00:00,5703651.0,30.8629,30.55,30.81,31.13,30.53,1709874000000,47478
2024-03-11 04:00:00,4475626.0,31.0252,30.6,31.2,31.24,30.42,1710129600000,40510
2024-03-12 04:00:00,4968992.0,31.3295,31.36,31.44,31.485,30.9,1710216000000,49222
2024-03-13 04:00:00,7910417.0,32.5576,31.85,32.56,32.895,31.84,1710302400000,56728
2024-03-14 04:00:00,8569089.0,32.5435,32.75,32.47,32.95,32.29,1710388800000,62041
2024-03-15 04:00:00,22213285.0,32.0893,32.24,32.0,32.83,31.86,1710475200000,70782
2024-03-18 04:00:00,5540009.0,32.5115,32.24,32.34,32.87,32.07,1710734400000,52996
2024-03-19 04:00:00,7294834.0,33.0819,32.39,33.14,33.314,32.31,1710820800000,57853
2024-03-20 04:00:00,5679225.0,33.5089,32.77,33.79,33.97,32.62,1710907200000,53358
2024-03-21 04:00:00,4453324.0,33.7927,33.8,33.91,34.1194,33.46,1710993600000,45694
2024-03-22 04:00:00,5746554.0,33.5658,33.85,33.46,34.03,33.405,1711080000000,44803
2024-03-25 04:00:00,12154233.0,34.4201,33.66,34.59,34.745,33.62,1711339200000,66015
2024-03-26 04:00:00,11751244.0,33.4185,34.52,32.88,34.8,32.805,1711425600000,96006
2024-03-27 04:00:00,7795092.0,33.4372,32.73,33.71,33.74,32.55,1711512000000,72882
2024-03-28 04:00:00,26801628.0,34.3888,34.1,34.38,34.73,33.91,1711598400000,102710
2024-04-01 04:00:00,8326077.0,35.1375,34.53,35.43,35.485,34.305,1711944000000,65749
2024-04-02 04:00:00,7179801.0,35.2421,35.56,35.34,35.715,34.8,1712030400000,59014
2024-04-03 04:00:00,9794865.0,35.4204,35.57,35.21,35.91,34.875,1712116800000,78812
2024-04-04 04:00:00,6932654.0,35.4709,35.37,35.43,35.8406,34.99,1712203200000,66300
2024-04-05 04:00:00,6055803.0,35.5363,35.33,35.74,35.86,35.01,1712289600000,54459
2024-04-08 04:00:00,6294686.0,35.2143,35.73,35.04,36.045,34.93,1712548800000,58426
2024-04-09 04:00:00,6547839.0,34.8027,35.13,34.89,35.33,34.53,1712635200000,55483
2024-04-10 04:00:00,5797112.0,34.801,34.48,35.05,35.175,34.38,1712721600000,59405
2024-04-11 04:00:00,4740057.0,34.4559,35.23,34.4,35.24,34.14,1712808000000,44550
2024-04-12 04:00:00,7068505.0,34.269,34.85,33.72,35.25,33.64,1712894400000,65775
2024-04-15 04:00:00,8170599.0,33.3487,33.54,33.16,33.8798,33.0,1713153600000,61148
2024-04-16 04:00:00,6090513.0,32.4693,32.79,32.5,32.97,32.11,1713240000000,60036
2024-04-17 04:00:00,5993654.0,32.3777,32.5,32.26,32.875,32.135,1713326400000,58121
2024-04-18 04:00:00,5679728.0,32.4228,32.38,32.43,32.745,32.115,1713412800000,55509
2024-04-19 04:00:00,4814465.0,32.495,32.16,32.36,32.95,32.15,1713499200000,48342
2024-04-22 04:00:00,4376121.0,32.3876,32.23,32.47,32.66,31.77,1713758400000,45323
2024-04-23 04:00:00,6781874.0,32.1248,32.11,32.06,32.38,31.71,1713844800000,53185
2024-04-24 04:00:00,4522158.0,31.9615,31.98,32.05,32.185,31.64,1713931200000,43130
2024-04-25 04:00:00,8115840.0,32.2047,32.09,32.36,32.44,31.5311,1714017600000,46988
2024-04-26 04:00:00,4801253.0,32.3714,32.26,32.49,32.59,32.02,1714104000000,40479
2024-04-29 04:00:00,4261769.0,32.6526,32.41,32.72,32.8303,32.39,1714363200000,45204
2024-04-30 04:00:00,6414030.0,31.7415,32.46,31.44,32.495,31.41,1714449600000,56833
2024-05-01 04:00:00,7638634.0,30.6296,31.09,30.5,31.37,30.15,1714536000000,68722
2024-05-02 04:00:00,13332138.0,29.3116,30.12,29.18,30.82,28.9001,1714622400000,103433
2024-05-03 04:00:00,9600753.0,29.196,29.27,29.26,29.79,28.92,1714708800000,70724
2024-05-06 04:00:00,6306619.0,29.8958,29.47,29.92,30.21,29.41,1714968000000,53766
2024-05-07 04:00:00,5697700.0,30.2554,29.93,30.26,30.575,29.93,1715054400000,52918
2024-05-08 04:00:00,5897984.0,30.4153,30.01,30.51,30.74,29.87,1715140800000,49699
2024-05-09 04:00:00,4542233.0,30.7386,30.65,30.88,30.91,30.45,1715227200000,39521
2024-05-10 04:00:00,4247787.0,30.5032,30.98,30.38,31.13,30.32,1715313600000,40809
2024-05-13 04:00:00,3969624.0,30.1293,30.35,30.2,30.62,29.9,1715572800000,43575
2024-05-14 04:00:00,4327345.0,30.1412,30.1,30.17,30.42,29.935,1715659200000,40789
2024-05-15 04:00:00,5164263.0,30.3122,30.15,30.54,30.6,29.71,1715745600000,49831
2024-05-16 04:00:00,4447450.0,30.4399,30.54,30.51,30.65,30.201,1715832000000,38226
2024-05-17 04:00:00,3786252.0,30.7289,30.505,30.88,31.01,30.33,1715918400000,35847
2024-05-20 04:00:00,4427432.0,30.9583,30.98,30.9,31.28,30.7401,1716177600000,40901
2024-05-21 04:00:00,5116217.0,30.7794,30.52,30.72,31.12,30.51,1716264000000,45189
2024-05-22 04:00:00,6192112.0,30.2299,30.62,30.13,30.73,29.88,1716350400000,56103
2024-05-23 04:00:00,5294332.0,29.6562,30.35,29.52,30.529,29.35,1716436800000,52838
2024-05-24 04:00:00,3933550.0,29.4791,29.74,29.36,29.94,29.34,1716523200000,40047
2024-05-28 04:00:00,4687898.0,29.7891,29.61,29.83,30.03,29.552,1716868800000,44925
2024-05-29 04:00:00,7221011.0,29.1363,29.8,29.17,29.97,28.7325,1716955200000,70042
2024-05-30 04:00:00,5421060.0,29.697,29.16,29.73,29.859,29.16,1717041600000,55091
2024-05-31 04:00:00,14922031.0,30.4766,29.85,30.53,30.64,29.8024,1717128000000,59024
2024-06-03 04:00:00,8022893.0,29.6039,30.65,29.44,30.7,29.24,1717387200000,62813
2024-06-04 04:00:00,5729624.0,28.9616,29.13,28.96,29.26,28.67,1717473600000,57693
2024-06-05 04:00:00,4674553.0,28.9967,29.08,29.0,29.24,28.815,1717560000000,49417
2024-06-06 04:00:00,3577813.0,29.156,28.93,29.23,29.335,28.81,1717646400000,39073
2024-06-07 04:00:00,3621559.0,28.9987,28.97,28.85,29.36,28.7,1717732800000,39999
2024-06-10 04:00:00,4278571.0,29.4556,28.99,29.47,29.755,28.87,1717992000000,38803
2024-06-11 04:00:00,4158350.0,29.56,29.17,29.69,29.75,28.99,1718078400000,39443
2024-06-12 04:00:00,6211743.0,29.6779,30.08,29.33,30.49,29.16,1718164800000,60937
2024-06-13 04:00:00,5387366.0,28.5808,29.07,28.57,29.23,28.21,1718251200000,49554
2024-06-14 04:00:00,9514786.0,27.7105,28.16,27.82,28.29,27.36,1718337600000,85343
2024-06-17 04:00:00,5541160.0,27.97,27.9,27.94,28.2,27.505,1718596800000,55650
2024-06-18 04:00:00,5601281.0,28.2033,28.0,28.0,28.57,27.885,1718683200000,54368
2024-06-20 04:00:00,4879372.0,28.2617,28.04,28.3,28.48,27.17,1718856000000,47044
2024-06-21 04:00:00,12079109.0,28.1102,28.3,28.09,28.42,27.985,1718942400000,40638
2024-06-24 04:00:00,6535875.0,29.2136,28.25,29.34,29.515,28.225,1719201600000,56218
2024-06-25 04:00:00,5178398.0,28.9383,29.27,29.0,29.305,28.71,1719288000000,44089
2024-06-26 04:00:00,5614376.0,28.6558,28.96,28.64,28.99,28.35,1719374400000,45546
