date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3338338.0,78.576,79.24,79.01,79.44,77.46,1705554000000,41131
2024-01-19 05:00:00,4232656.0,78.8121,78.68,79.0,79.39,78.0,1705640400000,40661
2024-01-22 05:00:00,3281074.0,79.972,79.47,80.0,80.69,79.175,1705899600000,38022
2024-01-23 05:00:00,4069204.0,81.75,81.61,81.64,82.875,81.05,1705986000000,41329
2024-01-24 05:00:00,4392965.0,83.0844,82.1,83.08,83.9,81.81,1706072400000,58474
2024-01-25 05:00:00,2791553.0,83.7227,83.34,84.52,84.58,82.47,1706158800000,39209
2024-01-26 05:00:00,3458383.0,86.0073,85.32,86.04,86.47,84.955,1706245200000,46679
2024-01-29 05:00:00,2581697.0,86.6987,85.26,87.44,87.47,84.99,1706504400000,36229
2024-01-30 05:00:00,4054262.0,87.0748,87.55,86.72,87.805,86.41,1706590800000,44829
2024-01-31 05:00:00,5669916.0,83.5305,85.99,81.33,88.89,81.15,1706677200000,65818
2024-02-01 05:00:00,4805103.0,82.567,81.77,83.5,83.82,80.395,1706763600000,56450
2024-02-02 05:00:00,4491342.0,83.7341,82.85,83.5,84.6,82.46,1706850000000,61778
2024-02-05 05:00:00,2699656.0,82.6411,82.81,82.23,83.47,82.05,1707109200000,39714
2024-02-06 05:00:00,3827098.0,84.2612,81.72,84.19,85.09,81.46,1707195600000,45500
2024-02-07 05:00:00,3690697.0,81.8656,82.5,82.02,83.38,81.155,1707282000000,49961
2024-02-08 05:00:00,3701620.0,81.3591,81.695,81.29,82.0,80.9,1707368400000,45652
2024-02-09 05:00:00,2928686.0,81.8636,81.12,82.02,82.39,80.85,1707454800000,41205
2024-02-12 05:00:00,2959002.0,83.5705,82.02,83.78,84.23,81.61,1707714000000,45123
2024-02-13 05:00:00,4272551.0,79.4256,80.62,79.09,81.49,78.26,1707800400000,64512
2024-02-14 05:00:00,2582363.0,79.1588,80.18,79.14,80.62,78.6,1707886800000,35664
2024-02-15 05:00:00,3658122.0,79.5398,79.99,79.41,81.0,79.11,1707973200000,50371
2024-02-16 05:00:00,3343032.0,78.6975,78.88,78.96,79.53,77.62,1708059600000,44790
2024-02-20 05:00:00,2757943.0,77.4264,77.98,77.76,78.17,76.27,1708405200000,39149
2024-02-21 05:00:00,3122000.0,77.2662,77.31,77.63,77.74,76.77,1708491600000,38327
2024-02-22 05:00:00,1941812.0,77.7765,78.2,77.8,78.77,77.32,1708578000000,29109
2024-02-23 05:00:00,2540406.0,77.3367,77.64,77.23,78.27,76.975,1708664400000,30187
2024-02-26 05:00:00,2782840.0,77.1744,76.93,77.52,77.7,76.095,1708923600000,28554
2024-02-27 05:00:00,2171777.0,78.7933,78.4,78.83,79.95,78.06,1709010000000,27778
2024-02-28 05:00:00,1515813.0,78.8343,77.73,78.77,79.4184,77.65,1709096400000,20192
2024-02-29 05:00:00,2668407.0,79.3131,79.47,79.49,80.03,78.67,1709182800000,24864
2024-03-01 05:00:00,2117793.0,79.1301,79.625,79.05,79.67,78.43,1709269200000,29634
2024-03-04 05:00:00,1495555.0,78.379,78.92,78.49,78.97,77.56,1709528400000,26985
2024-03-05 05:00:00,2632794.0,79.5092,78.0,79.43,80.62,77.81,1709614800000,43549
2024-03-06 05:00:00,2634884.0,78.2911,80.13,78.13,80.23,77.5857,1709701200000,26012
2024-03-07 05:00:00,2154119.0,78.9914,78.56,78.77,79.95,78.49,1709787600000,25311
2024-03-08 05:00:00,1356659.0,78.609,79.36,78.19,80.0,78.0,1709874000000,21676
2024-03-11 04:00:00,1971918.0,78.3418,77.69,78.51,78.92,77.45,1710129600000,28326
2024-03-12 04:00:00,1610457.0,78.7633,78.81,78.71,79.76,78.02,1710216000000,27027
2024-03-13 04:00:00,2067847.0,79.7486,78.47,79.72,80.32,78.47,1710302400000,26675
2024-03-14 04:00:00,2529880.0,76.6787,79.14,76.2,79.675,75.9475,1710388800000,32366
2024-03-15 04:00:00,3852437.0,76.9005,75.87,77.24,77.48,75.0,1710475200000,31932
2024-03-18 04:00:00,1753423.0,77.9872,78.52,77.81,78.59,77.0,1710734400000,22387
2024-03-19 04:00:00,1626352.0,77.6882,77.57,77.92,78.18,76.95,1710820800000,19389
2024-03-20 04:00:00,1602363.0,78.6634,78.01,79.01,79.2,77.98,1710907200000,22143
2024-03-21 04:00:00,2677401.0,80.2177,79.09,80.56,80.66,78.99,1710993600000,30330
2024-03-22 04:00:00,2428661.0,78.7456,80.16,78.72,80.18,77.9,1711080000000,26869
2024-03-25 04:00:00,1888587.0,78.9222,79.19,79.09,79.88,78.095,1711339200000,22863
2024-03-26 04:00:00,2180382.0,77.3781,79.35,76.59,79.6,76.41,1711425600000,30551
2024-03-27 04:00:00,2751499.0,78.2384,77.04,78.64,78.75,76.75,1711512000000,38950
2024-03-28 04:00:00,2654595.0,79.2727,79.06,79.65,79.835,78.47,1711598400000,34533
2024-04-01 04:00:00,1731418.0,79.3074,80.13,78.79,80.81,78.755,1711944000000,25354
2024-04-02 04:00:00,1596966.0,77.1616,77.51,77.16,77.8,76.65,1712030400000,26406
2024-04-03 04:00:00,1887770.0,77.2263,76.84,77.57,77.68,76.46,1712116800000,29304
2024-04-04 04:00:00,2080289.0,76.6394,78.42,75.27,78.955,75.23,1712203200000,31689
2024-04-05 04:00:00,2315773.0,74.9631,75.53,74.73,76.595,74.3406,1712289600000,31817
2024-04-08 04:00:00,3697708.0,76.1289,75.2,76.07,77.215,75.17,1712548800000,29914
2024-04-09 04:00:00,2043870.0,78.3448,76.51,78.93,78.99,76.28,1712635200000,26953
2024-04-10 04:00:00,2082718.0,75.1003,77.0,74.95,77.385,74.28,1712721600000,32710
2024-04-11 04:00:00,1449736.0,75.2745,75.2,75.77,75.97,73.85,1712808000000,26296
2024-04-12 04:00:00,1745687.0,74.0253,75.1,74.19,75.15,73.39,1712894400000,27357
2024-04-15 04:00:00,1794203.0,73.2867,74.45,73.01,74.89,72.62,1713153600000,26452
2024-04-16 04:00:00,1789752.0,72.1887,72.1,71.94,72.78,71.6,1713240000000,26938
2024-04-17 04:00:00,3727609.0,70.0598,71.15,69.35,71.885,69.3,1713326400000,50025
2024-04-18 04:00:00,1727909.0,69.4879,70.06,69.32,70.13,68.84,1713412800000,28517
2024-04-19 04:00:00,1867618.0,69.5382,68.92,69.63,69.99,68.92,1713499200000,23941
2024-04-22 04:00:00,1883810.0,70.0119,70.27,70.1,70.45,69.225,1713758400000,26130
2024-04-23 04:00:00,1902735.0,70.453,70.12,70.25,70.97,69.69,1713844800000,24665
2024-04-24 04:00:00,1860760.0,71.2751,70.45,71.4,72.33,70.19,1713931200000,30645
2024-04-25 04:00:00,1618805.0,69.796,70.52,70.13,70.895,68.93,1714017600000,26165
2024-04-26 04:00:00,2108159.0,71.2704,70.02,71.21,71.79,69.85,1714104000000,31357
2024-04-29 04:00:00,2841567.0,72.2936,71.9,72.41,72.7263,71.77,1714363200000,28905
2024-04-30 04:00:00,2752020.0,70.9491,70.81,71.0,71.48,70.4111,1714449600000,34205
2024-05-01 04:00:00,4209300.0,70.3174,70.81,69.75,71.51,69.59,1714536000000,45161
2024-05-02 04:00:00,7872692.0,77.3416,75.42,77.79,78.74,73.95,1714622400000,79247
2024-05-03 04:00:00,4769688.0,80.5809,79.45,80.82,81.24,78.845,1714708800000,55080
2024-05-06 04:00:00,4546533.0,84.2839,81.99,84.4,85.5,81.12,1714968000000,60043
2024-05-07 04:00:00,2505290.0,83.6199,84.57,83.0,85.56,82.84,1715054400000,34989
2024-05-08 04:00:00,1639646.0,82.9355,81.62,83.2,83.44,81.6,1715140800000,28291
2024-05-09 04:00:00,1591765.0,83.7828,83.59,83.69,84.54,83.315,1715227200000,26604
2024-05-10 04:00:00,2046533.0,83.1792,83.7,82.78,84.74,82.35,1715313600000,24872
2024-05-13 04:00:00,1626592.0,83.0064,83.21,82.74,84.2049,82.58,1715572800000,26093
2024-05-14 04:00:00,1312073.0,83.019,84.03,82.84,84.4,82.56,1715659200000,19852
2024-05-15 04:00:00,1893676.0,81.8413,83.68,81.73,83.8815,81.21,1715745600000,34867
2024-05-16 04:00:00,1658047.0,82.4065,81.79,82.29,82.92,81.64,1715832000000,25834
2024-05-17 04:00:00,1821978.0,82.1082,82.45,82.11,82.63,81.3,1715918400000,26494
2024-05-20 04:00:00,2235424.0,82.3285,81.85,81.94,83.37,81.75,1716177600000,26579
2024-05-21 04:00:00,1856301.0,82.1739,81.42,82.31,82.5,81.12,1716264000000,25189
2024-05-22 04:00:00,1660687.0,81.9417,81.55,81.71,82.75,81.27,1716350400000,28592
2024-05-23 04:00:00,3216304.0,80.6821,82.08,80.28,83.0,80.04,1716436800000,38467
2024-05-24 04:00:00,1689349.0,82.1276,80.72,82.55,82.58,80.72,1716523200000,26296
2024-05-28 04:00:00,1963931.0,83.037,82.63,83.13,84.19,82.3,1716868800000,30649
2024-05-29 04:00:00,2281765.0,81.5809,81.51,81.52,82.25,80.95,1716955200000,28015
2024-05-30 04:00:00,1974276.0,81.7899,81.79,81.96,82.075,81.12,1717041600000,27538
2024-05-31 04:00:00,4283154.0,83.119,81.74,83.26,83.544,81.59,1717128000000,36039
2024-06-03 04:00:00,2418180.0,84.5153,83.49,84.65,85.35,83.22,1717387200000,31948
2024-06-04 04:00:00,1777381.0,84.0571,83.73,83.79,85.04,83.565,1717473600000,30248
2024-06-05 04:00:00,2438457.0,82.1247,83.98,81.59,84.215,81.54,1717560000000,35392
2024-06-06 04:00:00,2593322.0,81.6047,80.68,81.3,82.47,80.68,1717646400000,34129
2024-06-07 04:00:00,2723797.0,81.2878,80.63,81.42,81.87,80.5,1717732800000,34683
2024-06-10 04:00:00,2481109.0,80.0528,80.74,79.66,81.42,79.35,1717992000000,36221
2024-06-11 04:00:00,2459959.0,76.9251,79.47,76.28,79.47,76.21,1718078400000,34874
2024-06-12 04:00:00,3039133.0,75.8745,76.98,75.27,77.44,74.78,1718164800000,43136
2024-06-13 04:00:00,2151248.0,74.5942,75.04,74.51,75.81,73.85,1718251200000,32452
2024-06-14 04:00:00,3007356.0,70.6017,73.645,70.3,73.8,70.11,1718337600000,41732
2024-06-17 04:00:00,2987975.0,70.4966,70.48,70.95,71.14,69.52,1718596800000,39062
2024-06-18 04:00:00,2330717.0,70.5652,71.28,70.62,72.19,69.79,1718683200000,27324
2024-06-20 04:00:00,4383599.0,72.8515,71.58,73.25,73.388,71.1,1718856000000,42233
2024-06-21 04:00:00,6794967.0,74.696,73.5,75.21,75.33,73.25,1718942400000,53186
2024-06-24 04:00:00,3470650.0,76.2824,75.52,76.09,76.81,75.49,1719201600000,42305
2024-06-25 04:00:00,4259665.0,73.2796,75.36,73.36,75.74,72.65,1719288000000,33564
2024-06-26 04:00:00,9322396.0,66.5562,66.89,67.54,69.29,65.13,1719374400000,88319
2024-06-27 04:00:00,7067016.0,68.6466,67.395,68.98,69.4,67.395,1719460800000,50852
2024-06-28 04:00:00,5158606.0,69.989,69.31,70.42,70.52,68.53,1719547200000,38968
2024-07-01 04:00:00,3529103.0,69.1565,70.67,68.44,71.33,68.4,1719806400000,39165
2024-07-02 04:00:00,3118606.0,68.9939,67.2,69.44,70.05,67.2,1719892800000,32981
2024-07-03 04:00:00,1381888.0,69.827,69.73,69.79,70.89,69.28,1719979200000,18638
2024-07-05 04:00:00,2913153.0,70.0527,69.26,70.18,70.48,69.08,1720152000000,32786
2024-07-08 04:00:00,2310987.0,70.0775,70.94,69.68,71.6,69.64,1720411200000,28602
2024-07-09 04:00:00,2826591.0,69.2552,69.57,69.08,69.98,68.31,1720497600000,27762
2024-07-10 04:00:00,2869579.0,69.6818,69.42,69.6,70.205,69.07,1720584000000,24572
2024-07-11 04:00:00,2477757.0,71.6568,70.765,71.75,72.28,70.52,1720670400000,31576
2024-07-12 04:00:00,3218331.0,72.1963,71.75,72.72,72.86,71.34,1720756800000,32747
2024-07-15 04:00:00,2361750.0,72.3285,72.04,72.26,72.71,71.85,1721016000000,25189
2024-07-16 04:00:00,1959775.0,73.0463,72.66,73.41,73.43,71.75,1721102400000,27017
2024-07-17 04:00:00,3321938.0,72.0839,72.44,72.41,72.685,70.75,1721188800000,41563
