date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,252563.0,252.7064,251.06,254.1,254.19,250.65,1705554000000,10028
2024-01-19 05:00:00,349166.0,255.1117,254.98,256.79,256.86,251.865,1705640400000,11442
2024-01-22 05:00:00,302748.0,259.8217,258.12,259.66,262.95,257.17,1705899600000,12394
2024-01-23 05:00:00,252275.0,256.1123,261.28,255.01,261.28,254.925,1705986000000,9343
2024-01-24 05:00:00,369360.0,252.4849,257.34,251.24,257.34,250.43,1706072400000,12270
2024-01-25 05:00:00,229333.0,252.5665,252.78,252.7,253.9271,250.63,1706158800000,10780
2024-01-26 05:00:00,256999.0,251.7709,252.58,251.36,254.06,249.01,1706245200000,10613
2024-01-29 05:00:00,281454.0,253.8144,251.99,254.73,254.77,251.75,1706504400000,9455
2024-01-30 05:00:00,189143.0,254.4115,254.24,254.25,255.735,253.4,1706590800000,7395
2024-01-31 05:00:00,492521.0,251.4619,254.94,249.06,255.0179,248.3783,1706677200000,10346
2024-02-01 05:00:00,519452.0,252.1236,250.65,252.7,254.135,247.04,1706763600000,10236
2024-02-02 05:00:00,362010.0,256.7428,252.7,256.99,258.62,251.1263,1706850000000,12606
2024-02-05 05:00:00,322530.0,256.3059,255.97,257.47,257.755,252.2001,1707109200000,10879
2024-02-06 05:00:00,226235.0,258.2487,258.64,259.46,259.69,255.5805,1707195600000,9721
2024-02-07 05:00:00,784916.0,266.8287,260.34,265.47,270.95,259.12,1707282000000,19571
2024-02-08 05:00:00,306156.0,267.7028,265.0,269.0,269.5,264.53,1707368400000,13413
2024-02-09 05:00:00,247690.0,270.3548,270.82,270.98,271.3891,268.44,1707454800000,9818
2024-02-12 05:00:00,482646.0,267.737,270.53,266.71,273.535,265.05,1707714000000,13443
2024-02-13 05:00:00,377146.0,264.4064,261.28,264.45,269.2799,255.68,1707800400000,15888
2024-02-14 05:00:00,307694.0,269.5523,268.02,270.84,271.42,264.87,1707886800000,11263
2024-02-15 05:00:00,257673.0,271.5153,272.1,272.79,274.78,268.0,1707973200000,10396
2024-02-16 05:00:00,250433.0,271.1735,272.02,269.8,273.91,269.71,1708059600000,9063
2024-02-20 05:00:00,296140.0,267.5038,267.38,267.7,269.16,265.23,1708405200000,10907
2024-02-21 05:00:00,395993.0,263.3019,267.03,263.73,268.19,260.265,1708491600000,13084
