date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1209332.0,54.8426,54.63,54.85,55.17,54.48,1705554000000,19033
2024-01-19 05:00:00,1982022.0,55.1263,54.96,55.53,55.57,54.06,1705640400000,22407
2024-01-22 05:00:00,1137109.0,56.166,55.61,56.35,56.43,55.39,1705899600000,16048
2024-01-23 05:00:00,1170541.0,56.7812,56.94,56.73,57.36,56.465,1705986000000,18843
2024-01-24 05:00:00,981073.0,56.1005,57.21,55.87,57.48,55.81,1706072400000,17221
2024-01-25 05:00:00,1828142.0,56.5421,56.58,56.87,56.89,55.86,1706158800000,27173
2024-01-26 05:00:00,1760834.0,57.3123,57.18,57.24,57.79,57.06,1706245200000,25319
2024-01-29 05:00:00,1008058.0,56.7697,56.95,57.0,57.02,56.3,1706504400000,18820
2024-01-30 05:00:00,1266738.0,56.6538,56.56,56.54,57.09,56.2,1706590800000,17606
2024-01-31 05:00:00,1998422.0,55.9343,56.81,55.45,56.87,55.38,1706677200000,29051
2024-02-01 05:00:00,5448566.0,58.6853,58.81,59.41,59.75,54.85,1706763600000,63040
2024-02-02 05:00:00,2668247.0,59.0202,58.81,59.48,59.85,57.05,1706850000000,33031
2024-02-05 05:00:00,2812750.0,58.2374,58.31,58.47,58.71,57.31,1707109200000,27716
2024-02-06 05:00:00,4284221.0,57.3011,57.8,57.25,58.38,56.595,1707195600000,46871
2024-02-07 05:00:00,1748226.0,58.3651,58.13,58.49,58.71,57.495,1707282000000,22404
2024-02-08 05:00:00,1973324.0,59.0807,58.58,59.14,59.57,58.34,1707368400000,26873
2024-02-09 05:00:00,1703293.0,58.9343,59.15,59.17,59.26,58.2133,1707454800000,21751
2024-02-12 05:00:00,1537842.0,60.3302,59.36,60.52,60.66,59.2,1707714000000,24553
2024-02-13 05:00:00,2172424.0,59.4264,59.63,59.82,60.125,58.8,1707800400000,26130
2024-02-14 05:00:00,3482589.0,62.0697,60.86,62.0,62.58,60.69,1707886800000,45391
2024-02-15 05:00:00,2256902.0,62.1062,62.0,62.24,62.48,61.56,1707973200000,28070
2024-02-16 05:00:00,1654161.0,62.24,61.94,62.09,62.68,61.565,1708059600000,25882
2024-02-20 05:00:00,1689012.0,62.0125,62.03,61.88,62.51,61.62,1708405200000,23680
2024-02-21 05:00:00,1565003.0,61.4722,61.88,61.67,61.88,60.995,1708491600000,21639
2024-02-22 05:00:00,1788772.0,61.5844,61.63,61.62,61.85,61.24,1708578000000,21642
2024-02-23 05:00:00,1503499.0,62.7362,62.03,62.89,62.94,61.98,1708664400000,21586
2024-02-26 05:00:00,2107139.0,62.7506,62.69,62.38,63.29,62.37,1708923600000,24298
2024-02-27 05:00:00,1720485.0,62.6325,62.72,62.61,63.55,62.3,1709010000000,23084
2024-02-28 05:00:00,1563016.0,62.8284,62.21,62.82,63.33,62.19,1709096400000,22944
2024-02-29 05:00:00,3167267.0,64.0243,62.92,64.02,64.5,62.92,1709182800000,34271
2024-03-01 05:00:00,1594954.0,64.1168,63.71,64.28,64.35,63.09,1709269200000,25116
2024-03-04 05:00:00,2254261.0,64.7604,65.2,64.52,65.5,64.34,1709528400000,27394
2024-03-05 05:00:00,1423275.0,64.1209,64.52,63.84,64.845,63.665,1709614800000,20891
2024-03-06 05:00:00,1314309.0,64.0363,64.19,64.06,64.48,63.63,1709701200000,19420
