date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1172010.0,245.9866,243.89,246.97,247.98,240.83,1705554000000,23559
2024-01-19 05:00:00,2316694.0,249.5811,246.96,249.96,251.28,244.425,1705640400000,29818
2024-01-22 05:00:00,787220.0,248.9688,250.3,248.3,252.17,247.074,1705899600000,21334
2024-01-23 05:00:00,727962.0,250.4889,249.13,251.68,251.92,248.01,1705986000000,20172
2024-01-24 05:00:00,855146.0,248.4685,248.34,247.16,250.8,246.97,1706072400000,24945
2024-01-25 05:00:00,696146.0,246.3621,247.22,246.21,249.465,245.24,1706158800000,20769
2024-01-26 05:00:00,540817.0,245.2661,247.36,244.82,248.07,244.41,1706245200000,17318
2024-01-29 05:00:00,681609.0,246.5207,243.41,247.52,248.34,242.42,1706504400000,16138
2024-01-30 05:00:00,815602.0,246.4222,245.98,247.08,248.36,243.575,1706590800000,20466
2024-01-31 05:00:00,1119869.0,248.0859,247.67,246.66,251.99,246.24,1706677200000,28061
2024-02-01 05:00:00,955585.0,246.5023,245.4,247.83,249.33,240.0,1706763600000,24478
2024-02-02 05:00:00,861460.0,243.7102,245.93,243.72,246.39,241.53,1706850000000,22529
2024-02-05 05:00:00,858664.0,242.5073,242.21,241.84,245.2275,240.5,1707109200000,23713
2024-02-06 05:00:00,1304794.0,243.73,241.0,245.55,245.88,239.96,1707195600000,25217
2024-02-07 05:00:00,773839.0,241.7111,246.44,240.54,246.44,240.54,1707282000000,20390
2024-02-08 05:00:00,743942.0,239.6154,239.89,240.3,240.54,237.52,1707368400000,18983
2024-02-09 05:00:00,689901.0,240.5882,239.88,240.98,241.36,238.9,1707454800000,21410
2024-02-12 05:00:00,962049.0,243.3904,239.45,244.74,244.95,239.45,1707714000000,26465
2024-02-13 05:00:00,3403572.0,228.5461,235.64,226.65,237.0,225.275,1707800400000,64560
2024-02-14 05:00:00,2220580.0,222.44,227.01,220.74,227.99,220.56,1707886800000,49061
2024-02-15 05:00:00,1307777.0,222.6205,221.15,223.35,225.0,220.07,1707973200000,31170
2024-02-16 05:00:00,1768123.0,219.3718,221.15,219.08,221.75,217.53,1708059600000,31102
2024-02-20 05:00:00,1919847.0,218.2026,217.56,219.21,220.25,215.6801,1708405200000,34949
2024-02-21 05:00:00,1055024.0,221.083,221.49,221.11,223.41,219.0,1708491600000,22748
2024-02-22 05:00:00,901095.0,222.0646,221.23,222.48,223.22,218.69,1708578000000,21185
2024-02-23 05:00:00,911025.0,223.5254,223.43,223.32,225.8,221.5,1708664400000,18867
2024-02-26 05:00:00,774466.0,223.3865,222.52,223.71,224.99,222.0,1708923600000,18489
2024-02-27 05:00:00,983082.0,223.6822,223.72,223.94,224.87,220.2,1709010000000,21192
2024-02-28 05:00:00,1038644.0,222.2809,222.25,221.74,224.12,221.0,1709096400000,17925
2024-02-29 05:00:00,1917844.0,217.7648,221.76,216.99,224.0,216.7,1709182800000,27012
2024-03-01 05:00:00,1085504.0,220.4707,217.46,220.95,222.02,215.35,1709269200000,24868
2024-03-04 05:00:00,1083626.0,221.0252,221.17,221.02,222.92,219.76,1709528400000,24113
2024-03-05 05:00:00,890458.0,217.541,219.65,217.23,221.5,216.5,1709614800000,21722
2024-03-06 05:00:00,1441356.0,217.8059,217.47,217.56,219.99,216.8,1709701200000,22244
2024-03-07 05:00:00,1150422.0,218.6921,219.92,219.36,219.92,216.69,1709787600000,26404
2024-03-08 05:00:00,1658043.0,224.7126,225.45,223.24,228.36,221.98,1709874000000,31682
2024-03-11 04:00:00,1218226.0,228.3767,223.3,230.07,230.22,223.2434,1710129600000,27175
2024-03-12 04:00:00,1068888.0,227.4266,229.34,227.36,229.75,225.35,1710216000000,26510
2024-03-13 04:00:00,1481162.0,226.8407,228.76,226.56,229.9,224.925,1710302400000,22493
2024-03-14 04:00:00,1611591.0,220.516,225.25,219.62,226.02,218.58,1710388800000,26444
2024-03-15 04:00:00,2407106.0,219.1279,219.15,219.31,221.305,216.8,1710475200000,24143
2024-03-18 04:00:00,1356644.0,219.3161,220.34,219.4,220.56,217.53,1710734400000,21669
2024-03-19 04:00:00,1518986.0,218.0097,218.35,218.63,219.02,215.59,1710820800000,20833
2024-03-20 04:00:00,945041.0,218.1496,217.18,218.15,219.36,216.5254,1710907200000,18682
2024-03-21 04:00:00,1001255.0,219.9111,219.33,220.75,221.74,217.95,1710993600000,19017
2024-03-22 04:00:00,1071072.0,217.6188,221.3,218.1,221.3,215.355,1711080000000,25789
2024-03-25 04:00:00,725946.0,216.6696,217.77,216.69,218.26,215.59,1711339200000,17115
2024-03-26 04:00:00,1589940.0,212.8187,216.15,212.02,216.67,211.015,1711425600000,37056
2024-03-27 04:00:00,1250002.0,214.9938,213.75,216.34,216.34,212.92,1711512000000,29094
2024-03-28 04:00:00,1912276.0,215.533,217.36,215.63,217.57,214.0,1711598400000,26984
2024-04-01 04:00:00,850408.0,214.5486,215.69,214.83,215.69,212.56,1711944000000,20566
2024-04-02 04:00:00,1462827.0,208.5205,213.09,207.64,213.44,207.58,1712030400000,32803
2024-04-03 04:00:00,904625.0,206.6066,207.71,206.38,208.7,205.36,1712116800000,23207
2024-04-04 04:00:00,776444.0,206.9484,207.24,205.3,210.0,205.22,1712203200000,19439
2024-04-05 04:00:00,954570.0,203.8002,204.28,203.87,205.185,202.175,1712289600000,23068
2024-04-08 04:00:00,723711.0,204.8897,203.89,204.95,205.77,202.91,1712548800000,17908
2024-04-09 04:00:00,969233.0,207.3023,205.02,206.52,209.0551,205.02,1712635200000,21425
2024-04-10 04:00:00,901006.0,201.6822,203.0,201.55,203.985,200.65,1712721600000,24798
2024-04-11 04:00:00,1019056.0,203.1782,202.76,203.68,204.74,200.92,1712808000000,23290
2024-04-12 04:00:00,1245896.0,200.0046,204.23,198.18,205.24,197.78,1712894400000,26455
2024-04-15 04:00:00,1159247.0,197.7307,198.73,196.8,199.53,196.4,1713153600000,26229
2024-04-16 04:00:00,872004.0,196.1001,196.2,195.15,197.73,194.94,1713240000000,23953
2024-04-17 04:00:00,1320707.0,193.3556,196.36,192.16,196.36,192.01,1713326400000,28791
2024-04-18 04:00:00,1512073.0,190.8606,191.75,190.52,192.56,189.52,1713412800000,34390
2024-04-19 04:00:00,1599713.0,192.7488,190.72,194.38,194.525,189.44,1713499200000,36087
2024-04-22 04:00:00,1119536.0,194.2087,196.19,194.11,196.775,193.23,1713758400000,32369
2024-04-23 04:00:00,1461694.0,193.7437,193.34,193.18,195.86,192.75,1713844800000,35955
2024-04-24 04:00:00,3265676.0,202.1295,198.97,201.99,205.7499,198.97,1713931200000,53879
2024-04-25 04:00:00,1590300.0,201.5789,201.21,202.46,205.3632,198.11,1714017600000,36793
2024-04-26 04:00:00,1894098.0,208.143,201.22,208.9,210.83,199.1,1714104000000,40923
2024-04-29 04:00:00,2068019.0,216.3603,208.99,215.5,218.86,208.5443,1714363200000,45238
2024-04-30 04:00:00,1225694.0,215.5732,214.66,214.82,217.73,213.58,1714449600000,31982
2024-05-01 04:00:00,916375.0,216.5196,215.56,216.13,218.66,214.7,1714536000000,24064
2024-05-02 04:00:00,877745.0,214.4349,217.99,213.51,218.4599,213.14,1714622400000,25349
2024-05-03 04:00:00,1144154.0,216.3785,215.3,217.51,217.88,213.11,1714708800000,28156
2024-05-06 04:00:00,1199848.0,220.7927,219.23,221.42,222.4,218.29,1714968000000,31939
2024-05-07 04:00:00,1156500.0,218.4652,221.52,218.92,221.98,216.08,1715054400000,29057
2024-05-08 04:00:00,758528.0,220.0717,218.0,219.72,221.53,217.0,1715140800000,19538
2024-05-09 04:00:00,754595.0,221.7816,220.67,222.75,222.91,218.885,1715227200000,18977
2024-05-10 04:00:00,655151.0,222.0483,222.76,221.5,223.95,220.01,1715313600000,17253
2024-05-13 04:00:00,1274672.0,224.5919,223.0,225.34,225.58,221.72,1715572800000,26625
2024-05-14 04:00:00,1126999.0,225.4463,226.1,226.88,227.3,222.01,1715659200000,28950
2024-05-15 04:00:00,1792660.0,234.5314,228.98,235.32,236.9,228.66,1715745600000,38770
2024-05-16 04:00:00,936678.0,229.9367,231.6,230.04,234.58,228.07,1715832000000,26529
2024-05-17 04:00:00,985059.0,229.4503,229.42,230.57,230.83,226.43,1715918400000,24038
2024-05-20 04:00:00,719121.0,231.1348,230.71,231.58,232.75,228.97,1716177600000,20981
2024-05-21 04:00:00,761248.0,227.2169,229.29,227.69,231.95,224.82,1716264000000,22946
2024-05-22 04:00:00,1225658.0,225.0769,228.0,225.21,228.0,223.02,1716350400000,28727
2024-05-23 04:00:00,1068763.0,218.7301,223.58,218.06,223.85,217.21,1716436800000,30028
2024-05-24 04:00:00,770943.0,218.1066,218.21,217.81,219.4421,217.06,1716523200000,19298
2024-05-28 04:00:00,633178.0,217.6791,216.0,218.73,218.92,215.17,1716868800000,20649
2024-05-29 04:00:00,980438.0,213.6986,216.4,214.41,216.4,210.33,1716955200000,28810
2024-05-30 04:00:00,939978.0,217.9715,214.625,220.07,220.21,212.9,1717041600000,24626
2024-05-31 04:00:00,1872380.0,224.5023,219.23,224.94,225.59,218.025,1717128000000,29192
2024-06-03 04:00:00,1220813.0,229.9861,225.3,229.8,233.19,224.58,1717387200000,30751
2024-06-04 04:00:00,1016693.0,233.2143,229.82,234.13,234.39,228.83,1717473600000,27194
2024-06-05 04:00:00,947930.0,235.7733,234.45,236.72,237.54,230.3908,1717560000000,25686
2024-06-06 04:00:00,887370.0,232.6678,235.1,231.99,236.71,230.01,1717646400000,24232
2024-06-07 04:00:00,958650.0,226.5073,230.61,225.43,230.96,224.66,1717732800000,24554
2024-06-10 04:00:00,919214.0,226.5943,224.52,225.98,229.0,224.25,1717992000000,23711
2024-06-11 04:00:00,937365.0,226.5258,225.73,225.74,228.53,225.31,1718078400000,21279
2024-06-12 04:00:00,1036684.0,230.1199,227.62,230.63,232.34,226.5329,1718164800000,21388
2024-06-13 04:00:00,994336.0,232.9483,227.72,233.84,234.385,227.06,1718251200000,25512
2024-06-14 04:00:00,747882.0,231.5462,232.56,231.69,233.71,230.255,1718337600000,19380
2024-06-17 04:00:00,993734.0,227.1627,230.83,226.46,230.83,225.615,1718596800000,25634
2024-06-18 04:00:00,757238.0,225.3018,226.59,223.65,228.5,223.02,1718683200000,18754
2024-06-20 04:00:00,676237.0,224.8784,220.94,225.58,226.33,220.375,1718856000000,20293
2024-06-21 04:00:00,3013444.0,224.1486,227.35,224.0,228.15,222.05,1718942400000,29617
2024-06-24 04:00:00,1000260.0,226.6239,225.74,226.6,227.79,223.63,1719201600000,22989
2024-06-25 04:00:00,812590.0,224.3292,225.48,223.19,229.53,222.83,1719288000000,21148
2024-06-26 04:00:00,861260.0,223.7003,221.79,224.46,225.11,220.02,1719374400000,21773
2024-06-27 04:00:00,1005470.0,228.1805,223.43,228.72,230.12,222.79,1719460800000,27466
2024-06-28 04:00:00,2242754.0,231.6328,229.5,231.82,235.49,227.73,1719547200000,32049
2024-07-01 04:00:00,862657.0,232.6069,231.41,231.77,236.81,230.645,1719806400000,22047
2024-07-02 04:00:00,860229.0,228.7665,231.71,228.82,233.17,225.1,1719892800000,19542
2024-07-03 04:00:00,580741.0,224.6431,229.45,224.61,229.45,222.735,1719979200000,13439
2024-07-05 04:00:00,458329.0,225.3164,225.03,225.65,226.42,223.05,1720152000000,13707
2024-07-08 04:00:00,535613.0,227.6766,226.47,228.07,229.415,225.8,1720411200000,15588
2024-07-09 04:00:00,518862.0,228.2767,227.71,229.06,229.33,225.59,1720497600000,14967
2024-07-10 04:00:00,522604.0,231.3826,229.85,232.75,232.82,227.92,1720584000000,13674
2024-07-11 04:00:00,667222.0,236.4283,234.5,236.8,237.98,232.47,1720670400000,18618
2024-07-12 04:00:00,1473172.0,230.0832,237.98,230.06,238.0,226.5,1720756800000,30950
2024-07-15 04:00:00,1381797.0,223.5463,230.06,221.58,230.06,221.21,1721016000000,27185
2024-07-16 04:00:00,1006178.0,224.432,221.79,225.02,228.57,220.81,1721102400000,24331
2024-07-17 04:00:00,949485.0,228.0503,223.39,228.33,230.0999,221.67,1721188800000,25520
2024-07-18 04:00:00,856347.0,226.7985,226.0,225.25,231.27,223.3,1721275200000,22323
2024-07-19 04:00:00,851787.0,225.548,225.67,226.4,227.625,222.38,1721361600000,18388
2024-07-22 04:00:00,692371.0,225.9719,227.73,226.63,228.48,223.62,1721620800000,15972
2024-07-23 04:00:00,854773.0,225.0557,226.29,224.29,228.05,223.53,1721707200000,19165
2024-07-24 04:00:00,908584.0,226.267,224.1,226.03,228.07,223.11,1721793600000,20093
2024-07-25 04:00:00,1138979.0,230.6022,227.2,227.44,236.48,226.04,1721880000000,25592
2024-07-26 04:00:00,2256077.0,212.7471,211.38,211.17,217.53,210.0,1721966400000,40591
2024-07-29 04:00:00,1538142.0,213.7565,210.94,214.43,215.61,209.75,1722225600000,27614
2024-07-30 04:00:00,1286694.0,212.8717,214.29,211.89,218.0,211.02,1722312000000,26290
2024-07-31 04:00:00,1831614.0,214.6529,212.0,213.2,217.83,211.0,1722398400000,33961
2024-08-01 04:00:00,1891980.0,209.0642,215.8,210.7,219.44,206.02,1722484800000,39914
2024-08-02 04:00:00,1768714.0,206.052,212.45,205.66,213.5,203.02,1722571200000,34399
2024-08-05 04:00:00,1394343.0,199.2479,204.12,198.39,204.82,196.9,1722830400000,30577
2024-08-06 04:00:00,1262153.0,200.8803,198.76,200.13,203.9,198.1493,1722916800000,26377
2024-08-07 04:00:00,971265.0,200.1681,201.52,199.78,203.5,198.725,1723003200000,21451
2024-08-08 04:00:00,1198462.0,203.0356,199.83,204.07,204.14,199.5,1723089600000,19540
