date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3682297.0,54.4544,54.85,54.64,54.98,53.99,1705554000000,44345
2024-01-19 05:00:00,7174034.0,54.7938,54.53,55.04,55.19,54.28,1705640400000,66691
2024-01-22 05:00:00,5682789.0,54.9625,55.11,54.83,55.56,54.74,1705899600000,44261
2024-01-23 05:00:00,3234703.0,54.7748,54.6,54.81,55.01,54.5,1705986000000,33767
2024-01-24 05:00:00,3884470.0,55.0334,54.95,54.91,55.31,54.725,1706072400000,44002
2024-01-25 05:00:00,5024665.0,55.2203,55.14,55.34,55.56,54.86,1706158800000,50396
2024-01-26 05:00:00,3115547.0,55.3249,55.46,55.33,55.83,55.13,1706245200000,33640
2024-01-29 05:00:00,5418945.0,55.5696,55.16,55.9,55.935,55.14,1706504400000,44628
2024-01-30 05:00:00,3817194.0,56.0168,56.16,56.04,56.25,55.715,1706590800000,36237
2024-01-31 05:00:00,3993397.0,55.8556,55.88,55.46,56.425,55.45,1706677200000,41361
2024-02-01 05:00:00,3594584.0,55.4287,55.5,55.5,55.83,54.68,1706763600000,44045
2024-02-02 05:00:00,4148492.0,55.7174,55.49,55.63,56.13,55.43,1706850000000,48383
2024-02-05 05:00:00,4354413.0,55.1237,55.27,55.01,55.37,54.78,1707109200000,40387
2024-02-06 05:00:00,3844197.0,55.0727,54.9,55.06,55.325,54.885,1707195600000,38245
2024-02-07 05:00:00,3391026.0,55.1792,55.13,55.27,55.45,54.66,1707282000000,36346
2024-02-08 05:00:00,2901344.0,55.0436,55.07,55.11,55.4,54.67,1707368400000,33474
2024-02-09 05:00:00,2625835.0,55.1554,55.01,55.22,55.36,54.83,1707454800000,31966
2024-02-12 05:00:00,4404297.0,55.6364,55.12,55.62,56.05,55.035,1707714000000,44993
2024-02-13 05:00:00,3888798.0,54.0079,55.01,53.89,55.14,53.4,1707800400000,49711
2024-02-14 05:00:00,3624510.0,54.4578,54.39,54.48,54.6147,54.185,1707886800000,43898
2024-02-15 05:00:00,3641505.0,55.2339,54.79,55.29,55.415,54.72,1707973200000,42559
2024-02-16 05:00:00,3057636.0,55.2831,55.21,55.15,55.69,54.775,1708059600000,37505
2024-02-20 05:00:00,4865826.0,54.885,54.04,54.87,55.19,54.03,1708405200000,44047
2024-02-21 05:00:00,3154302.0,55.1043,54.97,55.12,55.3,54.63,1708491600000,31356
2024-02-22 05:00:00,3041411.0,55.369,55.31,55.36,55.63,55.04,1708578000000,38519
2024-02-23 05:00:00,3745167.0,55.7062,55.6,55.64,56.06,55.33,1708664400000,32775
2024-02-26 05:00:00,3677776.0,55.4733,55.33,55.28,56.18,55.19,1708923600000,40232
2024-02-27 05:00:00,2530332.0,55.3982,55.3,55.55,55.59,55.17,1709010000000,33216
2024-02-28 05:00:00,3186495.0,55.7197,55.54,55.64,56.105,55.375,1709096400000,32043
2024-02-29 05:00:00,7158726.0,56.0361,55.89,56.09,56.25,55.625,1709182800000,47714
2024-03-01 05:00:00,2833518.0,55.5281,55.94,55.49,56.2,55.27,1709269200000,36009
2024-03-04 05:00:00,3890343.0,55.6942,55.16,55.49,56.21,55.16,1709528400000,48788
2024-03-05 05:00:00,3945398.0,55.9273,55.4,55.89,56.36,55.34,1709614800000,43104
2024-03-06 05:00:00,4466920.0,55.6636,55.82,55.78,55.94,55.0,1709701200000,48904
2024-03-07 05:00:00,2745753.0,55.7358,55.88,55.73,56.11,55.495,1709787600000,34318
2024-03-08 05:00:00,3290139.0,55.644,55.78,55.47,56.16,55.425,1709874000000,38859
2024-03-11 04:00:00,3013054.0,55.4817,55.04,55.61,55.885,54.88,1710129600000,36211
2024-03-12 04:00:00,3223580.0,55.246,55.75,55.12,55.82,54.95,1710216000000,36356
2024-03-13 04:00:00,4519568.0,55.3626,55.24,55.28,55.57,55.04,1710302400000,41928
2024-03-14 04:00:00,5194446.0,54.5115,55.05,54.45,55.285,54.22,1710388800000,51391
2024-03-15 04:00:00,8966963.0,54.3807,53.92,54.41,54.65,53.87,1710475200000,41993
2024-03-18 04:00:00,3178748.0,54.7709,54.57,54.94,54.95,54.21,1710734400000,32842
2024-03-19 04:00:00,3589227.0,55.1459,54.99,55.24,55.29,54.865,1710820800000,36366
2024-03-20 04:00:00,2352716.0,55.8673,55.14,56.15,56.22,54.95,1710907200000,31979
2024-03-21 04:00:00,3447324.0,57.1323,56.49,57.28,57.345,56.39,1710993600000,38855
2024-03-22 04:00:00,2769135.0,56.5859,57.29,56.47,57.45,56.405,1711080000000,32340
2024-03-25 04:00:00,2862886.0,56.5937,56.56,56.54,57.08,56.415,1711339200000,30070
2024-03-26 04:00:00,2607577.0,56.6343,56.6,56.61,56.99,56.47,1711425600000,26585
2024-03-27 04:00:00,3021668.0,56.7905,56.9,56.93,57.23,56.455,1711512000000,32314
2024-03-28 04:00:00,3116295.0,57.6156,57.11,57.62,57.885,57.05,1711598400000,32311
2024-04-01 04:00:00,2450010.0,56.9765,57.46,56.96,57.515,56.755,1711944000000,32610
2024-04-02 04:00:00,2766596.0,57.0733,56.98,57.05,57.34,56.85,1712030400000,32572
2024-04-03 04:00:00,3289625.0,57.5469,57.0,57.66,57.72,56.995,1712116800000,37612
2024-04-04 04:00:00,2465297.0,57.3249,58.0,56.77,58.275,56.69,1712203200000,34135
2024-04-05 04:00:00,3671135.0,56.6763,56.64,56.74,56.96,56.07,1712289600000,40295
2024-04-08 04:00:00,3564822.0,57.0547,56.97,57.02,57.325,56.69,1712548800000,39619
2024-04-09 04:00:00,2759822.0,57.0362,57.24,57.2,57.42,56.3647,1712635200000,33627
2024-04-10 04:00:00,3432000.0,55.8965,56.5,55.68,56.725,55.52,1712721600000,41920
2024-04-11 04:00:00,3396491.0,55.3309,55.59,55.37,55.72,54.675,1712808000000,43918
2024-04-12 04:00:00,4933875.0,55.0872,55.21,55.05,55.98,54.655,1712894400000,56804
2024-04-15 04:00:00,6132678.0,55.0484,55.81,55.09,56.07,54.57,1713153600000,66619
2024-04-16 04:00:00,8232834.0,53.9243,55.37,54.0,55.6941,52.64,1713240000000,88152
2024-04-17 04:00:00,4513903.0,54.5015,54.14,54.46,54.98,54.085,1713326400000,48919
