date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1305978.0,165.8385,167.09,165.68,168.56,162.89,1705554000000,23443
2024-01-19 05:00:00,1509525.0,170.6853,167.38,172.51,172.55,165.69,1705640400000,28298
2024-01-22 05:00:00,1779174.0,177.1801,175.72,178.02,178.66,174.1,1705899600000,32989
2024-01-23 05:00:00,2491449.0,168.283,175.75,167.67,176.28,164.92,1705986000000,45013
2024-01-24 05:00:00,1523100.0,166.0006,170.47,165.32,170.73,164.09,1706072400000,29164
2024-01-25 05:00:00,1205577.0,169.0681,168.44,169.8,169.94,166.6,1706158800000,23820
2024-01-26 05:00:00,894070.0,169.3295,169.81,169.52,171.68,167.75,1706245200000,19501
2024-01-29 05:00:00,1362923.0,175.1417,172.0,176.5,176.96,171.745,1706504400000,24825
2024-01-30 05:00:00,978450.0,176.4033,176.62,176.41,179.17,174.79,1706590800000,22697
2024-01-31 05:00:00,1147761.0,174.5926,175.01,173.73,177.9,172.81,1706677200000,24348
2024-02-01 05:00:00,767273.0,177.7846,176.25,179.02,179.07,173.975,1706763600000,19357
2024-02-02 05:00:00,868610.0,179.5916,175.64,180.75,182.54,174.4,1706850000000,23699
2024-02-05 05:00:00,861562.0,177.6767,177.87,178.18,179.4,173.76,1707109200000,21166
2024-02-06 05:00:00,647818.0,177.4602,177.95,177.95,179.17,175.805,1707195600000,17532
2024-02-07 05:00:00,1240018.0,181.4744,180.51,180.91,184.12,179.94,1707282000000,24690
2024-02-08 05:00:00,913374.0,183.9579,182.44,185.25,185.4,180.28,1707368400000,22687
2024-02-09 05:00:00,1226392.0,185.143,185.5,185.33,186.58,182.89,1707454800000,26168
2024-02-12 05:00:00,1598057.0,187.1014,186.33,187.12,188.55,184.74,1707714000000,31766
2024-02-13 05:00:00,1574685.0,180.9522,175.52,182.18,184.39,171.1375,1707800400000,34769
2024-02-14 05:00:00,1030076.0,185.757,185.82,186.73,187.47,183.11,1707886800000,24020
2024-02-15 05:00:00,1028929.0,186.5642,188.32,186.92,189.4,184.26,1707973200000,22052
2024-02-16 05:00:00,1274940.0,184.5079,183.95,183.79,186.41,183.49,1708059600000,24192
2024-02-20 05:00:00,1085703.0,182.4897,181.87,182.9,183.53,180.26,1708405200000,21863
2024-02-21 05:00:00,1351632.0,183.3321,181.54,183.66,185.61,181.46,1708491600000,27722
2024-02-22 05:00:00,2154460.0,189.4497,192.01,188.37,194.69,185.74,1708578000000,42836
2024-02-23 05:00:00,1292103.0,189.4598,188.98,188.67,192.09,186.5,1708664400000,27735
2024-02-26 05:00:00,1281033.0,190.4914,189.11,190.44,192.09,187.95,1708923600000,26006
2024-02-27 05:00:00,1976325.0,193.0418,191.57,193.16,194.885,191.29,1709010000000,25004
2024-02-28 05:00:00,1205045.0,193.1748,192.25,193.27,194.68,191.37,1709096400000,20327
2024-02-29 05:00:00,1965080.0,195.1382,194.57,195.18,196.355,193.15,1709182800000,27119
2024-03-01 05:00:00,1522825.0,199.1929,195.07,199.98,201.0,194.17,1709269200000,34111
2024-03-04 05:00:00,1688701.0,201.9605,201.82,200.84,204.985,200.4,1709528400000,34009
2024-03-05 05:00:00,1464482.0,199.3815,200.0,198.3,203.605,196.6,1709614800000,32148
2024-03-06 05:00:00,808004.0,200.9276,200.91,200.26,203.1,199.51,1709701200000,22131
2024-03-07 05:00:00,1022994.0,203.7983,202.21,204.13,204.89,201.8996,1709787600000,25119
2024-03-08 05:00:00,1029246.0,202.711,205.44,199.84,208.16,199.78,1709874000000,26046
2024-03-11 04:00:00,1787138.0,192.603,198.3,192.7,198.75,189.74,1710129600000,34061
2024-03-12 04:00:00,1066548.0,198.0262,193.5,199.66,200.04,191.66,1710216000000,27806
2024-03-13 04:00:00,909480.0,200.3332,199.26,201.14,201.97,198.21,1710302400000,23480
2024-03-14 04:00:00,1239099.0,196.3851,202.15,195.42,203.0,193.88,1710388800000,27529
2024-03-15 04:00:00,2691428.0,195.4879,194.13,195.49,197.1699,194.13,1710475200000,24224
2024-03-18 04:00:00,1068325.0,195.6462,197.4,195.3,198.43,193.805,1710734400000,20083
2024-03-19 04:00:00,1023170.0,198.2969,194.8,199.54,199.92,193.665,1710820800000,21744
2024-03-20 04:00:00,1171322.0,204.2585,199.29,206.61,207.38,199.05,1710907200000,24974
2024-03-21 04:00:00,1138854.0,211.5633,209.25,211.12,214.7,208.9962,1710993600000,28793
2024-03-22 04:00:00,925890.0,210.2978,210.8,210.54,211.9,208.035,1711080000000,18907
2024-03-25 04:00:00,983669.0,209.9868,209.45,208.78,212.24,208.73,1711339200000,20091
2024-03-26 04:00:00,949023.0,208.2941,209.52,207.04,211.85,207.03,1711425600000,20764
2024-03-27 04:00:00,684736.0,208.8133,208.35,209.68,209.91,206.475,1711512000000,18655
2024-03-28 04:00:00,1132766.0,209.0468,210.0,208.55,211.12,207.01,1711598400000,22545
2024-04-01 04:00:00,755335.0,206.4282,208.65,205.41,209.215,204.94,1711944000000,19577
2024-04-02 04:00:00,1216030.0,199.1336,201.54,199.75,201.54,196.1501,1712030400000,30057
2024-04-03 04:00:00,948333.0,202.7257,198.31,202.77,204.625,198.31,1712116800000,23755
2024-04-04 04:00:00,848886.0,203.0917,206.64,200.75,210.0,199.73,1712203200000,23964
2024-04-05 04:00:00,693992.0,203.4554,201.59,204.14,204.61,201.56,1712289600000,18236
2024-04-08 04:00:00,815376.0,202.0861,204.86,200.5,206.02,200.41,1712548800000,20521
2024-04-09 04:00:00,1060614.0,197.4872,200.94,199.19,201.605,193.0072,1712635200000,26655
2024-04-10 04:00:00,2001194.0,189.4065,189.83,187.14,192.95,186.17,1712721600000,39410
2024-04-11 04:00:00,1273920.0,188.4306,189.29,189.33,189.62,186.46,1712808000000,28584
2024-04-12 04:00:00,1066249.0,188.7036,187.0,189.53,189.66,185.85,1712894400000,25877
2024-04-15 04:00:00,1435147.0,185.1687,190.32,184.55,191.2,183.0,1713153600000,30762
2024-04-16 04:00:00,1653291.0,180.7469,179.78,182.09,183.155,177.24,1713240000000,36342
