date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,8712282.0,60.8335,60.94,61.05,61.46,60.35,1705554000000,58960
2024-01-19 05:00:00,6584085.0,60.8958,61.08,60.94,61.16,60.605,1705640400000,57975
2024-01-22 05:00:00,6417822.0,60.8214,61.3,60.74,61.4,60.55,1705899600000,58432
2024-01-23 05:00:00,5119296.0,60.5295,60.8,60.62,60.949,60.137,1705986000000,49131
2024-01-24 05:00:00,11290570.0,60.0437,60.51,59.92,60.81,59.85,1706072400000,60237
2024-01-25 05:00:00,6908078.0,60.4485,60.27,60.83,60.86,59.97,1706158800000,55267
2024-01-26 05:00:00,5748411.0,61.1136,61.08,61.13,61.31,60.72,1706245200000,51750
2024-01-29 05:00:00,5560158.0,61.1039,60.91,61.31,61.34,60.78,1706504400000,60757
2024-01-30 05:00:00,7257091.0,61.3295,61.32,61.42,61.47,61.085,1706590800000,64469
2024-01-31 05:00:00,13910767.0,63.3421,64.0,63.26,64.49,62.635,1706677200000,115262
2024-02-01 05:00:00,10526971.0,64.4527,64.47,64.82,64.905,63.39,1706763600000,87889
2024-02-02 05:00:00,10866046.0,64.4464,65.0,64.37,65.0,64.105,1706850000000,77111
2024-02-05 05:00:00,7197561.0,64.5784,64.43,64.46,65.0001,64.142,1707109200000,57900
2024-02-06 05:00:00,5522155.0,64.5001,64.68,64.79,64.83,64.08,1707195600000,53920
2024-02-07 05:00:00,6807876.0,65.1836,64.85,65.23,65.43,64.785,1707282000000,55377
2024-02-08 05:00:00,6823693.0,64.7715,65.05,65.02,65.135,64.39,1707368400000,62942
2024-02-09 05:00:00,7161773.0,65.35,65.06,65.5,65.605,64.85,1707454800000,64976
2024-02-12 05:00:00,4659272.0,64.8888,65.39,64.99,65.435,64.56,1707714000000,43940
2024-02-13 05:00:00,6911675.0,64.9801,64.81,64.97,65.4075,64.545,1707800400000,60860
2024-02-14 05:00:00,5498113.0,65.6247,65.29,65.95,66.0,65.005,1707886800000,48014
2024-02-15 05:00:00,5718561.0,65.929,66.12,66.09,66.23,65.485,1707973200000,52296
2024-02-16 05:00:00,7300469.0,66.1626,66.35,65.82,66.86,65.76,1708059600000,54228
2024-02-20 05:00:00,7580418.0,66.1992,65.86,66.22,66.66,65.79,1708405200000,66259
2024-02-21 05:00:00,6759860.0,65.6506,66.15,65.75,66.35,65.335,1708491600000,62756
2024-02-22 05:00:00,4872379.0,66.5424,65.76,66.74,66.9075,65.75,1708578000000,49909
2024-02-23 05:00:00,4599932.0,67.0297,66.89,67.0,67.32,66.65,1708664400000,36513
2024-02-26 05:00:00,4368914.0,66.8261,67.07,66.67,67.32,66.64,1708923600000,41314
2024-02-27 05:00:00,4021009.0,66.4926,66.26,66.43,66.71,66.15,1709010000000,39143
2024-02-28 05:00:00,4740486.0,66.8103,66.46,66.99,67.0,66.297,1709096400000,46595
2024-02-29 05:00:00,9710756.0,66.3021,66.83,66.21,66.83,65.995,1709182800000,66168
2024-03-01 05:00:00,5664190.0,67.0655,66.35,67.13,67.4,66.3,1709269200000,56403
2024-03-04 05:00:00,7853647.0,67.2817,67.11,67.43,67.45,66.8,1709528400000,46634
2024-03-05 05:00:00,7039289.0,67.1076,67.6,67.02,67.6725,66.77,1709614800000,50326
2024-03-06 05:00:00,6401048.0,67.1629,67.1,67.42,67.435,66.84,1709701200000,55641
2024-03-07 05:00:00,5283101.0,67.7427,67.7,67.82,68.0,67.42,1709787600000,41017
2024-03-08 05:00:00,6257814.0,67.6539,67.78,67.66,68.065,67.33,1709874000000,45262
2024-03-11 04:00:00,7995762.0,66.3874,67.53,66.12,67.69,66.035,1710129600000,70400
2024-03-12 04:00:00,6462540.0,67.1726,66.05,67.49,67.68,66.04,1710216000000,52056
2024-03-13 04:00:00,9236134.0,66.3341,67.6,66.04,67.6001,65.98,1710302400000,71166
2024-03-14 04:00:00,7327729.0,66.3754,65.94,66.86,66.91,65.52,1710388800000,65478
2024-03-15 04:00:00,8850950.0,66.2322,66.06,66.23,66.91,65.87,1710475200000,64597
2024-03-18 04:00:00,5833683.0,67.1249,66.19,67.24,67.425,66.16,1710734400000,52485
2024-03-19 04:00:00,5417145.0,67.5894,67.44,67.79,67.84,67.03,1710820800000,48405
2024-03-20 04:00:00,3882507.0,67.3673,67.72,67.44,67.825,67.035,1710907200000,41604
2024-03-21 04:00:00,4165681.0,67.618,67.43,67.56,67.84,67.31,1710993600000,34857
2024-03-22 04:00:00,4463370.0,67.5565,67.21,67.62,67.865,66.911,1711080000000,40556
2024-03-25 04:00:00,3321802.0,67.4341,67.65,67.29,67.85,67.275,1711339200000,32746
2024-03-26 04:00:00,5308830.0,67.8892,67.37,67.94,68.125,67.37,1711425600000,42248
