date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,991977.0,66.3583,66.93,66.5,67.49,65.71,1705554000000,19689
2024-01-19 05:00:00,1192539.0,67.6081,66.75,68.33,68.4,65.95,1705640400000,18071
2024-01-22 05:00:00,1468136.0,69.3638,68.88,69.7,69.72,68.5356,1705899600000,19593
2024-01-23 05:00:00,2077099.0,70.1754,70.47,70.49,71.1,69.3,1705986000000,25140
2024-01-24 05:00:00,1753762.0,70.6503,72.07,70.46,72.07,70.05,1706072400000,25090
2024-01-25 05:00:00,1132877.0,71.3836,72.04,71.5,72.44,70.57,1706158800000,21238
2024-01-26 05:00:00,1146347.0,71.2886,71.84,71.2,72.105,70.97,1706245200000,17846
2024-01-29 05:00:00,1701304.0,71.8526,71.43,72.21,72.59,70.77,1706504400000,24742
2024-01-30 05:00:00,2474241.0,70.4053,71.25,70.0,71.86,69.18,1706590800000,35334
2024-01-31 05:00:00,3157570.0,67.0807,69.5,66.5,69.5,65.76,1706677200000,41359
2024-02-01 05:00:00,3050762.0,64.4347,66.56,65.29,67.05,62.81,1706763600000,47471
2024-02-02 05:00:00,2344430.0,63.2378,63.11,63.69,64.05,61.86,1706850000000,36389
2024-02-05 05:00:00,1604830.0,62.611,62.44,62.65,63.39,61.96,1707109200000,26087
2024-02-06 05:00:00,1568680.0,63.2554,62.32,63.31,63.795,62.04,1707195600000,22800
2024-02-07 05:00:00,1455153.0,63.6417,63.64,63.77,64.23,62.91,1707282000000,25392
2024-02-08 05:00:00,1163713.0,64.8011,63.56,65.07,65.43,63.52,1707368400000,19350
2024-02-09 05:00:00,1334264.0,64.1074,64.85,64.18,65.355,63.6,1707454800000,20628
2024-02-12 05:00:00,1471697.0,65.4423,64.61,65.44,65.94,64.55,1707714000000,24462
2024-02-13 05:00:00,1890470.0,62.0138,62.79,62.54,62.87,60.75,1707800400000,30411
2024-02-14 05:00:00,1317654.0,63.2305,63.6,63.22,63.86,62.77,1707886800000,20493
2024-02-15 05:00:00,1289324.0,66.1027,64.13,66.71,66.77,63.985,1707973200000,22278
2024-02-16 05:00:00,1757051.0,67.3407,65.29,67.36,68.12,64.805,1708059600000,27287
2024-02-20 05:00:00,1546084.0,66.1161,66.15,66.03,67.0,65.52,1708405200000,23073
2024-02-21 05:00:00,1297916.0,65.8183,65.76,65.72,66.26,65.165,1708491600000,18736
2024-02-22 05:00:00,1390294.0,65.9812,66.15,65.43,67.18,65.38,1708578000000,21723
2024-02-23 05:00:00,824498.0,65.2924,65.39,65.03,65.79,64.94,1708664400000,13984
2024-02-26 05:00:00,936607.0,64.1616,64.83,64.08,65.48,63.73,1708923600000,16957
2024-02-27 05:00:00,842028.0,65.0142,64.85,64.92,65.58,64.53,1709010000000,14715
2024-02-28 05:00:00,1130522.0,64.3152,64.36,63.82,65.32,63.82,1709096400000,17988
2024-02-29 05:00:00,2119870.0,65.0299,64.96,64.72,66.17,64.57,1709182800000,24864
2024-03-01 05:00:00,1449886.0,65.8998,64.63,66.25,66.43,63.75,1709269200000,21292
2024-03-04 05:00:00,925835.0,65.8674,65.99,65.81,66.33,65.005,1709528400000,16586
2024-03-05 05:00:00,1549784.0,65.0974,65.22,64.6,66.36,64.51,1709614800000,20908
2024-03-06 05:00:00,2761258.0,62.915,65.55,63.12,65.55,61.93,1709701200000,33398
2024-03-07 05:00:00,1518862.0,63.0662,63.77,63.15,63.85,62.56,1709787600000,21860
2024-03-08 05:00:00,1038286.0,64.0084,64.27,63.94,64.97,63.69,1709874000000,17541
2024-03-11 04:00:00,838032.0,63.9013,63.61,63.83,64.625,63.325,1710129600000,13633
2024-03-12 04:00:00,729962.0,63.4885,63.57,63.59,64.33,62.66,1710216000000,12397
2024-03-13 04:00:00,1193958.0,64.2312,63.48,64.26,64.51,63.48,1710302400000,15385
2024-03-14 04:00:00,1248423.0,62.5886,63.97,62.6,64.125,61.96,1710388800000,17138
2024-03-15 04:00:00,2255700.0,62.4727,61.63,62.6,63.3,61.63,1710475200000,19122
2024-03-18 04:00:00,1029253.0,62.8356,63.03,62.83,63.28,62.43,1710734400000,16761
2024-03-19 04:00:00,1171874.0,62.7731,62.5,63.02,63.13,61.75,1710820800000,17243
2024-03-20 04:00:00,1030000.0,63.9524,62.55,64.45,64.84,62.13,1710907200000,15403
2024-03-21 04:00:00,1326595.0,66.1223,65.01,66.11,66.95,64.95,1710993600000,20226
2024-03-22 04:00:00,1381919.0,63.92,65.89,63.27,66.56,63.21,1711080000000,19898
2024-03-25 04:00:00,1733079.0,63.1741,63.57,62.89,64.41,62.77,1711339200000,17528
2024-03-26 04:00:00,1761966.0,61.7817,63.21,61.07,63.2844,60.94,1711425600000,28744
2024-03-27 04:00:00,1228320.0,62.6762,60.88,63.15,63.27,60.7532,1711512000000,18415
2024-03-28 04:00:00,1834113.0,65.1299,63.62,65.31,65.53,63.3101,1711598400000,24634
2024-04-01 04:00:00,775195.0,63.5251,65.35,63.29,65.5,63.13,1711944000000,15342
2024-04-02 04:00:00,1461685.0,61.9768,62.47,62.11,62.47,61.39,1712030400000,20989
2024-04-03 04:00:00,943596.0,62.5605,61.77,62.71,62.86,61.59,1712116800000,14875
2024-04-04 04:00:00,1525838.0,61.9686,63.49,61.42,63.76,61.22,1712203200000,23417
2024-04-05 04:00:00,1089264.0,61.2173,61.0,61.35,61.725,60.38,1712289600000,17995
2024-04-08 04:00:00,853950.0,63.1704,62.05,63.24,63.75,61.85,1712548800000,14611
2024-04-09 04:00:00,1415695.0,65.0165,63.4,65.3,65.47,63.11,1712635200000,22013
2024-04-10 04:00:00,1455361.0,61.6849,62.8,61.33,62.96,60.8,1712721600000,22822
2024-04-11 04:00:00,882363.0,62.0847,61.87,62.03,62.74,61.13,1712808000000,15742
2024-04-12 04:00:00,1122307.0,60.7069,61.65,60.61,62.18,60.23,1712894400000,17564
2024-04-15 04:00:00,1333916.0,59.0179,61.21,58.67,61.41,58.3,1713153600000,22426
2024-04-16 04:00:00,1474362.0,57.9326,58.21,57.98,58.445,57.06,1713240000000,24497
2024-04-17 04:00:00,1424682.0,58.3301,58.12,57.95,59.07,57.85,1713326400000,20359
2024-04-18 04:00:00,955829.0,58.5131,58.43,58.69,58.81,57.72,1713412800000,18537
2024-04-19 04:00:00,1446314.0,59.8279,58.85,60.2,60.26,58.85,1713499200000,23794
2024-04-22 04:00:00,1159551.0,61.1944,60.45,61.34,61.735,59.94,1713758400000,20466
2024-04-23 04:00:00,1600322.0,63.3402,61.31,62.93,64.22,61.31,1713844800000,25123
2024-04-24 04:00:00,1030346.0,62.7624,62.2,62.94,63.09,61.8,1713931200000,14692
2024-04-25 04:00:00,1178419.0,61.5821,61.7,61.95,62.19,60.53,1714017600000,16324
2024-04-26 04:00:00,845634.0,61.9919,62.08,61.51,63.61,61.43,1714104000000,15161
2024-04-29 04:00:00,909609.0,62.7778,62.27,62.84,63.11,62.27,1714363200000,14185
2024-04-30 04:00:00,1261606.0,62.3131,62.28,61.89,63.365,61.755,1714449600000,19995
2024-05-01 04:00:00,2343349.0,59.7074,58.0,59.25,61.26,56.8,1714536000000,33397
2024-05-02 04:00:00,1254378.0,59.8341,60.22,60.07,60.33,58.53,1714622400000,18368
2024-05-03 04:00:00,891709.0,60.8968,61.66,60.78,62.54,60.32,1714708800000,16266
2024-05-06 04:00:00,811989.0,61.5327,61.85,61.59,61.89,61.04,1714968000000,11241
2024-05-07 04:00:00,986821.0,61.265,61.98,60.86,62.44,60.62,1715054400000,16825
2024-05-08 04:00:00,649843.0,60.1558,60.45,60.12,60.86,59.85,1715140800000,13330
2024-05-09 04:00:00,672616.0,61.2329,60.45,61.43,61.55,60.285,1715227200000,13413
2024-05-10 04:00:00,787383.0,61.3404,61.71,61.5,61.71,60.82,1715313600000,12448
2024-05-13 04:00:00,1306360.0,62.7545,62.25,62.75,63.47,61.92,1715572800000,22407
2024-05-14 04:00:00,1251642.0,64.0126,63.74,64.05,64.55,63.53,1715659200000,21873
2024-05-15 04:00:00,1664344.0,65.0871,65.75,64.68,65.83,64.6,1715745600000,25748
2024-05-16 04:00:00,1133547.0,63.9111,64.63,63.65,64.91,63.635,1715832000000,17532
2024-05-17 04:00:00,887260.0,63.1616,63.81,63.2,63.985,62.75,1715918400000,15086
2024-05-20 04:00:00,873853.0,62.513,63.34,62.1,63.64,62.02,1716177600000,16482
2024-05-21 04:00:00,990270.0,62.3002,61.85,62.35,62.535,61.567,1716264000000,14876
2024-05-22 04:00:00,614552.0,61.8714,62.02,61.73,62.845,61.33,1716350400000,11066
2024-05-23 04:00:00,879822.0,60.0685,61.98,59.76,61.98,59.49,1716436800000,15491
2024-05-24 04:00:00,949809.0,59.5525,60.27,59.31,60.64,59.06,1716523200000,15671
2024-05-28 04:00:00,1142744.0,58.5938,59.93,58.09,60.47,58.08,1716868800000,17256
2024-05-29 04:00:00,1132795.0,56.9479,57.15,57.17,57.36,56.46,1716955200000,22775
2024-05-30 04:00:00,1213273.0,57.9854,57.59,58.19,58.22,57.24,1717041600000,19219
2024-05-31 04:00:00,2268313.0,60.3781,58.86,60.67,60.75,58.27,1717128000000,21378
2024-06-03 04:00:00,975271.0,60.1401,60.79,60.04,60.94,59.61,1717387200000,17038
2024-06-04 04:00:00,942215.0,60.2418,59.64,59.95,60.815,59.605,1717473600000,13386
2024-06-05 04:00:00,870436.0,59.8951,59.96,59.72,60.5501,59.46,1717560000000,11856
2024-06-06 04:00:00,1322079.0,60.5674,59.21,60.83,61.01,59.1,1717646400000,20598
2024-06-07 04:00:00,1536818.0,59.3604,59.64,59.26,60.3,59.0,1717732800000,23084
2024-06-10 04:00:00,1554193.0,59.209,58.6,59.08,59.91,58.2901,1717992000000,21277
2024-06-11 04:00:00,1383825.0,58.6738,58.53,58.39,59.405,58.16,1718078400000,17206
2024-06-12 04:00:00,1888087.0,60.7612,61.04,59.96,62.38,59.57,1718164800000,24927
2024-06-13 04:00:00,1685062.0,61.1138,59.98,61.3,61.71,59.75,1718251200000,20109
2024-06-14 04:00:00,1566202.0,61.5319,60.74,61.64,62.18,60.7375,1718337600000,23125
2024-06-17 04:00:00,968187.0,61.3397,61.39,61.45,61.87,60.63,1718596800000,14769
2024-06-18 04:00:00,977017.0,62.0881,61.55,62.05,62.56,61.34,1718683200000,17600
2024-06-20 04:00:00,1057252.0,61.6114,61.51,61.41,62.36,61.36,1718856000000,14442
2024-06-21 04:00:00,1563801.0,61.4986,61.51,61.5,61.83,61.0617,1718942400000,17492
2024-06-24 04:00:00,829853.0,62.163,61.73,62.19,62.7,61.425,1719201600000,13008
2024-06-25 04:00:00,1250897.0,61.7895,62.04,61.71,62.17,61.51,1719288000000,18268
2024-06-26 04:00:00,800233.0,61.0805,61.17,61.09,61.61,60.82,1719374400000,13206
2024-06-27 04:00:00,935684.0,60.9363,60.94,61.18,61.23,60.31,1719460800000,14208
2024-06-28 04:00:00,1985624.0,61.3166,60.71,61.56,61.59,60.3,1719547200000,17286
2024-07-01 04:00:00,755602.0,60.8719,61.6,60.69,61.96,60.2395,1719806400000,14219
