date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2334828.0,116.6197,117.81,117.09,118.21,115.63,1705554000000,39175
2024-01-19 05:00:00,4079489.0,118.2685,117.42,119.08,119.25,116.33,1705640400000,55914
2024-01-22 05:00:00,2973165.0,121.014,119.6,120.97,122.22,119.6,1705899600000,41237
2024-01-23 05:00:00,2637351.0,119.1826,121.09,118.98,121.6255,118.35,1705986000000,41176
2024-01-24 05:00:00,3753526.0,120.5077,120.91,120.63,121.09,119.1769,1706072400000,58397
2024-01-25 05:00:00,6069770.0,123.4561,125.09,123.49,125.21,119.91,1706158800000,87674
2024-01-26 05:00:00,3715753.0,124.4099,123.85,124.57,125.54,123.25,1706245200000,47960
2024-01-29 05:00:00,4298874.0,127.0696,124.77,127.83,127.89,124.57,1706504400000,55757
2024-01-30 05:00:00,2495713.0,127.0694,127.47,127.2,128.24,126.01,1706590800000,38906
2024-01-31 05:00:00,3154725.0,125.5606,125.95,124.45,127.29,124.33,1706677200000,42749
2024-02-01 05:00:00,5190167.0,123.7344,125.03,124.3,125.8,121.2505,1706763600000,67790
2024-02-02 05:00:00,3320436.0,123.5503,122.27,124.36,124.925,120.56,1706850000000,49712
2024-02-05 05:00:00,3604852.0,121.2226,123.0,121.25,123.24,119.93,1707109200000,49753
2024-02-06 05:00:00,3067089.0,122.5141,121.64,123.56,123.66,121.1,1707195600000,41637
2024-02-07 05:00:00,2731518.0,125.623,124.47,126.09,126.58,123.87,1707282000000,44394
2024-02-08 05:00:00,3435957.0,127.0328,125.75,127.84,128.54,125.0,1707368400000,53642
2024-02-09 05:00:00,3181604.0,127.1854,128.1,127.68,128.65,125.99,1707454800000,46876
2024-02-12 05:00:00,3981911.0,129.9382,127.32,130.08,131.29,127.1,1707714000000,57069
2024-02-13 05:00:00,6448092.0,124.4708,126.19,124.95,126.335,122.02,1707800400000,84833
2024-02-14 05:00:00,3302826.0,127.4515,126.62,127.95,128.3,125.96,1707886800000,49482
2024-02-15 05:00:00,3542437.0,129.989,129.47,130.25,130.73,128.92,1707973200000,52279
2024-02-16 05:00:00,3578366.0,128.5375,128.89,127.89,129.755,127.78,1708059600000,47201
2024-02-20 05:00:00,2982344.0,126.3099,126.72,126.33,127.11,125.6,1708405200000,40386
2024-02-21 05:00:00,2454619.0,125.9053,125.91,126.19,126.37,125.1,1708491600000,36239
2024-02-22 05:00:00,3162610.0,127.9101,128.31,127.29,129.5954,126.75,1708578000000,51785
2024-02-23 05:00:00,3380434.0,125.4864,127.96,125.11,128.3655,124.75,1708664400000,53219
2024-02-26 05:00:00,2623834.0,125.3556,125.12,125.28,126.43,124.84,1708923600000,39673
2024-02-27 05:00:00,2968521.0,126.2857,126.12,126.75,126.92,125.5,1709010000000,40348
2024-02-28 05:00:00,1986669.0,126.3652,126.17,126.32,127.27,125.62,1709096400000,33584
2024-02-29 05:00:00,3861503.0,127.6175,127.61,127.82,128.37,126.21,1709182800000,43198
2024-03-01 05:00:00,3673581.0,127.7514,127.82,128.09,129.24,126.47,1709269200000,52120
2024-03-04 05:00:00,5822481.0,126.3153,125.68,126.6,127.81,124.07,1709528400000,80887
2024-03-05 05:00:00,3856318.0,124.9672,126.27,124.82,126.7,124.12,1709614800000,58139
2024-03-06 05:00:00,3355620.0,124.0763,126.65,123.3,127.45,122.19,1709701200000,57539
2024-03-07 05:00:00,2914028.0,124.6404,125.0,124.8,125.51,123.3,1709787600000,40867
2024-03-08 05:00:00,3151451.0,126.3952,125.33,125.99,127.725,125.33,1709874000000,46041
2024-03-11 04:00:00,2958889.0,124.8783,126.2,124.57,126.2,124.04,1710129600000,45486
2024-03-12 04:00:00,2888547.0,124.2029,124.87,123.68,125.49,123.05,1710216000000,48055
2024-03-13 04:00:00,3584321.0,125.4464,124.0,126.1,126.41,123.47,1710302400000,50222
2024-03-14 04:00:00,5851200.0,124.6192,126.0,124.8,127.29,123.22,1710388800000,62448
