date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2479261.0,280.6173,280.02,281.9,282.53,277.6601,1705554000000,57711
2024-01-19 05:00:00,3115987.0,283.8374,282.32,285.28,286.08,278.95,1705640400000,54145
2024-01-22 05:00:00,2072329.0,288.7112,286.1,288.67,290.59,286.1,1705899600000,52244
2024-01-23 05:00:00,1866294.0,289.377,290.5,288.83,292.88,287.52,1705986000000,43466
2024-01-24 05:00:00,2765909.0,290.6909,290.84,290.68,292.61,288.34,1706072400000,64144
2024-01-25 05:00:00,4647055.0,299.4221,294.0,300.77,303.31,293.13,1706158800000,106994
2024-01-26 05:00:00,2920474.0,300.3835,301.0,299.43,302.98,298.66,1706245200000,62094
2024-01-29 05:00:00,2101353.0,301.2248,299.02,303.25,303.7,297.45,1706504400000,51489
2024-01-30 05:00:00,2150444.0,304.3261,300.51,304.76,305.73,300.51,1706590800000,51339
2024-01-31 05:00:00,2812955.0,301.9148,305.57,300.31,305.75,299.93,1706677200000,55133
2024-02-01 05:00:00,3196264.0,305.7126,303.24,307.69,308.07,301.94,1706763600000,66585
2024-02-02 05:00:00,4661484.0,312.9648,307.0,315.09,317.37,305.995,1706850000000,95277
2024-02-05 05:00:00,6557542.0,323.0038,334.87,321.4,334.87,315.91,1707109200000,132301
2024-02-06 05:00:00,2826394.0,322.6776,323.19,322.72,327.43,319.07,1707195600000,63787
2024-02-07 05:00:00,3202982.0,324.8526,322.94,323.59,327.82,321.1,1707282000000,59936
2024-02-08 05:00:00,1986100.0,322.7517,324.67,322.0,326.43,321.4201,1707368400000,44253
2024-02-09 05:00:00,2823170.0,317.3319,322.0,317.16,322.33,315.57,1707454800000,58293
2024-02-12 05:00:00,2483602.0,320.949,317.21,321.63,323.09,316.51,1707714000000,54688
2024-02-13 05:00:00,2923359.0,313.1165,315.79,312.84,316.0,310.79,1707800400000,57879
2024-02-14 05:00:00,1887095.0,316.6366,316.01,316.71,317.85,313.97,1707886800000,43250
2024-02-15 05:00:00,2362937.0,320.7879,315.95,323.07,323.21,315.46,1707973200000,49972
2024-02-16 05:00:00,2513347.0,324.0685,323.72,321.91,328.3,321.44,1708059600000,49609
2024-02-20 05:00:00,2701572.0,314.6418,317.26,313.74,319.0,312.74,1708405200000,56707
2024-02-21 05:00:00,1780222.0,316.2044,312.9,317.14,317.82,312.9,1708491600000,38001
2024-02-22 05:00:00,1875783.0,322.0465,321.0,322.09,323.37,320.34,1708578000000,43255
2024-02-23 05:00:00,1575227.0,323.7641,323.0,323.88,325.08,322.05,1708664400000,36510
2024-02-26 05:00:00,1650017.0,325.6169,323.65,325.38,327.24,322.25,1708923600000,34775
2024-02-27 05:00:00,1640875.0,326.3541,326.98,327.63,327.945,323.77,1709010000000,35241
2024-02-28 05:00:00,1471162.0,329.6864,327.39,329.56,331.68,326.99,1709096400000,36519
2024-02-29 05:00:00,2699773.0,333.1054,331.0,333.96,334.89,330.1,1709182800000,49936
2024-03-01 05:00:00,1815536.0,336.3245,334.0,336.7,337.77,333.6,1709269200000,41521
2024-03-04 05:00:00,1551197.0,338.7191,335.6,338.65,340.26,334.79,1709528400000,42442
2024-03-05 05:00:00,2029966.0,334.5778,335.42,333.53,338.99,331.7401,1709614800000,43585
2024-03-06 05:00:00,1542427.0,335.8148,336.25,335.63,337.73,334.16,1709701200000,35567
2024-03-07 05:00:00,1732485.0,340.5305,338.51,340.22,342.34,338.43,1709787600000,39832
2024-03-08 05:00:00,2307423.0,340.3259,342.07,339.19,344.5,338.1,1709874000000,45390
2024-03-11 04:00:00,1868119.0,334.2711,337.0,334.97,338.205,331.53,1710129600000,43532
2024-03-12 04:00:00,1646140.0,336.812,335.28,337.24,338.39,332.74,1710216000000,39236
2024-03-13 04:00:00,1818943.0,341.737,338.14,341.52,343.1,337.39,1710302400000,47339
2024-03-14 04:00:00,2110175.0,342.0784,344.55,341.92,346.84,338.94,1710388800000,49745
2024-03-15 04:00:00,4406009.0,345.2666,342.97,346.97,347.29,341.15,1710475200000,61100
2024-03-18 04:00:00,2528184.0,351.2922,348.08,351.9,353.34,347.86,1710734400000,58898
2024-03-19 04:00:00,2207751.0,352.7577,351.6,353.9,354.0,349.62,1710820800000,43833
2024-03-20 04:00:00,2563949.0,353.5393,351.12,356.45,358.18,348.14,1710907200000,62850
2024-03-21 04:00:00,2616273.0,362.8559,357.67,364.56,365.2,356.72,1710993600000,64911
2024-03-22 04:00:00,2051989.0,360.5438,364.6,358.11,365.52,357.86,1711080000000,50662
2024-03-25 04:00:00,1774760.0,356.3069,356.96,355.95,358.87,355.03,1711339200000,43029
2024-03-26 04:00:00,1637312.0,357.5589,356.46,356.39,359.587,356.0,1711425600000,39982
2024-03-27 04:00:00,2262845.0,362.6052,358.72,364.65,364.81,357.8783,1711512000000,49318
2024-03-28 04:00:00,2028629.0,365.8638,364.62,366.43,367.22,363.53,1711598400000,45205
2024-04-01 04:00:00,1953766.0,364.502,367.48,363.74,367.93,362.64,1711944000000,46657
2024-04-02 04:00:00,1968867.0,363.7427,362.31,364.83,364.99,361.48,1712030400000,47207
2024-04-03 04:00:00,2623737.0,372.9611,365.49,375.79,376.07,364.6,1712116800000,63331
2024-04-04 04:00:00,2492175.0,374.7731,377.37,369.79,381.03,368.88,1712203200000,67443
2024-04-05 04:00:00,2068267.0,378.3434,372.5,379.3,381.0,371.79,1712289600000,53377
2024-04-08 04:00:00,2689993.0,375.9182,379.11,373.47,382.01,372.89,1712548800000,59418
2024-04-09 04:00:00,2043292.0,370.7919,375.03,371.9,377.16,365.51,1712635200000,49778
2024-04-10 04:00:00,2148522.0,370.2039,366.2,372.07,372.62,364.39,1712721600000,57723
2024-04-11 04:00:00,2535736.0,371.1831,372.63,371.98,373.37,366.9,1712808000000,47960
2024-04-12 04:00:00,2072870.0,365.938,368.64,365.63,372.8425,362.68,1712894400000,53595
2024-04-15 04:00:00,2170956.0,366.178,372.97,363.91,374.46,362.1101,1713153600000,57723
2024-04-16 04:00:00,2514069.0,360.2319,363.02,359.88,363.455,357.18,1713240000000,61305
2024-04-17 04:00:00,2313776.0,357.8678,362.65,358.32,362.91,352.88,1713326400000,61508
2024-04-18 04:00:00,2380716.0,358.8471,361.15,357.93,363.48,356.1677,1713412800000,52573
2024-04-19 04:00:00,2929591.0,355.4679,358.29,354.66,360.95,352.14,1713499200000,58493
2024-04-22 04:00:00,2085356.0,358.0541,356.1,357.61,362.0,353.24,1713758400000,54593
2024-04-23 04:00:00,1810693.0,363.1519,360.0,363.25,365.52,359.04,1713844800000,51161
2024-04-24 04:00:00,3032711.0,363.581,363.95,363.52,368.17,358.895,1713931200000,79867
2024-04-25 04:00:00,6459595.0,338.0828,330.44,338.0,341.94,330.32,1714017600000,139493
2024-04-26 04:00:00,3324630.0,343.4097,338.44,343.38,345.5,338.33,1714104000000,69822
2024-04-29 04:00:00,2213594.0,348.9627,343.98,349.8,350.9499,343.98,1714363200000,51624
2024-04-30 04:00:00,4201677.0,336.9101,347.02,334.57,347.77,333.12,1714449600000,85988
2024-05-01 04:00:00,3520821.0,332.5806,333.38,331.07,338.495,330.74,1714536000000,73833
2024-05-02 04:00:00,2492004.0,334.056,333.52,335.44,336.16,329.25,1714622400000,56287
2024-05-03 04:00:00,1977087.0,337.1621,338.09,336.75,341.61,334.98,1714708800000,46813
2024-05-06 04:00:00,1653860.0,341.3723,340.87,342.1,342.5499,339.7,1714968000000,45886
2024-05-07 04:00:00,1965752.0,346.1341,344.47,345.0,348.54,343.395,1715054400000,49590
2024-05-08 04:00:00,2260496.0,343.8929,340.0,344.5,346.27,338.74,1715140800000,54412
2024-05-09 04:00:00,3208947.0,351.2666,345.92,351.78,352.88,345.43,1715227200000,65035
2024-05-10 04:00:00,2210787.0,355.2461,355.0,354.79,357.51,353.5226,1715313600000,54057
