date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1614877.0,111.2708,111.37,111.41,111.9,110.25,1705554000000,19637
2024-01-19 05:00:00,1684303.0,113.5843,111.45,114.45,114.61,111.45,1705640400000,27824
2024-01-22 05:00:00,1876800.0,116.4083,114.46,117.21,117.375,114.33,1705899600000,31911
2024-01-23 05:00:00,1929364.0,119.1837,117.73,118.69,120.56,117.16,1705986000000,32445
2024-01-24 05:00:00,1514735.0,116.2065,119.14,115.67,119.52,115.34,1706072400000,27381
2024-01-25 05:00:00,1425765.0,119.7288,117.9,120.55,120.59,117.04,1706158800000,25596
2024-01-26 05:00:00,1558807.0,121.2919,120.07,121.27,122.41,120.07,1706245200000,23715
2024-01-29 05:00:00,1801469.0,120.9833,121.09,121.01,121.742,120.005,1706504400000,25381
2024-01-30 05:00:00,1285466.0,121.7399,121.33,121.88,122.31,120.7,1706590800000,24368
2024-01-31 05:00:00,1666070.0,122.4523,122.78,122.0,124.18,121.365,1706677200000,30145
2024-02-01 05:00:00,1937524.0,125.963,122.0,127.63,127.7,122.0,1706763600000,33283
2024-02-02 05:00:00,3781674.0,130.5901,127.01,129.71,133.07,126.43,1706850000000,60325
2024-02-05 05:00:00,1878057.0,127.269,127.9,127.03,128.42,125.85,1707109200000,28966
2024-02-06 05:00:00,2656914.0,130.6799,127.76,131.01,131.495,127.19,1707195600000,27937
2024-02-07 05:00:00,2087576.0,132.6813,131.96,132.5,133.8,130.81,1707282000000,28618
2024-02-08 05:00:00,1228722.0,131.478,132.55,130.72,133.97,130.17,1707368400000,24322
2024-02-09 05:00:00,1245398.0,131.9468,130.02,132.17,132.51,130.0,1707454800000,20081
2024-02-12 05:00:00,1206893.0,128.8802,131.82,128.51,132.19,127.96,1707714000000,24398
2024-02-13 05:00:00,1503717.0,127.6845,127.91,127.91,128.81,126.73,1707800400000,29122
2024-02-14 05:00:00,1372350.0,128.74,128.3,128.67,129.435,127.69,1707886800000,24028
2024-02-15 05:00:00,1348940.0,130.7566,129.92,131.5,131.62,128.83,1707973200000,24092
2024-02-16 05:00:00,1295739.0,131.573,131.26,131.16,132.66,130.49,1708059600000,22603
2024-02-20 05:00:00,2121235.0,131.4692,131.0,131.8,132.06,129.39,1708405200000,28947
2024-02-21 05:00:00,983415.0,131.3134,132.29,131.4,132.5812,130.14,1708491600000,20049
2024-02-22 05:00:00,1529900.0,133.1305,132.4,133.39,134.06,131.65,1708578000000,26797
2024-02-23 05:00:00,2052310.0,133.1604,133.49,133.99,134.15,131.35,1708664400000,28771
2024-02-26 05:00:00,1494701.0,133.9901,134.68,133.22,135.1999,132.93,1708923600000,26030
2024-02-27 05:00:00,4888282.0,150.6422,135.0,155.76,156.67,135.0,1709010000000,66713
2024-02-28 05:00:00,8227485.0,166.28,158.48,170.83,170.98,156.5,1709096400000,87947
2024-02-29 05:00:00,4537148.0,167.2736,171.18,168.45,171.3058,163.37,1709182800000,61639
2024-03-01 05:00:00,4557632.0,168.1644,167.04,169.99,170.31,165.05,1709269200000,64353
2024-03-04 05:00:00,3818194.0,174.4797,172.96,175.99,177.035,169.62,1709528400000,51109
2024-03-05 05:00:00,4323775.0,179.2967,177.39,176.77,185.58,175.42,1709614800000,68655
2024-03-06 05:00:00,2073556.0,179.2386,176.77,179.98,180.81,175.01,1709701200000,37814
2024-03-07 05:00:00,1968527.0,179.4672,181.75,179.58,182.05,176.21,1709787600000,29261
2024-03-08 05:00:00,3196966.0,171.7132,179.58,170.57,179.83,168.46,1709874000000,54915
2024-03-11 04:00:00,2601773.0,167.9736,170.31,167.91,170.96,166.4,1710129600000,42514
2024-03-12 04:00:00,2617024.0,166.5098,166.57,168.37,169.06,164.2,1710216000000,40153
2024-03-13 04:00:00,1639110.0,167.8953,171.24,167.86,171.31,166.44,1710302400000,32187
2024-03-14 04:00:00,3012353.0,164.8014,167.85,164.64,168.39,163.27,1710388800000,46134
2024-03-15 04:00:00,4532036.0,165.3877,164.18,165.52,168.39,162.67,1710475200000,32745
2024-03-18 04:00:00,2006774.0,169.2559,167.69,168.84,171.08,166.19,1710734400000,30482
2024-03-19 04:00:00,1922186.0,172.0057,169.0,172.41,174.01,168.26,1710820800000,33785
2024-03-20 04:00:00,1969318.0,175.2664,172.92,175.71,176.77,172.6509,1710907200000,33860
2024-03-21 04:00:00,2212136.0,174.2389,177.46,174.13,177.81,172.37,1710993600000,33371
2024-03-22 04:00:00,1608373.0,176.9426,175.0,178.24,178.37,174.215,1711080000000,26580
2024-03-25 04:00:00,3570578.0,186.5405,180.0,187.26,189.05,179.54,1711339200000,55525
2024-03-26 04:00:00,4228679.0,190.0861,189.9,185.41,198.83,184.48,1711425600000,59741
2024-03-27 04:00:00,2452118.0,185.007,188.08,184.89,190.12,182.34,1711512000000,43472
2024-03-28 04:00:00,2050809.0,184.7542,185.03,184.85,186.83,183.335,1711598400000,32602
2024-04-01 04:00:00,1977459.0,186.5617,186.03,185.98,188.81,183.4,1711944000000,33493
2024-04-02 04:00:00,1875517.0,186.9337,184.685,188.13,188.37,184.12,1712030400000,29890
2024-04-03 04:00:00,2555783.0,190.98,188.48,190.26,193.21,186.87,1712116800000,40792
2024-04-04 04:00:00,3747795.0,186.9036,193.44,183.11,195.5,182.96,1712203200000,49562
2024-04-05 04:00:00,4331379.0,190.9429,182.32,193.08,194.85,181.42,1712289600000,63670
2024-04-08 04:00:00,1663470.0,191.8012,194.865,191.98,197.64,188.11,1712548800000,37107
2024-04-09 04:00:00,1958767.0,187.9631,192.6,188.1,194.84,185.05,1712635200000,34912
2024-04-10 04:00:00,3862140.0,190.7702,183.5,191.08,193.83,182.5,1712721600000,49289
2024-04-11 04:00:00,2267301.0,192.3325,191.57,192.88,194.28,190.0,1712808000000,39092
2024-04-12 04:00:00,1801856.0,191.6601,191.96,191.67,193.2499,190.35,1712894400000,32534
2024-04-15 04:00:00,2531456.0,187.9861,194.09,185.4,196.0,184.78,1713153600000,43388
2024-04-16 04:00:00,2982876.0,186.0715,185.03,186.65,188.275,183.11,1713240000000,44984
2024-04-17 04:00:00,3283141.0,185.094,187.92,185.4,189.04,182.63,1713326400000,47092
2024-04-18 04:00:00,1654159.0,184.9615,186.13,183.86,188.268,183.09,1713412800000,34026
2024-04-19 04:00:00,3442481.0,181.0906,183.3,180.9,185.96,177.65,1713499200000,50336
2024-04-22 04:00:00,2327715.0,181.6882,181.6,183.22,183.85,178.21,1713758400000,42349
2024-04-23 04:00:00,2387335.0,188.1441,183.97,188.25,189.75,183.97,1713844800000,39611
2024-04-24 04:00:00,2266444.0,187.2979,186.73,186.16,194.37,183.6473,1713931200000,38906
2024-04-25 04:00:00,2908922.0,188.4903,185.6,188.01,190.5293,185.405,1714017600000,43795
2024-04-26 04:00:00,1826633.0,188.1294,186.915,188.37,189.38,185.63,1714104000000,25961
2024-04-29 04:00:00,2205548.0,188.8181,188.43,188.61,190.42,186.1401,1714363200000,31939
2024-04-30 04:00:00,2173187.0,186.9754,188.61,185.94,189.4,185.71,1714449600000,33235
2024-05-01 04:00:00,2717087.0,185.6039,186.25,184.56,188.205,183.92,1714536000000,35585
2024-05-02 04:00:00,3071020.0,186.1426,185.0,186.18,187.18,183.6,1714622400000,42665
2024-05-03 04:00:00,3480155.0,194.8178,189.33,194.86,197.27,188.0,1714708800000,39891
2024-05-06 04:00:00,2707981.0,197.3768,197.75,197.7,198.91,194.12,1714968000000,49922
2024-05-07 04:00:00,2797320.0,201.4015,198.7,200.56,205.08,197.35,1715054400000,50318
2024-05-08 04:00:00,3992113.0,205.9715,198.54,208.0,208.27,198.11,1715140800000,65472
2024-05-09 04:00:00,4313536.0,211.4979,205.43,215.91,215.95,203.0,1715227200000,72138
2024-05-10 04:00:00,2744720.0,214.7642,220.52,214.93,220.52,211.86,1715313600000,50040
2024-05-13 04:00:00,1919292.0,214.5654,217.0,213.59,218.675,212.59,1715572800000,41196
2024-05-14 04:00:00,1950963.0,216.2011,214.57,217.74,217.91,210.77,1715659200000,37980
2024-05-15 04:00:00,2682183.0,223.0509,220.14,223.31,224.72,219.76,1715745600000,48306
2024-05-16 04:00:00,3539845.0,218.506,223.73,216.34,224.8,216.24,1715832000000,42667
2024-05-17 04:00:00,3057314.0,213.2687,216.36,213.11,217.712,209.91,1715918400000,49822
2024-05-20 04:00:00,2326211.0,214.3026,213.95,215.07,215.24,211.15,1716177600000,35435
2024-05-21 04:00:00,1881133.0,220.6542,215.93,222.59,222.67,215.5,1716264000000,42901
2024-05-22 04:00:00,1573662.0,219.9821,222.1,220.11,224.405,217.86,1716350400000,36125
2024-05-23 04:00:00,2658302.0,223.6619,223.78,221.16,228.05,220.74,1716436800000,56128
2024-05-24 04:00:00,2672030.0,231.3061,223.31,230.63,236.3,221.64,1716523200000,56437
2024-05-28 04:00:00,2602184.0,229.9414,232.74,231.27,234.78,221.82,1716868800000,53437
2024-05-29 04:00:00,3809442.0,221.1963,226.78,220.74,228.88,218.89,1716955200000,59128
2024-05-30 04:00:00,2040804.0,223.4495,222.33,224.96,225.29,220.0,1717041600000,40143
2024-05-31 04:00:00,5618298.0,215.5701,224.06,217.25,224.48,208.0,1717128000000,86165
2024-06-03 04:00:00,4922557.0,208.1077,215.5,208.26,217.2,204.05,1717387200000,94034
2024-06-04 04:00:00,4666701.0,202.4293,206.99,203.14,208.5,196.84,1717473600000,75373
2024-06-05 04:00:00,4502199.0,209.7207,204.49,209.33,212.85,204.45,1717560000000,73397
2024-06-06 04:00:00,4842086.0,201.6572,209.5,202.6,209.81,196.21,1717646400000,78927
2024-06-07 04:00:00,4558681.0,199.47,202.08,198.0,204.0,197.52,1717732800000,64085
2024-06-10 04:00:00,5719572.0,211.2022,199.53,214.63,214.77,198.132,1717992000000,90893
2024-06-11 04:00:00,3701901.0,217.2537,211.16,218.31,219.56,210.45,1718078400000,68199
2024-06-12 04:00:00,3137889.0,217.2147,221.27,218.13,221.77,212.15,1718164800000,59491
