date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1032694.0,363.8106,358.58,364.55,367.48,358.58,1705554000000,26518
2024-01-19 05:00:00,1043552.0,369.2079,364.18,371.1,372.21,360.88,1705640400000,25332
2024-01-22 05:00:00,1016018.0,373.4785,371.1,373.15,377.8,370.35,1705899600000,28470
2024-01-23 05:00:00,1020737.0,377.4016,377.5,378.64,381.57,372.96,1705986000000,26865
2024-01-24 05:00:00,2227220.0,373.2887,382.39,371.39,383.99,367.75,1706072400000,46092
2024-01-25 05:00:00,2066826.0,365.9697,371.08,369.07,371.96,360.82,1706158800000,46302
2024-01-26 05:00:00,1041128.0,377.1577,371.68,377.07,380.19,370.56,1706245200000,29639
2024-01-29 05:00:00,1154298.0,378.0365,374.97,380.83,381.195,370.77,1706504400000,28318
2024-01-30 05:00:00,870272.0,378.161,377.54,376.98,380.39,376.82,1706590800000,25442
2024-01-31 05:00:00,1334458.0,373.2166,378.61,370.71,379.37,369.95,1706677200000,30392
2024-02-01 05:00:00,2349775.0,379.0358,376.148,382.34,383.31,372.0,1706763600000,51243
2024-02-02 05:00:00,4973244.0,327.0714,344.99,319.21,345.01,316.53,1706850000000,97504
2024-02-05 05:00:00,2920910.0,307.0546,316.11,303.65,317.38,303.31,1707109200000,62400
2024-02-06 05:00:00,4085603.0,293.457,303.14,290.28,303.93,288.84,1707195600000,74009
2024-02-07 05:00:00,4253473.0,285.1435,290.0,283.67,290.31,282.54,1707282000000,76045
2024-02-08 05:00:00,2778155.0,282.7641,287.64,282.6,288.31,279.6366,1707368400000,53562
2024-02-09 05:00:00,2083669.0,289.7898,286.45,291.15,293.405,285.01,1707454800000,43419
2024-02-12 05:00:00,2054998.0,298.6055,289.85,297.91,302.03,289.85,1707714000000,48889
2024-02-13 05:00:00,2610670.0,292.0292,291.55,292.65,295.3,290.6,1707800400000,40511
2024-02-14 05:00:00,1258300.0,288.1733,294.23,287.28,294.79,286.54,1707886800000,30488
2024-02-15 05:00:00,1276337.0,293.5639,288.0,294.14,296.7111,287.91,1707973200000,31387
2024-02-16 05:00:00,2053171.0,293.0753,295.405,293.0,295.405,291.01,1708059600000,34447
2024-02-20 05:00:00,2029505.0,294.7896,291.71,295.13,297.51,289.115,1708405200000,36457
2024-02-21 05:00:00,1236932.0,288.7753,294.42,287.3,294.8,286.88,1708491600000,26758
2024-02-22 05:00:00,2380907.0,293.1569,287.86,297.0,297.28,284.925,1708578000000,42057
2024-02-23 05:00:00,1475341.0,298.9787,295.13,299.42,302.0,294.15,1708664400000,29183
2024-02-26 05:00:00,4509038.0,297.1062,298.65,292.64,306.77,288.13,1708923600000,54955
2024-02-27 05:00:00,1496741.0,290.8821,295.46,290.0,296.41,288.91,1709010000000,29819
2024-02-28 05:00:00,1147124.0,288.5021,287.22,288.34,290.46,286.96,1709096400000,27765
2024-02-29 05:00:00,1741239.0,293.4258,291.99,293.93,294.07,291.33,1709182800000,29668
2024-03-01 05:00:00,1376602.0,293.2728,290.92,293.16,296.33,289.82,1709269200000,29896
2024-03-04 05:00:00,1743590.0,280.9531,292.03,279.06,292.335,276.69,1709528400000,41740
2024-03-05 05:00:00,1227119.0,281.8529,277.5,280.85,285.14,276.49,1709614800000,28403
2024-03-06 05:00:00,1779461.0,275.0546,282.75,276.33,282.75,270.41,1709701200000,45414
2024-03-07 05:00:00,2296564.0,280.0039,276.0,282.0,282.11,275.27,1709787600000,31823
2024-03-08 05:00:00,1058032.0,283.0797,281.67,283.78,285.0,279.27,1709874000000,25336
2024-03-11 04:00:00,2017535.0,295.1852,283.26,298.25,299.185,281.25,1710129600000,39942
2024-03-12 04:00:00,1621973.0,294.4609,298.75,294.7,300.03,291.74,1710216000000,36428
2024-03-13 04:00:00,1056282.0,298.2009,294.7,298.4,300.03,294.09,1710302400000,26957
2024-03-14 04:00:00,1476109.0,296.1663,296.81,297.0,298.375,292.79,1710388800000,34850
2024-03-15 04:00:00,2742380.0,292.5964,297.31,290.65,301.63,290.6,1710475200000,27607
2024-03-18 04:00:00,1126432.0,297.5016,296.13,296.18,301.81,291.47,1710734400000,28230
2024-03-19 04:00:00,1769383.0,297.9624,295.31,298.58,300.08,293.09,1710820800000,33294
2024-03-20 04:00:00,1971238.0,292.9378,296.21,295.3,297.51,290.304,1710907200000,28399
2024-03-21 04:00:00,1191606.0,294.386,294.64,294.61,295.91,292.5,1710993600000,23712
2024-03-22 04:00:00,1084371.0,291.9544,295.21,290.6,296.25,290.46,1711080000000,23946
2024-03-25 04:00:00,1194118.0,291.2662,290.37,290.6,293.81,288.71,1711339200000,26632
2024-03-26 04:00:00,1144426.0,288.7,291.19,287.89,291.84,287.64,1711425600000,24262
2024-03-27 04:00:00,1229458.0,291.7022,289.37,293.51,294.16,288.19,1711512000000,26371
2024-03-28 04:00:00,1254327.0,289.2034,291.59,290.63,293.445,286.68,1711598400000,30359
2024-04-01 04:00:00,1362816.0,283.4018,290.34,284.15,290.34,280.02,1711944000000,31242
2024-04-02 04:00:00,1075649.0,278.4297,284.0,278.02,284.0,275.83,1712030400000,28193
2024-04-03 04:00:00,1034644.0,275.3064,278.47,275.69,278.92,273.096,1712116800000,30634
2024-04-04 04:00:00,1540496.0,274.2762,276.53,271.23,281.33,269.74,1712203200000,34483
2024-04-05 04:00:00,1725312.0,267.6853,269.17,267.49,271.89,264.915,1712289600000,42449
2024-04-08 04:00:00,1326355.0,271.8354,266.165,273.05,274.22,264.39,1712548800000,27999
2024-04-09 04:00:00,1217194.0,271.4244,270.15,271.46,275.6,269.0,1712635200000,26900
2024-04-10 04:00:00,1437033.0,262.0192,266.04,262.85,268.03,258.56,1712721600000,40322
2024-04-11 04:00:00,1149912.0,265.3189,264.98,266.53,268.1,261.18,1712808000000,26854
2024-04-12 04:00:00,1048473.0,261.398,263.6,260.5,264.82,259.61,1712894400000,26193
2024-04-15 04:00:00,1265321.0,258.1106,261.89,256.9,264.23,255.38,1713153600000,29197
2024-04-16 04:00:00,1095749.0,256.9488,256.02,257.57,258.78,254.31,1713240000000,25395
2024-04-17 04:00:00,997497.0,259.6537,260.25,258.03,265.26,257.62,1713326400000,25692
2024-04-18 04:00:00,855888.0,259.3287,258.58,259.91,261.1,255.7,1713412800000,21677
2024-04-19 04:00:00,1164427.0,264.1563,260.01,265.21,265.71,259.7,1713499200000,29957
2024-04-22 04:00:00,1171133.0,263.8422,267.56,265.08,267.96,259.53,1713758400000,31522
2024-04-23 04:00:00,967145.0,268.2451,265.95,266.31,271.5,265.595,1713844800000,28916
2024-04-24 04:00:00,1133028.0,263.4982,262.0,264.7,264.82,260.4801,1713931200000,33540
2024-04-25 04:00:00,2172712.0,258.3784,258.89,259.1,262.99,255.77,1714017600000,53491
2024-04-26 04:00:00,2600137.0,253.0987,238.96,254.61,256.99,236.08,1714104000000,61018
2024-04-29 04:00:00,1206734.0,259.6122,255.63,259.76,262.31,255.08,1714363200000,36469
2024-04-30 04:00:00,1601176.0,256.9195,258.31,255.94,259.455,252.9254,1714449600000,34436
2024-05-01 04:00:00,1270424.0,259.1706,255.88,259.7,263.24,253.91,1714536000000,31801
2024-05-02 04:00:00,770864.0,261.7113,262.9,262.0,263.5,260.03,1714622400000,24062
2024-05-03 04:00:00,865841.0,266.2478,264.23,265.93,269.77,264.23,1714708800000,26293
2024-05-06 04:00:00,1242626.0,271.5768,267.15,271.47,273.68,265.82,1714968000000,30956
2024-05-07 04:00:00,1219139.0,271.2305,271.47,268.0,275.7,267.91,1715054400000,30941
2024-05-08 04:00:00,3248463.0,277.6594,267.39,272.78,284.69,265.76,1715140800000,58272
2024-05-09 04:00:00,1681494.0,267.608,274.13,263.93,277.36,261.76,1715227200000,39393
2024-05-10 04:00:00,1778297.0,274.5129,264.05,275.55,277.49,262.02,1715313600000,41538
2024-05-13 04:00:00,918578.0,276.5993,277.42,274.65,281.69,273.88,1715572800000,27386
2024-05-14 04:00:00,1155729.0,278.3581,280.93,278.13,283.44,274.82,1715659200000,28398
2024-05-15 04:00:00,959722.0,273.0051,280.75,271.77,280.8068,271.38,1715745600000,29792
2024-05-16 04:00:00,778029.0,275.1401,273.0,277.54,277.93,271.37,1715832000000,24548
2024-05-17 04:00:00,751655.0,273.8952,277.99,273.02,279.79,272.78,1715918400000,20786
2024-05-20 04:00:00,686315.0,273.9759,273.0,274.84,275.34,269.82,1716177600000,22177
2024-05-21 04:00:00,807824.0,275.0256,274.32,275.11,277.385,273.445,1716264000000,22226
2024-05-22 04:00:00,1569600.0,270.5788,274.46,271.09,274.79,266.54,1716350400000,32004
2024-05-23 04:00:00,1081809.0,268.1679,270.5,268.41,270.695,266.06,1716436800000,29187
2024-05-24 04:00:00,670004.0,270.3942,268.56,271.46,271.865,267.875,1716523200000,18075
2024-05-28 04:00:00,773886.0,270.8773,269.08,271.42,272.735,269.08,1716868800000,21940
2024-05-29 04:00:00,804189.0,270.1803,269.185,271.35,271.52,268.14,1716955200000,20748
