date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,19797257.0,42.4251,42.11,42.54,42.63,42.08,1705554000000,107740
2024-01-19 05:00:00,23606216.0,43.0692,42.59,43.35,43.36,42.52,1705640400000,116863
2024-01-22 05:00:00,18082678.0,43.6322,43.51,43.62,43.925,43.43,1705899600000,111892
2024-01-23 05:00:00,15712055.0,43.8037,43.74,43.95,44.16,43.425,1705986000000,93271
2024-01-24 05:00:00,19446766.0,43.8119,44.28,43.8,44.33,43.5,1706072400000,132820
2024-01-25 05:00:00,29722120.0,45.4477,43.7,45.27,46.34,43.57,1706158800000,212591
2024-01-26 05:00:00,20086380.0,46.0844,45.43,46.26,46.32,45.33,1706245200000,130436
2024-01-29 05:00:00,19263569.0,46.1028,46.08,46.11,46.51,45.81,1706504400000,121070
2024-01-30 05:00:00,15675831.0,46.5873,46.4,46.65,46.835,46.01,1706590800000,124305
2024-01-31 05:00:00,18579553.0,46.6448,46.64,46.54,47.105,46.375,1706677200000,123722
2024-02-01 05:00:00,18583151.0,46.689,46.74,46.73,47.11,46.18,1706763600000,127842
2024-02-02 05:00:00,25234275.0,45.2053,45.33,45.09,45.82,44.87,1706850000000,179438
2024-02-05 05:00:00,15528379.0,45.0101,44.95,44.87,45.375,44.78,1707109200000,114132
2024-02-06 05:00:00,18653095.0,44.4022,44.94,44.42,44.94,44.14,1707195600000,135397
2024-02-07 05:00:00,31222453.0,43.3553,44.63,42.86,44.79,42.84,1707282000000,196303
2024-02-08 05:00:00,44879562.0,41.4542,43.02,41.25,43.06,41.055,1707368400000,280584
2024-02-09 05:00:00,27368300.0,41.98,41.47,42.07,42.275,41.225,1707454800000,161929
2024-02-12 05:00:00,21666751.0,42.6708,41.94,42.61,42.99,41.93,1707714000000,132816
2024-02-13 05:00:00,24549522.0,41.8169,42.48,41.85,42.55,41.505,1707800400000,147886
2024-02-14 05:00:00,24630825.0,41.9777,42.04,42.02,42.13,41.68,1707886800000,104908
2024-02-15 05:00:00,20890961.0,41.8477,41.79,41.8,42.17,41.67,1707973200000,118716
2024-02-16 05:00:00,22578766.0,41.3228,41.71,41.24,41.75,41.16,1708059600000,131081
2024-02-20 05:00:00,20854923.0,41.5422,41.15,41.66,41.73,40.735,1708405200000,129584
2024-02-21 05:00:00,20653097.0,41.7624,41.92,41.85,41.95,41.49,1708491600000,107938
