date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,971701.0,232.2527,232.78,233.19,234.16,230.153,1705554000000,21650
2024-01-19 05:00:00,2466195.0,228.9549,230.76,229.21,231.02,226.525,1705640400000,31019
2024-01-22 05:00:00,883022.0,233.4755,229.5,233.88,234.56,229.5,1705899600000,21049
2024-01-23 05:00:00,857934.0,236.341,235.51,236.2,238.765,234.04,1705986000000,22037
2024-01-24 05:00:00,1147970.0,235.9327,238.19,235.8,238.19,234.4925,1706072400000,20779
2024-01-25 05:00:00,587961.0,238.2743,238.5,238.85,240.25,236.18,1706158800000,18403
2024-01-26 05:00:00,647187.0,240.8837,239.08,240.63,242.93,239.08,1706245200000,17751
2024-01-29 05:00:00,511407.0,240.0133,240.19,240.86,241.19,238.38,1706504400000,15841
2024-01-30 05:00:00,593273.0,242.1945,240.01,242.8,243.08,239.01,1706590800000,15983
2024-01-31 05:00:00,614194.0,240.2152,242.77,239.3,242.9,238.85,1706677200000,18404
2024-02-01 05:00:00,529318.0,241.5029,240.15,242.97,243.09,237.96,1706763600000,17446
2024-02-02 05:00:00,642306.0,244.047,241.38,244.65,246.01,240.13,1706850000000,17189
2024-02-05 05:00:00,1178377.0,241.7531,243.51,241.11,244.21,239.99,1707109200000,26113
2024-02-06 05:00:00,2127785.0,247.6829,242.24,251.54,251.57,236.0,1707195600000,52008
2024-02-07 05:00:00,1293677.0,248.9307,252.89,248.11,252.89,247.23,1707282000000,29257
2024-02-08 05:00:00,642770.0,249.9616,248.0,249.92,251.39,247.53,1707368400000,20306
2024-02-09 05:00:00,578650.0,250.832,249.58,251.78,251.915,248.73,1707454800000,17029
2024-02-12 05:00:00,1004976.0,256.2599,252.0,256.85,257.68,251.59,1707714000000,23351
2024-02-13 05:00:00,1012382.0,253.4338,254.5,254.5,254.66,250.9,1707800400000,23173
2024-02-14 05:00:00,4606073.0,260.0748,258.5,260.47,262.03,258.085,1707886800000,37097
2024-02-15 05:00:00,3582268.0,264.1083,260.88,265.8,267.22,259.95,1707973200000,35512
2024-02-16 05:00:00,2031055.0,267.7641,265.24,266.48,269.7,264.315,1708059600000,28665
2024-02-20 05:00:00,1860964.0,262.9844,264.02,261.84,266.637,261.7,1708405200000,31963
2024-02-21 05:00:00,3229621.0,264.6835,262.36,263.19,266.29,261.76,1708491600000,34015
2024-02-22 05:00:00,1743609.0,261.1384,262.51,262.88,263.45,259.06,1708578000000,31468
2024-02-23 05:00:00,2261344.0,263.3668,262.94,263.97,264.31,259.61,1708664400000,26297
2024-02-26 05:00:00,1514105.0,265.7753,264.0,266.21,266.795,261.94,1708923600000,22281
2024-02-27 05:00:00,4492410.0,267.9707,266.88,268.54,269.0,266.0,1709010000000,43988
2024-02-28 05:00:00,2723050.0,270.786,268.77,270.36,273.23,267.46,1709096400000,40895
2024-02-29 05:00:00,3833820.0,268.9963,271.09,268.61,271.98,267.6401,1709182800000,41333
2024-03-01 05:00:00,1813920.0,270.4623,271.0,270.26,272.74,267.69,1709269200000,34837
2024-03-04 05:00:00,3770117.0,271.9236,270.88,271.31,274.05,270.155,1709528400000,46149
2024-03-05 05:00:00,5777629.0,272.556,270.63,271.35,275.4,270.63,1709614800000,52388
2024-03-06 05:00:00,6884762.0,273.595,271.37,273.44,275.31,270.305,1709701200000,59730
2024-03-07 05:00:00,11888065.0,267.6833,273.09,266.21,276.92,264.61,1709787600000,88354
2024-03-08 05:00:00,11175365.0,269.909,267.34,268.6,273.19,266.96,1709874000000,85937
2024-03-11 04:00:00,18342776.0,269.2326,270.61,270.15,271.48,265.42,1710129600000,94078
2024-03-12 04:00:00,12659400.0,270.0587,272.33,269.77,272.64,268.37,1710216000000,78312
2024-03-13 04:00:00,9590637.0,269.9158,270.61,270.24,274.2,267.33,1710302400000,70799
2024-03-14 04:00:00,6333942.0,264.452,263.51,263.58,267.36,260.88,1710388800000,48043
2024-03-15 04:00:00,4596460.0,273.3828,265.78,274.84,274.84,265.34,1710475200000,36759
2024-03-18 04:00:00,8187104.0,285.5243,276.73,286.12,287.94,275.0,1710734400000,42250
2024-03-19 04:00:00,10413493.0,281.1951,285.58,281.01,286.81,280.05,1710820800000,30227
2024-03-20 04:00:00,10480980.0,286.6694,280.72,287.13,287.97,278.89,1710907200000,35469
2024-03-21 04:00:00,9861280.0,292.1258,288.0,291.4,297.11,287.625,1710993600000,52912
2024-03-22 04:00:00,5230804.0,290.9503,291.01,290.34,293.63,290.2,1711080000000,36210
2024-03-25 04:00:00,1553747.0,288.118,290.68,287.76,291.365,287.35,1711339200000,21090
2024-03-26 04:00:00,1003869.0,291.003,287.94,291.82,292.08,287.35,1711425600000,23565
