date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4218833.0,27.7351,27.9,27.77,27.945,27.55,1705554000000,32351
2024-01-19 05:00:00,4709206.0,27.7296,27.9,27.77,27.9,27.51,1705640400000,29714
2024-01-22 05:00:00,4750513.0,27.527,27.77,27.47,27.915,27.435,1705899600000,26292
2024-01-23 05:00:00,11149009.0,27.3249,27.38,27.5,27.51,27.12,1705986000000,43136
2024-01-24 05:00:00,4599859.0,27.2775,27.71,27.14,27.74,27.085,1706072400000,32293
2024-01-25 05:00:00,5044242.0,27.4554,27.45,27.52,27.63,27.17,1706158800000,37669
2024-01-26 05:00:00,3448718.0,27.5229,27.62,27.57,27.72,27.38,1706245200000,28486
2024-01-29 05:00:00,3611227.0,27.7655,27.55,27.91,27.92,27.4301,1706504400000,23607
2024-01-30 05:00:00,5307676.0,27.8693,27.77,27.97,28.05,27.62,1706590800000,29047
2024-01-31 05:00:00,3955715.0,27.9998,28.2,27.94,28.28,27.7,1706677200000,28023
2024-02-01 05:00:00,3491127.0,28.1933,27.83,28.38,28.38,27.68,1706763600000,28766
2024-02-02 05:00:00,2998134.0,27.9489,28.09,27.95,28.21,27.65,1706850000000,27966
2024-02-05 05:00:00,3716744.0,27.6182,27.68,27.53,27.885,27.44,1707109200000,26552
2024-02-06 05:00:00,3325353.0,27.6261,27.46,27.61,27.75,27.4,1707195600000,24479
2024-02-07 05:00:00,2628181.0,27.5534,27.77,27.57,27.77,27.45,1707282000000,19855
2024-02-08 05:00:00,2740350.0,27.3682,27.42,27.43,27.505,27.18,1707368400000,21287
2024-02-09 05:00:00,2595116.0,27.49,27.31,27.53,27.6,27.29,1707454800000,23128
2024-02-12 05:00:00,2892320.0,27.6953,27.57,27.75,27.82,27.435,1707714000000,23051
2024-02-13 05:00:00,3961219.0,27.3015,27.68,27.44,27.77,26.95,1707800400000,31151
2024-02-14 05:00:00,3375566.0,27.3134,27.29,27.35,27.4,27.135,1707886800000,26973
2024-02-15 05:00:00,4007450.0,27.7496,27.48,27.87,27.89,27.45,1707973200000,26869
2024-02-16 05:00:00,3518631.0,27.8791,27.79,27.88,27.995,27.59,1708059600000,27299
2024-02-20 05:00:00,5225756.0,27.8874,27.89,27.79,28.2,27.57,1708405200000,35878
2024-02-21 05:00:00,5721676.0,28.1362,27.99,28.28,28.28,27.7675,1708491600000,32962
2024-02-22 05:00:00,3901337.0,27.9111,28.08,27.87,28.09,27.735,1708578000000,33376
2024-02-23 05:00:00,4154915.0,27.9289,28.0,27.91,28.15,27.84,1708664400000,30597
2024-02-26 05:00:00,3435868.0,27.45,27.73,27.3,27.82,27.27,1708923600000,28069
2024-02-27 05:00:00,3803826.0,27.5577,27.4,27.65,27.655,27.25,1709010000000,25259
2024-02-28 05:00:00,3332871.0,27.5398,27.59,27.48,27.725,27.44,1709096400000,23015
2024-02-29 05:00:00,3380129.0,27.539,27.62,27.5,27.75,27.48,1709182800000,24470
2024-03-01 05:00:00,3062075.0,27.364,27.46,27.44,27.495,27.055,1709269200000,26574
2024-03-04 05:00:00,3127345.0,27.7351,27.27,27.94,27.955,27.24,1709528400000,23916
2024-03-05 05:00:00,5967485.0,28.1368,28.04,27.89,28.55,27.72,1709614800000,41684
2024-03-06 05:00:00,3912234.0,28.2657,28.1,28.3,28.4,28.03,1709701200000,29563
2024-03-07 05:00:00,2919376.0,28.3422,28.56,28.31,28.61,28.24,1709787600000,24440
2024-03-08 05:00:00,3468046.0,28.3027,28.36,28.33,28.48,28.085,1709874000000,26727
2024-03-11 04:00:00,4272875.0,28.4913,28.31,28.52,28.71,28.31,1710129600000,36128
2024-03-12 04:00:00,3514874.0,28.2247,28.37,28.13,28.55,28.1,1710216000000,29437
2024-03-13 04:00:00,4167651.0,28.1472,28.25,28.0,28.5,27.99,1710302400000,29294
2024-03-14 04:00:00,6003470.0,27.773,27.86,27.89,28.14,27.62,1710388800000,36706
2024-03-15 04:00:00,9392719.0,27.841,27.69,27.87,28.12,27.65,1710475200000,33139
2024-03-18 04:00:00,3485344.0,27.96,27.84,27.94,28.15,27.77,1710734400000,25150
2024-03-19 04:00:00,4344060.0,28.1234,28.06,28.18,28.29,27.97,1710820800000,30946
2024-03-20 04:00:00,4476613.0,28.1461,28.08,28.1,28.29,27.94,1710907200000,31740
