date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2362273.0,43.6485,43.82,43.71,43.98,43.44,1705554000000,28695
2024-01-19 05:00:00,2228080.0,43.2828,43.79,43.15,43.81,43.08,1705640400000,26374
2024-01-22 05:00:00,1839879.0,43.0697,43.095,43.17,43.23,42.71,1705899600000,22976
2024-01-23 05:00:00,3093431.0,44.1035,43.12,44.25,44.425,43.12,1705986000000,36272
2024-01-24 05:00:00,3036482.0,44.317,44.21,44.12,44.58,44.01,1706072400000,33646
2024-01-25 05:00:00,2036701.0,44.0967,44.14,44.24,44.5,43.76,1706158800000,28005
2024-01-26 05:00:00,1782108.0,44.4327,44.4,44.5,44.545,44.23,1706245200000,24358
2024-01-29 05:00:00,2918565.0,43.9929,44.55,43.78,44.57,43.77,1706504400000,33885
2024-01-30 05:00:00,2328231.0,44.4317,43.84,44.68,44.7,43.57,1706590800000,25664
2024-01-31 05:00:00,2658601.0,44.7049,44.7,44.63,45.07,44.345,1706677200000,28488
2024-02-01 05:00:00,2380619.0,44.7725,43.98,45.2,45.2,43.64,1706763600000,28478
2024-02-02 05:00:00,2261609.0,44.8205,45.22,44.82,45.46,44.465,1706850000000,27792
2024-02-05 05:00:00,2485980.0,44.0704,44.78,43.72,44.85,43.65,1707109200000,30859
2024-02-06 05:00:00,3188684.0,44.4073,43.7,44.36,44.71,43.6,1707195600000,29088
2024-02-07 05:00:00,2241776.0,43.6792,44.6,43.63,44.6,43.34,1707282000000,24452
2024-02-08 05:00:00,2418860.0,43.2897,43.44,43.1,43.84,42.995,1707368400000,27435
2024-02-09 05:00:00,3026894.0,42.0468,42.94,41.99,42.96,41.715,1707454800000,35719
2024-02-12 05:00:00,2395751.0,42.1575,41.78,42.47,42.52,41.575,1707714000000,28072
2024-02-13 05:00:00,4046300.0,41.8305,42.51,41.73,42.91,41.525,1707800400000,44344
2024-02-14 05:00:00,5126620.0,40.7512,41.43,40.92,41.52,40.26,1707886800000,55325
