date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,4706498.0,269.5451,268.29,271.44,271.9,264.13,1705467600000,88430
2024-01-18 05:00:00,4752437.0,274.1641,273.0,274.46,275.69,272.14,1705554000000,80406
2024-01-19 05:00:00,7413577.0,279.608,276.51,280.88,282.0,275.5279,1705640400000,100845
2024-01-22 05:00:00,6735912.0,282.2397,283.79,280.3,285.72,280.17,1705899600000,95289
2024-01-23 05:00:00,6573810.0,277.5241,280.83,276.77,281.71,275.71,1705986000000,101223
2024-01-24 05:00:00,7037765.0,278.2437,279.98,276.88,280.96,276.69,1706072400000,93535
2024-01-25 05:00:00,4178020.0,278.5243,278.61,279.03,279.8528,276.86,1706158800000,77085
2024-01-26 05:00:00,4877365.0,280.6629,279.28,279.94,283.34,278.685,1706245200000,76792
2024-01-29 05:00:00,5762263.0,285.7037,281.4,287.86,288.15,281.0,1706504400000,89459
2024-01-30 05:00:00,4810928.0,287.9697,287.63,287.73,289.29,286.5157,1706590800000,82790
2024-01-31 05:00:00,4557283.0,282.6306,284.05,281.09,285.63,280.82,1706677200000,75340
2024-02-01 05:00:00,3218346.0,283.6082,282.01,283.8,285.05,281.36,1706763600000,60029
2024-02-02 05:00:00,3629843.0,286.0853,285.2,285.66,288.16,283.16,1706850000000,68811
2024-02-05 05:00:00,5274790.0,286.3985,286.25,288.11,289.05,281.36,1707109200000,87262
2024-02-06 05:00:00,4207846.0,285.7726,287.94,285.83,288.64,281.91,1707195600000,71991
2024-02-07 05:00:00,3621376.0,288.3491,287.35,288.84,289.8,285.2,1707282000000,59645
2024-02-08 05:00:00,4488432.0,291.3084,289.3,291.95,293.11,288.98,1707368400000,77115
2024-02-09 05:00:00,4376347.0,292.3146,293.25,291.3,295.24,291.05,1707454800000,79130
2024-02-12 05:00:00,3750035.0,288.287,290.82,287.32,291.0,287.0,1707714000000,70233
2024-02-13 05:00:00,4956553.0,280.7769,280.41,281.15,283.4299,276.4223,1707800400000,93269
2024-02-14 05:00:00,3850721.0,288.0136,285.0,289.15,289.46,284.64,1707886800000,70503
2024-02-15 05:00:00,3986522.0,291.0678,291.34,291.94,292.0,288.01,1707973200000,67138
2024-02-16 05:00:00,4159391.0,290.271,292.0,289.72,292.07,287.88,1708059600000,78469
2024-02-20 05:00:00,4285328.0,286.2626,289.5,286.39,290.85,284.155,1708405200000,75927
2024-02-21 05:00:00,3799041.0,281.0989,280.07,283.55,283.57,278.355,1708491600000,76787
2024-02-22 05:00:00,5264297.0,293.2472,292.0,293.65,294.63,291.4,1708578000000,95875
2024-02-23 05:00:00,4416764.0,293.2922,298.0,292.8,298.0,291.08,1708664400000,79791
2024-02-26 05:00:00,8719272.0,300.3668,295.59,300.39,303.8299,295.0,1708923600000,144217
2024-02-27 05:00:00,6178811.0,298.8541,301.58,299.5,301.75,296.6,1709010000000,117192
2024-02-28 05:00:00,12490784.0,297.2514,299.58,299.77,300.875,296.61,1709096400000,197058
2024-02-29 05:00:00,21737805.0,304.7658,300.0,308.82,310.54,294.79,1709182800000,273300
2024-03-01 05:00:00,9366647.0,315.7067,307.0,316.88,318.715,306.6151,1709269200000,163771
2024-03-04 05:00:00,9349980.0,315.3818,314.57,314.64,317.655,313.54,1709528400000,126993
2024-03-05 05:00:00,9015308.0,301.1602,311.31,298.75,312.55,296.14,1709614800000,148345
2024-03-06 05:00:00,8270036.0,303.9814,304.645,303.77,305.89,302.735,1709701200000,107196
2024-03-07 05:00:00,6788862.0,303.0524,306.0,302.42,306.77,301.75,1709787600000,82149
