date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,17370635.0,50.1874,50.24,50.3,50.43,49.91,1705467600000,97615
2024-01-18 05:00:00,18487542.0,50.6766,50.3,50.75,50.8,50.28,1705554000000,105455
2024-01-19 05:00:00,23015258.0,51.1941,50.75,51.27,51.385,50.73,1705640400000,125029
2024-01-22 05:00:00,20298721.0,51.5628,51.55,51.57,51.78,51.41,1705899600000,98322
2024-01-23 05:00:00,15044327.0,51.6825,51.39,51.76,51.82,51.3,1705986000000,95954
2024-01-24 05:00:00,19458515.0,51.4077,52.0,51.31,52.0,51.205,1706072400000,121605
2024-01-25 05:00:00,18936642.0,52.2403,51.75,52.33,52.56,51.75,1706158800000,129079
2024-01-26 05:00:00,13160315.0,52.229,52.42,52.14,52.62,51.99,1706245200000,91999
2024-01-29 05:00:00,13492409.0,52.1859,51.842,52.29,52.385,51.83,1706504400000,82737
2024-01-30 05:00:00,14322137.0,52.1738,52.3,52.24,52.415,51.995,1706590800000,91163
2024-01-31 05:00:00,29311787.0,50.4774,51.85,50.18,51.94,50.07,1706677200000,170189
2024-02-01 05:00:00,20635673.0,50.16,50.23,50.18,50.46,49.82,1706763600000,137809
2024-02-02 05:00:00,20533102.0,50.0872,50.14,50.18,50.38,49.615,1706850000000,127113
2024-02-05 05:00:00,19601985.0,49.489,49.94,49.51,50.15,49.26,1707109200000,130958
2024-02-06 05:00:00,19265797.0,50.1196,50.31,49.98,50.61,49.785,1707195600000,132869
2024-02-07 05:00:00,16794364.0,49.775,50.3,49.77,50.35,49.46,1707282000000,116366
2024-02-08 05:00:00,19598985.0,49.8545,49.9,49.95,49.99,49.55,1707368400000,122779
2024-02-09 05:00:00,24076857.0,50.0806,49.93,50.13,50.26,49.63,1707454800000,148812
2024-02-12 05:00:00,19046333.0,49.9608,50.03,49.99,50.2,49.525,1707714000000,124802
2024-02-13 05:00:00,23633712.0,49.4488,49.62,49.64,49.94,49.14,1707800400000,159218
2024-02-14 05:00:00,31176442.0,49.8209,49.57,50.28,50.34,49.5518,1707886800000,210540
2024-02-15 05:00:00,42766544.0,49.0787,48.255,49.06,49.685,48.19,1707973200000,278602
2024-02-16 05:00:00,24912312.0,48.6395,48.75,48.44,49.075,48.39,1708059600000,149455
2024-02-20 05:00:00,26402463.0,48.269,47.97,48.28,48.47,47.85,1708405200000,133940
2024-02-21 05:00:00,15999174.0,48.3194,48.45,48.48,48.52,47.9,1708491600000,112369
2024-02-22 05:00:00,22020346.0,48.5284,48.27,48.57,48.7,48.154,1708578000000,133191
2024-02-23 05:00:00,13141857.0,48.926,48.62,48.86,49.14,48.5,1708664400000,91615
2024-02-26 05:00:00,13018741.0,48.5246,48.85,48.4,48.9,48.36,1708923600000,85948
2024-02-27 05:00:00,12515381.0,48.2325,48.15,48.31,48.45,48.02,1709010000000,84511
2024-02-28 05:00:00,14635130.0,48.1869,48.2,48.06,48.48,48.01,1709096400000,96219
2024-02-29 05:00:00,22962460.0,48.3539,48.19,48.37,48.48,48.13,1709182800000,90815
2024-03-01 05:00:00,18508070.0,48.1806,48.11,48.4,48.42,47.66,1709269200000,114203
2024-03-04 05:00:00,25214521.0,49.0906,48.37,49.13,49.465,48.225,1709528400000,140608
2024-03-05 05:00:00,18101297.0,48.8887,49.04,48.95,49.07,48.57,1709614800000,113174
2024-03-06 05:00:00,20903553.0,49.1611,48.98,49.17,49.405,48.965,1709701200000,104747
2024-03-07 05:00:00,21224701.0,48.9937,49.44,48.9,49.48,48.825,1709787600000,106384
2024-03-08 05:00:00,19316209.0,49.4648,48.87,49.5,49.78,48.85,1709874000000,117291
2024-03-11 04:00:00,17715074.0,50.0858,49.72,50.22,50.3,49.58,1710129600000,118701
2024-03-12 04:00:00,17590415.0,50.1082,50.544,50.07,50.55,49.885,1710216000000,107972
2024-03-13 04:00:00,16669863.0,50.0341,50.03,50.11,50.15,49.825,1710302400000,111603
2024-03-14 04:00:00,17239397.0,49.8035,50.27,49.79,50.345,49.6,1710388800000,113595
2024-03-15 04:00:00,57049238.0,49.109,49.79,48.93,49.96,48.904,1710475200000,137389
2024-03-18 04:00:00,17406663.0,49.3451,49.22,49.27,49.66,48.98,1710734400000,105763
2024-03-19 04:00:00,19601131.0,49.2513,49.12,49.14,49.595,48.97,1710820800000,106381
2024-03-20 04:00:00,18554114.0,49.3337,49.04,49.55,49.58,48.94,1710907200000,108684
2024-03-21 04:00:00,26102850.0,49.8726,49.71,49.88,50.19,49.56,1710993600000,100702
2024-03-22 04:00:00,15022861.0,49.8259,50.05,49.78,50.1,49.72,1711080000000,75701
2024-03-25 04:00:00,16191164.0,49.6394,49.56,49.68,49.76,49.29,1711339200000,73081
2024-03-26 04:00:00,13842923.0,49.589,49.55,49.55,49.81,49.48,1711425600000,74046
2024-03-27 04:00:00,17230958.0,49.6905,49.77,49.77,49.9,49.41,1711512000000,90311
2024-03-28 04:00:00,18139735.0,49.9547,49.89,49.91,50.195,49.81,1711598400000,89560
2024-04-01 04:00:00,15138079.0,50.0379,49.96,50.04,50.2,49.865,1711944000000,92846
2024-04-02 04:00:00,16414408.0,49.386,49.96,49.36,50.09,49.145,1712030400000,93252
2024-04-03 04:00:00,22210022.0,48.822,48.8,48.74,49.22,48.66,1712116800000,97868
2024-04-04 04:00:00,17373966.0,48.557,49.09,48.11,49.55,48.0431,1712203200000,99936
2024-04-05 04:00:00,18661294.0,48.475,47.96,48.55,48.67,47.89,1712289600000,121297
2024-04-08 04:00:00,15375698.0,48.3565,48.19,48.24,48.66,48.16,1712548800000,84618
2024-04-09 04:00:00,26697099.0,49.697,48.84,50.01,50.2,48.515,1712635200000,161838
2024-04-10 04:00:00,20026353.0,49.1274,49.73,49.21,49.77,48.81,1712721600000,143819
2024-04-11 04:00:00,15703887.0,49.3888,49.32,49.53,49.59,49.0,1712808000000,100022
2024-04-12 04:00:00,16418052.0,48.6965,49.21,48.49,49.23,48.44,1712894400000,107435
2024-04-15 04:00:00,20310808.0,48.6186,49.72,48.24,49.79,48.2,1713153600000,127711
2024-04-16 04:00:00,14233427.0,48.0478,48.47,47.92,48.51,47.84,1713240000000,101601
2024-04-17 04:00:00,14407572.0,47.8747,48.0,47.79,48.28,47.7101,1713326400000,87265
2024-04-18 04:00:00,13080916.0,48.0949,48.41,48.11,48.41,47.88,1713412800000,94244
2024-04-19 04:00:00,20964433.0,48.2913,48.39,48.32,48.43,48.03,1713499200000,106760
2024-04-22 04:00:00,20135728.0,48.2162,48.49,48.14,48.59,48.0,1713758400000,100340
2024-04-23 04:00:00,16261695.0,48.322,48.14,48.32,48.46,48.055,1713844800000,93544
2024-04-24 04:00:00,14828461.0,48.2108,48.05,48.35,48.38,47.92,1713931200000,96354
2024-04-25 04:00:00,18790892.0,48.1407,48.78,48.1,48.93,47.85,1714017600000,106685
2024-04-26 04:00:00,14658910.0,47.9162,47.64,47.86,48.28,47.61,1714104000000,87265
2024-04-29 04:00:00,11599452.0,47.8515,47.99,47.78,48.31,47.58,1714363200000,78991
2024-04-30 04:00:00,18535441.0,47.106,47.61,46.98,47.69,46.97,1714449600000,99067
2024-05-01 04:00:00,18266418.0,47.0388,46.7,46.84,47.57,46.681,1714536000000,101175
2024-05-02 04:00:00,15441652.0,46.7866,47.03,46.79,47.12,46.6,1714622400000,95463
2024-05-03 04:00:00,17935302.0,47.1051,47.1,47.12,47.4,46.84,1714708800000,88172
2024-05-06 04:00:00,14162953.0,47.1297,47.22,47.11,47.435,46.97,1714968000000,83698
2024-05-07 04:00:00,14308160.0,47.2403,47.21,47.28,47.46,47.005,1715054400000,94471
2024-05-08 04:00:00,15130157.0,47.9273,47.44,48.0,48.14,47.25,1715140800000,94241
2024-05-09 04:00:00,12449345.0,47.818,48.0,47.79,48.09,47.65,1715227200000,72431
2024-05-10 04:00:00,12096899.0,47.9595,48.0,48.06,48.1,47.7,1715313600000,74570
2024-05-13 04:00:00,15149097.0,48.6452,48.31,48.68,48.82,48.23,1715572800000,102235
2024-05-14 04:00:00,17379728.0,48.7532,48.98,48.95,49.18,48.35,1715659200000,107455
2024-05-15 04:00:00,37342052.0,49.876,49.19,49.67,49.725,48.73,1715745600000,193374
2024-05-16 04:00:00,47829396.0,48.6822,50.08,48.34,50.11,48.165,1715832000000,257116
