date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1743073.0,81.7165,81.81,81.83,82.34,81.3,1705554000000,23692
2024-01-19 05:00:00,3414791.0,82.2789,82.16,82.33,83.0,81.46,1705640400000,30448
2024-01-22 05:00:00,1499588.0,83.4488,82.9,83.29,84.62,82.76,1705899600000,23696
2024-01-23 05:00:00,1363647.0,83.6019,83.71,83.86,84.05,82.63,1705986000000,24712
2024-01-24 05:00:00,1436734.0,83.9547,84.7,83.76,84.73,83.68,1706072400000,24484
2024-01-25 05:00:00,1357657.0,84.5508,84.5,84.61,85.28,84.07,1706158800000,26324
2024-01-26 05:00:00,1299674.0,85.1356,84.98,85.09,85.68,84.65,1706245200000,22327
2024-01-29 05:00:00,1572319.0,85.9012,84.72,86.29,86.3,84.66,1706504400000,24218
2024-01-30 05:00:00,998413.0,85.4105,85.56,85.24,86.18,85.0,1706590800000,20836
2024-01-31 05:00:00,1946622.0,84.1875,85.21,83.48,85.77,83.34,1706677200000,32895
2024-02-01 05:00:00,1694944.0,84.279,83.88,84.6,85.06,82.89,1706763600000,29866
2024-02-02 05:00:00,2197000.0,83.7236,83.72,83.94,84.44,82.64,1706850000000,37313
2024-02-05 05:00:00,1778012.0,81.5913,83.25,81.76,83.25,80.175,1707109200000,32155
2024-02-06 05:00:00,1456795.0,83.3896,81.87,83.88,83.92,81.82,1707195600000,27338
2024-02-07 05:00:00,2024563.0,85.0049,84.58,85.13,85.73,83.92,1707282000000,30475
2024-02-08 05:00:00,2245325.0,82.3709,84.84,81.77,85.308,81.28,1707368400000,36435
2024-02-09 05:00:00,4207958.0,82.2265,82.08,83.13,83.46,80.51,1707454800000,47262
2024-02-12 05:00:00,2145870.0,83.2174,83.13,82.88,84.28,82.83,1707714000000,32154
2024-02-13 05:00:00,2890503.0,81.0772,81.59,81.64,81.73,80.02,1707800400000,46983
2024-02-14 05:00:00,1673944.0,82.0117,82.0,82.32,82.68,81.34,1707886800000,29912
2024-02-15 05:00:00,1663600.0,82.9785,82.84,82.96,83.76,82.57,1707973200000,29570
2024-02-16 05:00:00,1720300.0,81.8636,82.29,81.4,82.47,81.32,1708059600000,31221
2024-02-20 05:00:00,3054262.0,80.9386,81.06,81.24,81.31,79.82,1708405200000,41158
2024-02-21 05:00:00,5361723.0,83.0097,82.73,83.98,84.07,81.29,1708491600000,57748
2024-02-22 05:00:00,4683831.0,83.067,84.37,82.47,86.745,81.62,1708578000000,50305
2024-02-23 05:00:00,3182748.0,84.6555,82.82,84.79,85.38,82.75,1708664400000,40932
2024-02-26 05:00:00,1749305.0,84.0316,84.48,83.98,85.39,83.49,1708923600000,23805
2024-02-27 05:00:00,1755260.0,84.856,84.01,84.89,86.03,83.89,1709010000000,25217
2024-02-28 05:00:00,1756583.0,86.0979,84.24,86.35,86.55,84.24,1709096400000,27896
2024-02-29 05:00:00,2751327.0,86.9433,86.1,87.03,87.49,85.86,1709182800000,36267
2024-03-01 05:00:00,1902994.0,88.0178,87.03,88.27,88.47,86.085,1709269200000,29545
2024-03-04 05:00:00,1552858.0,88.4375,88.37,88.59,89.37,86.97,1709528400000,25666
2024-03-05 05:00:00,2521758.0,87.4323,88.75,87.35,88.75,86.615,1709614800000,34507
2024-03-06 05:00:00,1831702.0,87.4277,87.21,87.68,87.93,86.65,1709701200000,24691
2024-03-07 05:00:00,2385861.0,85.8021,88.34,85.35,88.61,84.93,1709787600000,35906
2024-03-08 05:00:00,2090443.0,86.2389,85.78,86.11,86.92,85.42,1709874000000,30666
2024-03-11 04:00:00,1637028.0,86.7021,86.34,86.81,87.06,85.85,1710129600000,25019
2024-03-12 04:00:00,1529975.0,86.9824,86.52,87.13,87.43,86.035,1710216000000,23406
2024-03-13 04:00:00,1607684.0,87.9994,87.58,87.81,88.79,87.16,1710302400000,25768
2024-03-14 04:00:00,2247041.0,87.5366,88.55,87.87,88.57,86.535,1710388800000,29895
2024-03-15 04:00:00,9555135.0,93.056,87.52,95.18,95.83,87.52,1710475200000,103013
2024-03-18 04:00:00,5415428.0,97.3458,96.33,96.15,100.38,95.8,1710734400000,77100
2024-03-19 04:00:00,3071053.0,94.618,96.36,94.1,97.2,93.95,1710820800000,48063
2024-03-20 04:00:00,2254716.0,95.9368,95.03,96.31,96.88,94.0901,1710907200000,34743
2024-03-21 04:00:00,1932053.0,97.2413,97.26,97.73,97.91,95.72,1710993600000,28379
2024-03-22 04:00:00,1832799.0,95.9913,97.73,95.72,97.73,95.565,1711080000000,27160
2024-03-25 04:00:00,2056086.0,95.6059,96.22,95.82,96.46,94.49,1711339200000,21485
2024-03-26 04:00:00,2282195.0,95.2711,96.34,95.18,96.66,94.75,1711425600000,28080
2024-03-27 04:00:00,1278639.0,95.9569,96.29,96.22,96.87,95.33,1711512000000,22064
2024-03-28 04:00:00,2213505.0,96.7622,96.7,96.6,97.64,96.13,1711598400000,28389
2024-04-01 04:00:00,1272583.0,94.7904,96.98,94.52,96.98,94.29,1711944000000,25867
2024-04-02 04:00:00,1499572.0,93.2309,94.43,93.17,94.43,92.72,1712030400000,23525
2024-04-03 04:00:00,1182553.0,93.1972,93.19,93.37,93.6975,92.28,1712116800000,23291
2024-04-04 04:00:00,1712060.0,92.6256,94.44,91.81,95.52,91.76,1712203200000,24328
2024-04-05 04:00:00,1725880.0,94.5719,91.9,94.75,95.49,91.69,1712289600000,31934
2024-04-08 04:00:00,1411339.0,94.2086,95.11,94.22,95.32,93.72,1712548800000,24366
2024-04-09 04:00:00,1156382.0,95.2791,94.99,95.69,95.71,94.23,1712635200000,19656
2024-04-10 04:00:00,2470164.0,90.8439,92.64,90.65,92.88,89.6,1712721600000,33594
2024-04-11 04:00:00,1632021.0,92.5605,91.14,92.79,93.59,90.47,1712808000000,26535
2024-04-12 04:00:00,1745123.0,90.4351,92.03,90.34,92.21,89.96,1712894400000,27661
2024-04-15 04:00:00,2585037.0,87.9213,91.58,87.53,91.69,86.76,1713153600000,38007
2024-04-16 04:00:00,2615134.0,86.3,87.35,86.29,87.73,85.65,1713240000000,36336
2024-04-17 04:00:00,1239950.0,85.9324,86.43,85.46,87.05,85.4,1713326400000,23168
2024-04-18 04:00:00,1268049.0,84.7013,85.96,84.18,86.19,84.125,1713412800000,24289
2024-04-19 04:00:00,2067344.0,84.4968,85.0,84.26,85.28,84.07,1713499200000,32887
2024-04-22 04:00:00,3949888.0,85.229,83.38,85.31,86.27,83.16,1713758400000,48296
2024-04-23 04:00:00,3027562.0,85.1071,85.53,84.62,86.04,84.4,1713844800000,52178
2024-04-24 04:00:00,4739698.0,91.4961,92.53,91.95,93.94,88.83,1713931200000,73696
2024-04-25 04:00:00,2781533.0,90.1197,91.955,90.34,92.42,88.79,1714017600000,36182
2024-04-26 04:00:00,2234096.0,92.554,89.93,92.65,93.27,89.8,1714104000000,36292
2024-04-29 04:00:00,1770055.0,92.4259,92.65,92.5,93.29,91.965,1714363200000,26608
