date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,8167002.0,143.0671,142.42,143.12,144.02,142.04,1705467600000,107109
2024-01-18 05:00:00,11187839.0,141.5133,143.0,141.82,143.19,139.62,1705554000000,131440
2024-01-19 05:00:00,11192463.0,141.8404,141.73,142.24,142.25,141.01,1705640400000,114577
2024-01-22 05:00:00,9184626.0,142.1419,141.91,142.49,142.66,140.92,1705899600000,103134
2024-01-23 05:00:00,6767179.0,142.3294,141.985,142.09,143.33,141.9,1705986000000,87627
2024-01-24 05:00:00,8100014.0,144.031,142.7,144.92,144.98,142.221,1706072400000,96140
2024-01-25 05:00:00,9773620.0,147.18,146.22,148.57,148.69,145.225,1706158800000,119703
2024-01-26 05:00:00,9151896.0,148.4346,148.03,149.14,149.26,146.98,1706245200000,103340
2024-01-29 05:00:00,10494818.0,148.2585,149.09,149.08,149.22,147.11,1706504400000,120749
2024-01-30 05:00:00,9902881.0,149.6037,148.18,150.12,150.3056,147.71,1706590800000,125953
2024-01-31 05:00:00,10427972.0,148.4694,150.37,147.43,150.38,147.34,1706677200000,116994
2024-02-01 05:00:00,8138669.0,147.8513,148.19,147.89,149.02,146.52,1706763600000,119070
2024-02-02 05:00:00,12839063.0,151.9106,150.86,152.24,153.38,149.55,1706850000000,164166
2024-02-05 05:00:00,8277776.0,152.4443,151.62,152.33,153.51,150.7904,1707109200000,119847
2024-02-06 05:00:00,6198841.0,152.5935,152.5,152.35,153.54,151.81,1707195600000,89806
2024-02-07 05:00:00,6252041.0,152.0409,153.02,152.13,153.78,151.17,1707282000000,89598
2024-02-08 05:00:00,9236968.0,153.3586,151.95,154.06,154.3,151.65,1707368400000,119067
2024-02-09 05:00:00,9194458.0,152.3799,154.42,151.04,155.32,150.98,1707454800000,133980
2024-02-12 05:00:00,6713003.0,152.1249,151.62,152.08,152.6137,151.39,1707714000000,92896
2024-02-13 05:00:00,6987058.0,150.7282,152.62,150.6,153.07,149.605,1707800400000,103416
2024-02-14 05:00:00,5995064.0,150.8872,151.28,151.01,152.2,150.08,1707886800000,88360
2024-02-15 05:00:00,8950304.0,153.3327,149.91,154.46,155.09,149.67,1707973200000,123034
2024-02-16 05:00:00,7570220.0,155.013,155.37,154.63,155.77,154.09,1708059600000,101146
2024-02-20 05:00:00,6977945.0,154.4064,155.47,154.0,155.61,153.83,1708405200000,106314
2024-02-21 05:00:00,6630084.0,154.9848,154.57,155.44,155.565,154.1,1708491600000,93899
2024-02-22 05:00:00,8874924.0,155.3348,154.82,155.43,156.625,153.83,1708578000000,104831
