date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6718726.0,46.1811,44.69,46.53,46.725,44.69,1705554000000,73507
2024-01-19 05:00:00,4342529.0,46.209,46.56,46.76,46.7825,45.3,1705640400000,52218
2024-01-22 05:00:00,4496756.0,46.3283,47.25,45.81,47.9899,45.58,1705899600000,48077
2024-01-23 05:00:00,2225063.0,45.8578,46.52,45.75,47.08,45.46,1705986000000,33500
2024-01-24 05:00:00,4583947.0,44.6885,46.52,44.09,46.69,43.99,1706072400000,55553
2024-01-25 05:00:00,2930323.0,44.8237,44.91,44.9,45.38,44.281,1706158800000,39967
2024-01-26 05:00:00,2601254.0,44.5636,45.19,44.49,45.31,44.2,1706245200000,32797
2024-01-29 05:00:00,2364362.0,44.8908,44.36,45.43,45.45,44.07,1706504400000,29201
2024-01-30 05:00:00,1693266.0,44.5006,45.21,44.27,45.28,44.24,1706590800000,23739
2024-01-31 05:00:00,3248275.0,44.3556,44.23,43.87,45.42,43.57,1706677200000,39270
2024-02-01 05:00:00,3434366.0,43.7912,44.35,44.0,45.29,42.85,1706763600000,42813
2024-02-02 05:00:00,3733599.0,43.3254,43.48,43.41,43.84,42.5,1706850000000,46117
2024-02-05 05:00:00,3364372.0,42.7757,42.66,42.75,43.18,42.35,1707109200000,39082
2024-02-06 05:00:00,3267463.0,43.4846,42.74,43.38,44.14,42.42,1707195600000,37007
2024-02-07 05:00:00,2902091.0,43.1132,43.65,43.07,43.75,42.77,1707282000000,33159
2024-02-08 05:00:00,3084363.0,43.9757,43.56,44.25,44.43,43.33,1707368400000,36662
2024-02-09 05:00:00,3050382.0,44.7088,44.7,44.5,45.17,44.23,1707454800000,38237
2024-02-12 05:00:00,2095857.0,44.8452,44.37,44.71,45.43,44.08,1707714000000,29354
2024-02-13 05:00:00,5259828.0,42.4826,42.94,42.45,43.0,42.01,1707800400000,61054
2024-02-14 05:00:00,2777925.0,42.5478,42.8,42.73,42.92,41.86,1707886800000,34385
2024-02-15 05:00:00,2342833.0,43.2209,43.07,43.16,43.74,42.77,1707973200000,31825
2024-02-16 05:00:00,3387413.0,42.544,42.45,42.51,42.83,42.06,1708059600000,39274
2024-02-20 05:00:00,7290469.0,41.5269,42.0,41.65,42.34,40.91,1708405200000,71766
2024-02-21 05:00:00,6625101.0,42.246,39.55,42.24,43.05,39.5,1708491600000,76669
2024-02-22 05:00:00,3514797.0,41.7936,42.75,41.47,42.87,41.38,1708578000000,41189
2024-02-23 05:00:00,3736901.0,41.9582,41.26,41.65,42.54,41.15,1708664400000,41955
2024-02-26 05:00:00,3907854.0,41.0423,41.38,40.83,41.89,40.655,1708923600000,43993
2024-02-27 05:00:00,4753868.0,42.0653,41.33,41.96,42.51,41.33,1709010000000,44970
2024-02-28 05:00:00,2424085.0,41.5916,41.4,41.44,42.0,41.22,1709096400000,31053
2024-02-29 05:00:00,4192643.0,43.0676,42.05,43.47,43.53,41.45,1709182800000,40075
2024-03-01 05:00:00,2846665.0,42.8365,43.38,42.96,43.38,42.0375,1709269200000,39218
2024-03-04 05:00:00,3010372.0,41.897,42.73,41.57,42.75,41.52,1709528400000,34918
2024-03-05 05:00:00,2283022.0,41.297,41.23,41.08,41.98,40.93,1709614800000,27118
2024-03-06 05:00:00,1988671.0,41.137,41.93,40.99,41.93,40.775,1709701200000,26319
2024-03-07 05:00:00,2071828.0,41.7264,41.06,41.69,42.09,41.06,1709787600000,21876
2024-03-08 05:00:00,1992940.0,42.3801,42.43,42.13,43.09,42.11,1709874000000,25048
2024-03-11 04:00:00,2030264.0,42.8687,41.92,42.63,43.66,41.79,1710129600000,28099
2024-03-12 04:00:00,2530558.0,42.4799,42.61,42.24,43.06,42.19,1710216000000,31875
2024-03-13 04:00:00,1757256.0,41.8958,42.17,41.61,42.67,41.54,1710302400000,26841
2024-03-14 04:00:00,5099811.0,40.3332,41.58,39.92,41.67,39.725,1710388800000,52137
2024-03-15 04:00:00,5458427.0,39.4111,39.63,39.17,40.44,39.07,1710475200000,51898
2024-03-18 04:00:00,2770501.0,39.9086,39.46,39.83,40.37,39.23,1710734400000,37799
2024-03-19 04:00:00,1768228.0,40.0804,39.62,40.3,40.405,39.43,1710820800000,23826
2024-03-20 04:00:00,2536471.0,41.0946,40.26,41.74,41.81,40.2,1710907200000,32943
2024-03-21 04:00:00,1971887.0,41.9944,42.0,41.63,42.66,41.56,1710993600000,25459
2024-03-22 04:00:00,1802365.0,41.297,41.62,41.31,42.0,40.86,1711080000000,24784
2024-03-25 04:00:00,2619933.0,41.5867,41.33,41.72,42.22,41.13,1711339200000,29385
2024-03-26 04:00:00,5032625.0,43.1678,42.27,42.71,43.83,42.08,1711425600000,48637
2024-03-27 04:00:00,2724879.0,43.1698,43.0,43.36,43.64,42.89,1711512000000,31472
2024-03-28 04:00:00,2470401.0,43.7259,43.71,43.74,43.95,43.42,1711598400000,28814
2024-04-01 04:00:00,2809108.0,43.7068,44.0,43.17,44.42,43.12,1711944000000,35526
2024-04-02 04:00:00,2714924.0,42.0005,42.564,41.84,42.7,41.74,1712030400000,35586
2024-04-03 04:00:00,3102026.0,43.1362,41.66,43.33,43.59,41.57,1712116800000,37676
2024-04-04 04:00:00,3486535.0,43.3425,44.11,42.33,44.67,42.27,1712203200000,44240
2024-04-05 04:00:00,2279389.0,42.7428,42.23,42.91,43.16,42.0,1712289600000,26540
2024-04-08 04:00:00,1841282.0,43.2533,43.06,43.08,43.77,42.88,1712548800000,24088
2024-04-09 04:00:00,1466054.0,43.723,43.29,43.98,44.01,43.02,1712635200000,24890
2024-04-10 04:00:00,3865192.0,41.5341,42.69,41.5,42.755,40.82,1712721600000,49767
2024-04-11 04:00:00,2592186.0,41.9084,41.51,42.22,42.4,41.13,1712808000000,36710
2024-04-12 04:00:00,5028084.0,40.4908,41.6,40.1,41.78,39.83,1712894400000,53488
2024-04-15 04:00:00,3293014.0,40.701,40.47,40.22,41.61,40.03,1713153600000,44009
2024-04-16 04:00:00,3485593.0,39.5071,39.84,39.44,40.295,38.855,1713240000000,43971
2024-04-17 04:00:00,2965788.0,38.8443,39.71,38.52,39.82,38.495,1713326400000,38259
2024-04-18 04:00:00,3324655.0,38.2484,38.61,37.98,39.07,37.87,1713412800000,37499
2024-04-19 04:00:00,2868015.0,38.1784,37.95,38.2,38.5,37.815,1713499200000,38074
2024-04-22 04:00:00,4321780.0,38.3163,38.57,38.42,38.89,37.71,1713758400000,35760
2024-04-23 04:00:00,1975455.0,39.1315,38.68,39.12,39.39,38.59,1713844800000,29454
2024-04-24 04:00:00,3323699.0,38.4634,39.0,38.48,39.32,37.98,1713931200000,34174
2024-04-25 04:00:00,3162767.0,37.8349,37.94,38.04,38.335,37.34,1714017600000,35819
2024-04-26 04:00:00,6268493.0,36.8759,37.45,36.61,38.17,36.34,1714104000000,65946
2024-04-29 04:00:00,4533136.0,37.6367,37.24,37.57,38.35,37.07,1714363200000,46410
2024-04-30 04:00:00,7332263.0,36.4681,37.22,35.82,37.27,35.76,1714449600000,75094
