date,volume,vw,open,close,high,low,t,n
2024-02-01 05:00:00,980512.0,69.7498,69.38,69.94,71.76,68.03,1706763600000,13007
2024-02-02 05:00:00,1001230.0,71.1617,70.16,71.42,71.75,69.84,1706850000000,15411
2024-02-05 05:00:00,1243496.0,69.4789,70.73,69.36,71.49,68.925,1707109200000,15916
2024-02-06 05:00:00,1561275.0,70.9576,69.54,71.25,71.48,69.26,1707195600000,24289
2024-02-07 05:00:00,6407993.0,67.0885,68.0,69.31,69.35,63.13,1707282000000,52463
2024-02-08 05:00:00,2219900.0,70.5369,69.29,69.98,71.93,68.85,1707368400000,31892
2024-02-09 05:00:00,1305128.0,69.7254,70.02,70.69,70.72,68.36,1707454800000,23415
2024-02-12 05:00:00,1419688.0,73.142,69.71,72.74,74.66,69.71,1707714000000,20279
2024-02-13 05:00:00,1328913.0,70.464,71.03,70.21,71.87,69.82,1707800400000,21992
2024-02-14 05:00:00,1627195.0,72.1242,70.85,72.3,72.83,70.495,1707886800000,16911
2024-02-15 05:00:00,1156316.0,73.4546,73.07,73.69,73.87,72.15,1707973200000,16288
2024-02-16 05:00:00,646641.0,73.5631,73.3,73.26,74.37,72.7,1708059600000,12656
2024-02-20 05:00:00,1051018.0,71.7413,72.37,71.54,72.69,71.27,1708405200000,15605
2024-02-21 05:00:00,950594.0,69.9263,69.94,69.91,70.71,69.44,1708491600000,14933
2024-02-22 05:00:00,1403520.0,71.6685,70.72,71.79,71.91,70.47,1708578000000,18602
2024-02-23 05:00:00,1199007.0,71.4728,72.29,71.42,72.59,70.98,1708664400000,12535
2024-02-26 05:00:00,1604578.0,71.2161,70.98,71.26,71.585,70.69,1708923600000,12398
2024-02-27 05:00:00,748027.0,71.9085,71.15,71.91,72.46,70.84,1709010000000,15865
2024-02-28 05:00:00,512882.0,71.3034,71.4,71.05,72.0,71.04,1709096400000,10951
2024-02-29 05:00:00,2371662.0,69.9441,69.9,69.76,71.055,69.67,1709182800000,22900
2024-03-01 05:00:00,2322086.0,68.5617,69.3,68.25,70.29,67.96,1709269200000,19670
