date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4071978.0,126.2626,128.21,126.92,128.64,123.92,1705554000000,65215
2024-01-19 05:00:00,3972195.0,129.2766,128.05,130.31,130.5,126.62,1705640400000,63563
2024-01-22 05:00:00,4907986.0,133.8377,133.4,132.98,136.075,131.79,1705899600000,77024
2024-01-23 05:00:00,5797527.0,130.1403,133.0,129.01,133.15,128.56,1705986000000,84865
2024-01-24 05:00:00,10499830.0,124.6373,130.495,122.58,130.495,122.22,1706072400000,135078
2024-01-25 05:00:00,9431958.0,121.2741,123.61,122.19,123.6893,119.34,1706158800000,114423
2024-01-26 05:00:00,4501588.0,123.6343,121.46,123.95,124.92,120.59,1706245200000,59673
2024-01-29 05:00:00,3609598.0,127.3008,124.78,128.87,128.94,124.59,1706504400000,58475
2024-01-30 05:00:00,3371515.0,126.7629,128.36,126.83,129.06,125.51,1706590800000,56469
2024-01-31 05:00:00,3983565.0,124.8017,123.29,124.44,127.32,122.55,1706677200000,57413
2024-02-01 05:00:00,3222425.0,126.5011,125.67,126.9,127.55,123.87,1706763600000,49300
2024-02-02 05:00:00,7697226.0,133.636,132.015,134.31,135.22,130.25,1706850000000,99079
2024-02-05 05:00:00,4089841.0,131.8519,135.14,131.14,137.93,129.8,1707109200000,65201
2024-02-06 05:00:00,3693786.0,129.2246,132.08,129.18,132.78,126.85,1707195600000,56953
2024-02-07 05:00:00,3696279.0,131.191,131.3,130.62,132.87,130.16,1707282000000,56976
2024-02-08 05:00:00,4361318.0,131.4958,128.08,131.45,133.24,127.87,1707368400000,69538
2024-02-09 05:00:00,6683393.0,135.7592,135.81,134.91,137.85,134.68,1707454800000,91423
2024-02-12 05:00:00,9412826.0,135.1731,135.13,134.85,137.105,133.31,1707714000000,132416
2024-02-13 05:00:00,15677801.0,131.3962,126.5,131.68,138.61,123.5,1707800400000,200925
2024-02-14 05:00:00,8112834.0,135.8004,134.79,136.15,137.9316,133.415,1707886800000,115464
2024-02-15 05:00:00,6140178.0,132.9117,136.36,131.84,137.45,131.32,1707973200000,86051
2024-02-16 05:00:00,4977646.0,130.1027,131.98,129.74,132.48,128.44,1708059600000,74234
2024-02-20 05:00:00,3732108.0,127.0063,128.0,127.66,129.05,125.1,1708405200000,57653
2024-02-21 05:00:00,3501281.0,124.9299,124.81,125.84,126.65,123.4328,1708491600000,56095
2024-02-22 05:00:00,4298575.0,131.071,130.2,131.12,132.52,129.76,1708578000000,69222
2024-02-23 05:00:00,3498398.0,130.4504,131.77,129.51,132.78,129.135,1708664400000,49265
2024-02-26 05:00:00,2323920.0,130.0287,130.0,129.35,131.5,128.78,1708923600000,37403
2024-02-27 05:00:00,1963242.0,130.9533,130.86,130.95,132.18,129.895,1709010000000,35898
2024-02-28 05:00:00,2108116.0,130.1316,129.79,130.47,132.05,128.83,1709096400000,38886
2024-02-29 05:00:00,5176432.0,131.3172,130.47,131.46,134.3024,129.41,1709182800000,60424
2024-03-01 05:00:00,3470153.0,130.6378,131.75,130.22,131.94,129.2001,1709269200000,52292
2024-03-04 05:00:00,5378205.0,129.3249,129.39,130.67,131.87,126.4,1709528400000,66593
2024-03-05 05:00:00,6143573.0,123.4889,129.09,123.53,129.25,122.03,1709614800000,82697
2024-03-06 05:00:00,4474591.0,124.161,126.75,124.59,127.0,122.19,1709701200000,56632
2024-03-07 05:00:00,3884627.0,123.3668,125.0,122.89,125.0,121.52,1709787600000,61468
2024-03-08 05:00:00,3727158.0,122.1908,122.0,121.31,125.7,120.78,1709874000000,58043
2024-03-11 04:00:00,3695907.0,120.5749,120.15,121.45,122.35,118.4,1710129600000,55851
2024-03-12 04:00:00,3067075.0,121.8091,121.7,122.99,123.07,119.92,1710216000000,46041
2024-03-13 04:00:00,3302887.0,123.8997,122.47,123.59,125.42,121.52,1710302400000,51943
2024-03-14 04:00:00,2720711.0,122.3438,122.63,122.65,123.85,120.09,1710388800000,45577
2024-03-15 04:00:00,4325900.0,120.8441,122.96,120.42,123.5,119.79,1710475200000,37918
2024-03-18 04:00:00,2068658.0,121.2344,121.53,120.87,122.85,120.56,1710734400000,32865
2024-03-19 04:00:00,2699008.0,120.7194,119.44,121.81,121.91,118.75,1710820800000,38551
2024-03-20 04:00:00,2929623.0,123.0202,122.64,123.44,124.08,121.23,1710907200000,36491
2024-03-21 04:00:00,2096270.0,124.1805,125.01,122.86,127.46,122.38,1710993600000,35135
2024-03-22 04:00:00,1503916.0,122.4758,122.65,123.02,123.4005,121.17,1711080000000,28110
2024-03-25 04:00:00,1140941.0,122.3645,122.23,122.66,123.29,121.0,1711339200000,24711
2024-03-26 04:00:00,2133090.0,123.6722,123.57,123.45,124.29,122.37,1711425600000,32373
2024-03-27 04:00:00,2281806.0,123.496,125.31,123.51,125.96,122.3301,1711512000000,42408
2024-03-28 04:00:00,1887188.0,123.9091,123.16,123.6,125.36,122.1491,1711598400000,28075
2024-04-01 04:00:00,2187803.0,123.0154,123.865,123.15,124.32,121.56,1711944000000,32996
2024-04-02 04:00:00,2680289.0,122.4541,120.49,124.39,124.55,118.74,1712030400000,42377
2024-04-03 04:00:00,2742012.0,123.2316,123.83,121.51,125.47,121.465,1712116800000,44572
2024-04-04 04:00:00,2736473.0,122.8118,122.59,120.72,125.555,120.56,1712203200000,37657
2024-04-05 04:00:00,2528608.0,124.1395,121.04,124.4,125.73,119.8,1712289600000,43007
2024-04-08 04:00:00,1475589.0,125.2939,125.34,125.76,125.98,122.837,1712548800000,27868
2024-04-09 04:00:00,1913796.0,125.7,127.2,125.44,128.5,124.38,1712635200000,32453
2024-04-10 04:00:00,3279769.0,124.5103,121.5,125.82,125.979,121.4,1712721600000,46086
2024-04-11 04:00:00,5160786.0,129.7595,127.79,130.8,131.33,127.0,1712808000000,71384
2024-04-12 04:00:00,3652444.0,129.1477,129.09,127.51,131.58,127.45,1712894400000,55547
2024-04-15 04:00:00,3846268.0,127.2476,127.91,125.82,130.22,125.38,1713153600000,46186
2024-04-16 04:00:00,3016865.0,126.7326,125.94,126.95,128.29,124.85,1713240000000,47465
2024-04-17 04:00:00,3477066.0,125.0614,127.228,123.55,128.09,123.44,1713326400000,36282
2024-04-18 04:00:00,2595827.0,125.1871,123.9,125.02,126.77,122.4,1713412800000,49439
2024-04-19 04:00:00,3627985.0,121.4647,124.83,120.09,125.67,119.9,1713499200000,57629
2024-04-22 04:00:00,2971441.0,120.8411,120.48,122.07,122.49,118.46,1713758400000,44609
2024-04-23 04:00:00,5101248.0,126.9895,125.5,126.44,131.48,123.75,1713844800000,74202
2024-04-24 04:00:00,3283714.0,127.2698,126.69,127.07,130.38,125.57,1713931200000,41433
2024-04-25 04:00:00,2950846.0,125.0617,123.55,125.25,126.53,122.59,1714017600000,49169
2024-04-26 04:00:00,5116602.0,130.4981,131.34,131.45,132.9,128.11,1714104000000,72863
2024-04-29 04:00:00,2730634.0,129.5966,132.0,129.07,132.02,128.4557,1714363200000,49571
2024-04-30 04:00:00,3417792.0,127.227,128.25,125.5,129.84,125.45,1714449600000,52178
2024-05-01 04:00:00,4214306.0,125.8115,127.02,126.42,129.62,123.39,1714536000000,62649
2024-05-02 04:00:00,3795410.0,125.8758,127.66,125.46,128.5899,124.6,1714622400000,46975
2024-05-03 04:00:00,3884462.0,124.6104,127.56,124.27,127.88,123.53,1714708800000,59111
2024-05-06 04:00:00,5721742.0,125.4013,123.52,126.97,127.0,122.13,1714968000000,83971
2024-05-07 04:00:00,21740232.0,113.2977,113.26,112.4,116.35,110.342,1715054400000,230446
2024-05-08 04:00:00,8316229.0,116.3484,114.1,117.28,117.75,113.37,1715140800000,107073
2024-05-09 04:00:00,3443991.0,116.8126,118.11,115.87,118.32,115.75,1715227200000,47985
2024-05-10 04:00:00,5174685.0,118.3338,116.52,118.97,119.44,115.66,1715313600000,63267
2024-05-13 04:00:00,3235182.0,118.5485,119.39,118.26,119.8,118.11,1715572800000,42772
2024-05-14 04:00:00,3449665.0,116.9076,118.0,116.75,118.4134,115.9,1715659200000,47575
2024-05-15 04:00:00,3526053.0,118.5139,118.83,118.47,119.0,117.63,1715745600000,53706
2024-05-16 04:00:00,3363004.0,120.8581,118.84,120.61,122.1599,118.25,1715832000000,53209
2024-05-17 04:00:00,2069484.0,120.5352,119.84,120.07,122.11,119.84,1715918400000,37021
2024-05-20 04:00:00,2359975.0,121.1569,120.07,121.29,122.14,119.665,1716177600000,35866
2024-05-21 04:00:00,2769262.0,122.4018,120.42,122.33,123.31,120.11,1716264000000,41931
2024-05-22 04:00:00,1629702.0,122.2082,122.91,122.75,123.29,121.17,1716350400000,33253
2024-05-23 04:00:00,2699646.0,123.6718,124.54,122.12,125.44,122.01,1716436800000,47507
2024-05-24 04:00:00,2183231.0,124.0125,121.77,123.6,125.38,121.0,1716523200000,44282
2024-05-28 04:00:00,2197875.0,122.0278,123.76,122.11,124.135,120.945,1716868800000,38587
2024-05-29 04:00:00,1777739.0,121.3607,120.3,121.68,122.16,120.14,1716955200000,37828
2024-05-30 04:00:00,4395290.0,118.8978,123.4,117.45,123.83,117.18,1717041600000,68122
2024-05-31 04:00:00,10482951.0,110.25,114.75,110.18,115.1804,108.08,1717128000000,124115
2024-06-03 04:00:00,5068250.0,109.2236,111.0,109.34,111.4381,108.29,1717387200000,76210
2024-06-04 04:00:00,4575240.0,108.9435,108.44,108.84,110.21,107.3,1717473600000,65585
