date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3076497.0,78.3147,78.71,78.41,79.0,77.7,1705554000000,35201
2024-01-19 05:00:00,9448917.0,82.756,79.12,83.19,84.755,79.12,1705640400000,91599
2024-01-22 05:00:00,4248243.0,81.7364,83.74,81.14,83.79,81.0,1705899600000,52781
2024-01-23 05:00:00,2673329.0,82.0452,81.0,82.43,82.47,80.54,1705986000000,34682
2024-01-24 05:00:00,3637823.0,84.0299,83.5,83.71,84.92,83.0,1706072400000,43431
2024-01-25 05:00:00,2723305.0,83.7883,84.495,83.04,85.04,83.01,1706158800000,33074
2024-01-26 05:00:00,2927466.0,83.9091,82.51,84.22,84.38,82.1164,1706245200000,37877
2024-01-29 05:00:00,2710308.0,83.8808,84.38,83.41,84.67,83.345,1706504400000,32600
2024-01-30 05:00:00,3838911.0,85.1615,85.72,84.8,86.45,84.32,1706590800000,41662
2024-01-31 05:00:00,3587173.0,82.8368,83.28,82.88,83.59,81.8159,1706677200000,44744
2024-02-01 05:00:00,2729313.0,85.1558,83.6,85.78,85.98,83.0,1706763600000,38857
2024-02-02 05:00:00,3683936.0,86.2769,85.63,86.32,86.9,85.22,1706850000000,43195
2024-02-05 05:00:00,2204220.0,85.5211,86.53,85.71,86.87,84.76,1707109200000,26100
2024-02-06 05:00:00,5015052.0,83.0353,85.73,82.68,85.99,82.16,1707195600000,55587
2024-02-07 05:00:00,2964177.0,83.4707,83.44,83.74,83.83,82.78,1707282000000,39573
2024-02-08 05:00:00,2993875.0,84.6569,83.61,84.8,85.14,83.51,1707368400000,31920
2024-02-09 05:00:00,2315688.0,86.0946,85.25,86.2,86.65,85.01,1707454800000,31075
2024-02-12 05:00:00,2979121.0,86.4581,86.5,86.62,86.89,85.83,1707714000000,35662
2024-02-13 05:00:00,3144457.0,84.0,84.985,83.98,85.185,83.45,1707800400000,42807
2024-02-14 05:00:00,2361315.0,85.7297,85.06,86.04,86.23,84.72,1707886800000,33042
2024-02-15 05:00:00,4418498.0,83.1778,85.48,82.72,85.91,82.42,1707973200000,59829
2024-02-16 05:00:00,4841750.0,84.1788,83.3,84.21,85.32,82.79,1708059600000,52734
2024-02-20 05:00:00,3111062.0,82.3966,83.88,82.46,83.99,81.22,1708405200000,40943
2024-02-21 05:00:00,3365285.0,81.1522,81.29,81.39,81.81,80.49,1708491600000,43344
2024-02-22 05:00:00,8284115.0,87.8827,85.96,87.79,89.12,85.4,1708578000000,92332
2024-02-23 05:00:00,6997290.0,90.0291,89.055,90.35,92.68,88.0,1708664400000,81398
2024-02-26 05:00:00,8175396.0,93.3188,92.62,92.77,94.99,91.8,1708923600000,85909
2024-02-27 05:00:00,5888086.0,91.653,93.0,91.56,93.48,90.73,1709010000000,69550
2024-02-28 05:00:00,5909825.0,93.3445,92.1,93.25,94.37,91.2718,1709096400000,68298
2024-02-29 05:00:00,14317003.0,98.7266,91.0,94.66,94.795,91.0,1709182800000,131045
2024-03-01 05:00:00,62169006.0,121.5705,124.67,124.59,131.06,116.45,1709269200000,484481
2024-03-04 05:00:00,23835958.0,124.4432,123.95,121.78,129.05,120.8,1709528400000,243539
2024-03-05 05:00:00,15019166.0,116.5643,120.75,117.75,121.52,113.89,1709614800000,151180
2024-03-06 05:00:00,10569122.0,119.0343,119.445,118.5,120.56,116.96,1709701200000,112942
2024-03-07 05:00:00,9644266.0,120.8039,120.0,120.5,122.02,119.31,1709787600000,97683
2024-03-08 05:00:00,11015227.0,117.303,120.29,116.25,120.77,114.945,1709874000000,115582
2024-03-11 04:00:00,5936758.0,115.7846,115.48,115.86,116.8308,113.63,1710129600000,77932
2024-03-12 04:00:00,6569996.0,115.1255,117.3,113.55,118.29,113.4,1710216000000,78402
2024-03-13 04:00:00,7161959.0,110.5805,113.5,110.0,114.33,109.33,1710302400000,97877
2024-03-14 04:00:00,8069808.0,106.6533,110.7,106.45,111.41,105.0,1710388800000,93201
2024-03-15 04:00:00,9159679.0,107.6035,107.044,107.0,108.98,105.64,1710475200000,80795
2024-03-18 04:00:00,7403774.0,106.4543,106.99,106.63,107.87,104.66,1710734400000,77045
2024-03-19 04:00:00,7971732.0,107.6127,107.02,107.52,108.88,105.045,1710820800000,81003
2024-03-20 04:00:00,9600219.0,109.1424,107.91,111.07,111.33,106.06,1710907200000,76093
2024-03-21 04:00:00,11678008.0,114.0064,113.18,114.04,115.77,112.25,1710993600000,108881
2024-03-22 04:00:00,4711422.0,112.6829,112.905,112.24,113.8,111.79,1711080000000,57307
2024-03-25 04:00:00,6152280.0,113.5017,111.27,113.0,114.81,110.312,1711339200000,65104
2024-03-26 04:00:00,7389230.0,115.545,113.35,114.65,116.85,113.25,1711425600000,86123
2024-03-27 04:00:00,4375982.0,112.0517,114.01,111.68,115.23,110.93,1711512000000,57400
2024-03-28 04:00:00,4153353.0,113.8635,112.25,114.11,114.45,111.89,1711598400000,57998
2024-04-01 04:00:00,8064085.0,118.3292,114.25,119.64,119.71,114.25,1711944000000,92884
2024-04-02 04:00:00,5503125.0,117.3541,117.39,118.44,118.79,115.31,1712030400000,66027
2024-04-03 04:00:00,19390813.0,126.3847,117.79,128.58,129.76,117.66,1712116800000,178764
2024-04-04 04:00:00,19494763.0,131.7341,129.85,127.16,136.16,126.675,1712203200000,179317
2024-04-05 04:00:00,10813487.0,129.1369,128.0,132.72,132.92,123.51,1712289600000,110749
2024-04-08 04:00:00,11952250.0,127.9081,132.95,127.15,133.4399,125.56,1712548800000,120371
2024-04-09 04:00:00,9993308.0,123.3786,126.43,123.73,126.75,120.45,1712635200000,113647
2024-04-10 04:00:00,5944974.0,124.163,121.19,123.37,126.07,121.1,1712721600000,72561
2024-04-11 04:00:00,5058307.0,124.1195,123.61,124.04,125.78,123.14,1712808000000,58783
2024-04-12 04:00:00,7501738.0,119.111,121.49,117.76,122.35,117.61,1712894400000,87029
2024-04-15 04:00:00,6764095.0,119.4389,119.0,117.81,122.5,117.27,1713153600000,71021
2024-04-16 04:00:00,7596734.0,119.7528,116.66,121.08,121.74,115.68,1713240000000,86074
2024-04-17 04:00:00,5346021.0,120.409,122.62,119.62,123.67,118.31,1713326400000,67668
2024-04-18 04:00:00,5053748.0,117.9543,119.61,118.37,119.65,115.51,1713412800000,65213
2024-04-19 04:00:00,9440014.0,115.893,116.36,114.87,119.18,114.3,1713499200000,102707
2024-04-22 04:00:00,5410000.0,115.9779,115.0,115.54,118.34,114.25,1713758400000,65022
2024-04-23 04:00:00,5086925.0,119.3907,116.38,120.63,121.0793,115.7,1713844800000,68628
2024-04-24 04:00:00,5815884.0,121.5523,126.01,120.2,126.01,119.31,1713931200000,63429
2024-04-25 04:00:00,6822999.0,122.7897,118.33,124.91,125.28,117.0,1714017600000,83114
2024-04-26 04:00:00,5512196.0,125.073,125.62,125.06,126.55,123.04,1714104000000,64632
2024-04-29 04:00:00,5004467.0,126.6579,125.2,127.7,127.73,123.2701,1714363200000,56182
2024-04-30 04:00:00,5054483.0,125.1529,126.25,124.64,126.99,123.8401,1714449600000,61438
2024-05-01 04:00:00,7204532.0,119.7706,122.91,118.78,124.16,117.43,1714536000000,89726
2024-05-02 04:00:00,4856908.0,122.1834,121.64,123.39,123.91,118.363,1714622400000,60740
2024-05-03 04:00:00,3942765.0,125.8558,125.49,125.1,127.5899,124.71,1714708800000,51875
2024-05-06 04:00:00,5025217.0,127.8294,125.0,129.33,129.3915,124.2511,1714968000000,66557
2024-05-07 04:00:00,3247051.0,128.0986,128.22,127.55,129.7,126.25,1715054400000,47957
2024-05-08 04:00:00,4921451.0,130.4071,127.16,131.61,131.88,126.0,1715140800000,61208
2024-05-09 04:00:00,6675427.0,131.3851,131.17,131.68,132.4199,129.27,1715227200000,49107
2024-05-10 04:00:00,4536936.0,132.6203,133.93,132.77,134.6,131.42,1715313600000,53109
