date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,2225783.0,225.0471,225.54,224.58,229.14,223.48,1705467600000,39348
2024-01-18 05:00:00,2867390.0,225.7078,223.7,226.31,227.49,222.53,1705554000000,44886
2024-01-19 05:00:00,3258230.0,230.0223,226.59,231.05,231.67,224.73,1705640400000,52307
2024-01-22 05:00:00,2276221.0,231.6594,230.77,231.97,233.27,228.78,1705899600000,41216
2024-01-23 05:00:00,1890207.0,231.7058,233.1,232.1,233.25,230.53,1705986000000,34929
2024-01-24 05:00:00,2106306.0,229.9028,230.73,228.61,232.89,228.43,1706072400000,44028
2024-01-25 05:00:00,3468292.0,227.827,231.33,227.39,232.11,226.62,1706158800000,52784
2024-01-26 05:00:00,6344057.0,236.2508,236.535,233.0,240.58,232.87,1706245200000,86183
2024-01-29 05:00:00,3127698.0,232.7862,232.92,233.93,234.02,231.15,1706504400000,56770
2024-01-30 05:00:00,6158398.0,242.1896,244.05,244.95,245.4,238.455,1706590800000,94096
2024-01-31 05:00:00,5077184.0,241.2666,245.6,239.91,248.78,239.6,1706677200000,80185
2024-02-01 05:00:00,2711813.0,243.4008,239.36,245.13,245.3,238.71,1706763600000,56703
2024-02-02 05:00:00,2819515.0,245.894,244.0,246.33,247.87,242.1535,1706850000000,52422
2024-02-05 05:00:00,2644300.0,246.7764,244.86,245.82,249.225,243.1,1707109200000,50024
2024-02-06 05:00:00,2443075.0,247.0744,245.69,248.2,248.46,244.415,1707195600000,40349
2024-02-07 05:00:00,2300774.0,247.457,247.92,246.64,249.89,246.23,1707282000000,38461
2024-02-08 05:00:00,1774371.0,245.3822,246.45,245.87,246.8,244.08,1707368400000,37256
2024-02-09 05:00:00,2538307.0,243.8047,245.0,242.95,247.25,242.88,1707454800000,45350
2024-02-12 05:00:00,2284798.0,245.859,243.76,246.83,247.08,241.6901,1707714000000,40725
2024-02-13 05:00:00,2189441.0,241.4793,244.98,241.53,246.2,238.4,1707800400000,49739
2024-02-14 05:00:00,2838159.0,246.2033,243.02,247.99,248.47,242.33,1707886800000,48909
2024-02-15 05:00:00,2360909.0,249.5923,247.54,248.96,251.7,247.54,1707973200000,43040
2024-02-16 05:00:00,2152228.0,250.269,248.81,250.0,252.33,248.28,1708059600000,33577
2024-02-20 05:00:00,1982829.0,248.0789,248.66,247.77,250.79,246.815,1708405200000,36774
2024-02-21 05:00:00,1545442.0,249.1266,246.31,250.65,250.75,246.06,1708491600000,30991
2024-02-22 05:00:00,1826056.0,252.2151,251.415,252.73,253.42,249.24,1708578000000,40986
2024-02-23 05:00:00,1351229.0,253.6571,254.0,253.84,255.0,252.58,1708664400000,30762
2024-02-26 05:00:00,2506348.0,251.6918,253.32,251.65,254.32,250.44,1708923600000,35114
2024-02-27 05:00:00,2265218.0,254.5009,252.12,254.86,255.59,251.365,1709010000000,37191
2024-02-28 05:00:00,1945248.0,255.5697,254.06,255.71,256.56,253.54,1709096400000,37754
2024-02-29 05:00:00,3466682.0,253.7199,256.77,253.14,257.09,252.98,1709182800000,41674
2024-03-01 05:00:00,1908703.0,254.7606,252.96,255.87,256.375,251.47,1709269200000,41061
2024-03-04 05:00:00,2888793.0,256.1648,256.52,256.19,259.0,254.85,1709528400000,50808
2024-03-05 05:00:00,2278031.0,254.9715,255.16,254.39,257.96,254.18,1709614800000,37270
2024-03-06 05:00:00,3733215.0,254.4447,255.48,252.9,257.08,252.25,1709701200000,56394
2024-03-07 05:00:00,2857188.0,254.0142,254.81,254.12,255.85,253.31,1709787600000,50366
2024-03-08 05:00:00,1786045.0,254.3921,253.1,253.69,255.84,252.96,1709874000000,35721
2024-03-11 04:00:00,1360840.0,252.6571,252.5,252.8,254.0,250.74,1710129600000,28405
2024-03-12 04:00:00,2221784.0,253.5325,252.83,253.1,255.42,252.01,1710216000000,37484
2024-03-13 04:00:00,2249453.0,254.8708,254.39,255.35,255.68,253.1,1710302400000,36411
2024-03-14 04:00:00,2635549.0,252.6629,253.87,253.22,256.0,250.54,1710388800000,38074
2024-03-15 04:00:00,5793330.0,250.1718,250.71,249.4,253.755,249.14,1710475200000,51992
2024-03-18 04:00:00,3868270.0,251.6197,250.39,251.47,252.92,249.98,1710734400000,47151
2024-03-19 04:00:00,3211299.0,253.064,251.0,253.74,254.09,250.2,1710820800000,35133
2024-03-20 04:00:00,1651287.0,251.3345,253.3,251.68,253.75,250.23,1710907200000,31116
2024-03-21 04:00:00,2313298.0,254.0092,252.26,254.11,255.37,251.5,1710993600000,34983
2024-03-22 04:00:00,2310519.0,254.9151,255.0,254.8,256.51,253.55,1711080000000,37951
2024-03-25 04:00:00,3372489.0,248.4349,254.28,247.8,254.78,246.19,1711339200000,50644
2024-03-26 04:00:00,1962942.0,248.5084,247.27,248.46,249.46,247.27,1711425600000,34346
2024-03-27 04:00:00,2665369.0,248.2114,249.84,248.77,250.25,247.08,1711512000000,48735
2024-03-28 04:00:00,2560205.0,249.7395,248.34,249.72,251.055,247.2,1711598400000,38788
2024-04-01 04:00:00,1728872.0,247.9198,249.72,247.79,250.04,246.67,1711944000000,30977
2024-04-02 04:00:00,2955689.0,245.3726,245.0,245.94,246.28,242.58,1712030400000,43205
2024-04-03 04:00:00,1898629.0,245.2586,246.0,244.34,248.1,243.78,1712116800000,32828
2024-04-04 04:00:00,2693891.0,243.3899,246.48,241.9,247.125,241.72,1712203200000,37355
2024-04-05 04:00:00,2280852.0,244.4481,242.13,244.28,246.1,242.04,1712289600000,42069
2024-04-08 04:00:00,2425994.0,244.4765,244.54,244.25,245.99,243.7201,1712548800000,36804
2024-04-09 04:00:00,1602068.0,248.2108,246.57,249.8,249.86,245.525,1712635200000,32833
2024-04-10 04:00:00,2229554.0,245.254,244.82,245.87,246.25,243.43,1712721600000,41866
2024-04-11 04:00:00,2081285.0,244.5396,246.31,244.0,246.98,243.07,1712808000000,34833
2024-04-12 04:00:00,2684915.0,240.2105,242.38,239.95,243.18,239.0,1712894400000,42232
2024-04-15 04:00:00,2824169.0,239.6606,242.36,239.66,243.26,238.16,1713153600000,43089
2024-04-16 04:00:00,3225524.0,240.2801,241.1,240.34,241.34,238.53,1713240000000,47959
2024-04-17 04:00:00,2988576.0,239.5295,240.42,239.39,240.84,238.02,1713326400000,54273
2024-04-18 04:00:00,4261041.0,236.1054,232.26,236.36,238.44,230.74,1713412800000,67268
