date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,603916.0,424.7828,426.65,425.93,432.49,421.58,1705554000000,17158
2024-01-19 05:00:00,500959.0,426.0111,428.3,426.77,428.41,421.96,1705640400000,14098
2024-01-22 05:00:00,488566.0,427.712,426.77,428.01,430.38,425.32,1705899600000,14077
2024-01-23 05:00:00,406134.0,425.6945,428.93,425.71,430.76,423.615,1705986000000,12925
2024-01-24 05:00:00,415596.0,422.3173,428.04,421.77,429.45,420.24,1706072400000,13018
2024-01-25 05:00:00,489461.0,416.3198,421.0,418.08,421.02,412.84,1706158800000,17638
2024-01-26 05:00:00,351857.0,418.5839,418.19,419.12,420.78,416.545,1706245200000,12859
2024-01-29 05:00:00,619486.0,430.575,420.43,433.44,433.73,419.0743,1706504400000,20771
2024-01-30 05:00:00,557964.0,436.3143,433.42,434.74,439.16,432.95,1706590800000,17688
2024-01-31 05:00:00,436734.0,428.9964,436.13,426.22,436.13,424.47,1706677200000,14233
2024-02-01 05:00:00,413790.0,430.6984,427.88,433.53,433.84,426.35,1706763600000,13816
2024-02-02 05:00:00,637615.0,423.9672,430.64,422.06,430.64,421.44,1706850000000,21298
2024-02-05 05:00:00,504894.0,418.2625,420.69,418.05,422.415,414.29,1707109200000,15355
2024-02-06 05:00:00,594213.0,420.626,416.36,421.58,424.98,413.56,1707195600000,16016
2024-02-07 05:00:00,527118.0,423.5544,421.63,421.95,427.9,418.44,1707282000000,13383
2024-02-08 05:00:00,540356.0,427.2437,424.58,426.58,431.47,423.01,1707368400000,17267
2024-02-09 05:00:00,391540.0,425.7857,426.0,425.09,427.55,424.45,1707454800000,13814
2024-02-12 05:00:00,385444.0,427.0237,425.09,427.29,429.0,424.825,1707714000000,12310
2024-02-13 05:00:00,411190.0,421.1941,421.96,421.5,425.59,418.64,1707800400000,13800
2024-02-14 05:00:00,482963.0,421.6947,423.73,424.48,424.72,417.64,1707886800000,14485
2024-02-15 05:00:00,370092.0,424.6037,425.19,424.72,428.5099,422.24,1707973200000,12868
2024-02-16 05:00:00,406430.0,423.7329,423.67,421.85,427.9,421.5471,1708059600000,12946
2024-02-20 05:00:00,449058.0,418.258,421.14,417.15,421.39,416.46,1708405200000,16103
2024-02-21 05:00:00,486225.0,419.8536,417.66,420.76,421.68,416.3525,1708491600000,15831
2024-02-22 05:00:00,569584.0,425.7026,421.39,428.01,429.31,419.38,1708578000000,17896
2024-02-23 05:00:00,977119.0,432.3802,430.0,433.65,434.035,427.94,1708664400000,24593
2024-02-26 05:00:00,2263734.0,462.7915,463.0,459.0,476.18,456.78,1708923600000,54277
2024-02-27 05:00:00,1055211.0,448.3935,460.26,446.27,460.2755,444.04,1709010000000,29458
2024-02-28 05:00:00,585768.0,447.6713,446.06,446.37,451.9699,444.25,1709096400000,16772
