date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,738942.0,104.7701,104.41,105.41,105.41,103.665,1705554000000,15983
2024-01-19 05:00:00,900745.0,104.7586,105.32,104.76,105.5448,104.14,1705640400000,19180
2024-01-22 05:00:00,847715.0,105.059,105.08,104.63,106.59,104.56,1705899600000,18729
2024-01-23 05:00:00,777982.0,104.1772,105.27,103.89,106.88,103.4,1705986000000,16363
2024-01-24 05:00:00,789880.0,104.3444,105.62,104.46,106.66,103.55,1706072400000,17699
2024-01-25 05:00:00,966377.0,106.6961,104.7,107.43,107.6,104.7,1706158800000,18697
2024-01-26 05:00:00,803830.0,107.6252,107.62,107.17,108.58,107.06,1706245200000,15622
2024-01-29 05:00:00,754158.0,107.5864,106.44,108.31,108.37,105.825,1706504400000,14956
2024-01-30 05:00:00,670794.0,108.0495,108.45,107.52,109.24,107.44,1706590800000,14715
2024-01-31 05:00:00,675127.0,108.7299,108.16,108.16,109.74,107.74,1706677200000,16623
2024-02-01 05:00:00,891338.0,111.3421,108.42,112.23,112.5,108.04,1706763600000,19922
2024-02-02 05:00:00,640896.0,111.2701,111.32,111.21,112.02,110.5,1706850000000,17254
2024-02-05 05:00:00,799035.0,110.8992,110.95,110.74,111.67,109.59,1707109200000,15789
2024-02-06 05:00:00,847702.0,112.1102,110.98,112.08,112.84,110.825,1707195600000,17077
2024-02-07 05:00:00,711338.0,112.0392,112.09,111.61,113.705,111.41,1707282000000,15962
2024-02-08 05:00:00,602685.0,110.6596,111.17,110.82,111.285,109.71,1707368400000,14811
2024-02-09 05:00:00,788695.0,110.3683,110.86,109.86,111.28,109.73,1707454800000,16596
2024-02-12 05:00:00,1610396.0,112.8143,110.27,114.3,114.585,108.76,1707714000000,28103
2024-02-13 05:00:00,1488939.0,113.9171,112.28,113.6,115.31,111.1,1707800400000,32528
2024-02-14 05:00:00,2896627.0,123.2237,123.0,123.41,128.28,120.59,1707886800000,49723
2024-02-15 05:00:00,1458505.0,120.2251,123.7,119.87,124.86,118.56,1707973200000,26973
2024-02-16 05:00:00,1065200.0,122.5683,119.29,122.22,124.28,118.6001,1708059600000,25246
2024-02-20 05:00:00,865247.0,122.6975,122.17,123.0,123.44,120.94,1708405200000,18221
2024-02-21 05:00:00,945088.0,120.5762,122.03,120.89,122.51,119.42,1708491600000,21186
2024-02-22 05:00:00,793849.0,122.6201,121.15,122.87,123.31,120.78,1708578000000,17289
2024-02-23 05:00:00,630572.0,124.8255,122.95,125.26,125.47,122.65,1708664400000,17029
2024-02-26 05:00:00,625182.0,125.6837,126.55,124.96,126.79,124.9,1708923600000,14681
2024-02-27 05:00:00,854369.0,127.3246,124.53,127.6,128.04,124.42,1709010000000,19677
2024-02-28 05:00:00,706665.0,126.8679,127.58,126.97,128.715,126.07,1709096400000,16151
2024-02-29 05:00:00,1041200.0,126.8874,127.21,126.97,127.905,125.69,1709182800000,16968
2024-03-01 05:00:00,835405.0,126.2886,127.03,126.92,127.26,124.7,1709269200000,20683
2024-03-04 05:00:00,717862.0,125.9692,126.46,125.73,128.31,124.7801,1709528400000,18424
2024-03-05 05:00:00,1990771.0,134.5037,133.4,134.65,136.29,132.0,1709614800000,35665
2024-03-06 05:00:00,898815.0,132.1768,133.04,131.98,134.895,130.8801,1709701200000,22196
2024-03-07 05:00:00,645661.0,134.6293,132.58,134.08,135.69,132.34,1709787600000,18861
2024-03-08 05:00:00,494942.0,135.7164,134.08,135.17,136.6,134.08,1709874000000,15238
2024-03-11 04:00:00,811358.0,136.1849,134.34,135.82,137.91,134.26,1710129600000,20422
2024-03-12 04:00:00,949998.0,138.8996,135.84,139.21,139.72,135.7969,1710216000000,19375
2024-03-13 04:00:00,1043603.0,138.557,139.5,138.27,141.54,136.715,1710302400000,22646
2024-03-14 04:00:00,558550.0,135.8855,138.14,136.0,138.57,134.84,1710388800000,14187
2024-03-15 04:00:00,4320667.0,136.4733,133.9,136.65,136.72,133.01,1710475200000,22685
2024-03-18 04:00:00,830223.0,137.3138,135.26,137.02,138.711,134.08,1710734400000,20357
2024-03-19 04:00:00,620783.0,138.2259,137.17,138.33,138.78,137.17,1710820800000,14094
2024-03-20 04:00:00,626035.0,138.6967,138.47,138.78,139.38,137.2,1710907200000,15098
2024-03-21 04:00:00,704362.0,136.223,138.93,136.24,139.3539,135.0,1710993600000,17099
2024-03-22 04:00:00,603201.0,134.4099,136.4,134.11,136.86,133.16,1711080000000,14060
2024-03-25 04:00:00,504596.0,134.8504,135.31,134.77,136.19,134.28,1711339200000,12755
2024-03-26 04:00:00,431171.0,135.6819,135.0,135.25,136.63,134.795,1711425600000,11765
2024-03-27 04:00:00,251918.0,136.5573,136.41,136.85,137.0,135.69,1711512000000,8175
2024-03-28 04:00:00,608798.0,137.8748,137.0,138.05,138.14,136.955,1711598400000,12447
2024-04-01 04:00:00,455939.0,137.3434,138.14,137.84,138.25,136.03,1711944000000,11066
2024-04-02 04:00:00,926460.0,134.3073,134.74,135.04,136.16,131.81,1712030400000,20592
