date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,606990.0,793.64,802.23,793.74,802.24,787.84,1705554000000,19678
2024-01-19 05:00:00,516175.0,798.7672,794.25,802.69,806.13,790.0,1705640400000,15071
2024-01-22 05:00:00,408652.0,805.9856,804.44,802.27,816.26,802.24,1705899600000,15618
2024-01-23 05:00:00,262999.0,800.2707,809.69,799.0,812.43,796.675,1705986000000,11764
2024-01-24 05:00:00,464579.0,796.1394,809.59,795.22,809.59,794.0,1706072400000,12786
2024-01-25 05:00:00,572153.0,813.095,805.9,815.31,823.8,802.93,1706158800000,19623
2024-01-26 05:00:00,411614.0,810.9942,820.62,810.98,820.62,806.825,1706245200000,14169
2024-01-29 05:00:00,524622.0,826.3138,809.94,831.76,832.56,809.94,1706504400000,23192
2024-01-30 05:00:00,688987.0,840.6428,829.5,841.58,846.65,827.18,1706590800000,25733
2024-01-31 05:00:00,540636.0,836.1507,845.41,829.77,846.85,829.15,1706677200000,21207
2024-02-01 05:00:00,535545.0,841.4138,826.53,846.33,847.99,824.79,1706763600000,18411
2024-02-02 05:00:00,457830.0,841.486,845.45,843.47,846.825,828.93,1706850000000,16787
2024-02-05 05:00:00,372070.0,837.5259,834.29,836.41,842.49,830.67,1707109200000,13645
2024-02-06 05:00:00,499845.0,838.7436,842.64,838.01,846.03,835.39,1707195600000,17273
2024-02-07 05:00:00,350954.0,844.9482,843.71,846.73,848.715,834.94,1707282000000,13322
2024-02-08 05:00:00,403898.0,854.2599,840.26,855.33,859.72,840.26,1707368400000,16135
2024-02-09 05:00:00,394256.0,852.996,856.28,855.76,856.815,844.9,1707454800000,14460
2024-02-12 05:00:00,434415.0,850.0842,858.46,849.98,858.575,845.44,1707714000000,16275
2024-02-13 05:00:00,448666.0,831.8705,837.55,832.68,837.55,826.22,1707800400000,20000
2024-02-14 05:00:00,574717.0,832.8662,832.68,832.81,839.95,825.14,1707886800000,18989
2024-02-15 05:00:00,768833.0,873.105,839.0,874.97,881.7999,838.66,1707973200000,29602
2024-02-16 05:00:00,842114.0,861.3283,863.49,856.23,874.0,850.26,1708059600000,27047
2024-02-20 05:00:00,568030.0,854.9282,855.12,854.74,863.7,848.86,1708405200000,19266
2024-02-21 05:00:00,448795.0,858.9016,851.28,864.73,866.29,846.25,1708491600000,15684
2024-02-22 05:00:00,516171.0,877.3485,868.36,880.82,883.43,868.36,1708578000000,19163
2024-02-23 05:00:00,309718.0,883.0394,885.52,882.29,886.0,879.0,1708664400000,14582
2024-02-26 05:00:00,380340.0,883.0387,883.91,877.62,891.88,877.62,1708923600000,15818
2024-02-27 05:00:00,363189.0,873.6591,882.37,873.05,882.37,869.46,1709010000000,14718
2024-02-28 05:00:00,437248.0,886.6069,873.17,891.87,893.39,870.93,1709096400000,15886
2024-02-29 05:00:00,703998.0,889.7581,895.54,888.82,897.94,886.1,1709182800000,20835
2024-03-01 05:00:00,497008.0,895.5877,884.9,900.53,900.74,882.04,1709269200000,17955
2024-03-04 05:00:00,578741.0,905.798,894.5,913.66,914.93,888.88,1709528400000,21954
2024-03-05 05:00:00,449751.0,901.2327,909.11,895.55,914.87,890.955,1709614800000,17907
2024-03-06 05:00:00,302124.0,905.0067,900.53,906.64,908.66,895.077,1709701200000,15222
2024-03-07 05:00:00,347188.0,903.5704,910.0,906.06,912.99,898.475,1709787600000,15518
2024-03-08 05:00:00,408663.0,909.1919,912.0,910.1,913.59,905.45,1709874000000,15669
2024-03-11 04:00:00,359184.0,891.202,905.31,893.56,907.02,883.78,1710129600000,18347
2024-03-12 04:00:00,382983.0,893.9173,893.56,892.81,900.4,888.21,1710216000000,14358
2024-03-13 04:00:00,810497.0,873.1499,883.5,867.23,885.41,865.58,1710302400000,25762
2024-03-14 04:00:00,690980.0,860.0765,865.77,864.72,870.625,850.02,1710388800000,21491
2024-03-15 04:00:00,1090287.0,853.8633,860.99,850.39,865.24,848.16,1710475200000,21879
2024-03-18 04:00:00,464582.0,859.7291,860.1,860.65,862.0,853.15,1710734400000,17410
2024-03-19 04:00:00,867229.0,846.5789,859.07,844.58,859.07,841.0001,1710820800000,22394
2024-03-20 04:00:00,2372326.0,813.5688,801.0,824.88,837.43,796.9,1710907200000,53700
2024-03-21 04:00:00,1301725.0,811.1264,825.0,811.64,825.0,804.83,1710993600000,31844
2024-03-22 04:00:00,1087486.0,802.8316,807.21,800.97,809.72,798.925,1711080000000,30511
2024-03-25 04:00:00,1323564.0,793.8977,785.16,792.52,806.54,785.16,1711339200000,32724
2024-03-26 04:00:00,930705.0,799.8526,792.32,800.07,805.55,792.32,1711425600000,24835
2024-03-27 04:00:00,945123.0,812.0452,809.1,815.31,816.96,800.6889,1711512000000,27559
2024-03-28 04:00:00,789170.0,823.2283,818.87,825.33,827.43,813.0,1711598400000,22464
2024-04-01 04:00:00,674280.0,803.8012,826.0,800.05,826.855,797.62,1711944000000,22996
2024-04-02 04:00:00,551554.0,792.5994,793.99,792.67,797.91,788.65,1712030400000,20545
2024-04-03 04:00:00,442644.0,790.627,790.55,788.91,798.09,785.28,1712116800000,20622
2024-04-04 04:00:00,469477.0,785.5475,788.91,781.04,795.68,778.645,1712203200000,18414
2024-04-05 04:00:00,446532.0,784.2234,781.59,784.41,789.91,780.065,1712289600000,18252
2024-04-08 04:00:00,607676.0,787.3677,783.27,788.19,789.73,782.0,1712548800000,21221
2024-04-09 04:00:00,578511.0,795.5894,794.0,801.24,801.92,786.13,1712635200000,19277
