date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3763219.0,50.9727,51.53,50.89,51.65,50.82,1705554000000,30785
2024-01-19 05:00:00,2491892.0,50.4994,50.9,50.44,51.095,50.2699,1705640400000,30036
2024-01-22 05:00:00,2883197.0,50.0187,50.28,49.86,50.99,49.69,1705899600000,31575
2024-01-23 05:00:00,3388741.0,49.889,49.97,50.04,50.155,49.39,1705986000000,25867
2024-01-24 05:00:00,5393700.0,49.5213,50.34,49.35,50.59,49.315,1706072400000,29816
2024-01-25 05:00:00,2525933.0,49.8409,49.745,50.08,50.15,49.36,1706158800000,33568
2024-01-26 05:00:00,2155001.0,49.8607,50.19,49.76,50.42,49.685,1706245200000,25743
2024-01-29 05:00:00,2357432.0,50.4201,49.94,50.6,50.845,49.67,1706504400000,24640
2024-01-30 05:00:00,2495846.0,50.5173,50.34,50.69,50.905,49.835,1706590800000,28486
2024-01-31 05:00:00,11112114.0,50.7969,51.07,50.77,51.54,50.21,1706677200000,35885
2024-02-01 05:00:00,2676105.0,51.4304,50.57,51.75,51.865,50.29,1706763600000,25286
2024-02-02 05:00:00,2182704.0,50.7145,51.16,50.7,51.235,50.26,1706850000000,30108
2024-02-05 05:00:00,1967710.0,49.8921,50.13,49.67,50.28,49.615,1707109200000,26285
2024-02-06 05:00:00,2157326.0,49.6434,49.5,49.66,49.8,49.36,1707195600000,22878
2024-02-07 05:00:00,1848901.0,49.4884,49.85,49.38,49.9,49.35,1707282000000,23783
2024-02-08 05:00:00,3527389.0,48.4974,49.12,48.62,49.12,48.04,1707368400000,35590
2024-02-09 05:00:00,2495924.0,48.9449,48.62,49.08,49.27,48.4,1707454800000,26246
2024-02-12 05:00:00,4081065.0,49.651,49.08,49.77,49.78,48.82,1707714000000,24657
2024-02-13 05:00:00,2089115.0,48.9233,49.72,49.19,49.83,48.17,1707800400000,27038
2024-02-14 05:00:00,1909363.0,49.2571,49.19,49.19,49.495,48.88,1707886800000,26187
2024-02-15 05:00:00,2554325.0,49.9341,49.52,49.94,50.2,49.505,1707973200000,20586
2024-02-16 05:00:00,2748067.0,50.0281,49.7,50.03,50.415,49.35,1708059600000,25956
2024-02-20 05:00:00,2043025.0,50.2421,50.13,50.18,50.61,49.95,1708405200000,19935
2024-02-21 05:00:00,2018324.0,50.5734,50.44,50.61,50.73,50.15,1708491600000,19354
2024-02-22 05:00:00,3162860.0,50.2648,50.32,50.26,50.565,49.95,1708578000000,18535
2024-02-23 05:00:00,3482817.0,50.55,50.19,50.57,50.82,50.13,1708664400000,21773
2024-02-26 05:00:00,1810897.0,49.6499,50.44,49.47,50.44,49.41,1708923600000,21663
2024-02-27 05:00:00,1653521.0,49.9988,49.66,50.2,50.23,49.49,1709010000000,19755
2024-02-28 05:00:00,2136936.0,49.8885,49.89,49.79,50.235,49.7,1709096400000,23218
2024-02-29 05:00:00,3767229.0,49.7006,49.76,49.54,50.36,49.49,1709182800000,34386
2024-03-01 05:00:00,2653707.0,48.9645,49.46,49.12,49.555,48.595,1709269200000,32993
2024-03-04 05:00:00,2804783.0,49.6919,48.99,49.99,50.05,48.86,1709528400000,28295
2024-03-05 05:00:00,2728535.0,50.4445,50.35,50.35,51.155,50.045,1709614800000,27939
2024-03-06 05:00:00,3005434.0,50.6783,50.79,50.68,51.185,50.4,1709701200000,22933
2024-03-07 05:00:00,3266364.0,51.299,51.13,51.36,51.44,51.01,1709787600000,25556
2024-03-08 05:00:00,4148587.0,51.4907,50.97,51.56,51.97,50.53,1709874000000,31265
2024-03-11 04:00:00,2310325.0,51.6065,51.38,51.63,52.14,51.33,1710129600000,23082
2024-03-12 04:00:00,2258060.0,51.1236,51.38,51.27,51.43,50.6,1710216000000,24179
2024-03-13 04:00:00,2793695.0,51.6884,51.91,51.44,52.35,51.29,1710302400000,28696
2024-03-14 04:00:00,2273056.0,50.9422,51.5,50.94,51.62,50.595,1710388800000,24937
2024-03-15 04:00:00,3810103.0,51.4224,50.82,51.6,51.72,50.81,1710475200000,25323
2024-03-18 04:00:00,2235602.0,51.7366,51.32,51.76,51.95,51.205,1710734400000,19946
2024-03-19 04:00:00,1651935.0,52.027,51.69,52.2,52.43,51.69,1710820800000,18280
2024-03-20 04:00:00,2270144.0,51.8459,52.32,51.77,52.36,51.5,1710907200000,22142
2024-03-21 04:00:00,2158706.0,51.8773,51.74,51.79,52.19,51.69,1710993600000,21732
2024-03-22 04:00:00,2400441.0,51.6403,52.13,51.63,52.2799,51.36,1711080000000,24810
2024-03-25 04:00:00,1694196.0,51.3848,51.78,51.42,51.855,51.115,1711339200000,21138
