date,volume,vw,open,close,high,low,t,n
2024-10-02 04:00:00,2127651.0,82.8254,83.35,83.24,83.41,81.66,1727841600000,26747
2024-10-03 04:00:00,3460261.0,84.5665,83.38,85.21,85.3,83.11,1727928000000,41463
2024-10-04 04:00:00,3573816.0,85.5241,84.935,85.63,86.0,84.551,1728014400000,37984
2024-10-07 04:00:00,3424625.0,85.4747,85.82,85.44,85.9,85.05,1728273600000,34830
2024-10-08 04:00:00,2383658.0,85.4588,84.48,86.0,86.12,83.26,1728360000000,33030
2024-10-09 04:00:00,2907258.0,86.7078,86.0,87.03,87.23,85.47,1728446400000,40587
2024-10-10 04:00:00,1966082.0,86.827,87.1,86.61,87.26,86.44,1728532800000,26088
2024-10-11 04:00:00,2302475.0,87.5768,86.1,87.39,88.17,86.05,1728619200000,26707
2024-10-14 04:00:00,3145096.0,86.6275,86.89,86.62,87.6,86.21,1728878400000,40782
2024-10-15 04:00:00,3493314.0,85.8448,85.2,85.79,86.45,84.5,1728964800000,36535
2024-10-16 04:00:00,2600943.0,86.1178,86.0,86.46,86.46,85.03,1729051200000,28514
2024-10-17 04:00:00,1782457.0,87.3764,86.57,87.57,87.95,86.105,1729137600000,26038
2024-10-18 04:00:00,3185551.0,86.8375,87.025,86.66,87.5,86.05,1729224000000,32234
2024-10-21 04:00:00,2397047.0,85.9718,86.49,85.75,87.5,85.19,1729483200000,23536
2024-10-22 04:00:00,1578870.0,84.8429,86.07,84.37,86.45,84.125,1729569600000,26648
2024-10-23 04:00:00,1585936.0,83.2773,83.74,83.29,84.105,82.7,1729656000000,25758
2024-10-24 04:00:00,1400599.0,84.4346,83.7,85.3,85.32,83.04,1729742400000,20490
2024-10-25 04:00:00,1227874.0,85.0103,85.76,84.79,86.17,84.6001,1729828800000,20966
2024-10-28 04:00:00,1596913.0,85.0057,82.73,85.26,85.38,82.69,1730088000000,21940
2024-10-29 04:00:00,2015523.0,85.518,85.82,85.73,85.88,85.01,1730174400000,25078
2024-10-30 04:00:00,3837029.0,88.8254,86.01,88.7,90.41,86.01,1730260800000,41579
2024-10-31 04:00:00,2600875.0,85.6965,89.19,84.72,89.29,84.66,1730347200000,31113
2024-11-01 04:00:00,2615190.0,83.6906,85.51,83.66,85.91,83.1,1730433600000,37275
2024-11-04 05:00:00,2180138.0,85.5564,83.42,85.84,86.45,83.415,1730696400000,30910
2024-11-05 05:00:00,2035752.0,86.5268,85.12,86.67,87.15,85.05,1730782800000,28346
2024-11-06 05:00:00,4172595.0,91.7761,89.75,92.36,93.13,89.21,1730869200000,51633
2024-11-07 05:00:00,3220730.0,92.0411,92.06,92.14,92.51,91.03,1730955600000,32433
2024-11-08 05:00:00,1837736.0,92.5242,91.61,92.49,93.46,91.24,1731042000000,31036
2024-11-11 05:00:00,2813035.0,95.6833,94.25,95.74,96.62,93.63,1731301200000,39355
2024-11-12 05:00:00,2212384.0,95.5599,95.23,95.58,96.035,94.76,1731387600000,31835
2024-11-13 05:00:00,1928442.0,95.997,94.97,96.14,96.5,94.89,1731474000000,27684
2024-11-14 05:00:00,1848679.0,95.3889,95.92,95.19,96.55,94.6775,1731560400000,27086
2024-11-15 05:00:00,2414911.0,95.1382,95.01,94.99,96.1137,94.51,1731646800000,26914
2024-11-18 05:00:00,2633473.0,96.8382,95.92,96.42,97.54,95.64,1731906000000,39104
2024-11-19 05:00:00,2610310.0,95.7222,95.47,95.71,96.76,95.01,1731992400000,35548
2024-11-20 05:00:00,4691072.0,98.429,96.5,98.26,99.57,95.7576,1732078800000,61890
2024-11-21 05:00:00,3853065.0,100.2733,100.0,100.97,101.27,99.07,1732165200000,51984
2024-11-22 05:00:00,3284375.0,99.5422,100.0,99.43,100.48,98.25,1732251600000,44809
2024-11-25 05:00:00,7017977.0,99.1964,100.19,98.87,100.5,98.77,1732510800000,43924
2024-11-26 05:00:00,2605408.0,98.8694,98.01,98.89,99.5,97.78,1732597200000,35442
2024-11-27 05:00:00,1560170.0,98.8267,98.18,98.75,99.75,98.15,1732683600000,24284
2024-11-29 05:00:00,1791899.0,98.9711,98.23,98.96,99.71,98.23,1732856400000,14588
2024-12-02 05:00:00,1953178.0,97.772,99.0,97.84,99.23,96.98,1733115600000,34416
2024-12-03 05:00:00,1818867.0,98.1803,98.47,97.98,98.69,97.89,1733202000000,23342
2024-12-04 05:00:00,1382243.0,97.1955,98.32,97.48,98.37,96.63,1733288400000,22294
2024-12-05 05:00:00,1825332.0,97.4169,97.41,96.73,98.37,96.66,1733374800000,24667
2024-12-06 05:00:00,1571084.0,96.4539,96.67,96.57,97.17,95.7,1733461200000,28422
2024-12-09 05:00:00,2493069.0,97.6099,99.12,97.13,99.285,96.95,1733720400000,30304
2024-12-10 05:00:00,1684406.0,97.3363,97.6,97.02,98.19,96.74,1733806800000,24867
2024-12-11 05:00:00,3395115.0,99.3041,97.48,99.6,100.245,97.04,1733893200000,40676
2024-12-12 05:00:00,3672659.0,99.8838,99.81,99.66,100.51,99.14,1733979600000,33161
2024-12-13 05:00:00,1757430.0,98.9555,99.8,98.53,100.18,98.26,1734066000000,25505
2024-12-16 05:00:00,1664074.0,97.0396,98.31,96.71,98.4499,96.55,1734325200000,25040
2024-12-17 05:00:00,1678170.0,96.2929,95.98,96.75,96.95,95.24,1734411600000,31985
2024-12-18 05:00:00,2390977.0,95.1015,97.08,94.5,97.235,94.02,1734498000000,30971
2024-12-19 05:00:00,2712054.0,94.6003,95.75,94.32,96.1,94.25,1734584400000,30515
2024-12-20 05:00:00,7952745.0,95.0954,94.21,94.87,96.41,94.0,1734670800000,39212
2024-12-23 05:00:00,1398948.0,95.8826,94.44,96.63,96.88,94.09,1734930000000,22221
2024-12-24 05:00:00,1031479.0,97.2483,97.06,97.47,97.79,95.88,1735016400000,14805
2024-12-26 05:00:00,1275609.0,96.1658,96.6,96.2,96.78,95.52,1735189200000,20300
2024-12-27 05:00:00,1101065.0,96.6904,96.14,96.61,97.235,95.59,1735275600000,20234
2024-12-30 05:00:00,2637724.0,100.0487,97.49,99.84,101.46,97.49,1735534800000,41272
2024-12-31 05:00:00,1666085.0,99.5275,99.03,99.55,100.27,98.81,1735621200000,28875
2025-01-02 05:00:00,3425926.0,100.4853,100.34,101.22,101.67,99.3755,1735794000000,37007
2025-01-03 05:00:00,1959159.0,100.3106,101.22,100.01,101.93,99.25,1735880400000,29383
2025-01-06 05:00:00,3242520.0,101.5727,101.4,101.5,102.58,100.77,1736139600000,32852
2025-01-07 05:00:00,3111620.0,102.6792,101.86,102.68,103.395,101.65,1736226000000,40141
2025-01-08 05:00:00,2497310.0,102.9951,103.41,102.92,104.125,102.42,1736312400000,36280
2025-01-10 05:00:00,2811409.0,102.8658,104.76,102.15,105.0,102.09,1736485200000,35791
2025-01-13 05:00:00,3113681.0,101.8333,103.25,102.21,103.6668,101.02,1736744400000,41727
2025-01-14 05:00:00,3988818.0,103.6064,101.77,104.12,104.72,101.4,1736830800000,42139
2025-01-15 05:00:00,3905529.0,105.4774,105.0,105.24,106.2745,104.57,1736917200000,41993
2025-01-16 05:00:00,4329660.0,107.4078,105.36,107.78,108.8299,105.08,1737003600000,46699
2025-01-17 05:00:00,3325732.0,107.0038,107.99,106.36,109.47,105.97,1737090000000,40406
2025-01-21 05:00:00,2316936.0,106.5977,105.7,106.8,107.05,105.14,1737435600000,34936
2025-01-22 05:00:00,1847744.0,107.4144,107.25,107.06,108.32,106.71,1737522000000,29059
2025-01-23 05:00:00,2545377.0,106.4453,107.13,106.0,107.56,105.98,1737608400000,34002
2025-01-24 05:00:00,2962362.0,105.9744,106.0,106.0,106.3564,105.54,1737694800000,29240
2025-01-27 05:00:00,7452318.0,101.4091,103.86,101.42,104.2,99.07,1737954000000,69795
2025-01-28 05:00:00,2145521.0,101.5728,100.52,102.13,102.22,100.47,1738040400000,31071
2025-01-29 05:00:00,1364048.0,102.7731,101.85,102.57,103.43,101.71,1738126800000,23657
2025-01-30 05:00:00,1403330.0,103.0903,103.6,102.72,104.0,102.35,1738213200000,24858
2025-01-31 05:00:00,2125313.0,101.9101,103.07,101.6,103.07,101.17,1738299600000,29505
2025-02-03 05:00:00,2361081.0,102.6455,102.09,102.87,103.26,101.37,1738558800000,33084
2025-02-04 05:00:00,2308716.0,104.0962,102.7,103.95,104.67,102.25,1738645200000,31824
2025-02-05 05:00:00,2470125.0,105.1736,104.09,105.09,105.85,103.6,1738731600000,32670
2025-02-06 05:00:00,2323664.0,104.0815,105.09,103.87,105.4,103.16,1738818000000,32345
2025-02-07 05:00:00,1574970.0,103.4415,103.88,103.0,105.07,102.645,1738904400000,29312
2025-02-10 05:00:00,2274626.0,104.989,104.08,105.12,105.54,103.11,1739163600000,34746
2025-02-11 05:00:00,2620431.0,106.0499,105.67,105.785,106.66,104.96,1739250000000,43947
2025-02-12 05:00:00,2155314.0,104.4049,105.64,104.01,106.45,103.54,1739336400000,33448
2025-02-13 05:00:00,1961015.0,104.9094,104.26,105.03,105.35,103.44,1739422800000,33813
2025-02-14 05:00:00,1781455.0,105.4547,105.27,105.33,106.49,105.025,1739509200000,29372
2025-02-18 05:00:00,3197708.0,106.1731,105.33,106.39,107.02,104.06,1739854800000,38808
2025-02-19 05:00:00,3343127.0,108.0845,107.36,107.45,109.06,107.0,1739941200000,49105
2025-02-20 05:00:00,3086834.0,105.7206,106.37,106.15,107.17,104.28,1740027600000,34928
2025-02-21 05:00:00,4336360.0,104.4651,105.87,104.14,106.57,103.4,1740114000000,44765
2025-02-24 05:00:00,2656599.0,103.9008,104.3,103.9,104.42,102.72,1740373200000,39756
2025-02-25 05:00:00,2955646.0,102.7701,103.85,102.89,104.38,101.73,1740459600000,40595
2025-02-26 05:00:00,2962994.0,102.7994,102.75,102.43,104.15,102.17,1740546000000,41443
2025-02-27 05:00:00,8282079.0,98.7794,101.65,97.76,102.0,97.66,1740632400000,88582
2025-02-28 05:00:00,4026430.0,98.1703,97.46,98.88,99.04,96.92,1740718800000,49745
2025-03-03 05:00:00,4181525.0,98.5795,99.89,98.35,100.14,97.68,1740978000000,55043
2025-03-04 05:00:00,4372252.0,99.7697,97.85,100.7,101.645,96.75,1741064400000,59533
2025-03-05 05:00:00,3790280.0,100.7652,100.34,101.64,102.03,98.91,1741150800000,48527
2025-03-06 05:00:00,5440154.0,98.0266,100.81,96.24,101.26,96.13,1741237200000,57343
2025-03-07 05:00:00,4141028.0,95.1794,95.75,96.03,96.59,93.09,1741323600000,54132
2025-03-10 04:00:00,5334064.0,98.3702,97.56,99.09,99.42,96.39,1741579200000,70021
2025-03-11 04:00:00,4420168.0,100.5304,98.45,100.3,101.4,98.35,1741665600000,60105
2025-03-12 04:00:00,3511099.0,100.846,101.71,100.82,102.16,99.67,1741752000000,46309
2025-03-13 04:00:00,2462924.0,100.9495,100.4,101.18,101.615,99.43,1741838400000,41194
2025-03-14 04:00:00,3645078.0,102.5662,101.15,102.6,103.21,100.56,1741924800000,50717
2025-03-17 04:00:00,4954805.0,105.0783,102.5,105.57,105.76,101.95,1742184000000,64518
2025-03-18 04:00:00,4952821.0,107.4208,106.62,107.0,108.84,106.06,1742270400000,67225
2025-03-19 04:00:00,5783798.0,108.3304,107.03,108.56,109.0,106.43,1742356800000,67016
2025-03-20 04:00:00,6788517.0,109.092,108.34,109.25,109.63,107.89,1742443200000,64871
2025-03-21 04:00:00,53145103.0,107.4069,109.04,107.35,109.58,107.07,1742529600000,53729
2025-03-24 04:00:00,5712490.0,108.9046,108.03,109.1,109.4,107.36,1742788800000,65125
2025-03-25 04:00:00,4518399.0,109.6897,109.2,109.81,110.1,108.78,1742875200000,44029
2025-03-26 04:00:00,4183218.0,110.1471,110.0,109.94,111.17,109.4,1742961600000,50160
2025-03-27 04:00:00,2805201.0,109.8331,109.98,109.64,110.52,109.16,1743048000000,47941
2025-03-28 04:00:00,3031256.0,110.4936,109.73,110.94,111.175,109.54,1743134400000,43547
2025-03-31 04:00:00,3077159.0,111.456,110.94,111.32,112.23,109.9,1743393600000,44262
2025-04-01 04:00:00,3140739.0,112.17,111.4,112.74,112.82,110.69,1743480000000,41882
2025-04-02 04:00:00,3048529.0,113.5149,112.315,113.87,114.025,111.86,1743566400000,51211
2025-04-03 04:00:00,4792202.0,111.1426,110.59,110.55,112.66,110.4,1743652800000,72518
2025-04-04 04:00:00,10622716.0,100.713,106.9,100.01,107.0,98.26,1743739200000,113660
2025-04-07 04:00:00,7631610.0,100.971,98.08,100.06,105.1,96.805,1743998400000,91832
2025-04-08 04:00:00,6351885.0,101.6307,105.0,100.01,105.58,98.54,1744084800000,85388
2025-04-09 04:00:00,8978630.0,100.8128,97.99,103.8,104.22,95.35,1744171200000,102825
2025-04-10 04:00:00,4360314.0,99.437,101.5,99.55,102.095,97.44,1744257600000,65436
2025-04-11 04:00:00,4418751.0,102.7359,99.93,103.42,104.1866,99.5,1744344000000,61405
2025-04-14 04:00:00,2820741.0,103.5947,105.89,102.92,106.12,102.52,1744603200000,41223
2025-04-15 04:00:00,2291190.0,104.2805,103.13,104.23,104.99,102.71,1744689600000,37911
2025-04-16 04:00:00,3219587.0,105.2544,104.03,104.75,106.35,104.03,1744776000000,45977
2025-04-17 04:00:00,3595886.0,106.6139,106.27,106.47,107.3,105.69,1744862400000,48683
2025-04-21 04:00:00,3116313.0,102.6001,106.4,102.24,106.4,101.22,1745208000000,47835
2025-04-22 04:00:00,2556235.0,103.1714,103.93,103.01,104.43,102.03,1745294400000,40210
2025-04-23 04:00:00,3538034.0,104.5878,103.01,105.02,105.95,101.358,1745380800000,55694
2025-04-24 04:00:00,2447692.0,104.6583,104.95,104.4,105.355,103.805,1745467200000,42584
2025-04-25 04:00:00,1986299.0,104.9267,103.16,105.3,105.44,103.02,1745553600000,37749
2025-04-28 04:00:00,2878948.0,106.8042,105.47,107.11,107.34,105.405,1745812800000,47509
2025-04-29 04:00:00,3130322.0,107.3742,106.33,107.47,108.0,105.55,1745899200000,47471
2025-04-30 04:00:00,6136763.0,103.599,104.51,103.9,105.93,101.88,1745985600000,87740
2025-05-01 04:00:00,3977143.0,103.8199,101.23,103.43,105.57,101.23,1746072000000,55664
2025-05-02 04:00:00,2827979.0,105.3751,105.345,105.88,106.17,103.33,1746158400000,48636
2025-05-05 04:00:00,3301569.0,108.071,105.39,108.35,108.85,105.305,1746417600000,48600
2025-05-06 04:00:00,2782354.0,108.8797,108.83,108.51,110.12,107.84,1746504000000,44756
2025-05-07 04:00:00,2500826.0,110.1188,109.07,110.31,110.89,108.305,1746590400000,45120
2025-05-08 04:00:00,3434771.0,109.3588,111.22,108.81,111.705,108.725,1746676800000,52269
