date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2179911.0,148.1232,148.83,148.96,149.79,146.19,1705554000000,38928
2024-01-19 05:00:00,2514125.0,147.3816,149.94,148.57,149.98,145.31,1705640400000,42720
2024-01-22 05:00:00,2510524.0,146.1011,149.47,145.66,149.9,145.28,1705899600000,38468
2024-01-23 05:00:00,1911235.0,147.8825,146.62,148.5,148.93,145.4,1705986000000,35771
2024-01-24 05:00:00,1302545.0,149.1104,150.0,148.57,150.97,147.85,1706072400000,26571
2024-01-25 05:00:00,2112805.0,152.0602,150.79,152.3,153.57,149.76,1706158800000,39687
2024-01-26 05:00:00,1700997.0,152.4851,152.6,151.93,153.54,151.71,1706245200000,29165
2024-01-29 05:00:00,1811626.0,152.7857,151.93,153.98,154.185,150.44,1706504400000,32282
2024-01-30 05:00:00,2014390.0,151.6571,153.53,151.72,153.8,150.02,1706590800000,38063
2024-01-31 05:00:00,1459918.0,149.5528,151.15,148.33,151.86,147.96,1706677200000,29938
2024-02-01 05:00:00,1961069.0,149.7953,148.99,151.52,151.77,146.77,1706763600000,41058
2024-02-02 05:00:00,1969314.0,151.2759,150.71,151.05,153.39,146.55,1706850000000,40386
2024-02-05 05:00:00,1899403.0,150.7166,149.95,151.71,152.33,147.54,1707109200000,38998
2024-02-06 05:00:00,1865684.0,153.1387,152.92,153.7,154.38,150.63,1707195600000,36456
2024-02-07 05:00:00,2300934.0,154.6126,155.055,154.38,156.77,151.09,1707282000000,41153
2024-02-08 05:00:00,7400430.0,152.823,156.5,159.47,160.0499,154.8201,1707368400000,102780
2024-02-09 05:00:00,18487358.0,130.1324,130.61,131.11,132.8,126.05,1707454800000,219154
2024-02-12 05:00:00,6862153.0,135.1978,132.035,133.6,137.3,132.035,1707714000000,104375
2024-02-13 05:00:00,4907433.0,134.6954,131.39,134.84,136.3822,130.697,1707800400000,79060
2024-02-14 05:00:00,3396305.0,135.2375,135.44,134.82,136.46,133.88,1707886800000,56664
2024-02-15 05:00:00,3710946.0,138.3349,136.0,138.53,139.72,135.89,1707973200000,58611
2024-02-16 05:00:00,2670363.0,135.921,137.94,135.25,137.955,134.82,1708059600000,45402
2024-02-20 05:00:00,2443211.0,135.3645,133.68,135.99,136.79,133.435,1708405200000,46080
2024-02-21 05:00:00,2020390.0,134.6881,134.82,134.64,136.19,133.84,1708491600000,42533
2024-02-22 05:00:00,2699836.0,137.7456,136.0,139.1,139.29,135.6,1708578000000,46380
2024-02-23 05:00:00,3320092.0,136.437,137.0,136.3,138.73,135.01,1708664400000,55953
2024-02-26 05:00:00,2682442.0,135.4197,136.3,134.95,137.12,134.49,1708923600000,37880
2024-02-27 05:00:00,2070071.0,136.2405,136.25,136.24,137.285,135.42,1709010000000,34769
2024-02-28 05:00:00,1902044.0,136.1549,135.51,135.53,137.32,135.33,1709096400000,32181
2024-02-29 05:00:00,2412163.0,136.7996,136.87,136.82,137.9,135.84,1709182800000,34871
2024-03-01 05:00:00,1843238.0,137.0411,136.3,136.84,137.8,136.22,1709269200000,36158
2024-03-04 05:00:00,2229704.0,135.8617,136.62,135.52,137.205,135.17,1709528400000,35768
2024-03-05 05:00:00,3030946.0,134.3526,134.58,134.03,135.74,133.11,1709614800000,38882
2024-03-06 05:00:00,2361281.0,133.1991,135.09,132.5,135.44,132.2401,1709701200000,38431
2024-03-07 05:00:00,1968559.0,132.9273,132.75,133.43,133.629,131.41,1709787600000,36359
2024-03-08 05:00:00,1859219.0,135.1363,133.61,135.78,136.07,133.02,1709874000000,34870
2024-03-11 04:00:00,1431648.0,136.7062,135.17,136.93,137.295,135.17,1710129600000,28197
2024-03-12 04:00:00,1611160.0,137.2064,138.0,136.62,138.13,136.53,1710216000000,31042
2024-03-13 04:00:00,2093400.0,135.6825,134.8,135.32,137.2221,133.825,1710302400000,39843
2024-03-14 04:00:00,1869127.0,135.5134,135.7,135.74,136.07,134.63,1710388800000,36008
2024-03-15 04:00:00,3974634.0,133.5293,134.91,133.47,135.3,132.51,1710475200000,44586
2024-03-18 04:00:00,1688458.0,133.5664,133.79,133.21,134.79,132.5,1710734400000,28645
2024-03-19 04:00:00,1598420.0,134.8733,133.18,135.56,135.62,132.7,1710820800000,28668
2024-03-20 04:00:00,1906510.0,137.2924,135.27,138.1,138.62,135.07,1710907200000,29763
2024-03-21 04:00:00,1681339.0,136.9877,138.95,136.39,139.0,136.33,1710993600000,30769
2024-03-22 04:00:00,1246283.0,136.8605,135.68,136.84,137.46,135.15,1711080000000,23227
2024-03-25 04:00:00,1172866.0,137.3305,137.18,137.31,138.26,136.78,1711339200000,21284
2024-03-26 04:00:00,2524470.0,137.0159,138.4,136.62,138.88,136.57,1711425600000,29243
2024-03-27 04:00:00,2221072.0,138.5078,137.88,138.99,139.13,136.63,1711512000000,27513
2024-03-28 04:00:00,2081475.0,138.0804,139.46,137.75,139.9,137.59,1711598400000,23211
2024-04-01 04:00:00,3621861.0,133.9969,137.55,133.22,137.73,132.91,1711944000000,46248
2024-04-02 04:00:00,2306252.0,131.7631,132.06,131.69,133.24,130.5,1712030400000,37762
2024-04-03 04:00:00,2239126.0,130.6988,130.96,130.56,132.27,129.55,1712116800000,35194
