date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1460844.0,149.4815,149.72,149.74,150.33,148.31,1705554000000,29864
2024-01-19 05:00:00,1344153.0,150.2479,149.73,151.06,151.11,149.02,1705640400000,27181
2024-01-22 05:00:00,2268728.0,151.9497,151.28,151.94,153.26,150.16,1705899600000,39904
2024-01-23 05:00:00,1307481.0,151.6356,150.99,151.47,153.09,150.71,1705986000000,29872
2024-01-24 05:00:00,1470236.0,152.9295,152.39,153.2,153.61,151.25,1706072400000,30892
2024-01-25 05:00:00,2399542.0,155.1025,154.64,156.32,156.41,152.47,1706158800000,43625
2024-01-26 05:00:00,1443219.0,156.0185,156.5,156.24,157.0851,154.245,1706245200000,28826
2024-01-29 05:00:00,2775171.0,154.7562,155.9,154.86,155.9,153.71,1706504400000,29718
2024-01-30 05:00:00,2002636.0,156.2329,153.82,156.93,157.38,153.4,1706590800000,35828
2024-01-31 05:00:00,1636109.0,154.6516,156.81,153.74,156.81,153.5,1706677200000,28707
2024-02-01 05:00:00,1578773.0,152.9894,154.5,152.72,155.16,151.33,1706763600000,32331
2024-02-02 05:00:00,1282753.0,151.063,152.57,150.22,152.9,150.19,1706850000000,24934
2024-02-05 05:00:00,1613121.0,149.5898,149.82,149.62,150.56,147.93,1707109200000,31601
2024-02-06 05:00:00,1927277.0,151.7405,150.4,151.99,152.79,150.0,1707195600000,30181
2024-02-07 05:00:00,1754743.0,151.5542,151.98,151.45,152.8,150.705,1707282000000,30740
2024-02-08 05:00:00,1674896.0,153.0811,151.5,153.48,154.39,151.31,1707368400000,29118
2024-02-09 05:00:00,1015278.0,152.0616,153.71,151.74,154.2218,151.25,1707454800000,22330
2024-02-12 05:00:00,7276268.0,164.9149,160.0,165.98,168.1247,158.62,1707714000000,103882
2024-02-13 05:00:00,3354207.0,165.8991,167.31,165.6,169.6603,163.57,1707800400000,62086
2024-02-14 05:00:00,3724526.0,168.8648,167.71,169.86,170.28,166.1138,1707886800000,66979
2024-02-15 05:00:00,3728695.0,176.8109,170.58,178.52,179.53,170.27,1707973200000,68495
2024-02-16 05:00:00,2540909.0,179.8721,179.43,179.42,181.54,178.07,1708059600000,46166
2024-02-20 05:00:00,2792245.0,178.3062,179.57,178.06,180.14,177.26,1708405200000,52930
2024-02-21 05:00:00,3443643.0,180.2642,182.23,179.75,183.96,178.28,1708491600000,55060
2024-02-22 05:00:00,2346087.0,177.7748,179.64,176.73,180.36,176.39,1708578000000,47056
2024-02-23 05:00:00,2092467.0,176.6611,175.36,176.36,177.7907,174.39,1708664400000,39301
2024-02-26 05:00:00,1374200.0,176.7591,175.79,177.11,177.94,174.65,1708923600000,25837
2024-02-27 05:00:00,1499105.0,177.3689,177.43,177.95,178.26,176.14,1709010000000,25672
2024-02-28 05:00:00,1458040.0,178.9058,177.13,179.76,179.82,176.725,1709096400000,27865
2024-02-29 05:00:00,2029369.0,182.0951,180.65,182.52,182.99,180.0,1709182800000,34717
2024-03-01 05:00:00,1774320.0,185.0443,183.34,185.17,185.78,183.15,1709269200000,35700
2024-03-04 05:00:00,1320011.0,179.6043,183.1,178.89,183.1,178.21,1709528400000,29260
2024-03-05 05:00:00,1141535.0,180.5941,179.02,180.06,182.1202,178.89,1709614800000,28601
2024-03-06 05:00:00,1736752.0,180.8285,180.99,181.18,181.8253,179.3,1709701200000,27582
2024-03-07 05:00:00,1551220.0,182.7774,181.55,182.81,183.62,181.5,1709787600000,33348
2024-03-08 05:00:00,1251802.0,183.2696,182.7,183.29,184.89,182.33,1709874000000,23507
2024-03-11 04:00:00,1290792.0,183.9775,182.53,184.5,184.61,181.55,1710129600000,26603
2024-03-12 04:00:00,1099172.0,184.4704,185.5,184.52,185.87,183.72,1710216000000,25083
2024-03-13 04:00:00,1436892.0,187.3728,186.75,187.56,188.6,185.99,1710302400000,32432
2024-03-14 04:00:00,1467788.0,189.0468,188.01,189.5,189.7,187.79,1710388800000,32631
2024-03-15 04:00:00,3367155.0,189.5582,189.09,189.94,191.38,187.85,1710475200000,35328
2024-03-18 04:00:00,1170339.0,189.869,190.72,190.06,191.29,188.79,1710734400000,26806
2024-03-19 04:00:00,1288760.0,192.0433,189.91,192.62,192.86,189.5,1710820800000,28522
