date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,5382393.0,37.109,37.14,37.11,37.32,36.96,1705554000000,44474
2024-01-19 05:00:00,3736743.0,36.9411,37.24,37.01,37.25,36.68,1705640400000,34177
2024-01-22 05:00:00,4172533.0,36.8226,37.07,36.69,37.335,36.67,1705899600000,31629
2024-01-23 05:00:00,5877574.0,36.6618,36.64,36.72,36.88,36.48,1705986000000,40976
2024-01-24 05:00:00,5256962.0,36.0784,37.04,35.96,37.05,35.88,1706072400000,41301
2024-01-25 05:00:00,3962992.0,36.2795,36.36,36.5,36.51,35.74,1706158800000,35085
2024-01-26 05:00:00,3379607.0,36.3792,36.6,36.38,36.64,36.21,1706245200000,26497
2024-01-29 05:00:00,2789308.0,36.6043,36.39,36.78,36.83,36.2,1706504400000,27411
2024-01-30 05:00:00,2877116.0,36.7179,36.7,36.76,37.01,36.4,1706590800000,26742
2024-01-31 05:00:00,3447516.0,36.8356,37.05,36.68,37.225,36.52,1706677200000,29235
2024-02-01 05:00:00,2880757.0,37.0639,36.52,37.32,37.36,36.29,1706763600000,28805
2024-02-02 05:00:00,3897886.0,36.7964,36.97,36.79,37.13,36.45,1706850000000,34973
2024-02-05 05:00:00,3883679.0,36.361,36.41,36.22,36.655,36.15,1707109200000,33164
2024-02-06 05:00:00,2636074.0,35.8457,35.75,35.81,35.995,35.63,1707195600000,24621
2024-02-07 05:00:00,2514311.0,35.8279,35.95,35.83,36.04,35.65,1707282000000,23916
2024-02-08 05:00:00,4550304.0,35.6543,35.62,35.79,35.85,35.41,1707368400000,39614
2024-02-09 05:00:00,9712838.0,37.0978,36.0,37.31,37.54,36.0,1707454800000,72080
2024-02-12 05:00:00,3692564.0,37.5095,37.38,37.77,37.78,36.905,1707714000000,31682
2024-02-13 05:00:00,4063496.0,36.9046,37.58,36.95,37.75,36.62,1707800400000,37610
2024-02-14 05:00:00,3404099.0,36.9549,37.01,36.93,37.1,36.78,1707886800000,31934
2024-02-15 05:00:00,3930903.0,37.2421,37.03,37.3,37.39,36.93,1707973200000,38672
2024-02-16 05:00:00,3476969.0,37.2528,37.16,37.39,37.415,36.805,1708059600000,30047
2024-02-20 05:00:00,4110505.0,37.3114,37.41,37.15,37.6393,37.11,1708405200000,35384
2024-02-21 05:00:00,3159224.0,37.6535,37.31,37.82,37.84,37.07,1708491600000,28347
2024-02-22 05:00:00,3278598.0,37.3752,37.62,37.3,37.62,37.25,1708578000000,30677
2024-02-23 05:00:00,4298304.0,37.4622,37.39,37.4,37.645,37.29,1708664400000,38327
2024-02-26 05:00:00,2995806.0,36.6202,37.25,36.48,37.25,36.415,1708923600000,26575
