date,volume,vw,open,close,high,low,t,n
2025-11-11 05:00:00,5512744.0,63.9551,63.6,64.26,64.475,62.841,1762837200000,58924
2025-11-12 05:00:00,6244651.0,64.3732,64.2,64.38,64.87,63.11,1762923600000,68088
2025-11-13 05:00:00,9274509.0,65.1748,64.85,64.53,66.95,64.3701,1763010000000,95412
2025-11-14 05:00:00,5596494.0,63.5173,64.0,63.42,64.15,63.02,1763096400000,71611
2025-11-17 05:00:00,5473962.0,63.184,63.565,62.7,64.2,62.41,1763355600000,70762
2025-11-18 05:00:00,7240107.0,61.6441,62.16,61.34,62.69,61.13,1763442000000,80662
2025-11-19 05:00:00,5086125.0,61.0432,61.52,61.17,61.98,60.38,1763528400000,61495
2025-11-20 05:00:00,7165461.0,60.6419,61.655,59.77,62.255,59.72,1763614800000,81421
2025-11-21 05:00:00,8356432.0,60.8084,59.9,60.84,61.8599,59.56,1763701200000,87414
2025-11-24 05:00:00,10106085.0,60.6299,60.36,60.67,61.17,59.8001,1763960400000,79435
2025-11-25 05:00:00,6886945.0,60.921,60.67,60.76,61.7799,60.55,1764046800000,73710
2025-11-26 05:00:00,7883189.0,60.935,60.84,60.8,61.58,60.6,1764133200000,70327
2025-11-28 05:00:00,6770459.0,61.6417,61.12,61.47,62.4,60.76,1764306000000,73316
2025-12-01 05:00:00,11001949.0,62.6011,61.44,62.69,63.805,60.455,1764565200000,109964
2025-12-02 05:00:00,7088376.0,63.1308,62.86,63.24,64.056,61.72,1764651600000,73016
2025-12-03 05:00:00,14913184.0,66.5151,64.67,66.95,67.72,64.4,1764738000000,139297
2025-12-04 05:00:00,7480517.0,65.8802,66.29,66.06,66.95,65.27,1764824400000,86178
2025-12-05 05:00:00,7187612.0,66.6248,66.1,66.28,67.46,66.06,1764910800000,75177
2025-12-08 05:00:00,8524999.0,66.121,66.3,65.73,67.45,65.43,1765170000000,89235
2025-12-09 05:00:00,5925674.0,66.2588,66.25,66.21,66.775,65.67,1765256400000,77790
2025-12-10 05:00:00,10319239.0,66.3199,66.0,66.57,66.63,65.57,1765342800000,87446
2025-12-11 05:00:00,26056921.0,68.0395,66.505,68.16,68.51,66.505,1765429200000,102590
2025-12-12 05:00:00,20182732.0,68.5548,68.73,68.75,69.35,67.9102,1765515600000,84506
2025-12-15 05:00:00,17650084.0,68.872,69.3,68.97,69.43,67.97,1765774800000,82422
2025-12-16 05:00:00,19180036.0,67.7852,69.135,67.7,69.4,67.175,1765861200000,87326
2025-12-17 05:00:00,14524677.0,68.4032,67.7,68.33,69.39,67.59,1765947600000,91545
2025-12-18 05:00:00,13085961.0,68.0182,68.74,68.0,69.25,67.22,1766034000000,82763
2025-12-19 05:00:00,20614500.0,67.8866,68.14,67.94,68.685,67.48,1766120400000,71422
2025-12-22 05:00:00,6077158.0,68.6877,68.04,68.62,69.11,67.97,1766379600000,67377
2025-12-23 05:00:00,8820243.0,67.9387,68.39,67.72,68.82,67.58,1766466000000,61657
2025-12-24 05:00:00,3243899.0,67.7212,67.72,67.95,68.1,67.05,1766552400000,28211
2025-12-26 05:00:00,3476866.0,67.3001,67.75,67.5,67.8,66.94,1766725200000,45868
2025-12-29 05:00:00,6639267.0,67.1404,67.39,67.28,67.49,66.4,1766984400000,53216
2025-12-30 05:00:00,5251902.0,67.6054,67.15,67.54,68.59,67.05,1767070800000,61013
2025-12-31 05:00:00,4244242.0,67.3553,67.42,67.17,67.99,67.155,1767157200000,46305
