date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1775553.0,249.2337,250.35,249.37,252.1012,247.88,1705986000000,40480
2024-01-24 05:00:00,2749487.0,260.8678,252.32,261.18,263.69,251.62,1706072400000,56711
2024-01-25 05:00:00,1968787.0,264.6396,261.76,265.86,265.97,261.16,1706158800000,46682
2024-01-26 05:00:00,1329931.0,264.3719,266.56,265.07,267.97,262.05,1706245200000,30035
2024-01-29 05:00:00,961685.0,264.2949,264.57,264.78,265.91,263.2,1706504400000,24840
2024-01-30 05:00:00,2040351.0,268.0177,266.29,268.67,269.369,265.99,1706590800000,36796
2024-01-31 05:00:00,2305088.0,265.6493,269.0,264.99,269.5,263.84,1706677200000,36767
2024-02-01 05:00:00,1715158.0,265.724,265.65,266.87,267.24,263.07,1706763600000,36189
2024-02-02 05:00:00,1949414.0,265.5045,265.74,265.27,266.4003,264.33,1706850000000,39042
2024-02-05 05:00:00,1032428.0,265.5806,264.0,265.52,267.07,262.5,1707109200000,25485
2024-02-06 05:00:00,814601.0,267.0256,266.1,267.69,267.79,264.64,1707195600000,21200
2024-02-07 05:00:00,1058802.0,269.1057,269.5,269.09,270.15,267.945,1707282000000,21401
2024-02-08 05:00:00,617092.0,268.4322,269.0,269.0,269.435,267.12,1707368400000,18910
2024-02-09 05:00:00,878245.0,270.008,270.07,270.14,271.365,269.055,1707454800000,21709
2024-02-12 05:00:00,696309.0,269.7111,269.98,269.44,270.97,269.21,1707714000000,20809
2024-02-13 05:00:00,1164204.0,266.9222,269.93,267.22,270.9,265.105,1707800400000,26695
2024-02-14 05:00:00,1629840.0,266.8576,268.31,269.1,269.22,263.103,1707886800000,39449
2024-02-15 05:00:00,801479.0,269.9303,269.68,270.0,270.9583,268.54,1707973200000,22289
2024-02-16 05:00:00,702718.0,269.9643,269.98,269.44,271.175,268.8887,1708059600000,19729
2024-02-20 05:00:00,697551.0,269.7263,270.4,268.93,271.96,268.35,1708405200000,20900
2024-02-21 05:00:00,691282.0,271.3964,270.16,271.9,272.2799,268.91,1708491600000,20683
2024-02-22 05:00:00,636360.0,271.8556,271.38,272.33,272.46,270.66,1708578000000,18351
2024-02-23 05:00:00,663926.0,273.7876,272.5,273.75,274.9,272.1746,1708664400000,17657
2024-02-26 05:00:00,629667.0,273.3819,274.19,273.02,274.594,272.59,1708923600000,15389
2024-02-27 05:00:00,554426.0,272.7357,272.33,273.7,273.8,270.77,1709010000000,17034
2024-02-28 05:00:00,569835.0,274.1538,273.68,274.31,274.66,272.48,1709096400000,17368
2024-02-29 05:00:00,886287.0,273.313,274.98,273.25,274.98,272.37,1709182800000,17111
2024-03-01 05:00:00,651383.0,271.969,273.3,271.95,273.3,271.05,1709269200000,19240
