date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,2850390.0,73.4892,74.63,73.67,74.73,72.685,1705986000000,32683
2024-01-24 05:00:00,3594377.0,71.9907,73.64,71.55,73.7,71.31,1706072400000,44527
2024-01-25 05:00:00,2126518.0,72.5077,72.33,72.87,73.1,71.42,1706158800000,31870
2024-01-26 05:00:00,2334567.0,72.9443,73.0,73.15,73.29,72.47,1706245200000,29722
2024-01-29 05:00:00,2160340.0,73.9738,72.91,74.38,74.42,72.5,1706504400000,28206
2024-01-30 05:00:00,1673926.0,73.9621,73.73,74.0,74.52,73.12,1706590800000,26155
2024-01-31 05:00:00,3129586.0,73.604,73.93,73.36,74.47,72.95,1706677200000,48482
2024-02-01 05:00:00,2593628.0,74.2704,73.36,74.35,75.13,72.99,1706763600000,42813
2024-02-02 05:00:00,2446671.0,73.8219,74.03,73.91,74.36,72.52,1706850000000,38107
2024-02-05 05:00:00,3365666.0,73.2575,73.22,73.41,73.57,72.61,1707109200000,47377
2024-02-06 05:00:00,12511171.0,81.113,76.75,81.96,83.11,76.56,1707195600000,140397
2024-02-07 05:00:00,4278075.0,81.7286,82.04,81.83,82.5081,80.17,1707282000000,54106
2024-02-08 05:00:00,2483813.0,81.5235,81.53,82.06,82.14,80.4364,1707368400000,36506
2024-02-09 05:00:00,2755210.0,81.2287,82.29,81.34,82.75,80.6102,1707454800000,41079
2024-02-12 05:00:00,2304304.0,82.6854,81.62,83.17,83.31,81.39,1707714000000,36926
2024-02-13 05:00:00,2529750.0,82.1042,82.35,82.31,82.717,81.16,1707800400000,35622
2024-02-14 05:00:00,2214771.0,83.073,82.6,83.17,83.4399,82.3401,1707886800000,29249
2024-02-15 05:00:00,2346091.0,85.1796,83.94,85.63,85.74,83.925,1707973200000,34520
2024-02-16 05:00:00,13131797.0,85.2468,83.51,86.02,87.29,83.49,1708059600000,137715
2024-02-20 05:00:00,6372550.0,86.3801,85.93,86.39,86.81,85.58,1708405200000,57909
2024-02-21 05:00:00,5839786.0,84.1725,83.0,84.98,85.21,82.06,1708491600000,63227
2024-02-22 05:00:00,4154899.0,87.0708,85.45,87.64,88.1,85.005,1708578000000,52678
2024-02-23 05:00:00,3815582.0,88.881,87.4,89.07,89.73,87.235,1708664400000,48690
2024-02-26 05:00:00,3805070.0,90.0723,88.94,90.62,90.71,88.79,1708923600000,47838
2024-02-27 05:00:00,3993366.0,91.8449,90.01,92.52,92.58,89.4894,1709010000000,51732
2024-02-28 05:00:00,3431939.0,93.0672,92.25,93.02,93.9592,92.0,1709096400000,46067
2024-02-29 05:00:00,6143958.0,90.9002,93.31,91.28,93.34,88.87,1709182800000,65635
2024-03-01 05:00:00,2696180.0,92.5139,91.05,92.72,93.06,90.575,1709269200000,38132
2024-03-04 05:00:00,2615241.0,92.7651,92.94,92.73,93.5,92.425,1709528400000,35316
2024-03-05 05:00:00,2804872.0,92.1232,92.72,91.81,93.5,91.52,1709614800000,34327
2024-03-06 05:00:00,2521202.0,93.2515,91.56,93.1,94.08,91.45,1709701200000,33894
2024-03-07 05:00:00,3014595.0,92.7285,93.2,92.66,93.55,91.99,1709787600000,37863
2024-03-08 05:00:00,2853883.0,93.7922,92.8,93.87,94.5,92.49,1709874000000,37876
2024-03-11 04:00:00,2123396.0,92.9029,93.81,93.0,94.06,92.13,1710129600000,34190
2024-03-12 04:00:00,3042189.0,91.775,92.19,91.82,92.5,91.7,1710216000000,43352
2024-03-13 04:00:00,14434545.0,88.2166,87.56,88.48,89.365,86.55,1710302400000,124659
2024-03-14 04:00:00,4859083.0,88.3366,88.1,88.33,89.04,87.76,1710388800000,44420
2024-03-15 04:00:00,7314647.0,88.9944,88.25,89.41,89.73,87.93,1710475200000,49868
2024-03-18 04:00:00,2843947.0,90.5407,89.9,90.61,90.96,89.4944,1710734400000,42039
2024-03-19 04:00:00,2996548.0,90.7262,90.6,90.78,91.0,90.36,1710820800000,35853
2024-03-20 04:00:00,2016902.0,90.6948,90.48,90.89,91.11,90.15,1710907200000,33886
2024-03-21 04:00:00,2754875.0,91.4948,91.25,91.2,92.18,91.12,1710993600000,34622
2024-03-22 04:00:00,6178074.0,89.8307,91.46,89.73,91.9,89.37,1711080000000,43728
2024-03-25 04:00:00,2436026.0,88.9074,89.81,88.28,90.1,88.25,1711339200000,33704
2024-03-26 04:00:00,2845224.0,88.7166,88.48,89.07,89.3434,87.7,1711425600000,33207
2024-03-27 04:00:00,2629114.0,90.2565,89.96,90.31,90.69,89.715,1711512000000,36112
2024-03-28 04:00:00,2108576.0,90.7628,90.2,90.91,91.15,89.65,1711598400000,25097
2024-04-01 04:00:00,1958414.0,89.7095,91.31,89.53,91.46,89.19,1711944000000,30080
2024-04-02 04:00:00,3010662.0,88.2641,88.85,88.11,89.24,87.86,1712030400000,37856
2024-04-03 04:00:00,4403945.0,88.9957,88.25,89.03,90.05,88.11,1712116800000,42934
2024-04-04 04:00:00,2728207.0,88.948,90.15,87.96,90.84,87.87,1712203200000,37411
2024-04-05 04:00:00,1592529.0,88.6608,87.96,88.47,89.5,87.85,1712289600000,28803
2024-04-08 04:00:00,1692400.0,88.0249,88.73,87.71,88.845,87.62,1712548800000,24580
2024-04-09 04:00:00,4173432.0,86.8214,88.13,86.94,88.24,86.45,1712635200000,44742
2024-04-10 04:00:00,2926111.0,85.6703,85.38,85.39,86.7,85.24,1712721600000,44316
2024-04-11 04:00:00,3071008.0,87.8636,86.48,88.21,88.92,85.61,1712808000000,44397
2024-04-12 04:00:00,2227929.0,86.3663,87.07,86.28,87.53,86.055,1712894400000,33889
2024-04-15 04:00:00,1983623.0,86.253,87.6,86.13,87.9096,85.52,1713153600000,30038
2024-04-16 04:00:00,1868299.0,85.9406,85.83,85.88,86.44,85.35,1713240000000,29499
2024-04-17 04:00:00,1711629.0,85.432,86.07,85.19,86.25,85.16,1713326400000,32669
2024-04-18 04:00:00,1815419.0,85.0604,85.34,84.97,86.125,84.62,1713412800000,33528
2024-04-19 04:00:00,2022710.0,84.5778,85.0,84.49,85.61,84.1,1713499200000,31222
2024-04-22 04:00:00,2113777.0,84.5164,84.81,84.31,85.08,84.18,1713758400000,30815
2024-04-23 04:00:00,1951320.0,86.1217,84.99,86.24,86.65,84.79,1713844800000,33258
2024-04-24 04:00:00,2020280.0,86.6722,86.11,86.72,87.28,85.8,1713931200000,27237
2024-04-25 04:00:00,1363051.0,85.4728,86.0,85.95,86.675,84.74,1714017600000,25963
2024-04-26 04:00:00,1790728.0,86.2097,85.36,86.24,86.9,85.16,1714104000000,25738
2024-04-29 04:00:00,4352997.0,88.2929,86.3,88.94,89.18,86.3,1714363200000,60070
2024-04-30 04:00:00,14433617.0,78.2196,81.04,76.24,82.3,76.08,1714449600000,170002
2024-05-01 04:00:00,5303279.0,78.0165,76.52,78.26,79.13,76.5,1714536000000,76403
2024-05-02 04:00:00,2995695.0,77.9032,79.19,77.83,79.37,77.19,1714622400000,45082
