date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,6260570.0,86.1796,85.76,86.4,86.55,85.33,1705554000000,55090
2024-01-19 05:00:00,6400664.0,87.1656,86.38,87.29,87.865,86.09,1705640400000,62863
2024-01-22 05:00:00,20378551.0,78.4985,80.5,78.43,80.75,77.37,1705899600000,194296
2024-01-23 05:00:00,7837815.0,79.3332,78.54,79.48,79.88,78.39,1705986000000,89250
2024-01-24 05:00:00,7563017.0,79.2061,79.56,79.53,79.9025,78.48,1706072400000,86212
2024-01-25 05:00:00,8337419.0,80.2285,80.08,80.23,81.06,79.5537,1706158800000,84776
2024-01-26 05:00:00,5481416.0,79.6927,80.23,79.52,80.51,79.4,1706245200000,59707
2024-01-29 05:00:00,6585955.0,79.2036,79.65,79.07,80.005,78.905,1706504400000,58948
2024-01-30 05:00:00,8102375.0,78.5387,78.8,78.62,78.9,77.9611,1706590800000,75353
2024-01-31 05:00:00,7637274.0,78.3743,78.79,78.26,79.03,78.01,1706677200000,72738
2024-02-01 05:00:00,7697961.0,78.1065,78.0,78.16,78.58,77.4,1706763600000,73598
2024-02-02 05:00:00,7588850.0,77.2011,77.61,76.96,77.99,76.91,1706850000000,75872
2024-02-05 05:00:00,6690385.0,76.6953,76.65,76.71,77.05,76.01,1707109200000,69946
2024-02-06 05:00:00,8121246.0,77.4862,76.87,77.72,77.87,76.71,1707195600000,86497
2024-02-07 05:00:00,12449831.0,74.793,76.21,74.42,76.45,73.94,1707282000000,132509
2024-02-08 05:00:00,8815205.0,73.684,74.4,73.8,74.59,73.03,1707368400000,91462
2024-02-09 05:00:00,10718253.0,73.44,73.82,73.67,74.12,72.81,1707454800000,106178
2024-02-12 05:00:00,7605845.0,74.3273,73.41,74.45,75.14,73.11,1707714000000,99570
2024-02-13 05:00:00,8560069.0,73.5147,74.69,73.53,74.77,72.97,1707800400000,91597
2024-02-14 05:00:00,7487680.0,73.1162,73.11,73.04,73.83,72.83,1707886800000,69679
2024-02-15 05:00:00,5482851.0,73.3218,73.04,73.37,73.57,72.81,1707973200000,63145
2024-02-16 05:00:00,12823245.0,71.7487,73.0,71.58,73.0878,71.37,1708059600000,108702
2024-02-20 05:00:00,7874245.0,72.0765,71.59,72.04,72.73,71.45,1708405200000,78468
2024-02-21 05:00:00,6233571.0,73.0275,72.51,73.2,73.29,72.51,1708491600000,59786
2024-02-22 05:00:00,7323717.0,72.5136,72.26,72.78,72.885,71.83,1708578000000,72247
2024-02-23 05:00:00,5573505.0,73.6639,73.25,73.55,74.24,73.0,1708664400000,59603
2024-02-26 05:00:00,5177937.0,73.0879,73.5,72.95,73.89,72.84,1708923600000,55891
2024-02-27 05:00:00,6090379.0,72.976,72.85,73.02,73.135,72.63,1709010000000,61537
2024-02-28 05:00:00,4245558.0,72.8419,73.18,72.7,73.25,72.61,1709096400000,44748
2024-02-29 05:00:00,8583444.0,72.1964,72.72,72.1,72.91,71.92,1709182800000,63161
2024-03-01 05:00:00,5401188.0,72.3622,72.28,72.31,72.655,72.04,1709269200000,57630
2024-03-04 05:00:00,5750080.0,72.2602,72.39,72.25,72.6,71.96,1709528400000,51770
2024-03-05 05:00:00,6280430.0,72.8029,72.4,72.99,73.01,72.1,1709614800000,67254
2024-03-06 05:00:00,6170328.0,72.7337,72.88,72.63,73.32,72.51,1709701200000,67944
2024-03-07 05:00:00,9902838.0,73.3632,72.97,73.66,74.08,72.68,1709787600000,70622
2024-03-08 05:00:00,9519011.0,74.8992,73.96,75.12,75.435,73.66,1709874000000,89922
2024-03-11 04:00:00,7394928.0,75.3636,74.88,75.32,76.21,74.83,1710129600000,84291
2024-03-12 04:00:00,7056289.0,74.9721,75.25,75.08,75.34,74.25,1710216000000,58591
2024-03-13 04:00:00,6003025.0,75.7388,75.49,75.94,76.175,74.96,1710302400000,69685
2024-03-14 04:00:00,8399270.0,74.3288,74.72,74.21,75.02,73.82,1710388800000,83784
2024-03-15 04:00:00,13963774.0,73.7448,74.25,73.69,74.66,73.29,1710475200000,66735
2024-03-18 04:00:00,6939612.0,73.4154,73.69,73.26,74.17,73.205,1710734400000,46891
2024-03-19 04:00:00,8661777.0,73.4669,73.34,73.41,73.77,73.19,1710820800000,52465
2024-03-20 04:00:00,7311351.0,73.5964,73.27,73.98,73.98,72.8,1710907200000,59999
2024-03-21 04:00:00,5836856.0,73.3862,73.9,73.09,74.28,73.03,1710993600000,54704
2024-03-22 04:00:00,7730620.0,72.7488,73.11,72.61,73.23,72.56,1711080000000,58856
2024-03-25 04:00:00,5543898.0,72.6009,72.5,72.58,72.84,72.2,1711339200000,52578
2024-03-26 04:00:00,5362890.0,72.3686,72.32,72.41,72.66,72.11,1711425600000,53903
2024-03-27 04:00:00,7747590.0,72.8598,72.92,73.01,73.06,72.55,1711512000000,63550
2024-03-28 04:00:00,8369703.0,73.4209,73.25,73.25,73.87,73.2,1711598400000,65212
