date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,16822833.0,35.2737,35.62,35.23,35.76,34.94,1705986000000,86503
2024-01-24 05:00:00,15483431.0,34.9341,35.29,34.7,35.595,34.56,1706072400000,94209
2024-01-25 05:00:00,21520315.0,35.068,34.96,35.16,35.26,34.71,1706158800000,132866
2024-01-26 05:00:00,14190100.0,35.2577,35.16,35.18,35.545,35.04,1706245200000,87837
2024-01-29 05:00:00,24054758.0,35.3221,35.2,35.39,35.61,34.93,1706504400000,128642
2024-01-30 05:00:00,57982618.0,38.1219,38.352,38.15,38.96,37.4,1706590800000,308136
2024-01-31 05:00:00,34203076.0,39.1007,38.2,38.8,39.75,38.13,1706677200000,213560
2024-02-01 05:00:00,21343029.0,38.8674,39.18,38.87,39.31,38.53,1706763600000,137629
2024-02-02 05:00:00,19818286.0,38.7824,38.53,38.91,39.19,38.29,1706850000000,126150
2024-02-05 05:00:00,19722400.0,37.9413,38.53,37.79,38.69,37.68,1707109200000,125346
2024-02-06 05:00:00,16288896.0,38.274,37.6,38.03,38.6699,37.6,1707195600000,118999
2024-02-07 05:00:00,19093754.0,38.6566,38.54,38.72,39.12,38.1,1707282000000,122807
2024-02-08 05:00:00,15864503.0,38.6553,38.84,38.65,38.94,38.42,1707368400000,94735
2024-02-09 05:00:00,13065974.0,38.637,38.62,38.56,38.975,38.45,1707454800000,97163
2024-02-12 05:00:00,18113133.0,39.2977,38.54,39.28,39.535,38.51,1707714000000,115728
2024-02-13 05:00:00,18979037.0,38.1726,38.8,38.31,38.94,37.83,1707800400000,131362
2024-02-14 05:00:00,13278490.0,38.3982,38.58,38.37,38.75,38.05,1707886800000,85663
2024-02-15 05:00:00,15688586.0,39.0447,38.67,38.99,39.51,38.64,1707973200000,97318
2024-02-16 05:00:00,12396651.0,38.8221,38.8,38.7,39.055,38.62,1708059600000,87872
2024-02-20 05:00:00,16971324.0,38.8018,38.35,39.01,39.17,38.125,1708405200000,115100
2024-02-21 05:00:00,15987810.0,39.4502,38.96,39.49,39.82,38.96,1708491600000,106559
2024-02-22 05:00:00,11458142.0,39.4574,39.55,39.34,39.8,39.16,1708578000000,85468
2024-02-23 05:00:00,15194425.0,39.6754,39.36,39.63,39.95,39.32,1708664400000,95752
2024-02-26 05:00:00,16610224.0,40.0726,39.64,39.79,40.73,39.6,1708923600000,106542
2024-02-27 05:00:00,11507720.0,40.152,40.23,40.18,40.6,39.85,1709010000000,76277
2024-02-28 05:00:00,15697520.0,40.7303,40.06,40.63,41.08,40.05,1709096400000,102014
2024-02-29 05:00:00,18005220.0,40.9622,40.77,40.98,41.335,40.635,1709182800000,108895
2024-03-01 05:00:00,13079612.0,40.9522,40.805,40.99,41.8,40.395,1709269200000,84893
2024-03-04 05:00:00,14703085.0,41.0958,41.0,40.93,41.52,40.76,1709528400000,102563
2024-03-05 05:00:00,18913473.0,40.5543,40.7,40.65,40.885,40.13,1709614800000,117801
2024-03-06 05:00:00,15511179.0,40.1854,40.65,40.15,40.7388,39.8303,1709701200000,110549
2024-03-07 05:00:00,15428027.0,39.558,40.17,39.35,40.3199,39.255,1709787600000,95024
2024-03-08 05:00:00,12923874.0,39.5379,39.35,39.5,40.145,39.31,1709874000000,91046
2024-03-11 04:00:00,11659067.0,39.6046,39.28,39.53,39.81,39.22,1710129600000,85272
2024-03-12 04:00:00,19442475.0,39.2418,39.58,39.21,39.62,38.96,1710216000000,102923
2024-03-13 04:00:00,19081322.0,40.1978,39.46,40.26,40.47,39.34,1710302400000,105421
2024-03-14 04:00:00,18012944.0,39.5,40.18,39.38,40.34,38.945,1710388800000,99975
2024-03-15 04:00:00,82751221.0,40.592,39.27,40.69,40.82,39.27,1710475200000,146261
2024-03-18 04:00:00,16126578.0,40.7301,40.89,40.82,40.925,40.33,1710734400000,88600
2024-03-19 04:00:00,15936425.0,41.4543,40.92,41.51,41.68,40.72,1710820800000,92165
2024-03-20 04:00:00,16909341.0,42.4486,41.42,42.85,42.89,41.36,1710907200000,106287
2024-03-21 04:00:00,15268254.0,43.2746,42.92,43.42,43.59,42.84,1710993600000,95047
2024-03-22 04:00:00,9393825.0,43.1541,43.3,43.06,43.655,43.0,1711080000000,74239
2024-03-25 04:00:00,14644724.0,43.664,43.06,43.55,43.96,43.06,1711339200000,88235
2024-03-26 04:00:00,15961253.0,44.073,43.69,44.0,44.57,43.425,1711425600000,100846
2024-03-27 04:00:00,22172122.0,44.4447,44.06,44.59,44.81,44.05,1711512000000,125211
2024-03-28 04:00:00,14766376.0,45.303,44.63,45.35,45.535,44.6,1711598400000,106682
2024-04-01 04:00:00,11008265.0,45.4744,45.13,45.4,45.73,44.98,1711944000000,75895
2024-04-02 04:00:00,13061879.0,44.9509,44.97,44.89,45.26,44.59,1712030400000,82260
2024-04-03 04:00:00,14377133.0,45.1027,44.67,45.17,45.42,44.64,1712116800000,99598
2024-04-04 04:00:00,16988628.0,44.583,45.71,43.68,46.04,43.62,1712203200000,125639
2024-04-05 04:00:00,11210456.0,44.0084,43.72,44.23,44.305,43.46,1712289600000,92778
2024-04-08 04:00:00,8250408.0,44.4826,44.43,44.34,44.85,44.2803,1712548800000,60336
2024-04-09 04:00:00,8794803.0,44.5911,44.58,44.73,44.865,44.07,1712635200000,71829
2024-04-10 04:00:00,11636353.0,44.1083,43.9,43.94,44.55,43.51,1712721600000,101334
2024-04-11 04:00:00,19562960.0,43.7268,43.9,43.84,43.99,43.19,1712808000000,87036
2024-04-12 04:00:00,11903888.0,42.9546,43.5,43.08,43.58,42.645,1712894400000,88491
2024-04-15 04:00:00,13499590.0,42.883,43.73,42.69,43.98,42.52,1713153600000,88160
2024-04-16 04:00:00,12384851.0,42.6006,42.49,42.66,42.92,42.13,1713240000000,88332
2024-04-17 04:00:00,10663327.0,42.5633,42.91,42.46,43.16,42.2905,1713326400000,78391
2024-04-18 04:00:00,14180458.0,42.4023,42.77,42.44,42.835,42.01,1713412800000,82424
2024-04-19 04:00:00,15514953.0,42.4888,42.51,42.37,42.96,42.185,1713499200000,88118
2024-04-22 04:00:00,21315076.0,43.1209,42.68,43.21,43.56,42.205,1713758400000,137516
2024-04-23 04:00:00,28767300.0,45.2438,45.89,45.1,45.96,44.37,1713844800000,196479
2024-04-24 04:00:00,15013881.0,44.9855,45.31,45.08,45.31,44.62,1713931200000,100793
2024-04-25 04:00:00,14912507.0,45.3832,44.67,45.62,45.85,44.49,1714017600000,101776
2024-04-26 04:00:00,12153282.0,45.8898,45.6,45.84,46.165,45.41,1714104000000,93094
2024-04-29 04:00:00,10577406.0,45.9123,46.0,46.04,46.15,45.54,1714363200000,80975
2024-04-30 04:00:00,15951304.0,44.6994,45.21,44.53,45.42,44.26,1714449600000,97135
2024-05-01 04:00:00,13987629.0,44.6452,44.5,44.47,45.195,44.38,1714536000000,99038
2024-05-02 04:00:00,13214851.0,44.7231,44.9,44.67,45.15,44.57,1714622400000,79395
2024-05-03 04:00:00,10046006.0,44.8374,45.03,44.86,45.545,44.505,1714708800000,73056
2024-05-06 04:00:00,10301582.0,45.1465,45.1,45.06,45.54,44.96,1714968000000,59900
2024-05-07 04:00:00,9135865.0,45.4406,45.19,45.28,45.84,45.165,1715054400000,73001
2024-05-08 04:00:00,7568502.0,45.1587,44.85,45.05,45.395,44.58,1715140800000,72644
2024-05-09 04:00:00,9349772.0,45.3449,44.98,45.36,45.66,44.8,1715227200000,65532
2024-05-10 04:00:00,7917797.0,45.2161,45.58,45.21,45.6299,45.05,1715313600000,55382
2024-05-13 04:00:00,13826395.0,45.3747,45.56,45.17,45.98,45.08,1715572800000,91549
2024-05-14 04:00:00,10894317.0,45.1403,45.5,45.03,45.79,44.75,1715659200000,87200
2024-05-15 04:00:00,11054698.0,45.4032,45.5,45.49,45.64,45.07,1715745600000,90148
2024-05-16 04:00:00,11335861.0,45.8523,45.38,45.87,46.095,45.374,1715832000000,71496
2024-05-17 04:00:00,11412802.0,45.7853,46.07,45.76,46.08,45.585,1715918400000,60867
2024-05-20 04:00:00,9070726.0,45.3256,45.75,45.11,45.91,45.07,1716177600000,76951
2024-05-21 04:00:00,9910972.0,44.8008,44.97,44.92,45.18,44.56,1716264000000,77859
2024-05-22 04:00:00,11874498.0,44.054,44.6,43.97,44.64,43.73,1716350400000,85743
2024-05-23 04:00:00,10643657.0,43.6568,43.97,43.73,44.055,43.38,1716436800000,89494
2024-05-24 04:00:00,7373009.0,44.0861,44.07,44.11,44.32,43.865,1716523200000,73805
2024-05-28 04:00:00,13749201.0,43.1395,43.7,43.09,43.77,42.8,1716868800000,100951
2024-05-29 04:00:00,13262326.0,42.5409,42.62,42.64,42.745,42.27,1716955200000,94799
2024-05-30 04:00:00,9268652.0,43.2385,42.81,43.41,43.48,42.62,1717041600000,76744
2024-05-31 04:00:00,32674633.0,44.6126,43.21,44.99,45.02,43.0,1717128000000,109418
2024-06-03 04:00:00,15698535.0,45.6184,44.96,45.74,45.96,44.96,1717387200000,118543
2024-06-04 04:00:00,9505355.0,45.3071,45.32,45.26,45.77,45.04,1717473600000,72356
2024-06-05 04:00:00,24724923.0,45.549,45.55,45.62,45.685,44.815,1717560000000,70317
2024-06-06 04:00:00,10169784.0,45.6919,45.58,45.61,45.975,45.425,1717646400000,80430
2024-06-07 04:00:00,10811697.0,45.8086,45.35,45.72,46.08,45.2,1717732800000,69076
2024-06-10 04:00:00,18578778.0,47.3338,45.69,47.57,47.76,45.64,1717992000000,132626
2024-06-11 04:00:00,21186992.0,48.2703,48.26,48.21,48.9469,47.68,1718078400000,163697
2024-06-12 04:00:00,14222209.0,48.8668,48.84,48.86,49.35,48.63,1718164800000,117079
2024-06-13 04:00:00,19451724.0,47.7384,48.62,47.65,48.72,47.39,1718251200000,105016
2024-06-14 04:00:00,14716546.0,46.5098,47.135,46.77,47.39,45.93,1718337600000,101640
2024-06-17 04:00:00,9720620.0,47.3478,46.78,47.4,47.53,46.705,1718596800000,81577
2024-06-18 04:00:00,9691071.0,47.5267,47.29,47.44,48.04,47.28,1718683200000,85533
2024-06-20 04:00:00,10118008.0,47.6561,47.31,47.77,47.945,47.255,1718856000000,84228
2024-06-21 04:00:00,16737261.0,47.6582,47.78,47.72,47.86,47.05,1718942400000,75718
2024-06-24 04:00:00,46697661.0,48.2856,47.77,48.11,48.69,47.77,1719201600000,92477
2024-06-25 04:00:00,18067124.0,46.607,48.0,46.41,48.1,45.93,1719288000000,109976
2024-06-26 04:00:00,13055946.0,45.767,45.9,45.77,46.13,45.52,1719374400000,80145
2024-06-27 04:00:00,10409764.0,45.5997,45.69,45.58,46.0498,45.3,1719460800000,72006
2024-06-28 04:00:00,15020440.0,46.4144,46.03,46.46,46.66,45.97,1719547200000,100343
2024-07-01 04:00:00,10825072.0,46.6901,46.52,46.68,47.165,46.29,1719806400000,92701
2024-07-02 04:00:00,11338265.0,46.8339,46.4,46.95,47.08,46.37,1719892800000,68080
2024-07-03 04:00:00,5440684.0,46.6741,46.98,46.71,47.07,46.2821,1719979200000,46257
2024-07-05 04:00:00,11452689.0,46.5628,46.62,46.52,47.085,46.19,1720152000000,54617
2024-07-08 04:00:00,10868908.0,46.5818,46.8,46.55,47.48,46.215,1720411200000,70193
2024-07-09 04:00:00,9664247.0,46.4869,46.45,46.26,46.84,46.185,1720497600000,67246
2024-07-10 04:00:00,6711734.0,46.5418,46.51,46.53,46.77,46.36,1720584000000,53592
2024-07-11 04:00:00,16686620.0,47.8031,46.9,47.93,48.0,46.83,1720670400000,90177
2024-07-12 04:00:00,16289556.0,48.9565,48.02,49.01,49.35,47.91,1720756800000,97160
2024-07-15 04:00:00,11073440.0,49.5695,49.5,49.3,50.0,49.16,1721016000000,92902
